None,ticker,date,close,adj_close
0,COF,2018-03-27,93.62,93.62
1,COF,2018-03-26,95.07,95.07
2,COF,2018-03-23,92.39,92.39
3,COF,2018-03-22,94.65,94.65
4,COF,2018-03-21,98.18,98.18
5,COF,2018-03-20,98.67,98.67
6,COF,2018-03-19,98.65,98.65
7,COF,2018-03-16,99.36,99.36
8,COF,2018-03-15,98.05,98.05
9,COF,2018-03-14,97.2,97.2
10,COF,2018-03-13,98.82,98.82
11,COF,2018-03-12,100.46,100.46
12,COF,2018-03-09,100.79,100.79
13,COF,2018-03-08,98.15,98.15
14,COF,2018-03-07,97.63,97.63
15,COF,2018-03-06,98.04,98.04
16,COF,2018-03-05,97.9,97.9
17,COF,2018-03-02,96.72,96.72
18,COF,2018-03-01,96.51,96.51
19,COF,2018-02-28,97.93,97.93
20,COF,2018-02-27,99.25,99.25
21,COF,2018-02-26,100.75,100.75
22,COF,2018-02-23,99.04,99.04
23,COF,2018-02-22,96.67,96.67
24,COF,2018-02-21,97.39,97.39
25,COF,2018-02-20,98.46,98.46
26,COF,2018-02-16,99.53,99.53
27,COF,2018-02-15,98.67,98.67
28,COF,2018-02-14,97.38,97.38
29,COF,2018-02-13,95.31,95.31
30,COF,2018-02-12,95.19,95.19
31,COF,2018-02-09,92.02,92.02
32,COF,2018-02-08,91.8,91.8
33,COF,2018-02-07,98.12,98.12
34,COF,2018-02-06,98.44,98.44
35,COF,2018-02-05,97.0,97.0
36,COF,2018-02-02,101.57,101.57
37,COF,2018-02-01,104.72,104.72
38,COF,2018-01-31,103.96,103.96
39,COF,2018-01-30,103.47,103.47
40,COF,2018-01-29,104.6,104.6
41,COF,2018-01-26,104.9,104.9
42,COF,2018-01-25,104.26,104.26
43,COF,2018-01-24,105.26,105.26
44,COF,2018-01-23,105.71,105.71
45,COF,2018-01-22,105.49,105.49
46,COF,2018-01-19,104.38,104.38
47,COF,2018-01-18,103.41,103.41
48,COF,2018-01-17,104.39,104.39
49,COF,2018-01-16,104.42,104.42
50,COF,2018-01-12,105.43,105.43
51,COF,2018-01-11,104.42,104.42
52,COF,2018-01-10,103.14,103.14
53,COF,2018-01-09,101.69,101.69
54,COF,2018-01-08,100.8,100.8
55,COF,2018-01-05,101.43,101.43
56,COF,2018-01-04,101.42,101.42
57,COF,2018-01-03,99.44,99.44
58,COF,2018-01-02,99.61,99.61
59,COF,2017-12-29,99.58,99.58
60,COF,2017-12-28,100.3,100.3
61,COF,2017-12-27,99.75,99.75
62,COF,2017-12-26,99.92,99.92
63,COF,2017-12-22,100.5,100.5
64,COF,2017-12-21,99.52,99.52
65,COF,2017-12-20,98.59,98.59
66,COF,2017-12-19,98.74,98.74
67,COF,2017-12-18,99.31,99.31
68,COF,2017-12-15,96.31,96.31
69,COF,2017-12-14,94.06,94.06
70,COF,2017-12-13,94.72,94.72
71,COF,2017-12-12,96.21,96.21
72,COF,2017-12-11,95.97,95.97
73,COF,2017-12-08,95.79,95.79
74,COF,2017-12-07,95.07,95.07
75,COF,2017-12-06,93.87,93.87
76,COF,2017-12-05,93.91,93.91
77,COF,2017-12-04,94.89,94.89
78,COF,2017-12-01,92.72,92.72
79,COF,2017-11-30,92.0,92.0
80,COF,2017-11-29,90.97,90.97
81,COF,2017-11-28,89.75,89.75
82,COF,2017-11-27,86.87,86.87
83,COF,2017-11-24,87.38,87.38
84,COF,2017-11-22,87.26,87.26
85,COF,2017-11-21,87.95,87.95
86,COF,2017-11-20,88.27,88.27
87,COF,2017-11-17,87.83,87.83
88,COF,2017-11-16,87.15,87.15
89,COF,2017-11-15,87.63,87.63
90,COF,2017-11-14,86.0,86.0
91,COF,2017-11-13,86.95,86.95
92,COF,2017-11-10,87.15,87.15
93,COF,2017-11-09,88.11,88.11
94,COF,2017-11-07,90.12,90.12
95,COF,2017-11-06,92.3,92.3
96,COF,2017-11-03,91.6,91.6
97,COF,2017-11-02,92.45,92.45
98,COF,2017-11-01,91.9,91.9
99,COF,2017-10-31,92.18,92.18
100,COF,2017-10-30,92.43,92.43
101,COF,2017-10-27,92.78,92.78
102,COF,2017-10-26,92.52,92.52
103,COF,2017-10-25,90.775,90.775
104,COF,2017-10-24,89.52,89.52
105,COF,2017-10-23,89.72,89.72
106,COF,2017-10-20,89.67,89.67
107,COF,2017-10-19,87.48,87.48
108,COF,2017-10-18,86.66,86.66
109,COF,2017-10-17,86.07,86.07
110,COF,2017-10-16,86.85,86.85
111,COF,2017-10-13,85.36,85.36
112,COF,2017-10-12,84.59,84.59
113,COF,2017-10-11,86.75,86.75
114,COF,2017-10-10,87.3,87.3
115,COF,2017-10-09,87.3,87.3
116,COF,2017-10-06,87.04,87.04
117,COF,2017-10-05,87.09,87.09
118,COF,2017-10-04,86.34,86.34
119,COF,2017-10-03,86.37,86.37
120,COF,2017-10-02,85.92,85.92
121,COF,2017-09-29,84.66,84.66
122,COF,2017-09-28,84.12,84.12
123,COF,2017-09-27,83.93,83.93
124,COF,2017-09-26,82.8,82.8
125,COF,2017-09-25,82.48,82.48
126,COF,2017-09-22,81.94,81.94
127,COF,2017-09-21,81.58,81.58
128,COF,2017-09-20,81.8,81.8
129,COF,2017-09-19,80.96,80.96
130,COF,2017-09-18,80.25,80.25
131,COF,2017-09-15,80.04,80.04
132,COF,2017-09-14,78.7,78.7
133,COF,2017-09-13,80.21,80.21
134,COF,2017-09-12,79.57,79.57
135,COF,2017-09-11,79.06,79.06
136,COF,2017-09-08,78.21,78.21
137,COF,2017-09-07,78.23,78.23
138,COF,2017-09-06,79.47,79.47
139,COF,2017-09-05,78.66,78.66
140,COF,2017-09-01,80.31,80.31
141,COF,2017-08-31,79.61,79.61
142,COF,2017-08-30,80.09,80.09
143,COF,2017-08-29,79.74,79.74
144,COF,2017-08-28,80.55,80.55
145,COF,2017-08-25,81.49,81.49
146,COF,2017-08-24,81.43,81.43
147,COF,2017-08-23,81.29,81.29
148,COF,2017-08-22,81.44,81.44
149,COF,2017-08-21,81.42,81.42
150,COF,2017-08-18,81.53,81.53
151,COF,2017-08-17,81.99,81.99
152,COF,2017-08-16,83.82,83.82
153,COF,2017-08-15,84.15,84.15
154,COF,2017-08-14,84.26,84.26
155,COF,2017-08-11,82.8,82.8
156,COF,2017-08-10,83.06,83.06
157,COF,2017-08-09,85.14,85.14
158,COF,2017-08-08,85.51,85.51
159,COF,2017-08-07,85.15,85.15
160,COF,2017-08-04,84.41,84.41
161,COF,2017-08-03,84.59,84.59
162,COF,2017-08-02,85.71,85.306611366043
163,COF,2017-08-01,86.01,85.605199435228
164,COF,2017-07-31,86.18,85.774399341099
165,COF,2017-07-28,84.97,84.570094128721
166,COF,2017-07-27,84.8,84.40089422285
167,COF,2017-07-26,85.71,85.306611366043
168,COF,2017-07-25,87.09,86.680116484292
169,COF,2017-07-24,87.12,86.709975291211
170,COF,2017-07-21,87.94,87.526116013649
171,COF,2017-07-20,81.01,80.628731615484
172,COF,2017-07-19,81.38,80.996990234145
173,COF,2017-07-18,81.57,81.186096011295
174,COF,2017-07-17,82.17,81.783272149665
175,COF,2017-07-14,82.5,82.111719025768
176,COF,2017-07-13,82.59,82.201295446523
177,COF,2017-07-12,82.2,81.813130956583
178,COF,2017-07-11,81.04,80.658590422403
179,COF,2017-07-10,82.05,81.663836921991
180,COF,2017-07-07,82.5,82.111719025768
181,COF,2017-07-06,82.11,81.723554535828
182,COF,2017-07-05,82.7,82.310777738557
183,COF,2017-07-03,83.56,83.166730203553
184,COF,2017-06-30,82.62,82.231154253442
185,COF,2017-06-29,81.47,81.086566654901
186,COF,2017-06-28,82.98,82.589459936463
187,COF,2017-06-27,81.38,80.996990234145
188,COF,2017-06-26,80.59,80.210708318626
189,COF,2017-06-23,79.52,79.145744205201
190,COF,2017-06-22,80.39,80.011649605836
191,COF,2017-06-21,80.88,80.499343452171
192,COF,2017-06-20,81.22,80.837743263913
193,COF,2017-06-19,81.73,81.345342981527
194,COF,2017-06-16,81.31,80.927319684669
195,COF,2017-06-15,81.35,80.967131427227
196,COF,2017-06-14,80.09,79.713061536651
197,COF,2017-06-13,80.57,80.190802447347
198,COF,2017-06-12,80.17,79.792685021767
199,COF,2017-06-09,80.07,79.693155665372
200,COF,2017-06-08,79.42,79.046214848806
201,COF,2017-06-07,78.9,78.528662195552
202,COF,2017-06-06,78.27,77.901627250265
203,COF,2017-06-05,78.33,77.961344864102
204,COF,2017-06-02,78.04,77.672709730557
205,COF,2017-06-01,77.92,77.553274502883
206,COF,2017-05-31,76.92,76.557980938934
207,COF,2017-05-30,78.28,77.911580185904
208,COF,2017-05-26,79.79,79.414473467467
209,COF,2017-05-25,79.51,79.135791269561
210,COF,2017-05-24,79.92,79.54386163078
211,COF,2017-05-23,80.34,79.961884927639
212,COF,2017-05-22,79.63,79.255226497235
213,COF,2017-05-19,80.27,79.892214378162
214,COF,2017-05-18,79.27,78.896920814213
215,COF,2017-05-17,78.47,78.100685963054
216,COF,2017-05-16,80.69,80.310237675021
217,COF,2017-05-15,81.15,80.768072714437
218,COF,2017-05-12,79.4,79.026308977527
219,COF,2017-05-11,80.16,79.782732086128
220,COF,2017-05-10,81.67,80.882022461197
221,COF,2017-05-09,82.32,81.525751059211
222,COF,2017-05-08,82.12,81.327680721361
223,COF,2017-05-05,82.27,81.476233474748
224,COF,2017-05-04,82.49,81.694110846384
225,COF,2017-05-03,82.49,81.694110846384
226,COF,2017-05-02,82.46,81.664400295706
227,COF,2017-05-01,81.57,80.782987292272
228,COF,2017-04-28,80.38,79.604468782062
229,COF,2017-04-27,82.31,81.515847542318
230,COF,2017-04-26,83.06,82.258611309257
231,COF,2017-04-25,85.58,84.754297566172
232,COF,2017-04-24,84.68,83.862981045845
233,COF,2017-04-21,82.67,81.872374150449
234,COF,2017-04-20,83.72,82.912243424164
235,COF,2017-04-19,81.91,81.119706866618
236,COF,2017-04-18,81.9,81.109803349725
237,COF,2017-04-17,83.0,82.199190207902
238,COF,2017-04-13,81.02,80.238293863184
239,COF,2017-04-12,82.42,81.624786228136
240,COF,2017-04-11,83.09,82.288321859935
241,COF,2017-04-10,82.77,81.971409319374
242,COF,2017-04-07,83.54,82.733980120098
243,COF,2017-04-06,84.23,83.417322785682
244,COF,2017-04-05,84.13,83.318287616757
245,COF,2017-04-04,85.26,84.437385025611
246,COF,2017-04-03,85.8,84.972174937807
247,COF,2017-03-31,86.66,85.823877390564
248,COF,2017-03-30,87.14,86.299246201405
249,COF,2017-03-29,84.68,83.862981045845
250,COF,2017-03-28,84.17,83.357901684327
251,COF,2017-03-27,82.13,81.337584238253
252,COF,2017-03-24,83.8,82.991471559304
253,COF,2017-03-23,83.78,82.971664525519
254,COF,2017-03-22,83.68,82.872629356594
255,COF,2017-03-21,83.65,82.842918805916
256,COF,2017-03-20,86.78,85.942719593274
257,COF,2017-03-17,88.23,87.378729542689
258,COF,2017-03-16,90.21,89.339625887408
259,COF,2017-03-15,89.92,89.052423897525
260,COF,2017-03-14,91.75,90.864767488856
261,COF,2017-03-13,91.79,90.904381556426
262,COF,2017-03-10,92.19,91.300522232127
263,COF,2017-03-09,92.11,91.221294096986
264,COF,2017-03-08,92.4,91.508496086869
265,COF,2017-03-07,92.82,91.924443796355
266,COF,2017-03-06,93.0,92.102707100421
267,COF,2017-03-03,93.94,93.033637688317
268,COF,2017-03-02,94.33,93.419874847126
269,COF,2017-03-01,96.12,95.192604370886
270,COF,2017-02-28,93.86,92.954409553177
271,COF,2017-02-27,93.66,92.756339215327
272,COF,2017-02-24,92.61,91.716469941612
273,COF,2017-02-23,93.41,92.508751293014
274,COF,2017-02-22,92.89,91.993768414603
275,COF,2017-02-21,92.85,91.954154347033
276,COF,2017-02-17,91.81,90.924188590211
277,COF,2017-02-16,90.51,89.636731394184
278,COF,2017-02-15,90.93,90.052679103669
279,COF,2017-02-14,90.18,89.30991533673
280,COF,2017-02-13,89.03,88.171010894091
281,COF,2017-02-10,88.4,87.547089329862
282,COF,2017-02-09,88.54,87.685738566357
283,COF,2017-02-08,87.54,86.30548183156
284,COF,2017-02-07,88.11,86.867443502156
285,COF,2017-02-06,87.62,86.384353644977
286,COF,2017-02-03,87.92,86.680122945291
287,COF,2017-02-02,86.34,85.122404630305
288,COF,2017-02-01,87.51,86.275904901528
289,COF,2017-01-31,87.39,86.157597181403
290,COF,2017-01-30,88.81,87.557571869555
291,COF,2017-01-27,89.15,87.892777076577
292,COF,2017-01-26,89.71,88.444879770496
293,COF,2017-01-25,88.38,87.133635872438
294,COF,2017-01-24,88.73,87.478700056138
295,COF,2017-01-23,86.87,85.644930394192
296,COF,2017-01-20,87.34,86.108302298017
297,COF,2017-01-19,86.72,85.497045744035
298,COF,2017-01-18,87.28,86.049148437955
299,COF,2017-01-17,86.37,85.151981560336
300,COF,2017-01-13,88.85,87.597007776263
301,COF,2017-01-12,87.89,86.650546015259
302,COF,2017-01-11,89.14,87.8829180999
303,COF,2017-01-10,88.98,87.725174473066
304,COF,2017-01-09,87.44,86.206892064789
305,COF,2017-01-06,88.6,87.350533359335
306,COF,2017-01-05,88.38,87.133635872438
307,COF,2017-01-04,90.3,89.026559394447
308,COF,2017-01-03,88.87,87.616725729618
