None,ticker,date,close,adj_close
0,COO,2018-03-27,225.09,225.09
1,COO,2018-03-26,226.84,226.84
2,COO,2018-03-23,218.74,218.74
3,COO,2018-03-22,224.78,224.78
4,COO,2018-03-21,228.34,228.34
5,COO,2018-03-20,232.02,232.02
6,COO,2018-03-19,232.85,232.85
7,COO,2018-03-16,235.69,235.69
8,COO,2018-03-15,234.01,234.01
9,COO,2018-03-14,233.89,233.89
10,COO,2018-03-13,236.86,236.86
11,COO,2018-03-12,240.95,240.95
12,COO,2018-03-09,251.43,251.43
13,COO,2018-03-08,248.58,248.58
14,COO,2018-03-07,246.23,246.23
15,COO,2018-03-06,240.4,240.4
16,COO,2018-03-05,236.5,236.5
17,COO,2018-03-02,234.38,234.38
18,COO,2018-03-01,226.87,226.87
19,COO,2018-02-28,230.52,230.52
20,COO,2018-02-27,232.18,232.18
21,COO,2018-02-26,232.84,232.84
22,COO,2018-02-23,230.54,230.54
23,COO,2018-02-22,227.97,227.97
24,COO,2018-02-21,229.14,229.14
25,COO,2018-02-20,230.37,230.37
26,COO,2018-02-16,232.47,232.47
27,COO,2018-02-15,232.53,232.53
28,COO,2018-02-14,229.79,229.79
29,COO,2018-02-13,225.82,225.82
30,COO,2018-02-12,226.76,226.76
31,COO,2018-02-09,226.76,226.76
32,COO,2018-02-08,223.17,223.17
33,COO,2018-02-07,230.47,230.47
34,COO,2018-02-06,229.28,229.28
35,COO,2018-02-05,230.99,230.99
36,COO,2018-02-02,241.32,241.32
37,COO,2018-02-01,243.61,243.61
38,COO,2018-01-31,244.67,244.67
39,COO,2018-01-30,242.86,242.86
40,COO,2018-01-29,243.6,243.6
41,COO,2018-01-26,245.58,245.58
42,COO,2018-01-25,243.79,243.79
43,COO,2018-01-24,239.33,239.33
44,COO,2018-01-23,238.7,238.7
45,COO,2018-01-22,241.31,241.31
46,COO,2018-01-19,240.65,240.65
47,COO,2018-01-18,235.52,235.52
48,COO,2018-01-17,235.19,235.19
49,COO,2018-01-16,230.96,230.96
50,COO,2018-01-12,230.84,230.84
51,COO,2018-01-11,228.64,228.64
52,COO,2018-01-10,230.99,230.99
53,COO,2018-01-09,234.25,234.25
54,COO,2018-01-08,231.65,231.65
55,COO,2018-01-05,230.5,230.5
56,COO,2018-01-04,223.55,223.55
57,COO,2018-01-03,226.74,226.74
58,COO,2018-01-02,220.62,220.62
59,COO,2017-12-29,217.88,217.88
60,COO,2017-12-28,220.18,220.18
61,COO,2017-12-27,221.19,221.19
62,COO,2017-12-26,220.44,220.44
63,COO,2017-12-22,219.8,219.8
64,COO,2017-12-21,221.77,221.77
65,COO,2017-12-20,224.61,224.61
66,COO,2017-12-19,223.88,223.88
67,COO,2017-12-18,224.06,224.06
68,COO,2017-12-15,229.3,229.3
69,COO,2017-12-14,224.86,224.86
70,COO,2017-12-13,224.19,224.19
71,COO,2017-12-12,229.66,229.66
72,COO,2017-12-11,228.45,228.45
73,COO,2017-12-08,226.56,226.56
74,COO,2017-12-07,238.8,238.8
75,COO,2017-12-06,234.07,234.07
76,COO,2017-12-05,231.89,231.89
77,COO,2017-12-04,229.74,229.74
78,COO,2017-12-01,238.1,238.1
79,COO,2017-11-30,241.18,241.18
80,COO,2017-11-29,242.59,242.59
81,COO,2017-11-28,243.25,243.25
82,COO,2017-11-27,243.29,243.29
83,COO,2017-11-24,242.29,242.29
84,COO,2017-11-22,238.9,238.9
85,COO,2017-11-21,240.11,240.11
86,COO,2017-11-20,239.94,239.94
87,COO,2017-11-17,238.65,238.65
88,COO,2017-11-16,239.45,239.45
89,COO,2017-11-15,234.66,234.66
90,COO,2017-11-14,236.78,236.78
91,COO,2017-11-13,237.07,237.07
92,COO,2017-11-10,229.06,229.06
93,COO,2017-11-09,231.95,231.95
94,COO,2017-11-07,229.33,229.33
95,COO,2017-11-06,227.64,227.64
96,COO,2017-11-03,229.27,229.27
97,COO,2017-11-02,226.9,226.9
98,COO,2017-11-01,233.97,233.97
99,COO,2017-10-31,240.26,240.26
100,COO,2017-10-30,242.75,242.75
101,COO,2017-10-27,244.43,244.43
102,COO,2017-10-26,240.41,240.41
103,COO,2017-10-25,237.87,237.87
104,COO,2017-10-24,239.55,239.55
105,COO,2017-10-23,237.31,237.31
106,COO,2017-10-20,235.35,235.35
107,COO,2017-10-19,236.08,236.08
108,COO,2017-10-18,235.78,235.78
109,COO,2017-10-17,235.98,235.98
110,COO,2017-10-16,236.95,236.95
111,COO,2017-10-13,236.0,236.0
112,COO,2017-10-12,237.67,237.67
113,COO,2017-10-11,237.52,237.52
114,COO,2017-10-10,233.97,233.97
115,COO,2017-10-09,236.62,236.62
116,COO,2017-10-06,241.33,241.33
117,COO,2017-10-05,241.67,241.67
118,COO,2017-10-04,241.03,241.03
119,COO,2017-10-03,240.12,240.12
120,COO,2017-10-02,240.56,240.56
121,COO,2017-09-29,237.11,237.11
122,COO,2017-09-28,231.6,231.6
123,COO,2017-09-27,235.42,235.42
124,COO,2017-09-26,235.85,235.85
125,COO,2017-09-25,239.85,239.85
126,COO,2017-09-22,239.77,239.77
127,COO,2017-09-21,232.41,232.41
128,COO,2017-09-20,236.11,236.11
129,COO,2017-09-19,235.99,235.99
130,COO,2017-09-18,249.11,249.11
131,COO,2017-09-15,245.21,245.21
132,COO,2017-09-14,247.04,247.04
133,COO,2017-09-13,246.6,246.6
134,COO,2017-09-12,250.03,250.03
135,COO,2017-09-11,253.39,253.39
136,COO,2017-09-08,251.48,251.48
137,COO,2017-09-07,244.81,244.81
138,COO,2017-09-06,241.14,241.14
139,COO,2017-09-05,239.91,239.91
140,COO,2017-09-01,236.18,236.18
141,COO,2017-08-31,250.83,250.83
142,COO,2017-08-30,246.11,246.11
143,COO,2017-08-29,246.15,246.15
144,COO,2017-08-28,247.63,247.63
145,COO,2017-08-25,246.33,246.33
146,COO,2017-08-24,245.66,245.66
147,COO,2017-08-23,246.36,246.36
148,COO,2017-08-22,249.12,249.12
149,COO,2017-08-21,247.7,247.7
150,COO,2017-08-18,245.05,245.05
151,COO,2017-08-17,245.18,245.18
152,COO,2017-08-16,244.57,244.57
153,COO,2017-08-15,242.92,242.92
154,COO,2017-08-14,243.28,243.28
155,COO,2017-08-11,240.92,240.92
156,COO,2017-08-10,239.99,239.99
157,COO,2017-08-09,242.71,242.71
158,COO,2017-08-08,243.59,243.59
159,COO,2017-08-07,244.63,244.63
160,COO,2017-08-04,243.72,243.72
161,COO,2017-08-03,244.78,244.78
162,COO,2017-08-02,244.27,244.27
163,COO,2017-08-01,245.29,245.29
164,COO,2017-07-31,243.87,243.87
165,COO,2017-07-28,246.6,246.6
166,COO,2017-07-27,246.64,246.64
167,COO,2017-07-26,247.01,247.01
168,COO,2017-07-25,250.83,250.83
169,COO,2017-07-24,250.62,250.62
170,COO,2017-07-21,248.41,248.41
171,COO,2017-07-20,254.0,254.0
172,COO,2017-07-19,254.9,254.9
173,COO,2017-07-18,253.2,253.1702035853
174,COO,2017-07-17,251.98,251.95034715412
175,COO,2017-07-14,250.36,250.33053779469
176,COO,2017-07-13,246.45,246.420997921
177,COO,2017-07-12,247.91,247.88082610913
178,COO,2017-07-11,244.53,244.50122386537
179,COO,2017-07-10,244.14,244.11126976033
180,COO,2017-07-07,242.73,242.70143568823
181,COO,2017-07-06,236.19,236.16220531126
182,COO,2017-07-05,238.03,238.00198878123
183,COO,2017-07-03,236.38,236.35218295218
184,COO,2017-06-30,239.42,239.39182520692
185,COO,2017-06-29,237.12,237.09209586945
186,COO,2017-06-28,242.35,242.32148040639
187,COO,2017-06-27,243.25,243.22137449496
188,COO,2017-06-26,246.76,246.7309614404
189,COO,2017-06-23,246.19,246.16102851763
190,COO,2017-06-22,245.06,245.03116149531
191,COO,2017-06-21,243.86,243.83130271055
192,COO,2017-06-20,242.79,242.76142862747
193,COO,2017-06-19,242.11,242.08150864943
194,COO,2017-06-16,238.95,238.92188051622
195,COO,2017-06-15,239.84,239.81177578159
196,COO,2017-06-14,238.99,238.96187580905
197,COO,2017-06-13,240.88,240.85165339505
