None,ticker,date,close,adj_close
0,COP,2018-03-27,59.14,59.14
1,COP,2018-03-26,59.08,59.08
2,COP,2018-03-23,57.74,57.74
3,COP,2018-03-22,56.5,56.5
4,COP,2018-03-21,57.04,57.04
5,COP,2018-03-20,54.7,54.7
6,COP,2018-03-19,53.57,53.57
7,COP,2018-03-16,54.93,54.93
8,COP,2018-03-15,54.03,54.03
9,COP,2018-03-14,53.96,53.96
10,COP,2018-03-13,53.96,53.96
11,COP,2018-03-12,54.74,54.74
12,COP,2018-03-09,55.06,55.06
13,COP,2018-03-08,53.57,53.57
14,COP,2018-03-07,54.07,54.07
15,COP,2018-03-06,54.06,54.06
16,COP,2018-03-05,53.99,53.99
17,COP,2018-03-02,54.06,54.06
18,COP,2018-03-01,53.88,53.88
19,COP,2018-02-28,54.31,54.31
20,COP,2018-02-27,55.83,55.83
21,COP,2018-02-26,56.59,56.59
22,COP,2018-02-23,57.05,57.05
23,COP,2018-02-22,54.91,54.91
24,COP,2018-02-21,53.75,53.75
25,COP,2018-02-20,54.84,54.84
26,COP,2018-02-16,54.65,54.65
27,COP,2018-02-15,54.54,54.54
28,COP,2018-02-14,55.51,55.51
29,COP,2018-02-13,53.32,53.32
30,COP,2018-02-12,53.41,53.41
31,COP,2018-02-09,52.02,52.02
32,COP,2018-02-08,53.24,53.24
33,COP,2018-02-07,55.63,55.63
34,COP,2018-02-06,55.94,55.94
35,COP,2018-02-05,55.94,55.94
36,COP,2018-02-02,57.72,57.72
37,COP,2018-02-01,59.35,59.35
38,COP,2018-01-31,58.81,58.81
39,COP,2018-01-30,58.46,58.46
40,COP,2018-01-29,59.66,59.66
41,COP,2018-01-26,60.39,60.39
42,COP,2018-01-25,59.48,59.48
43,COP,2018-01-24,60.49,60.49
44,COP,2018-01-23,60.47,60.47
45,COP,2018-01-22,60.67,60.67
46,COP,2018-01-19,59.75,59.75
47,COP,2018-01-18,59.76,59.76
48,COP,2018-01-17,59.86,59.86
49,COP,2018-01-16,58.84,58.84
50,COP,2018-01-12,60.05,60.05
51,COP,2018-01-11,59.18,59.18
52,COP,2018-01-10,57.65,57.65
53,COP,2018-01-09,57.93,57.93
54,COP,2018-01-08,57.46,57.46
55,COP,2018-01-05,56.88,56.88
56,COP,2018-01-04,56.99,56.99
57,COP,2018-01-03,56.34,56.34
58,COP,2018-01-02,55.32,55.32
59,COP,2017-12-29,54.89,54.89
60,COP,2017-12-28,55.18,55.18
61,COP,2017-12-27,55.59,55.59
62,COP,2017-12-26,56.23,56.23
63,COP,2017-12-22,55.5,55.5
64,COP,2017-12-21,55.95,55.95
65,COP,2017-12-20,54.25,54.25
66,COP,2017-12-19,52.68,52.68
67,COP,2017-12-18,52.34,52.34
68,COP,2017-12-15,52.17,52.17
69,COP,2017-12-14,52.31,52.31
70,COP,2017-12-13,51.68,51.68
71,COP,2017-12-12,51.96,51.96
72,COP,2017-12-11,51.69,51.69
73,COP,2017-12-08,51.57,51.57
74,COP,2017-12-07,50.54,50.54
75,COP,2017-12-06,50.38,50.38
76,COP,2017-12-05,51.23,51.23
77,COP,2017-12-04,51.29,51.29
78,COP,2017-12-01,51.74,51.74
79,COP,2017-11-30,50.88,50.88
80,COP,2017-11-29,50.73,50.73
81,COP,2017-11-28,50.13,50.13
82,COP,2017-11-27,49.16,49.16
83,COP,2017-11-24,50.47,50.47
84,COP,2017-11-22,50.22,50.22
85,COP,2017-11-21,50.01,50.01
86,COP,2017-11-20,50.08,50.08
87,COP,2017-11-17,50.13,50.13
88,COP,2017-11-16,50.22,50.22
89,COP,2017-11-15,50.49,50.49
90,COP,2017-11-14,51.23,51.23
91,COP,2017-11-13,52.57,52.57
92,COP,2017-11-10,52.99,52.99
93,COP,2017-11-09,53.53,53.53
94,COP,2017-11-07,53.48,53.48
95,COP,2017-11-06,53.67,53.67
96,COP,2017-11-03,52.96,52.96
