None,ticker,date,close,adj_close
0,COST,2018-03-27,183.15,183.15
1,COST,2018-03-26,187.22,187.22
2,COST,2018-03-23,180.84,180.84
3,COST,2018-03-22,182.64,182.64
4,COST,2018-03-21,186.07,186.07
5,COST,2018-03-20,187.35,187.35
6,COST,2018-03-19,184.18,184.18
7,COST,2018-03-16,185.87,185.87
8,COST,2018-03-15,185.51,185.51
9,COST,2018-03-14,184.63,184.63
10,COST,2018-03-13,187.46,187.46
11,COST,2018-03-12,189.37,189.37
12,COST,2018-03-09,188.58,188.58
13,COST,2018-03-08,185.69,185.69
14,COST,2018-03-07,187.36,187.36
15,COST,2018-03-06,191.46,191.46
16,COST,2018-03-05,191.48,191.48
17,COST,2018-03-02,189.33,189.33
18,COST,2018-03-01,189.03,189.03
19,COST,2018-02-28,190.9,190.9
20,COST,2018-02-27,190.1,190.1
21,COST,2018-02-26,192.81,192.81
22,COST,2018-02-23,189.81,189.81
23,COST,2018-02-22,186.59,186.59
24,COST,2018-02-21,185.75,185.75
25,COST,2018-02-20,188.12,188.12
26,COST,2018-02-16,191.56,191.56
27,COST,2018-02-15,191.48,191.48
28,COST,2018-02-14,187.35,187.35
29,COST,2018-02-13,184.15,184.15
30,COST,2018-02-12,181.06,181.06
31,COST,2018-02-09,180.59,180.59
32,COST,2018-02-08,178.56,178.56
33,COST,2018-02-07,183.19,183.19
34,COST,2018-02-06,185.01,185.01
35,COST,2018-02-05,183.71,183.71
36,COST,2018-02-02,190.99,190.99
37,COST,2018-02-01,193.47,193.47
38,COST,2018-01-31,194.87,194.87
39,COST,2018-01-30,197.91,197.91
40,COST,2018-01-29,198.32,198.32
41,COST,2018-01-26,198.91,198.91
42,COST,2018-01-25,197.95,197.95
43,COST,2018-01-24,194.24,194.24
44,COST,2018-01-23,193.42,193.42
45,COST,2018-01-22,194.19,194.19
46,COST,2018-01-19,192.29,192.29
47,COST,2018-01-18,191.51,191.51
48,COST,2018-01-17,192.29,192.29
49,COST,2018-01-16,191.53,191.53
50,COST,2018-01-12,191.84,191.84
51,COST,2018-01-11,189.38,189.38
52,COST,2018-01-10,185.42,185.42
53,COST,2018-01-09,186.29,186.29
54,COST,2018-01-08,188.48,188.48
55,COST,2018-01-05,187.75,187.75
56,COST,2018-01-04,189.1,189.1
57,COST,2018-01-03,190.58,190.58
58,COST,2018-01-02,188.32,188.32
59,COST,2017-12-29,186.12,186.12
60,COST,2017-12-28,186.62,186.62
61,COST,2017-12-27,186.3,186.3
62,COST,2017-12-26,186.55,186.55
63,COST,2017-12-22,186.63,186.63
64,COST,2017-12-21,186.8,186.8
65,COST,2017-12-20,187.51,187.51
66,COST,2017-12-19,188.33,188.33
67,COST,2017-12-18,192.31,192.31
68,COST,2017-12-15,192.73,192.73
69,COST,2017-12-14,186.53,186.53
70,COST,2017-12-13,188.28,188.28
71,COST,2017-12-12,188.3,188.3
72,COST,2017-12-11,188.86,188.86
73,COST,2017-12-08,188.07,188.07
74,COST,2017-12-07,186.2,186.2
75,COST,2017-12-06,187.22,187.22
76,COST,2017-12-05,187.82,187.82
77,COST,2017-12-04,189.56,189.56
78,COST,2017-12-01,185.13,185.13
79,COST,2017-11-30,184.43,184.43
80,COST,2017-11-29,177.53,177.53
81,COST,2017-11-28,173.65,173.65
82,COST,2017-11-27,172.61,172.61
83,COST,2017-11-24,171.62,171.62
84,COST,2017-11-22,172.48,172.48
85,COST,2017-11-21,173.42,173.42
86,COST,2017-11-20,172.28,172.28
87,COST,2017-11-17,170.98,170.98
88,COST,2017-11-16,170.98,170.98
89,COST,2017-11-15,169.0,169.0
90,COST,2017-11-14,171.44,171.44
91,COST,2017-11-13,171.46,171.46
92,COST,2017-11-10,171.36,171.36
93,COST,2017-11-09,169.11,169.11
94,COST,2017-11-07,166.28,166.28
95,COST,2017-11-06,165.05,165.05
96,COST,2017-11-03,166.44,166.44
97,COST,2017-11-02,164.95,164.95
98,COST,2017-11-01,162.69,162.69
99,COST,2017-10-31,161.08,161.08
100,COST,2017-10-30,160.23,160.23
101,COST,2017-10-27,162.38,162.38
102,COST,2017-10-26,162.445,162.445
103,COST,2017-10-25,162.18,162.18
104,COST,2017-10-24,162.29,162.29
105,COST,2017-10-23,162.04,162.04
106,COST,2017-10-20,160.77,160.77
107,COST,2017-10-19,158.46,158.46
108,COST,2017-10-18,157.55,157.55
109,COST,2017-10-17,158.38,158.38
110,COST,2017-10-16,158.81,158.81
111,COST,2017-10-13,159.85,159.85
112,COST,2017-10-12,157.22,157.22
113,COST,2017-10-11,157.87,157.87
114,COST,2017-10-10,156.87,156.87
115,COST,2017-10-09,154.61,154.61
116,COST,2017-10-06,157.09,157.09
117,COST,2017-10-05,167.07,167.07
118,COST,2017-10-04,165.21,165.21
119,COST,2017-10-03,165.08,165.08
120,COST,2017-10-02,165.89,165.89
121,COST,2017-09-29,164.27,164.27
122,COST,2017-09-28,163.9,163.9
123,COST,2017-09-27,164.42,164.42
124,COST,2017-09-26,164.07,164.07
125,COST,2017-09-25,162.33,162.33
