None,ticker,date,close,adj_close
0,COTY,2018-03-27,18.29,18.29
1,COTY,2018-03-26,18.46,18.46
2,COTY,2018-03-23,18.07,18.07
3,COTY,2018-03-22,18.2,18.2
4,COTY,2018-03-21,18.36,18.36
5,COTY,2018-03-20,18.37,18.37
6,COTY,2018-03-19,18.58,18.58
7,COTY,2018-03-16,18.82,18.82
8,COTY,2018-03-15,18.57,18.57
9,COTY,2018-03-14,18.97,18.97
10,COTY,2018-03-13,19.2,19.2
11,COTY,2018-03-12,19.19,19.19
12,COTY,2018-03-09,19.4,19.4
13,COTY,2018-03-08,19.32,19.32
14,COTY,2018-03-07,19.21,19.21
15,COTY,2018-03-06,19.25,19.25
16,COTY,2018-03-05,19.34,19.34
17,COTY,2018-03-02,19.45,19.45
18,COTY,2018-03-01,19.04,19.04
19,COTY,2018-02-28,19.32,19.32
20,COTY,2018-02-27,19.85,19.85
21,COTY,2018-02-26,20.64,20.64
22,COTY,2018-02-23,20.76,20.76
23,COTY,2018-02-22,20.66,20.66
24,COTY,2018-02-21,20.8,20.8
25,COTY,2018-02-20,21.19,21.19
26,COTY,2018-02-16,21.45,21.45
27,COTY,2018-02-15,21.53,21.53
28,COTY,2018-02-14,21.25,21.25
29,COTY,2018-02-13,20.56,20.56
30,COTY,2018-02-12,20.42,20.42
31,COTY,2018-02-09,19.86,19.86
32,COTY,2018-02-08,19.96,19.96
33,COTY,2018-02-07,17.48,17.48
34,COTY,2018-02-06,17.43,17.43
35,COTY,2018-02-05,17.28,17.28
36,COTY,2018-02-02,18.05,18.05
37,COTY,2018-02-01,18.86,18.86
38,COTY,2018-01-31,19.61,19.61
39,COTY,2018-01-30,19.69,19.69
40,COTY,2018-01-29,19.7,19.7
41,COTY,2018-01-26,20.22,20.22
42,COTY,2018-01-25,20.25,20.25
43,COTY,2018-01-24,20.38,20.38
44,COTY,2018-01-23,20.77,20.77
45,COTY,2018-01-22,20.89,20.89
46,COTY,2018-01-19,20.53,20.53
47,COTY,2018-01-18,20.01,20.01
48,COTY,2018-01-17,20.7,20.7
49,COTY,2018-01-16,20.4,20.4
50,COTY,2018-01-12,20.78,20.78
51,COTY,2018-01-11,20.52,20.52
52,COTY,2018-01-10,20.52,20.52
53,COTY,2018-01-09,20.59,20.59
54,COTY,2018-01-08,20.32,20.32
55,COTY,2018-01-05,20.4,20.4
56,COTY,2018-01-04,20.08,20.08
57,COTY,2018-01-03,19.77,19.77
58,COTY,2018-01-02,19.88,19.88
59,COTY,2017-12-29,19.89,19.89
60,COTY,2017-12-28,20.07,20.07
61,COTY,2017-12-27,19.85,19.85
62,COTY,2017-12-26,20.15,20.15
63,COTY,2017-12-22,19.93,19.93
64,COTY,2017-12-21,19.75,19.75
65,COTY,2017-12-20,19.45,19.45
66,COTY,2017-12-19,19.38,19.38
67,COTY,2017-12-18,19.7,19.7
68,COTY,2017-12-15,19.78,19.78
69,COTY,2017-12-14,19.54,19.54
70,COTY,2017-12-13,19.42,19.42
71,COTY,2017-12-12,18.62,18.62
72,COTY,2017-12-11,17.91,17.91
73,COTY,2017-12-08,17.78,17.78
74,COTY,2017-12-07,17.6,17.6
75,COTY,2017-12-06,17.63,17.63
76,COTY,2017-12-05,17.64,17.64
77,COTY,2017-12-04,17.56,17.56
78,COTY,2017-12-01,17.05,17.05
79,COTY,2017-11-30,17.23,17.23
80,COTY,2017-11-29,17.09,17.09
81,COTY,2017-11-28,17.2,17.2
82,COTY,2017-11-27,17.0,17.0
83,COTY,2017-11-24,17.0,17.0
84,COTY,2017-11-22,16.98,16.98
85,COTY,2017-11-21,16.87,16.87
86,COTY,2017-11-20,17.1,17.1
87,COTY,2017-11-17,17.05,17.05
88,COTY,2017-11-16,16.85,16.85
89,COTY,2017-11-15,16.82,16.82
90,COTY,2017-11-14,16.95,16.95
91,COTY,2017-11-13,16.75,16.75
92,COTY,2017-11-10,16.31,16.31
93,COTY,2017-11-09,16.8,16.8
94,COTY,2017-11-07,14.45,14.45
95,COTY,2017-11-06,14.52,14.52
96,COTY,2017-11-03,14.36,14.36
97,COTY,2017-11-02,14.46,14.46
98,COTY,2017-11-01,15.31,15.31
99,COTY,2017-10-31,15.4,15.4
100,COTY,2017-10-30,14.97,14.97
101,COTY,2017-10-27,14.91,14.91
102,COTY,2017-10-26,15.24,15.24
103,COTY,2017-10-25,15.25,15.25
104,COTY,2017-10-24,15.35,15.35
105,COTY,2017-10-23,15.45,15.45
106,COTY,2017-10-20,15.85,15.85
107,COTY,2017-10-19,15.83,15.83
108,COTY,2017-10-18,15.76,15.76
109,COTY,2017-10-17,16.0,16.0
110,COTY,2017-10-16,16.83,16.83
111,COTY,2017-10-13,17.06,17.06
112,COTY,2017-10-12,16.76,16.76
113,COTY,2017-10-11,16.85,16.85
114,COTY,2017-10-10,16.81,16.81
115,COTY,2017-10-09,16.75,16.75
116,COTY,2017-10-06,16.88,16.88
117,COTY,2017-10-05,16.9,16.9
118,COTY,2017-10-04,16.64,16.64
119,COTY,2017-10-03,16.72,16.72
120,COTY,2017-10-02,16.65,16.65
121,COTY,2017-09-29,16.53,16.53
122,COTY,2017-09-28,16.15,16.15
123,COTY,2017-09-27,16.31,16.31
124,COTY,2017-09-26,16.28,16.28
125,COTY,2017-09-25,16.24,16.24
126,COTY,2017-09-22,16.15,16.15
127,COTY,2017-09-21,16.0,16.0
128,COTY,2017-09-20,16.65,16.65
129,COTY,2017-09-19,16.62,16.62
130,COTY,2017-09-18,16.93,16.93
131,COTY,2017-09-15,16.86,16.86
132,COTY,2017-09-14,17.16,17.16
133,COTY,2017-09-13,17.17,17.17
134,COTY,2017-09-12,17.06,17.06
135,COTY,2017-09-11,16.72,16.72
136,COTY,2017-09-08,16.47,16.47
137,COTY,2017-09-07,16.35,16.35
