None,ticker,date,close,adj_close
0,CPB,2018-03-27,42.69,42.69
1,CPB,2018-03-26,42.47,42.47
2,CPB,2018-03-23,42.27,42.27
3,CPB,2018-03-22,42.1,42.1
4,CPB,2018-03-21,42.17,42.17
5,CPB,2018-03-20,43.12,43.12
6,CPB,2018-03-19,43.6,43.6
7,CPB,2018-03-16,43.58,43.58
8,CPB,2018-03-15,43.31,43.31
9,CPB,2018-03-14,44.2,44.2
10,CPB,2018-03-13,43.94,43.94
11,CPB,2018-03-12,43.59,43.59
12,CPB,2018-03-09,43.61,43.61
13,CPB,2018-03-08,43.14,43.14
14,CPB,2018-03-07,43.08,43.08
15,CPB,2018-03-06,43.9,43.9
16,CPB,2018-03-05,43.52,43.52
17,CPB,2018-03-02,42.02,42.02
18,CPB,2018-03-01,42.28,42.28
19,CPB,2018-02-28,43.05,43.05
20,CPB,2018-02-27,43.94,43.94
21,CPB,2018-02-26,44.37,44.37
22,CPB,2018-02-23,44.12,44.12
23,CPB,2018-02-22,43.96,43.96
24,CPB,2018-02-21,42.9,42.9
25,CPB,2018-02-20,46.08,46.08
26,CPB,2018-02-16,46.17,46.17
27,CPB,2018-02-15,47.7,47.7
28,CPB,2018-02-14,46.96,46.96
29,CPB,2018-02-13,46.65,46.65
30,CPB,2018-02-12,46.31,46.31
31,CPB,2018-02-09,45.73,45.73
32,CPB,2018-02-08,44.83,44.83
33,CPB,2018-02-07,44.8,44.8
34,CPB,2018-02-06,45.14,45.14
35,CPB,2018-02-05,44.22,44.22
36,CPB,2018-02-02,44.6,44.6
37,CPB,2018-02-01,46.78,46.78
38,CPB,2018-01-31,46.55,46.55
39,CPB,2018-01-30,46.4,46.4
40,CPB,2018-01-29,46.95,46.95
41,CPB,2018-01-26,47.34,47.34
42,CPB,2018-01-25,47.46,47.46
43,CPB,2018-01-24,47.1,47.1
44,CPB,2018-01-23,47.57,47.57
45,CPB,2018-01-22,47.65,47.65
46,CPB,2018-01-19,47.39,47.39
47,CPB,2018-01-18,46.25,46.25
48,CPB,2018-01-17,46.96,46.96
49,CPB,2018-01-16,46.44,46.44
50,CPB,2018-01-12,45.51,45.51
51,CPB,2018-01-11,45.75,45.75
52,CPB,2018-01-10,45.82,45.82
