None,ticker,date,close,adj_close
0,CRM,2018-03-27,113.81,113.81
1,CRM,2018-03-26,118.97,118.97
2,CRM,2018-03-23,114.43,114.43
3,CRM,2018-03-22,118.04,118.04
4,CRM,2018-03-21,121.7,121.7
5,CRM,2018-03-20,125.12,125.12
6,CRM,2018-03-19,124.98,124.98
7,CRM,2018-03-16,125.97,125.97
8,CRM,2018-03-15,127.22,127.22
9,CRM,2018-03-14,127.99,127.99
10,CRM,2018-03-13,126.73,126.73
11,CRM,2018-03-12,126.78,126.78
12,CRM,2018-03-09,127.41,127.41
13,CRM,2018-03-08,126.36,126.36
14,CRM,2018-03-07,125.33,125.33
15,CRM,2018-03-06,124.48,124.48
16,CRM,2018-03-05,122.5,122.5
17,CRM,2018-03-02,121.92,121.92
18,CRM,2018-03-01,119.43,119.43
19,CRM,2018-02-28,116.25,116.25
20,CRM,2018-02-27,116.47,116.47
21,CRM,2018-02-26,116.65,116.65
22,CRM,2018-02-23,114.96,114.96
23,CRM,2018-02-22,113.0,113.0
24,CRM,2018-02-21,114.48,114.48
25,CRM,2018-02-20,114.35,114.35
26,CRM,2018-02-16,112.86,112.86
27,CRM,2018-02-15,113.12,113.12
28,CRM,2018-02-14,109.02,109.02
29,CRM,2018-02-13,107.69,107.69
30,CRM,2018-02-12,108.55,108.55
31,CRM,2018-02-09,106.98,106.98
32,CRM,2018-02-08,104.03,104.03
33,CRM,2018-02-07,110.05,110.05
34,CRM,2018-02-06,109.57,109.57
35,CRM,2018-02-05,107.65,107.65
36,CRM,2018-02-02,110.78,110.78
37,CRM,2018-02-01,112.74,112.74
38,CRM,2018-01-31,113.91,113.91
39,CRM,2018-01-30,112.23,112.23
40,CRM,2018-01-29,113.3,113.3
41,CRM,2018-01-26,113.7,113.7
42,CRM,2018-01-25,111.96,111.96
43,CRM,2018-01-24,112.85,112.85
44,CRM,2018-01-23,113.24,113.24
45,CRM,2018-01-22,112.89,112.89
46,CRM,2018-01-19,111.93,111.93
47,CRM,2018-01-18,111.77,111.77
48,CRM,2018-01-17,110.04,110.04
49,CRM,2018-01-16,108.89,108.89
50,CRM,2018-01-12,110.24,110.24
51,CRM,2018-01-11,109.1,109.1
52,CRM,2018-01-10,108.8,108.8
53,CRM,2018-01-09,109.15,109.15
54,CRM,2018-01-08,108.86,108.86
55,CRM,2018-01-05,108.1,108.1
56,CRM,2018-01-04,106.68,106.68
57,CRM,2018-01-03,105.29,105.29
58,CRM,2018-01-02,104.41,104.41
59,CRM,2017-12-29,102.23,102.23
60,CRM,2017-12-28,102.79,102.79
61,CRM,2017-12-27,102.65,102.65
62,CRM,2017-12-26,102.54,102.54
63,CRM,2017-12-22,102.63,102.63
64,CRM,2017-12-21,103.62,103.62
65,CRM,2017-12-20,103.39,103.39
66,CRM,2017-12-19,104.26,104.26
67,CRM,2017-12-18,105.08,105.08
