None,ticker,date,close,adj_close
0,CSCO,2018-03-27,42.68,42.68
1,CSCO,2018-03-26,44.06,44.06
2,CSCO,2018-03-23,42.42,42.42
3,CSCO,2018-03-22,43.07,43.07
4,CSCO,2018-03-21,44.31,44.31
5,CSCO,2018-03-20,44.37,44.37
6,CSCO,2018-03-19,44.27,44.27
7,CSCO,2018-03-16,45.01,45.01
8,CSCO,2018-03-15,45.33,45.33
9,CSCO,2018-03-14,45.28,45.28
10,CSCO,2018-03-13,45.16,45.16
11,CSCO,2018-03-12,45.55,45.55
12,CSCO,2018-03-09,45.37,45.37
13,CSCO,2018-03-08,44.34,44.34
14,CSCO,2018-03-07,44.2,44.2
15,CSCO,2018-03-06,44.29,44.29
16,CSCO,2018-03-05,44.52,44.52
17,CSCO,2018-03-02,44.06,44.06
18,CSCO,2018-03-01,43.8,43.8
19,CSCO,2018-02-28,44.78,44.78
20,CSCO,2018-02-27,45.04,45.04
21,CSCO,2018-02-26,45.36,45.36
22,CSCO,2018-02-23,44.0,44.0
23,CSCO,2018-02-22,42.94,42.94
24,CSCO,2018-02-21,43.31,43.31
25,CSCO,2018-02-20,44.06,44.06
26,CSCO,2018-02-16,44.33,44.33
27,CSCO,2018-02-15,44.08,44.08
28,CSCO,2018-02-14,42.09,42.09
29,CSCO,2018-02-13,41.23,41.23
30,CSCO,2018-02-12,40.6,40.6
31,CSCO,2018-02-09,39.51,39.51
32,CSCO,2018-02-08,38.73,38.73
33,CSCO,2018-02-07,40.34,40.34
34,CSCO,2018-02-06,40.17,40.17
35,CSCO,2018-02-05,39.09,39.09
36,CSCO,2018-02-02,40.93,40.93
37,CSCO,2018-02-01,41.7,41.7
38,CSCO,2018-01-31,41.54,41.54
39,CSCO,2018-01-30,42.25,42.25
40,CSCO,2018-01-29,42.85,42.85
41,CSCO,2018-01-26,42.56,42.56
42,CSCO,2018-01-25,41.9,41.9
43,CSCO,2018-01-24,42.17,42.17
44,CSCO,2018-01-23,42.1,42.1
45,CSCO,2018-01-22,41.66,41.66
46,CSCO,2018-01-19,41.29,41.29
47,CSCO,2018-01-18,41.3,41.3
48,CSCO,2018-01-17,41.2,41.2
49,CSCO,2018-01-16,40.54,40.54
50,CSCO,2018-01-12,40.87,40.87
51,CSCO,2018-01-11,40.1,40.1
52,CSCO,2018-01-10,39.91,39.91
53,CSCO,2018-01-09,39.69,39.69
54,CSCO,2018-01-08,39.94,39.94
