None,ticker,date,close,adj_close
0,CTAS,2018-03-27,169.59,169.59
1,CTAS,2018-03-26,170.98,170.98
2,CTAS,2018-03-23,167.85,167.85
3,CTAS,2018-03-22,163.11,163.11
4,CTAS,2018-03-21,173.29,173.29
5,CTAS,2018-03-20,172.52,172.52
6,CTAS,2018-03-19,172.99,172.99
7,CTAS,2018-03-16,173.28,173.28
8,CTAS,2018-03-15,173.3,173.3
9,CTAS,2018-03-14,173.61,173.61
10,CTAS,2018-03-13,176.13,176.13
11,CTAS,2018-03-12,176.61,176.61
12,CTAS,2018-03-09,178.3,178.3
13,CTAS,2018-03-08,172.23,172.23
14,CTAS,2018-03-07,172.19,172.19
15,CTAS,2018-03-06,172.0,172.0
16,CTAS,2018-03-05,171.41,171.41
17,CTAS,2018-03-02,169.94,169.94
18,CTAS,2018-03-01,169.56,169.56
19,CTAS,2018-02-28,170.66,170.66
20,CTAS,2018-02-27,171.0,171.0
21,CTAS,2018-02-26,170.79,170.79
22,CTAS,2018-02-23,169.99,169.99
23,CTAS,2018-02-22,167.08,167.08
24,CTAS,2018-02-21,167.34,167.34
25,CTAS,2018-02-20,166.65,166.65
26,CTAS,2018-02-16,167.12,167.12
27,CTAS,2018-02-15,166.94,166.94
28,CTAS,2018-02-14,164.36,164.36
29,CTAS,2018-02-13,156.07,156.07
30,CTAS,2018-02-12,154.4,154.4
31,CTAS,2018-02-09,152.59,152.59
32,CTAS,2018-02-08,149.33,149.33
33,CTAS,2018-02-07,156.6,156.6
34,CTAS,2018-02-06,156.35,156.35
35,CTAS,2018-02-05,157.18,157.18
36,CTAS,2018-02-02,161.82,161.82
37,CTAS,2018-02-01,165.18,165.18
38,CTAS,2018-01-31,168.45,168.45
39,CTAS,2018-01-30,165.82,165.82
40,CTAS,2018-01-29,166.0,166.0
41,CTAS,2018-01-26,167.77,167.77
42,CTAS,2018-01-25,166.58,166.58
43,CTAS,2018-01-24,164.98,164.98
44,CTAS,2018-01-23,164.9,164.9
45,CTAS,2018-01-22,165.14,165.14
46,CTAS,2018-01-19,164.06,164.06
47,CTAS,2018-01-18,161.8,161.8
48,CTAS,2018-01-17,162.67,162.67
49,CTAS,2018-01-16,161.22,161.22
50,CTAS,2018-01-12,160.46,160.46
51,CTAS,2018-01-11,162.05,162.05
52,CTAS,2018-01-10,160.33,160.33
53,CTAS,2018-01-09,161.22,161.22
54,CTAS,2018-01-08,161.9,161.9
55,CTAS,2018-01-05,161.64,161.64
56,CTAS,2018-01-04,161.17,161.17
57,CTAS,2018-01-03,158.42,158.42
58,CTAS,2018-01-02,156.85,156.85
59,CTAS,2017-12-29,155.83,155.83
60,CTAS,2017-12-28,156.62,156.62
61,CTAS,2017-12-27,156.02,156.02
62,CTAS,2017-12-26,155.52,155.52
63,CTAS,2017-12-22,156.85,156.85
64,CTAS,2017-12-21,159.65,159.65
65,CTAS,2017-12-20,159.09,159.09
66,CTAS,2017-12-19,158.99,158.99
67,CTAS,2017-12-18,159.88,159.88
68,CTAS,2017-12-15,158.0,158.0
69,CTAS,2017-12-14,157.18,157.18
70,CTAS,2017-12-13,157.29,157.29
71,CTAS,2017-12-12,157.19,157.19
72,CTAS,2017-12-11,158.33,158.33
73,CTAS,2017-12-08,159.18,159.18
74,CTAS,2017-12-07,158.0,158.0
75,CTAS,2017-12-06,156.5,156.5
76,CTAS,2017-12-05,156.28,156.28
77,CTAS,2017-12-04,158.71,158.71
78,CTAS,2017-12-01,157.5,157.5
79,CTAS,2017-11-30,157.44,157.44
80,CTAS,2017-11-29,153.73,153.73
81,CTAS,2017-11-28,152.03,152.03
82,CTAS,2017-11-27,147.96,147.96
83,CTAS,2017-11-24,147.71,147.71
84,CTAS,2017-11-22,147.36,147.36
85,CTAS,2017-11-21,147.58,147.58
