None,ticker,date,close,adj_close
0,CTL,2018-03-27,16.13,16.13
1,CTL,2018-03-26,16.21,16.21
2,CTL,2018-03-23,15.52,15.52
3,CTL,2018-03-22,15.79,15.79
4,CTL,2018-03-21,16.35,16.35
5,CTL,2018-03-20,16.25,16.25
6,CTL,2018-03-19,16.68,16.68
7,CTL,2018-03-16,17.13,17.13
8,CTL,2018-03-15,16.97,16.97
9,CTL,2018-03-14,17.33,17.33
10,CTL,2018-03-13,17.7,17.7
11,CTL,2018-03-12,18.02,18.02
12,CTL,2018-03-09,17.94,17.94
13,CTL,2018-03-08,17.82,17.82
14,CTL,2018-03-07,17.88,17.88
15,CTL,2018-03-06,18.06,18.06
16,CTL,2018-03-05,17.84,17.84
17,CTL,2018-03-02,17.35,17.35
18,CTL,2018-03-01,17.4,17.4
19,CTL,2018-02-28,17.67,17.67
20,CTL,2018-02-27,18.08,18.08
21,CTL,2018-02-26,18.41,18.41
22,CTL,2018-02-23,18.21,18.21
23,CTL,2018-02-22,17.98,17.98
24,CTL,2018-02-21,17.9,17.9
25,CTL,2018-02-20,18.47,18.47
26,CTL,2018-02-16,18.93,18.93
27,CTL,2018-02-15,19.13,19.13
28,CTL,2018-02-14,17.58,17.58
29,CTL,2018-02-13,17.21,17.21
30,CTL,2018-02-12,16.76,16.76
31,CTL,2018-02-09,15.98,15.98
32,CTL,2018-02-08,16.2,16.2
33,CTL,2018-02-07,17.06,17.06
34,CTL,2018-02-06,17.07,17.07
35,CTL,2018-02-05,16.8,16.8
36,CTL,2018-02-02,17.73,17.73
37,CTL,2018-02-01,17.95,17.95
38,CTL,2018-01-31,17.81,17.81
39,CTL,2018-01-30,17.81,17.81
40,CTL,2018-01-29,18.03,18.03
41,CTL,2018-01-26,18.22,18.22
42,CTL,2018-01-25,17.78,17.78
43,CTL,2018-01-24,17.39,17.39
44,CTL,2018-01-23,17.33,17.33
45,CTL,2018-01-22,17.67,17.67
46,CTL,2018-01-19,17.31,17.31
47,CTL,2018-01-18,17.34,17.34
48,CTL,2018-01-17,17.43,17.43
49,CTL,2018-01-16,17.34,17.34
50,CTL,2018-01-12,17.36,17.36
51,CTL,2018-01-11,17.47,17.47
52,CTL,2018-01-10,17.48,17.48
53,CTL,2018-01-09,16.54,16.54
54,CTL,2018-01-08,17.23,17.23
55,CTL,2018-01-05,17.0,17.0
56,CTL,2018-01-04,16.97,16.97
57,CTL,2018-01-03,17.08,17.08
58,CTL,2018-01-02,17.41,17.41
59,CTL,2017-12-29,16.68,16.68
60,CTL,2017-12-28,17.12,17.12
61,CTL,2017-12-27,17.07,17.07
62,CTL,2017-12-26,17.36,17.36
63,CTL,2017-12-22,17.24,17.24
64,CTL,2017-12-21,17.47,17.47
65,CTL,2017-12-20,17.15,17.15
