None,ticker,date,close,adj_close
0,CXO,2018-03-27,157.0,157.0
1,CXO,2018-03-26,157.22,157.22
2,CXO,2018-03-23,153.53,153.53
3,CXO,2018-03-22,153.02,153.02
4,CXO,2018-03-21,153.16,153.16
5,CXO,2018-03-20,148.64,148.64
6,CXO,2018-03-19,146.34,146.34
7,CXO,2018-03-16,148.49,148.49
8,CXO,2018-03-15,148.26,148.26
9,CXO,2018-03-14,150.21,150.21
10,CXO,2018-03-13,150.5,150.5
11,CXO,2018-03-12,153.48,153.48
12,CXO,2018-03-09,153.29,153.29
13,CXO,2018-03-08,149.74,149.74
14,CXO,2018-03-07,152.55,152.55
15,CXO,2018-03-06,151.36,151.36
16,CXO,2018-03-05,152.95,152.95
17,CXO,2018-03-02,150.57,150.57
18,CXO,2018-03-01,150.34,150.34
19,CXO,2018-02-28,150.8,150.8
20,CXO,2018-02-27,153.09,153.09
21,CXO,2018-02-26,154.95,154.95
22,CXO,2018-02-23,152.81,152.81
23,CXO,2018-02-22,149.18,149.18
24,CXO,2018-02-21,149.16,149.16
25,CXO,2018-02-20,147.15,147.15
26,CXO,2018-02-16,146.52,146.52
27,CXO,2018-02-15,146.04,146.04
28,CXO,2018-02-14,146.86,146.86
29,CXO,2018-02-13,141.66,141.66
30,CXO,2018-02-12,143.48,143.48
31,CXO,2018-02-09,138.98,138.98
32,CXO,2018-02-08,140.09,140.09
33,CXO,2018-02-07,148.1,148.1
34,CXO,2018-02-06,149.05,149.05
35,CXO,2018-02-05,151.44,151.44
36,CXO,2018-02-02,154.53,154.53
37,CXO,2018-02-01,159.26,159.26
38,CXO,2018-01-31,157.44,157.44
39,CXO,2018-01-30,157.36,157.36
40,CXO,2018-01-29,161.28,161.28
41,CXO,2018-01-26,161.66,161.66
42,CXO,2018-01-25,159.79,159.79
43,CXO,2018-01-24,160.9,160.9
44,CXO,2018-01-23,160.53,160.53
45,CXO,2018-01-22,160.41,160.41
46,CXO,2018-01-19,156.19,156.19
47,CXO,2018-01-18,156.47,156.47
48,CXO,2018-01-17,156.58,156.58
49,CXO,2018-01-16,156.72,156.72
