None,ticker,date,close,adj_close
0,D,2018-03-27,69.22,69.22
1,D,2018-03-26,68.1,68.1
2,D,2018-03-23,67.3,67.3
3,D,2018-03-22,67.87,67.87
4,D,2018-03-21,67.64,67.64
5,D,2018-03-20,68.45,68.45
6,D,2018-03-19,69.15,69.15
7,D,2018-03-16,70.61,70.61
8,D,2018-03-15,71.24,71.24
9,D,2018-03-14,73.52,73.52
10,D,2018-03-13,73.0,73.0
11,D,2018-03-12,72.97,72.97
12,D,2018-03-09,72.87,72.87
13,D,2018-03-08,72.83,72.83
14,D,2018-03-07,72.89,72.89
15,D,2018-03-06,72.92,72.92
16,D,2018-03-05,73.7,73.7
17,D,2018-03-02,72.5,72.5
18,D,2018-03-01,72.35,72.35
19,D,2018-02-28,74.07,74.07
20,D,2018-02-27,74.26,74.26
21,D,2018-02-26,75.99,75.99
22,D,2018-02-23,75.52,75.52
23,D,2018-02-22,73.58,73.58
24,D,2018-02-21,73.54,73.54
25,D,2018-02-20,74.75,74.75
26,D,2018-02-16,75.8,75.8
27,D,2018-02-15,75.42,75.42
28,D,2018-02-14,74.34,74.34
29,D,2018-02-13,75.07,75.07
30,D,2018-02-12,75.26,75.26
31,D,2018-02-09,74.38,74.38
32,D,2018-02-08,73.31,73.31
33,D,2018-02-07,73.76,73.76
34,D,2018-02-06,74.11,74.11
35,D,2018-02-05,74.69,74.69
36,D,2018-02-02,75.68,75.68
37,D,2018-02-01,75.9,75.9
38,D,2018-01-31,76.44,76.44
39,D,2018-01-30,75.32,75.32
40,D,2018-01-29,75.09,75.09
41,D,2018-01-26,75.5,75.5
42,D,2018-01-25,76.69,76.69
43,D,2018-01-24,75.56,75.56
44,D,2018-01-23,75.71,75.71
45,D,2018-01-22,74.89,74.89
46,D,2018-01-19,74.99,74.99
47,D,2018-01-18,74.89,74.89
48,D,2018-01-17,75.5,75.5
49,D,2018-01-16,75.27,75.27
50,D,2018-01-12,75.94,75.94
51,D,2018-01-11,76.21,76.21
52,D,2018-01-10,76.21,76.21
53,D,2018-01-09,77.21,77.21
54,D,2018-01-08,78.02,78.02
55,D,2018-01-05,76.84,76.84
56,D,2018-01-04,76.83,76.83
57,D,2018-01-03,77.19,77.19
58,D,2018-01-02,80.28,80.28
59,D,2017-12-29,81.06,81.06
60,D,2017-12-28,81.07,81.07
61,D,2017-12-27,80.66,80.66
62,D,2017-12-26,80.33,80.33
63,D,2017-12-22,80.44,80.44
64,D,2017-12-21,80.65,80.65
65,D,2017-12-20,80.59,80.59
66,D,2017-12-19,81.34,81.34
67,D,2017-12-18,82.75,82.75
68,D,2017-12-15,84.91,84.91
69,D,2017-12-14,84.38,84.38
70,D,2017-12-13,84.11,84.11
71,D,2017-12-12,83.43,83.43
72,D,2017-12-11,84.14,84.14
73,D,2017-12-08,83.88,83.88
74,D,2017-12-07,83.68,83.68
75,D,2017-12-06,83.53,83.53
76,D,2017-12-05,83.12,83.12
77,D,2017-12-04,83.55,83.55
78,D,2017-12-01,83.57,83.57
79,D,2017-11-30,84.13,84.13
80,D,2017-11-29,84.0,84.0
81,D,2017-11-28,83.94,83.94
82,D,2017-11-27,82.96,82.96
83,D,2017-11-24,82.21,82.21
84,D,2017-11-22,82.16,82.16
85,D,2017-11-21,81.37,81.37
86,D,2017-11-20,81.15,81.15
87,D,2017-11-17,81.32,81.32
88,D,2017-11-16,81.96,81.96
89,D,2017-11-15,82.23,82.23
90,D,2017-11-14,82.84,82.84
