None,ticker,date,close,adj_close
0,DFS,2018-03-27,70.23,70.23
1,DFS,2018-03-26,71.79,71.79
2,DFS,2018-03-23,70.07,70.07
3,DFS,2018-03-22,71.89,71.89
4,DFS,2018-03-21,74.86,74.86
5,DFS,2018-03-20,75.36,75.36
6,DFS,2018-03-19,76.04,76.04
7,DFS,2018-03-16,76.54,76.54
8,DFS,2018-03-15,75.37,75.37
9,DFS,2018-03-14,76.46,76.46
10,DFS,2018-03-13,77.33,77.33
11,DFS,2018-03-12,78.15,78.15
12,DFS,2018-03-09,78.42,78.42
13,DFS,2018-03-08,77.1,77.1
14,DFS,2018-03-07,76.63,76.63
15,DFS,2018-03-06,76.81,76.81
16,DFS,2018-03-05,77.07,77.07
17,DFS,2018-03-02,75.84,75.84
18,DFS,2018-03-01,75.21,75.21
19,DFS,2018-02-28,78.83,78.83
20,DFS,2018-02-27,79.56,79.56
21,DFS,2018-02-26,80.43,80.43
22,DFS,2018-02-23,79.42,79.42
23,DFS,2018-02-22,77.75,77.75
24,DFS,2018-02-21,78.59,78.59
25,DFS,2018-02-20,79.63,79.63
26,DFS,2018-02-16,79.53,79.53
27,DFS,2018-02-15,78.57,78.57
28,DFS,2018-02-14,77.61,77.61
29,DFS,2018-02-13,76.5,76.5
30,DFS,2018-02-12,75.95,75.95
31,DFS,2018-02-09,74.11,74.11
32,DFS,2018-02-08,72.4,72.4
33,DFS,2018-02-07,76.63,76.63
34,DFS,2018-02-06,76.14,76.14
35,DFS,2018-02-05,74.88,74.88
36,DFS,2018-02-02,78.97,78.97
37,DFS,2018-02-01,80.62,80.62
38,DFS,2018-01-31,79.8,79.8
39,DFS,2018-01-30,79.72,79.72
40,DFS,2018-01-29,81.31,81.31
41,DFS,2018-01-26,80.98,80.98
42,DFS,2018-01-25,80.3,80.3
43,DFS,2018-01-24,78.74,78.74
44,DFS,2018-01-23,78.72,78.72
45,DFS,2018-01-22,78.87,78.87
46,DFS,2018-01-19,78.32,78.32
47,DFS,2018-01-18,78.22,78.22
48,DFS,2018-01-17,78.93,78.93
49,DFS,2018-01-16,78.94,78.94
50,DFS,2018-01-12,80.51,80.51
51,DFS,2018-01-11,80.36,80.36
52,DFS,2018-01-10,79.47,79.47
53,DFS,2018-01-09,78.24,78.24
54,DFS,2018-01-08,77.57,77.57
55,DFS,2018-01-05,78.16,78.16
56,DFS,2018-01-04,78.25,78.25
57,DFS,2018-01-03,77.48,77.48
58,DFS,2018-01-02,76.91,76.91
59,DFS,2017-12-29,76.92,76.92
60,DFS,2017-12-28,77.5,77.5
61,DFS,2017-12-27,76.96,76.96
62,DFS,2017-12-26,77.26,77.26
63,DFS,2017-12-22,77.13,77.13
64,DFS,2017-12-21,76.04,76.04
65,DFS,2017-12-20,75.74,75.74
66,DFS,2017-12-19,75.95,75.95
67,DFS,2017-12-18,75.96,75.96
68,DFS,2017-12-15,74.59,74.59
69,DFS,2017-12-14,73.67,73.67
70,DFS,2017-12-13,73.82,73.82
71,DFS,2017-12-12,75.09,75.09
72,DFS,2017-12-11,74.35,74.35
73,DFS,2017-12-08,73.8,73.8
74,DFS,2017-12-07,73.45,73.45
75,DFS,2017-12-06,72.94,72.94
76,DFS,2017-12-05,73.18,73.18
77,DFS,2017-12-04,73.44,73.44
78,DFS,2017-12-01,71.12,71.12
79,DFS,2017-11-30,70.6,70.6
80,DFS,2017-11-29,69.01,69.01
81,DFS,2017-11-28,67.63,67.63
82,DFS,2017-11-27,65.34,65.34
83,DFS,2017-11-24,65.4,65.4
84,DFS,2017-11-22,65.5,65.5
85,DFS,2017-11-21,65.64,65.64
86,DFS,2017-11-20,65.82,65.470901651765
87,DFS,2017-11-17,65.06,64.71493256554
88,DFS,2017-11-16,64.82,64.47620548568
89,DFS,2017-11-15,65.27,64.923818760418
90,DFS,2017-11-14,64.21,63.869440824367
91,DFS,2017-11-13,65.0,64.655250795575
92,DFS,2017-11-10,64.76,64.416523715715
93,DFS,2017-11-09,65.47,65.122757993635
94,DFS,2017-11-07,66.44,66.087613274739
95,DFS,2017-11-06,67.02,66.664537051068
96,DFS,2017-11-03,67.44,67.082309440824
97,DFS,2017-11-02,66.93,66.575014396121
98,DFS,2017-11-01,66.9,66.545173511138
99,DFS,2017-10-31,66.53,66.177135929686
100,DFS,2017-10-30,66.51,66.157242006365
101,DFS,2017-10-27,66.78,66.425809971208
102,DFS,2017-10-26,66.69,66.33628731626
103,DFS,2017-10-25,65.15,64.804455220488
104,DFS,2017-10-24,67.39,67.03257463252
105,DFS,2017-10-23,66.84,66.485491741173
106,DFS,2017-10-20,66.57,66.21692377633
107,DFS,2017-10-19,65.66,65.311750265192
108,DFS,2017-10-18,65.39,65.043182300349
109,DFS,2017-10-17,64.66,64.317054099106
110,DFS,2017-10-16,65.35,65.003394453705
111,DFS,2017-10-13,63.88,63.541191089559
112,DFS,2017-10-12,63.81,63.471562357933
113,DFS,2017-10-11,64.84,64.496099409001
114,DFS,2017-10-10,65.34,64.993447492044
115,DFS,2017-10-09,65.38,65.033235338688
116,DFS,2017-10-06,65.75,65.401272920139
117,DFS,2017-10-05,65.97,65.620106076678
118,DFS,2017-10-04,65.49,65.142651916957
119,DFS,2017-10-03,65.74,65.391325958479
120,DFS,2017-10-02,65.16,64.814402182149
121,DFS,2017-09-29,64.48,64.13800878921
122,DFS,2017-09-28,64.36,64.01864524928
123,DFS,2017-09-27,64.06,63.720236399454
124,DFS,2017-09-26,62.69,62.357502651917
125,DFS,2017-09-25,61.91,61.58163964237
126,DFS,2017-09-22,61.41,61.084291559327
127,DFS,2017-09-21,60.5,60.179118048189
128,DFS,2017-09-20,60.34,60.019966661615
129,DFS,2017-09-19,60.49,60.169171086528
130,DFS,2017-09-18,60.25,59.930444006668
131,DFS,2017-09-15,59.43,59.114793150477
132,DFS,2017-09-14,58.65,58.33893014093
133,DFS,2017-09-13,59.29,58.975535687225
134,DFS,2017-09-12,57.99,57.682430671314
135,DFS,2017-09-11,58.19,57.881369904531
136,DFS,2017-09-08,57.66,57.354180936506
137,DFS,2017-09-07,58.09,57.781900287922
138,DFS,2017-09-06,58.86,58.547816335808
139,DFS,2017-09-05,58.44,58.130043946052
140,DFS,2017-09-01,59.59,59.273944537051
141,DFS,2017-08-31,58.95,58.637338990756
142,DFS,2017-08-30,58.97,58.657232914078
143,DFS,2017-08-29,58.45,58.139990907713
144,DFS,2017-08-28,59.1,58.786543415669
145,DFS,2017-08-25,59.69,59.37341415366
146,DFS,2017-08-24,59.47,59.154580997121
147,DFS,2017-08-23,59.31,58.995429610547
148,DFS,2017-08-22,59.5,59.184421882103
149,DFS,2017-08-21,59.27,58.610871929027
150,DFS,2017-08-18,59.43,58.769092605738
151,DFS,2017-08-17,59.9,59.233865843575
152,DFS,2017-08-16,61.71,61.023737248865
153,DFS,2017-08-15,61.87,61.181957925576
154,DFS,2017-08-14,60.5,59.827193381241
155,DFS,2017-08-11,59.64,58.976757243921
156,DFS,2017-08-10,60.1,59.431641689464
157,DFS,2017-08-09,61.26,60.578741595617
158,DFS,2017-08-08,61.96,61.270957056226
159,DFS,2017-08-07,61.39,60.707295895444
160,DFS,2017-08-04,61.04,60.361188165139
161,DFS,2017-08-03,60.46,59.787638212063
162,DFS,2017-08-02,60.78,60.104079565484
163,DFS,2017-08-01,60.61,59.935970096479
164,DFS,2017-07-31,60.94,60.262300242195
165,DFS,2017-07-28,60.26,59.589862366175
166,DFS,2017-07-27,60.44,59.767860627474
167,DFS,2017-07-26,63.13,62.427945754673
168,DFS,2017-07-25,63.79,63.080606046105
169,DFS,2017-07-24,62.53,61.834618217008
170,DFS,2017-07-21,62.53,61.834618217008
171,DFS,2017-07-20,61.37,60.687518310855
172,DFS,2017-07-19,61.14,60.460076088084
173,DFS,2017-07-18,61.04,60.361188165139
174,DFS,2017-07-17,61.07,60.390854542023
175,DFS,2017-07-14,61.26,60.578741595617
176,DFS,2017-07-13,61.42,60.736962272327
177,DFS,2017-07-12,61.14,60.460076088084
178,DFS,2017-07-11,60.76,60.084301980896
179,DFS,2017-07-10,61.1,60.420520918906
180,DFS,2017-07-07,61.37,60.687518310855
181,DFS,2017-07-06,61.2,60.51940884185
182,DFS,2017-07-05,61.51,60.825961402977
183,DFS,2017-07-03,62.27,61.577509617353
184,DFS,2017-06-30,62.19,61.498399278998
185,DFS,2017-06-29,61.51,60.825961402977
186,DFS,2017-06-28,61.88,61.191846717871
187,DFS,2017-06-27,61.07,60.390854542023
188,DFS,2017-06-26,60.61,59.935970096479
189,DFS,2017-06-23,60.04,59.372308935697
190,DFS,2017-06-22,60.24,59.570084781586
191,DFS,2017-06-21,60.36,59.688750289119
