None,ticker,date,close,adj_close
0,DG,2018-03-27,92.43,92.43
1,DG,2018-03-26,92.65,92.65
2,DG,2018-03-23,90.06,90.06
3,DG,2018-03-22,91.75,91.75
4,DG,2018-03-21,92.98,92.98
5,DG,2018-03-20,93.41,93.41
6,DG,2018-03-19,94.04,94.04
7,DG,2018-03-16,95.43,95.43
8,DG,2018-03-15,93.44,93.44
9,DG,2018-03-14,89.2,89.2
10,DG,2018-03-13,89.53,89.53
11,DG,2018-03-12,88.61,88.61
12,DG,2018-03-09,86.94,86.94
13,DG,2018-03-08,86.05,86.05
14,DG,2018-03-07,89.39,89.39
15,DG,2018-03-06,93.44,93.44
16,DG,2018-03-05,93.43,93.43
17,DG,2018-03-02,94.28,94.28
18,DG,2018-03-01,95.31,95.31
19,DG,2018-02-28,94.59,94.59
20,DG,2018-02-27,95.52,95.52
21,DG,2018-02-26,97.55,97.55
22,DG,2018-02-23,97.2,97.2
23,DG,2018-02-22,96.1,96.1
24,DG,2018-02-21,95.27,95.27
25,DG,2018-02-20,94.56,94.56
26,DG,2018-02-16,97.73,97.73
27,DG,2018-02-15,98.45,98.45
28,DG,2018-02-14,96.67,96.67
29,DG,2018-02-13,96.86,96.86
30,DG,2018-02-12,95.09,95.09
31,DG,2018-02-09,98.26,98.26
32,DG,2018-02-08,95.1,95.1
33,DG,2018-02-07,97.88,97.88
34,DG,2018-02-06,97.6,97.6
35,DG,2018-02-05,95.8,95.8
36,DG,2018-02-02,99.44,99.44
37,DG,2018-02-01,102.28,102.28
38,DG,2018-01-31,103.12,103.12
39,DG,2018-01-30,104.23,104.23
40,DG,2018-01-29,105.34,105.34
41,DG,2018-01-26,105.3,105.3
42,DG,2018-01-25,103.75,103.75
43,DG,2018-01-24,102.69,102.69
44,DG,2018-01-23,103.17,103.17
45,DG,2018-01-22,102.27,102.27
46,DG,2018-01-19,101.98,101.98
47,DG,2018-01-18,101.03,101.03
48,DG,2018-01-17,100.5,100.5
49,DG,2018-01-16,98.44,98.44
50,DG,2018-01-12,99.1,99.1
51,DG,2018-01-11,98.19,98.19
52,DG,2018-01-10,94.78,94.78
53,DG,2018-01-09,94.25,94.25
54,DG,2018-01-08,94.15,94.15
55,DG,2018-01-05,95.72,95.72
56,DG,2018-01-04,95.09,95.09
57,DG,2018-01-03,93.99,93.99
58,DG,2018-01-02,94.06,94.06
59,DG,2017-12-29,93.01,93.01
60,DG,2017-12-28,92.58,92.58
61,DG,2017-12-27,92.62,92.62
62,DG,2017-12-26,92.48,92.48
63,DG,2017-12-22,92.91,92.91
64,DG,2017-12-21,91.64,91.64
65,DG,2017-12-20,91.73,91.73
66,DG,2017-12-19,92.1,92.1
67,DG,2017-12-18,92.55,92.55
68,DG,2017-12-15,90.93,90.93
69,DG,2017-12-14,90.79,90.79
70,DG,2017-12-13,91.64,91.64
