None,ticker,date,close,adj_close
0,DGX,2018-03-27,99.95,99.95
1,DGX,2018-03-26,100.42,100.42
2,DGX,2018-03-23,99.78,99.78
3,DGX,2018-03-22,102.3,102.3
4,DGX,2018-03-21,103.63,103.63
5,DGX,2018-03-20,103.57,103.57
6,DGX,2018-03-19,103.86,103.86
7,DGX,2018-03-16,104.35,104.35
8,DGX,2018-03-15,104.72,104.72
9,DGX,2018-03-14,104.96,104.96
10,DGX,2018-03-13,104.99,104.99
11,DGX,2018-03-12,105.6,105.6
12,DGX,2018-03-09,106.99,106.99
13,DGX,2018-03-08,104.64,104.64
14,DGX,2018-03-07,104.36,104.36
15,DGX,2018-03-06,104.14,104.14
16,DGX,2018-03-05,102.89,102.89
17,DGX,2018-03-02,101.44,101.44
18,DGX,2018-03-01,100.41,100.41
19,DGX,2018-02-28,103.05,103.05
20,DGX,2018-02-27,104.79,104.79
21,DGX,2018-02-26,104.09,104.09
22,DGX,2018-02-23,102.6,102.6
23,DGX,2018-02-22,100.85,100.85
24,DGX,2018-02-21,101.91,101.91
25,DGX,2018-02-20,102.26,102.26
26,DGX,2018-02-16,104.53,104.53
27,DGX,2018-02-15,103.09,103.09
28,DGX,2018-02-14,101.51,101.51
29,DGX,2018-02-13,101.39,101.39
30,DGX,2018-02-12,99.07,99.07
31,DGX,2018-02-09,98.34,98.34
32,DGX,2018-02-08,96.42,96.42
33,DGX,2018-02-07,100.58,100.58
34,DGX,2018-02-06,101.13,101.13
35,DGX,2018-02-05,100.1,100.1
36,DGX,2018-02-02,103.11,103.11
37,DGX,2018-02-01,103.58,103.58
38,DGX,2018-01-31,105.82,105.82
39,DGX,2018-01-30,107.16,107.16
40,DGX,2018-01-29,107.88,107.88
41,DGX,2018-01-26,106.62,106.62
42,DGX,2018-01-25,105.15,105.15
43,DGX,2018-01-24,104.62,104.62
44,DGX,2018-01-23,103.12,103.12
45,DGX,2018-01-22,103.57,103.57
46,DGX,2018-01-19,103.06,103.06
47,DGX,2018-01-18,101.57,101.57
48,DGX,2018-01-17,101.49,101.49
49,DGX,2018-01-16,101.22,101.22
50,DGX,2018-01-12,101.63,101.63
51,DGX,2018-01-11,101.02,101.02
52,DGX,2018-01-10,100.37,100.37
53,DGX,2018-01-09,101.14,101.14
54,DGX,2018-01-08,99.69,99.69
55,DGX,2018-01-05,99.91,99.91
56,DGX,2018-01-04,99.08,99.08
57,DGX,2018-01-03,99.25,99.25
58,DGX,2018-01-02,98.9,98.9
59,DGX,2017-12-29,98.49,98.49
60,DGX,2017-12-28,99.13,99.13
61,DGX,2017-12-27,99.2,99.2
62,DGX,2017-12-26,99.27,99.27
63,DGX,2017-12-22,99.24,99.24
64,DGX,2017-12-21,99.15,99.15
65,DGX,2017-12-20,99.04,99.04
66,DGX,2017-12-19,99.48,99.48
67,DGX,2017-12-18,98.73,98.73
68,DGX,2017-12-15,98.99,98.99
69,DGX,2017-12-14,97.12,97.12
70,DGX,2017-12-13,97.14,97.14
71,DGX,2017-12-12,97.01,97.01
72,DGX,2017-12-11,97.1,97.1
73,DGX,2017-12-08,97.09,97.09
74,DGX,2017-12-07,96.62,96.62
75,DGX,2017-12-06,97.39,97.39
76,DGX,2017-12-05,97.87,97.87
77,DGX,2017-12-04,100.24,100.24
78,DGX,2017-12-01,99.21,99.21
79,DGX,2017-11-30,98.46,98.46
80,DGX,2017-11-29,97.33,97.33
81,DGX,2017-11-28,93.35,93.35
82,DGX,2017-11-27,92.5,92.5
83,DGX,2017-11-24,91.62,91.62
84,DGX,2017-11-22,92.52,92.52
85,DGX,2017-11-21,92.46,92.46
86,DGX,2017-11-20,92.41,92.41
87,DGX,2017-11-17,93.04,93.04
88,DGX,2017-11-16,92.94,92.94
89,DGX,2017-11-15,91.85,91.85
90,DGX,2017-11-14,92.42,92.42
91,DGX,2017-11-13,92.0,92.0
92,DGX,2017-11-10,92.05,92.05
93,DGX,2017-11-09,93.02,93.02
94,DGX,2017-11-07,92.66,92.66
95,DGX,2017-11-06,93.15,93.15
96,DGX,2017-11-03,94.09,94.09
97,DGX,2017-11-02,93.75,93.75
98,DGX,2017-11-01,93.1,93.1
99,DGX,2017-10-31,93.78,93.78
100,DGX,2017-10-30,93.78,93.78
101,DGX,2017-10-27,95.68,95.68
102,DGX,2017-10-26,94.8,94.8
103,DGX,2017-10-25,94.27,94.27
104,DGX,2017-10-24,95.27,95.27
105,DGX,2017-10-23,95.2,95.2
106,DGX,2017-10-20,95.08,95.08
107,DGX,2017-10-19,93.23,93.23
108,DGX,2017-10-18,92.05,92.05
109,DGX,2017-10-17,92.18,92.18
110,DGX,2017-10-16,91.53,91.53
111,DGX,2017-10-13,91.06,91.06
112,DGX,2017-10-12,91.52,91.52
113,DGX,2017-10-11,91.45,91.45
