None,ticker,date,close,adj_close
0,DHI,2018-03-27,43.77,43.77
1,DHI,2018-03-26,44.68,44.68
2,DHI,2018-03-23,43.3,43.3
3,DHI,2018-03-22,43.56,43.56
4,DHI,2018-03-21,44.44,44.44
5,DHI,2018-03-20,43.18,43.18
6,DHI,2018-03-19,43.54,43.54
7,DHI,2018-03-16,43.76,43.76
8,DHI,2018-03-15,43.45,43.45
9,DHI,2018-03-14,44.39,44.39
10,DHI,2018-03-13,44.76,44.76
11,DHI,2018-03-12,44.34,44.34
12,DHI,2018-03-09,43.8,43.8
13,DHI,2018-03-08,43.59,43.59
14,DHI,2018-03-07,43.45,43.45
15,DHI,2018-03-06,43.44,43.44
16,DHI,2018-03-05,42.22,42.22
17,DHI,2018-03-02,42.05,42.05
18,DHI,2018-03-01,42.28,42.28
19,DHI,2018-02-28,41.9,41.9
20,DHI,2018-02-27,43.35,43.35
21,DHI,2018-02-26,44.3,44.3
22,DHI,2018-02-23,44.47,44.47
23,DHI,2018-02-22,44.26,44.26
24,DHI,2018-02-21,44.93,44.93
25,DHI,2018-02-20,45.16,45.16
26,DHI,2018-02-16,45.57,45.57
27,DHI,2018-02-15,45.11,45.11
28,DHI,2018-02-14,45.42,45.42
29,DHI,2018-02-13,44.85,44.85
30,DHI,2018-02-12,44.84,44.84
31,DHI,2018-02-09,44.08,44.08
32,DHI,2018-02-08,44.55,44.55
33,DHI,2018-02-07,46.29,46.29
34,DHI,2018-02-06,46.11,46.11
35,DHI,2018-02-05,44.74,44.74
36,DHI,2018-02-02,46.37,46.37
37,DHI,2018-02-01,48.08,48.08
38,DHI,2018-01-31,49.05,49.05
39,DHI,2018-01-30,48.53,48.53
40,DHI,2018-01-29,48.32,48.32
41,DHI,2018-01-26,50.35,50.35
42,DHI,2018-01-25,50.35,50.35
43,DHI,2018-01-24,51.85,51.85
44,DHI,2018-01-23,52.38,52.38
45,DHI,2018-01-22,52.37,52.37
46,DHI,2018-01-19,51.48,51.48
47,DHI,2018-01-18,50.94,50.94
48,DHI,2018-01-17,52.1,52.1
49,DHI,2018-01-16,50.83,50.83
50,DHI,2018-01-12,51.91,51.91
51,DHI,2018-01-11,52.04,52.04
52,DHI,2018-01-10,50.97,50.97
53,DHI,2018-01-09,52.83,52.83
54,DHI,2018-01-08,52.87,52.87
55,DHI,2018-01-05,52.49,52.49
56,DHI,2018-01-04,52.07,52.07
57,DHI,2018-01-03,52.86,52.86
58,DHI,2018-01-02,51.06,51.06
59,DHI,2017-12-29,51.07,51.07
60,DHI,2017-12-28,51.34,51.34
61,DHI,2017-12-27,51.02,51.02
62,DHI,2017-12-26,50.97,50.97
63,DHI,2017-12-22,50.83,50.83
64,DHI,2017-12-21,50.93,50.93
65,DHI,2017-12-20,50.78,50.78
66,DHI,2017-12-19,50.8,50.8
67,DHI,2017-12-18,51.45,51.45
68,DHI,2017-12-15,50.58,50.58
69,DHI,2017-12-14,50.34,50.34
70,DHI,2017-12-13,49.81,49.81
71,DHI,2017-12-12,50.0,50.0
72,DHI,2017-12-11,50.47,50.47
73,DHI,2017-12-08,50.78,50.78
74,DHI,2017-12-07,50.16,50.16
75,DHI,2017-12-06,49.71,49.71
76,DHI,2017-12-05,50.24,50.24
77,DHI,2017-12-04,50.58,50.58
78,DHI,2017-12-01,50.43,50.43
79,DHI,2017-11-30,51.0,51.0
80,DHI,2017-11-29,50.66,50.66
81,DHI,2017-11-28,50.11,50.11
82,DHI,2017-11-27,49.47,49.47
83,DHI,2017-11-24,50.0,50.0
84,DHI,2017-11-22,49.58,49.58
85,DHI,2017-11-21,49.35,49.35
86,DHI,2017-11-20,48.2,48.2
87,DHI,2017-11-17,48.13,48.13
88,DHI,2017-11-16,47.52,47.52
89,DHI,2017-11-15,47.53,47.53
90,DHI,2017-11-14,47.64,47.64
91,DHI,2017-11-13,47.09,47.09
92,DHI,2017-11-10,46.0,46.0
93,DHI,2017-11-09,45.99,45.99
94,DHI,2017-11-07,44.95,44.95
95,DHI,2017-11-06,44.84,44.84
96,DHI,2017-11-03,44.32,44.32
97,DHI,2017-11-02,44.63,44.63
98,DHI,2017-11-01,44.73,44.73
99,DHI,2017-10-31,44.21,44.21
100,DHI,2017-10-30,44.31,44.31
101,DHI,2017-10-27,44.3,44.3
102,DHI,2017-10-26,44.0,44.0
103,DHI,2017-10-25,43.26,43.26
104,DHI,2017-10-24,43.32,43.32
105,DHI,2017-10-23,42.87,42.87
106,DHI,2017-10-20,42.67,42.67
107,DHI,2017-10-19,42.53,42.53
108,DHI,2017-10-18,41.51,41.51
109,DHI,2017-10-17,41.49,41.49
110,DHI,2017-10-16,41.37,41.37
111,DHI,2017-10-13,41.34,41.34
112,DHI,2017-10-12,41.28,41.28
113,DHI,2017-10-11,41.48,41.48
114,DHI,2017-10-10,41.28,41.28
115,DHI,2017-10-09,41.23,41.23
116,DHI,2017-10-06,41.08,41.08
117,DHI,2017-10-05,40.62,40.62
118,DHI,2017-10-04,40.84,40.84
119,DHI,2017-10-03,40.27,40.27
120,DHI,2017-10-02,39.98,39.98
121,DHI,2017-09-29,39.93,39.93
122,DHI,2017-09-28,38.98,38.98
123,DHI,2017-09-27,38.15,38.15
124,DHI,2017-09-26,37.44,37.44
125,DHI,2017-09-25,37.08,37.08
126,DHI,2017-09-22,36.9,36.9
127,DHI,2017-09-21,36.86,36.86
128,DHI,2017-09-20,37.05,37.05
129,DHI,2017-09-19,37.57,37.57
130,DHI,2017-09-18,37.49,37.49
131,DHI,2017-09-15,37.17,37.17
132,DHI,2017-09-14,37.33,37.33
133,DHI,2017-09-13,37.16,37.16
134,DHI,2017-09-12,37.74,37.74
135,DHI,2017-09-11,36.93,36.93
136,DHI,2017-09-08,36.25,36.25
137,DHI,2017-09-07,35.97,35.97
138,DHI,2017-09-06,36.1,36.1
139,DHI,2017-09-05,35.71,35.71
140,DHI,2017-09-01,36.24,36.24
141,DHI,2017-08-31,36.15,36.15
142,DHI,2017-08-30,35.44,35.44
143,DHI,2017-08-29,35.28,35.28
144,DHI,2017-08-28,35.31,35.31
145,DHI,2017-08-25,35.78,35.78
146,DHI,2017-08-24,35.38,35.38
147,DHI,2017-08-23,35.44,35.44
148,DHI,2017-08-22,35.57,35.57
149,DHI,2017-08-21,35.78,35.78
150,DHI,2017-08-18,35.69,35.69
151,DHI,2017-08-17,36.05,36.05
152,DHI,2017-08-16,36.83,36.83
153,DHI,2017-08-15,36.78,36.78
154,DHI,2017-08-14,36.62,36.62
155,DHI,2017-08-11,36.09,36.09
156,DHI,2017-08-10,35.89,35.89
157,DHI,2017-08-09,36.37,36.37
158,DHI,2017-08-08,36.25,36.25
159,DHI,2017-08-07,36.41,36.41
160,DHI,2017-08-04,36.59,36.48978088195
161,DHI,2017-08-03,36.33,36.230493015612
162,DHI,2017-08-02,36.45,36.350164338537
163,DHI,2017-08-01,36.08,35.981177759518
164,DHI,2017-07-31,35.69,35.592245960011
165,DHI,2017-07-28,35.85,35.751807723911
166,DHI,2017-07-27,36.07,35.971205149274
167,DHI,2017-07-26,36.29,36.190602574637
168,DHI,2017-07-25,37.0,36.898657901945
169,DHI,2017-07-24,36.56,36.459863051219
170,DHI,2017-07-21,36.61,36.509726102438
171,DHI,2017-07-20,36.33,36.230493015612
172,DHI,2017-07-19,36.64,36.539643933169
173,DHI,2017-07-18,36.41,36.310273897562
174,DHI,2017-07-17,36.68,36.579534374144
175,DHI,2017-07-14,36.7,36.599479594632
176,DHI,2017-07-13,36.5,36.400027389756
177,DHI,2017-07-12,36.58,36.479808271706
178,DHI,2017-07-11,36.98,36.878712681457
179,DHI,2017-07-10,37.17,37.068192276089
180,DHI,2017-07-07,35.79,35.691972062449
181,DHI,2017-07-06,34.49,34.395532730759
182,DHI,2017-07-05,34.63,34.535149274171
183,DHI,2017-07-03,34.36,34.26588879759
184,DHI,2017-06-30,34.57,34.475313612709
185,DHI,2017-06-29,33.79,33.697450013695
