None,ticker,date,close,adj_close
0,DHR,2018-03-27,97.25,97.25
1,DHR,2018-03-26,98.16,98.16
2,DHR,2018-03-23,95.94,95.94
3,DHR,2018-03-22,97.49,97.49
4,DHR,2018-03-21,99.81,99.81
5,DHR,2018-03-20,100.56,100.56
6,DHR,2018-03-19,100.31,100.31
7,DHR,2018-03-16,101.93,101.93
8,DHR,2018-03-15,102.22,102.22
9,DHR,2018-03-14,102.18,102.18
10,DHR,2018-03-13,102.8,102.8
11,DHR,2018-03-12,103.4,103.4
12,DHR,2018-03-09,103.74,103.74
13,DHR,2018-03-08,101.61,101.61
14,DHR,2018-03-07,100.82,100.82
15,DHR,2018-03-06,97.75,97.75
16,DHR,2018-03-05,97.58,97.58
17,DHR,2018-03-02,96.22,96.22
18,DHR,2018-03-01,95.99,95.99
19,DHR,2018-02-28,97.78,97.78
20,DHR,2018-02-27,99.57,99.57
21,DHR,2018-02-26,100.83,100.83
22,DHR,2018-02-23,99.33,99.33
23,DHR,2018-02-22,97.36,97.36
24,DHR,2018-02-21,97.35,97.35
25,DHR,2018-02-20,96.85,96.85
26,DHR,2018-02-16,97.54,97.54
27,DHR,2018-02-15,97.47,97.47
28,DHR,2018-02-14,96.1,96.1
29,DHR,2018-02-13,94.98,94.98
30,DHR,2018-02-12,95.41,95.41
31,DHR,2018-02-09,94.46,94.46
32,DHR,2018-02-08,92.16,92.16
33,DHR,2018-02-07,95.25,95.25
34,DHR,2018-02-06,97.05,97.05
35,DHR,2018-02-05,96.7,96.7
36,DHR,2018-02-02,102.18,102.18
37,DHR,2018-02-01,101.86,101.86
38,DHR,2018-01-31,101.28,101.28
39,DHR,2018-01-30,101.6,101.6
40,DHR,2018-01-29,103.69,103.69
41,DHR,2018-01-26,103.8,103.8
42,DHR,2018-01-25,102.7,102.7
43,DHR,2018-01-24,101.38,101.38
44,DHR,2018-01-23,99.95,99.95
45,DHR,2018-01-22,99.97,99.97
46,DHR,2018-01-19,100.56,100.56
47,DHR,2018-01-18,99.74,99.74
48,DHR,2018-01-17,99.59,99.59
49,DHR,2018-01-16,99.47,99.47
50,DHR,2018-01-12,99.39,99.39
51,DHR,2018-01-11,98.59,98.59
52,DHR,2018-01-10,98.24,98.24
53,DHR,2018-01-09,98.61,98.61
54,DHR,2018-01-08,95.25,95.25
55,DHR,2018-01-05,94.71,94.71
56,DHR,2018-01-04,94.12,94.12
57,DHR,2018-01-03,93.67,93.67
58,DHR,2018-01-02,92.44,92.44
59,DHR,2017-12-29,92.82,92.82
60,DHR,2017-12-28,93.56,93.56
61,DHR,2017-12-27,93.56,93.56
62,DHR,2017-12-26,93.32,93.32
63,DHR,2017-12-22,93.46,93.46
64,DHR,2017-12-21,93.82,93.82
65,DHR,2017-12-20,94.62,94.62
66,DHR,2017-12-19,94.38,94.38
67,DHR,2017-12-18,94.36,94.36
68,DHR,2017-12-15,94.0,94.0
69,DHR,2017-12-14,92.85,92.85
70,DHR,2017-12-13,94.15,94.15
71,DHR,2017-12-12,93.72,93.72
72,DHR,2017-12-11,93.21,93.21
73,DHR,2017-12-08,93.18,93.18
74,DHR,2017-12-07,92.68,92.68
75,DHR,2017-12-06,92.53,92.53
76,DHR,2017-12-05,92.74,92.74
77,DHR,2017-12-04,92.82,92.82
78,DHR,2017-12-01,93.82,93.82
79,DHR,2017-11-30,94.36,94.36
80,DHR,2017-11-29,93.94,93.94
81,DHR,2017-11-28,94.32,94.32
82,DHR,2017-11-27,94.05,94.05
83,DHR,2017-11-24,94.02,94.02
84,DHR,2017-11-22,93.76,93.76
85,DHR,2017-11-21,94.18,94.18
86,DHR,2017-11-20,93.68,93.68
87,DHR,2017-11-17,93.3,93.3
88,DHR,2017-11-16,93.58,93.58
89,DHR,2017-11-15,92.42,92.42
90,DHR,2017-11-14,93.19,93.19
91,DHR,2017-11-13,93.33,93.33
92,DHR,2017-11-10,92.24,92.24
93,DHR,2017-11-09,92.98,92.98
94,DHR,2017-11-07,93.2,93.2
95,DHR,2017-11-06,92.62,92.62
96,DHR,2017-11-03,93.13,93.13
97,DHR,2017-11-02,92.71,92.71
98,DHR,2017-11-01,92.91,92.91
99,DHR,2017-10-31,92.27,92.27
100,DHR,2017-10-30,91.81,91.81
101,DHR,2017-10-27,92.25,92.25
102,DHR,2017-10-26,91.46,91.46
103,DHR,2017-10-25,90.65,90.65
104,DHR,2017-10-24,90.95,90.95
105,DHR,2017-10-23,90.47,90.47
106,DHR,2017-10-20,90.79,90.79
107,DHR,2017-10-19,90.1,90.1
108,DHR,2017-10-18,86.05,86.05
109,DHR,2017-10-17,85.26,85.26
110,DHR,2017-10-16,86.13,86.13
111,DHR,2017-10-13,86.84,86.84
112,DHR,2017-10-12,87.03,87.03
113,DHR,2017-10-11,86.96,86.96
114,DHR,2017-10-10,87.17,87.17
115,DHR,2017-10-09,87.03,87.03
116,DHR,2017-10-06,87.63,87.63
