None,ticker,date,close,adj_close
0,DIS,2018-03-27,99.36,99.36
1,DIS,2018-03-26,100.65,100.65
2,DIS,2018-03-23,98.54,98.54
3,DIS,2018-03-22,100.6,100.6
4,DIS,2018-03-21,101.82,101.82
5,DIS,2018-03-20,101.35,101.35
6,DIS,2018-03-19,101.48,101.48
7,DIS,2018-03-16,102.87,102.87
8,DIS,2018-03-15,103.24,103.24
9,DIS,2018-03-14,103.9,103.9
10,DIS,2018-03-13,103.73,103.73
11,DIS,2018-03-12,105.17,105.17
12,DIS,2018-03-09,104.73,104.73
13,DIS,2018-03-08,104.03,104.03
14,DIS,2018-03-07,103.59,103.59
15,DIS,2018-03-06,104.94,104.94
16,DIS,2018-03-05,103.41,103.41
17,DIS,2018-03-02,102.99,102.99
18,DIS,2018-03-01,102.57,102.57
19,DIS,2018-02-28,103.16,103.16
20,DIS,2018-02-27,104.87,104.87
21,DIS,2018-02-26,109.81,109.81
22,DIS,2018-02-23,107.25,107.25
23,DIS,2018-02-22,105.24,105.24
24,DIS,2018-02-21,105.05,105.05
25,DIS,2018-02-20,105.98,105.98
26,DIS,2018-02-16,106.53,106.53
27,DIS,2018-02-15,105.18,105.18
28,DIS,2018-02-14,104.6,104.6
29,DIS,2018-02-13,104.12,104.12
30,DIS,2018-02-12,103.39,103.39
31,DIS,2018-02-09,103.09,103.09
32,DIS,2018-02-08,101.35,101.35
33,DIS,2018-02-07,104.76,104.76
34,DIS,2018-02-06,106.17,106.17
35,DIS,2018-02-05,104.7,104.7
36,DIS,2018-02-02,108.7,108.7
37,DIS,2018-02-01,110.49,110.49
38,DIS,2018-01-31,108.67,108.67
39,DIS,2018-01-30,110.11,110.11
40,DIS,2018-01-29,111.54,111.54
41,DIS,2018-01-26,112.19,112.19
42,DIS,2018-01-25,110.55,110.55
43,DIS,2018-01-24,110.5,110.5
44,DIS,2018-01-23,110.41,110.41
45,DIS,2018-01-22,111.1,111.1
46,DIS,2018-01-19,110.59,110.59
47,DIS,2018-01-18,110.42,110.42
48,DIS,2018-01-17,111.97,111.97
49,DIS,2018-01-16,110.69,110.69
50,DIS,2018-01-12,112.47,112.47
51,DIS,2018-01-11,110.99,110.99
52,DIS,2018-01-10,109.47,109.47
53,DIS,2018-01-09,109.94,109.94
54,DIS,2018-01-08,110.02,110.02
55,DIS,2018-01-05,111.62,111.62
56,DIS,2018-01-04,112.23,112.23
57,DIS,2018-01-03,112.28,112.28
58,DIS,2018-01-02,111.8,111.8
59,DIS,2017-12-29,107.51,107.51
60,DIS,2017-12-28,107.77,107.77
61,DIS,2017-12-27,107.64,107.64
62,DIS,2017-12-26,108.12,108.12
63,DIS,2017-12-22,108.67,108.67
64,DIS,2017-12-21,109.57,109.57
65,DIS,2017-12-20,109.69,109.69
66,DIS,2017-12-19,111.81,111.81
67,DIS,2017-12-18,111.03,111.03
68,DIS,2017-12-15,111.27,111.27
69,DIS,2017-12-14,110.57,110.57
70,DIS,2017-12-13,107.61,107.61
71,DIS,2017-12-12,107.43,107.43
72,DIS,2017-12-11,106.83,106.83
73,DIS,2017-12-08,104.23,104.23
74,DIS,2017-12-07,105.26,105.26
75,DIS,2017-12-06,105.46,105.46
76,DIS,2017-12-05,107.22,107.22
77,DIS,2017-12-04,110.22,110.22
78,DIS,2017-12-01,105.25,105.25
79,DIS,2017-11-30,104.82,104.82
80,DIS,2017-11-29,105.24,105.24
81,DIS,2017-11-28,103.41,103.41
82,DIS,2017-11-27,102.79,102.79
83,DIS,2017-11-24,102.64,102.64
84,DIS,2017-11-22,102.74,102.74
85,DIS,2017-11-21,103.0,103.0
86,DIS,2017-11-20,102.75,102.75
87,DIS,2017-11-17,103.44,103.44
88,DIS,2017-11-16,103.6,103.6
89,DIS,2017-11-15,103.69,103.69
90,DIS,2017-11-14,103.17,103.17
91,DIS,2017-11-13,104.74,104.74
92,DIS,2017-11-10,104.78,104.78
93,DIS,2017-11-09,102.68,102.68
94,DIS,2017-11-07,101.61,101.61
95,DIS,2017-11-06,100.64,100.64
96,DIS,2017-11-03,98.64,98.64
97,DIS,2017-11-02,98.35,98.35
98,DIS,2017-11-01,99.03,99.03
99,DIS,2017-10-31,97.81,97.81
100,DIS,2017-10-30,98.04,98.04
101,DIS,2017-10-27,98.31,98.31
102,DIS,2017-10-26,98.56,98.56
103,DIS,2017-10-25,97.79,97.79
104,DIS,2017-10-24,98.29,98.29
105,DIS,2017-10-23,98.7,98.7
106,DIS,2017-10-20,99.4,99.4
107,DIS,2017-10-19,99.01,99.01
108,DIS,2017-10-18,98.25,98.25
109,DIS,2017-10-17,98.36,98.36
110,DIS,2017-10-16,98.13,98.13
111,DIS,2017-10-13,97.38,97.38
112,DIS,2017-10-12,96.93,96.93
113,DIS,2017-10-11,98.55,98.55
114,DIS,2017-10-10,99.58,99.58
115,DIS,2017-10-09,99.57,99.57
116,DIS,2017-10-06,100.07,100.07
117,DIS,2017-10-05,100.11,100.11
118,DIS,2017-10-04,100.55,100.55
119,DIS,2017-10-03,100.79,100.79
120,DIS,2017-10-02,99.86,99.86
121,DIS,2017-09-29,98.57,98.57
122,DIS,2017-09-28,98.05,98.05
123,DIS,2017-09-27,99.24,99.24
124,DIS,2017-09-26,98.63,98.63
125,DIS,2017-09-25,99.57,99.57
126,DIS,2017-09-22,98.6,98.6
