None,ticker,date,close,adj_close
0,DISCK,2018-03-27,19.73,19.73
1,DISCK,2018-03-26,19.89,19.89
2,DISCK,2018-03-23,19.43,19.43
3,DISCK,2018-03-22,19.88,19.88
4,DISCK,2018-03-21,20.5,20.5
5,DISCK,2018-03-20,20.31,20.31
6,DISCK,2018-03-19,21.24,21.24
7,DISCK,2018-03-16,21.58,21.58
8,DISCK,2018-03-15,21.61,21.61
9,DISCK,2018-03-14,22.25,22.25
10,DISCK,2018-03-13,22.45,22.45
11,DISCK,2018-03-12,22.62,22.62
12,DISCK,2018-03-09,22.49,22.49
13,DISCK,2018-03-08,22.46,22.46
14,DISCK,2018-03-07,22.39,22.39
15,DISCK,2018-03-06,22.86,22.86
16,DISCK,2018-03-05,23.01,23.01
17,DISCK,2018-03-02,23.15,23.15
18,DISCK,2018-03-01,22.7,22.7
19,DISCK,2018-02-28,22.98,22.98
20,DISCK,2018-02-27,24.75,24.75
21,DISCK,2018-02-26,23.83,23.83
22,DISCK,2018-02-23,22.74,22.74
23,DISCK,2018-02-22,22.6,22.6
24,DISCK,2018-02-21,22.89,22.89
25,DISCK,2018-02-20,23.04,23.04
26,DISCK,2018-02-16,22.65,22.65
27,DISCK,2018-02-15,22.81,22.81
28,DISCK,2018-02-14,22.68,22.68
29,DISCK,2018-02-13,22.25,22.25
30,DISCK,2018-02-12,21.87,21.87
31,DISCK,2018-02-09,21.39,21.39
32,DISCK,2018-02-08,21.59,21.59
33,DISCK,2018-02-07,21.95,21.95
34,DISCK,2018-02-06,22.66,22.66
35,DISCK,2018-02-05,21.81,21.81
36,DISCK,2018-02-02,22.8,22.8
37,DISCK,2018-02-01,24.17,24.17
38,DISCK,2018-01-31,23.86,23.86
39,DISCK,2018-01-30,23.87,23.87
40,DISCK,2018-01-29,24.7,24.7
41,DISCK,2018-01-26,24.82,24.82
42,DISCK,2018-01-25,24.44,24.44
43,DISCK,2018-01-24,24.67,24.67
44,DISCK,2018-01-23,24.5,24.5
45,DISCK,2018-01-22,25.09,25.09
46,DISCK,2018-01-19,24.43,24.43
47,DISCK,2018-01-18,24.23,24.23
48,DISCK,2018-01-17,23.4,23.4
49,DISCK,2018-01-16,23.2,23.2
50,DISCK,2018-01-12,23.0,23.0
51,DISCK,2018-01-11,22.71,22.71
52,DISCK,2018-01-10,21.69,21.69
53,DISCK,2018-01-09,20.5,20.5
54,DISCK,2018-01-08,21.13,21.13
55,DISCK,2018-01-05,20.79,20.79
56,DISCK,2018-01-04,20.89,20.89
57,DISCK,2018-01-03,21.48,21.48
58,DISCK,2018-01-02,21.83,21.83
59,DISCK,2017-12-29,21.17,21.17
60,DISCK,2017-12-28,21.28,21.28
61,DISCK,2017-12-27,21.74,21.74
62,DISCK,2017-12-26,22.3,22.3
63,DISCK,2017-12-22,22.47,22.47
64,DISCK,2017-12-21,22.16,22.16
65,DISCK,2017-12-20,21.12,21.12
66,DISCK,2017-12-19,20.84,20.84
67,DISCK,2017-12-18,20.41,20.41
68,DISCK,2017-12-15,19.75,19.75
69,DISCK,2017-12-14,18.65,18.65
70,DISCK,2017-12-13,18.5,18.5
71,DISCK,2017-12-12,18.32,18.32
72,DISCK,2017-12-11,18.44,18.44
73,DISCK,2017-12-08,18.4,18.4
74,DISCK,2017-12-07,18.34,18.34
75,DISCK,2017-12-06,18.26,18.26
76,DISCK,2017-12-05,18.57,18.57
77,DISCK,2017-12-04,19.52,19.52
78,DISCK,2017-12-01,18.4,18.4
79,DISCK,2017-11-30,18.08,18.08
80,DISCK,2017-11-29,17.78,17.78
81,DISCK,2017-11-28,16.87,16.87
82,DISCK,2017-11-27,16.39,16.39
83,DISCK,2017-11-24,16.46,16.46
84,DISCK,2017-11-22,16.72,16.72
85,DISCK,2017-11-21,16.21,16.21
86,DISCK,2017-11-20,16.28,16.28
87,DISCK,2017-11-17,16.46,16.46
88,DISCK,2017-11-16,15.72,15.72
89,DISCK,2017-11-15,15.75,15.75
90,DISCK,2017-11-14,15.27,15.27
91,DISCK,2017-11-13,15.93,15.93
92,DISCK,2017-11-10,16.12,16.12
93,DISCK,2017-11-09,16.1,16.1
94,DISCK,2017-11-07,16.21,16.21
95,DISCK,2017-11-06,16.01,16.01
96,DISCK,2017-11-03,15.39,15.39
97,DISCK,2017-11-02,16.26,16.26
98,DISCK,2017-11-01,18.09,18.09
99,DISCK,2017-10-31,17.81,17.81
100,DISCK,2017-10-30,17.93,17.93
101,DISCK,2017-10-27,17.98,17.98
102,DISCK,2017-10-26,18.27,18.27
103,DISCK,2017-10-25,18.18,18.18
104,DISCK,2017-10-24,18.45,18.45
105,DISCK,2017-10-23,18.66,18.66
106,DISCK,2017-10-20,19.26,19.26
107,DISCK,2017-10-19,18.97,18.97
108,DISCK,2017-10-18,18.53,18.53
109,DISCK,2017-10-17,18.09,18.09
110,DISCK,2017-10-16,18.05,18.05
111,DISCK,2017-10-13,18.25,18.25
112,DISCK,2017-10-12,18.23,18.23
113,DISCK,2017-10-11,18.93,18.93
114,DISCK,2017-10-10,19.4,19.4
115,DISCK,2017-10-09,19.79,19.79
116,DISCK,2017-10-06,20.25,20.25
117,DISCK,2017-10-05,20.37,20.37
118,DISCK,2017-10-04,20.57,20.57
119,DISCK,2017-10-03,20.4,20.4
120,DISCK,2017-10-02,20.41,20.41
121,DISCK,2017-09-29,20.26,20.26
122,DISCK,2017-09-28,20.24,20.24
123,DISCK,2017-09-27,20.34,20.34
124,DISCK,2017-09-26,20.29,20.29
125,DISCK,2017-09-25,20.36,20.36
126,DISCK,2017-09-22,20.42,20.42
127,DISCK,2017-09-21,20.3,20.3
128,DISCK,2017-09-20,20.07,20.07
129,DISCK,2017-09-19,20.06,20.06
130,DISCK,2017-09-18,20.14,20.14
131,DISCK,2017-09-15,20.64,20.64
132,DISCK,2017-09-14,20.2,20.2
133,DISCK,2017-09-13,19.96,19.96
134,DISCK,2017-09-12,19.77,19.77
135,DISCK,2017-09-11,19.62,19.62
136,DISCK,2017-09-08,20.06,20.06
137,DISCK,2017-09-07,20.1,20.1
138,DISCK,2017-09-06,20.63,20.63
139,DISCK,2017-09-05,20.41,20.41
140,DISCK,2017-09-01,20.92,20.92
141,DISCK,2017-08-31,21.01,21.01
142,DISCK,2017-08-30,20.85,20.85
143,DISCK,2017-08-29,21.18,21.18
144,DISCK,2017-08-28,21.52,21.52
145,DISCK,2017-08-25,21.39,21.39
146,DISCK,2017-08-24,21.25,21.25
147,DISCK,2017-08-23,21.2,21.2
148,DISCK,2017-08-22,21.22,21.22
149,DISCK,2017-08-21,21.09,21.09
150,DISCK,2017-08-18,21.25,21.25
151,DISCK,2017-08-17,21.03,21.03
152,DISCK,2017-08-16,21.35,21.35
153,DISCK,2017-08-15,21.52,21.52
154,DISCK,2017-08-14,21.75,21.75
155,DISCK,2017-08-11,21.87,21.87
156,DISCK,2017-08-10,21.93,21.93
157,DISCK,2017-08-09,22.39,22.39
158,DISCK,2017-08-08,23.02,23.02
159,DISCK,2017-08-07,23.02,23.02
160,DISCK,2017-08-04,22.6,22.6
161,DISCK,2017-08-03,23.59,23.59
162,DISCK,2017-08-02,23.79,23.79
163,DISCK,2017-08-01,22.98,22.98
164,DISCK,2017-07-31,23.13,23.13
165,DISCK,2017-07-28,25.5,25.5
166,DISCK,2017-07-27,25.14,25.14
167,DISCK,2017-07-26,25.54,25.54
168,DISCK,2017-07-25,25.07,25.07
169,DISCK,2017-07-24,25.48,25.48
170,DISCK,2017-07-21,25.51,25.51
171,DISCK,2017-07-20,25.71,25.71
172,DISCK,2017-07-19,26.21,26.21
173,DISCK,2017-07-18,25.36,25.36
174,DISCK,2017-07-17,25.56,25.56
175,DISCK,2017-07-14,25.55,25.55
176,DISCK,2017-07-13,25.49,25.49
177,DISCK,2017-07-12,25.49,25.49
178,DISCK,2017-07-11,25.48,25.48
179,DISCK,2017-07-10,25.47,25.47
180,DISCK,2017-07-07,25.15,25.15
181,DISCK,2017-07-06,25.08,25.08
182,DISCK,2017-07-05,25.45,25.45
183,DISCK,2017-07-03,25.51,25.51
184,DISCK,2017-06-30,25.21,25.21
185,DISCK,2017-06-29,25.24,25.24
186,DISCK,2017-06-28,25.4,25.4
187,DISCK,2017-06-27,25.39,25.39
188,DISCK,2017-06-26,25.44,25.44
189,DISCK,2017-06-23,25.06,25.06
190,DISCK,2017-06-22,24.82,24.82
191,DISCK,2017-06-21,24.8,24.8
192,DISCK,2017-06-20,24.73,24.73
193,DISCK,2017-06-19,25.55,25.55
194,DISCK,2017-06-16,25.6,25.6
195,DISCK,2017-06-15,25.52,25.52
196,DISCK,2017-06-14,25.42,25.42
