None,ticker,date,close,adj_close
0,DISH,2018-03-27,37.25,37.25
1,DISH,2018-03-26,37.09,37.09
2,DISH,2018-03-23,36.65,36.65
3,DISH,2018-03-22,37.77,37.77
4,DISH,2018-03-21,39.06,39.06
5,DISH,2018-03-20,38.8,38.8
6,DISH,2018-03-19,39.65,39.65
7,DISH,2018-03-16,40.76,40.76
8,DISH,2018-03-15,40.08,40.08
9,DISH,2018-03-14,40.5,40.5
10,DISH,2018-03-13,40.99,40.99
11,DISH,2018-03-12,41.35,41.35
12,DISH,2018-03-09,40.76,40.76
13,DISH,2018-03-08,41.38,41.38
14,DISH,2018-03-07,41.42,41.42
15,DISH,2018-03-06,41.22,41.22
16,DISH,2018-03-05,41.45,41.45
17,DISH,2018-03-02,40.98,40.98
18,DISH,2018-03-01,40.72,40.72
19,DISH,2018-02-28,41.69,41.69
20,DISH,2018-02-27,43.64,43.64
21,DISH,2018-02-26,44.95,44.95
22,DISH,2018-02-23,44.48,44.48
23,DISH,2018-02-22,43.87,43.87
24,DISH,2018-02-21,43.18,43.18
25,DISH,2018-02-20,44.57,44.57
26,DISH,2018-02-16,45.69,45.69
27,DISH,2018-02-15,45.69,45.69
28,DISH,2018-02-14,44.93,44.93
29,DISH,2018-02-13,44.33,44.33
30,DISH,2018-02-12,44.0,44.0
31,DISH,2018-02-09,43.39,43.39
32,DISH,2018-02-08,43.78,43.78
33,DISH,2018-02-07,45.1,45.1
34,DISH,2018-02-06,43.32,43.32
35,DISH,2018-02-05,44.87,44.87
36,DISH,2018-02-02,46.79,46.79
37,DISH,2018-02-01,47.16,47.16
38,DISH,2018-01-31,46.9,46.9
39,DISH,2018-01-30,47.26,47.26
40,DISH,2018-01-29,47.3,47.3
41,DISH,2018-01-26,47.19,47.19
42,DISH,2018-01-25,47.03,47.03
43,DISH,2018-01-24,47.73,47.73
44,DISH,2018-01-23,46.33,46.33
45,DISH,2018-01-22,46.26,46.26
46,DISH,2018-01-19,45.26,45.26
47,DISH,2018-01-18,45.16,45.16
48,DISH,2018-01-17,45.45,45.45
49,DISH,2018-01-16,47.99,47.99
50,DISH,2018-01-12,49.48,49.48
51,DISH,2018-01-11,49.25,49.25
52,DISH,2018-01-10,48.41,48.41
53,DISH,2018-01-09,48.57,48.57
54,DISH,2018-01-08,48.9,48.9
55,DISH,2018-01-05,49.22,49.22
56,DISH,2018-01-04,49.38,49.38
57,DISH,2018-01-03,49.36,49.36
58,DISH,2018-01-02,50.2,50.2
59,DISH,2017-12-29,47.75,47.75
60,DISH,2017-12-28,47.85,47.85
61,DISH,2017-12-27,47.67,47.67
62,DISH,2017-12-26,48.34,48.34
63,DISH,2017-12-22,48.53,48.53
64,DISH,2017-12-21,49.12,49.12
65,DISH,2017-12-20,48.7,48.7
66,DISH,2017-12-19,48.47,48.47
67,DISH,2017-12-18,49.85,49.85
68,DISH,2017-12-15,48.57,48.57
69,DISH,2017-12-14,48.52,48.52
70,DISH,2017-12-13,48.99,48.99
71,DISH,2017-12-12,49.63,49.63
72,DISH,2017-12-11,49.43,49.43
73,DISH,2017-12-08,48.59,48.59
74,DISH,2017-12-07,48.95,48.95
75,DISH,2017-12-06,49.31,49.31
76,DISH,2017-12-05,52.03,52.03
77,DISH,2017-12-04,51.6,51.6
78,DISH,2017-12-01,50.32,50.32
79,DISH,2017-11-30,50.65,50.65
80,DISH,2017-11-29,51.28,51.28
81,DISH,2017-11-28,50.41,50.41
82,DISH,2017-11-27,49.65,49.65
83,DISH,2017-11-24,49.87,49.87
84,DISH,2017-11-22,50.43,50.43
85,DISH,2017-11-21,50.04,50.04
86,DISH,2017-11-20,50.01,50.01
87,DISH,2017-11-17,50.66,50.66
88,DISH,2017-11-16,50.5,50.5
89,DISH,2017-11-15,50.61,50.61
90,DISH,2017-11-14,50.51,50.51
91,DISH,2017-11-13,50.86,50.86
92,DISH,2017-11-10,50.81,50.81
93,DISH,2017-11-09,50.3,50.3
94,DISH,2017-11-07,50.07,50.07
95,DISH,2017-11-06,50.82,50.82
96,DISH,2017-11-03,48.07,48.07
97,DISH,2017-11-02,48.27,48.27
98,DISH,2017-11-01,48.77,48.77
99,DISH,2017-10-31,48.54,48.54
100,DISH,2017-10-30,48.39,48.39
101,DISH,2017-10-27,46.49,46.49
102,DISH,2017-10-26,47.92,47.92
103,DISH,2017-10-25,49.0,49.0
104,DISH,2017-10-24,49.0,49.0
105,DISH,2017-10-23,48.98,48.98
106,DISH,2017-10-20,49.3,49.3
107,DISH,2017-10-19,49.32,49.32
108,DISH,2017-10-18,49.71,49.71
109,DISH,2017-10-17,48.85,48.85
110,DISH,2017-10-16,49.03,49.03
111,DISH,2017-10-13,48.38,48.38
112,DISH,2017-10-12,49.03,49.03
113,DISH,2017-10-11,51.65,51.65
114,DISH,2017-10-10,51.7,51.7
115,DISH,2017-10-09,51.68,51.68
116,DISH,2017-10-06,53.33,53.33
117,DISH,2017-10-05,54.03,54.03
118,DISH,2017-10-04,54.09,54.09
119,DISH,2017-10-03,54.32,54.32
120,DISH,2017-10-02,53.83,53.83
121,DISH,2017-09-29,54.23,54.23
122,DISH,2017-09-28,53.01,53.01
123,DISH,2017-09-27,53.31,53.31
124,DISH,2017-09-26,52.15,52.15
125,DISH,2017-09-25,54.0,54.0
126,DISH,2017-09-22,53.26,53.26
127,DISH,2017-09-21,53.25,53.25
128,DISH,2017-09-20,53.56,53.56
129,DISH,2017-09-19,53.38,53.38
130,DISH,2017-09-18,52.85,52.85
131,DISH,2017-09-15,52.95,52.95
132,DISH,2017-09-14,53.07,53.07
133,DISH,2017-09-13,53.94,53.94
134,DISH,2017-09-12,54.59,54.59
135,DISH,2017-09-11,54.56,54.56
136,DISH,2017-09-08,54.6,54.6
137,DISH,2017-09-07,55.48,55.48
138,DISH,2017-09-06,57.6,57.6
139,DISH,2017-09-05,57.15,57.15
140,DISH,2017-09-01,58.47,58.47
141,DISH,2017-08-31,57.305,57.305
142,DISH,2017-08-30,57.2,57.2
143,DISH,2017-08-29,57.77,57.77
144,DISH,2017-08-28,56.66,56.66
145,DISH,2017-08-25,56.64,56.64
