None,ticker,date,close,adj_close
0,DLR,2018-03-27,102.71,102.71
1,DLR,2018-03-26,102.1,102.1
2,DLR,2018-03-23,102.3,102.3
3,DLR,2018-03-22,102.91,102.91
4,DLR,2018-03-21,103.37,103.37
5,DLR,2018-03-20,104.97,104.97
6,DLR,2018-03-19,104.75,104.75
7,DLR,2018-03-16,106.37,106.37
8,DLR,2018-03-15,105.33,105.33
9,DLR,2018-03-14,105.47,105.47
10,DLR,2018-03-13,105.66,105.66
11,DLR,2018-03-12,104.35,104.35
12,DLR,2018-03-09,103.14,103.14
13,DLR,2018-03-08,103.72,103.72
14,DLR,2018-03-07,103.06,103.06
15,DLR,2018-03-06,101.18,101.18
16,DLR,2018-03-05,100.36,100.36
17,DLR,2018-03-02,98.22,98.22
18,DLR,2018-03-01,98.9,98.9
19,DLR,2018-02-28,100.64,100.64
20,DLR,2018-02-27,100.3,100.3
21,DLR,2018-02-26,101.58,101.58
22,DLR,2018-02-23,102.2,102.2
23,DLR,2018-02-22,100.83,100.83
24,DLR,2018-02-21,97.95,97.95
25,DLR,2018-02-20,99.58,99.58
26,DLR,2018-02-16,102.2,102.2
27,DLR,2018-02-15,105.45,105.45
28,DLR,2018-02-14,105.27,105.27
29,DLR,2018-02-13,105.12,105.12
30,DLR,2018-02-12,105.05,105.05
31,DLR,2018-02-09,102.21,102.21
32,DLR,2018-02-08,98.96,98.96
33,DLR,2018-02-07,104.17,104.17
34,DLR,2018-02-06,104.5,104.5
35,DLR,2018-02-05,104.33,104.33
36,DLR,2018-02-02,107.71,107.71
37,DLR,2018-02-01,107.98,107.98
38,DLR,2018-01-31,111.95,111.95
39,DLR,2018-01-30,106.56,106.56
40,DLR,2018-01-29,107.37,107.37
41,DLR,2018-01-26,111.65,111.65
42,DLR,2018-01-25,111.41,111.41
43,DLR,2018-01-24,110.85,110.85
44,DLR,2018-01-23,111.11,111.11
45,DLR,2018-01-22,109.34,109.34
46,DLR,2018-01-19,107.3,107.3
47,DLR,2018-01-18,106.96,106.96
48,DLR,2018-01-17,107.01,107.01
49,DLR,2018-01-16,107.48,107.48
50,DLR,2018-01-12,105.78,105.78
51,DLR,2018-01-11,107.94,107.94
52,DLR,2018-01-10,109.54,109.54
53,DLR,2018-01-09,112.6,112.6
54,DLR,2018-01-08,114.15,114.15
55,DLR,2018-01-05,113.0,113.0
56,DLR,2018-01-04,112.28,112.28
57,DLR,2018-01-03,113.69,113.69
58,DLR,2018-01-02,112.66,112.66
59,DLR,2017-12-29,113.9,113.9
60,DLR,2017-12-28,114.03,114.03
61,DLR,2017-12-27,112.5,112.5
62,DLR,2017-12-26,111.59,111.59
63,DLR,2017-12-22,110.98,110.98
64,DLR,2017-12-21,109.31,109.31
65,DLR,2017-12-20,110.42,110.42
66,DLR,2017-12-19,111.78,111.78
67,DLR,2017-12-18,114.1,114.1
68,DLR,2017-12-15,114.46,114.46
69,DLR,2017-12-14,115.27,115.27
70,DLR,2017-12-13,115.31,115.31
71,DLR,2017-12-12,114.9,114.9
72,DLR,2017-12-11,114.95,114.95
73,DLR,2017-12-08,114.81,114.81
74,DLR,2017-12-07,114.14,114.14
75,DLR,2017-12-06,112.64,112.64
76,DLR,2017-12-05,113.02,113.02
77,DLR,2017-12-04,110.59,110.59
78,DLR,2017-12-01,118.81,118.81
79,DLR,2017-11-30,116.7,116.7
80,DLR,2017-11-29,116.99,116.99
81,DLR,2017-11-28,118.53,118.53
82,DLR,2017-11-27,118.06,118.06
83,DLR,2017-11-24,117.54,117.54
84,DLR,2017-11-22,117.21,117.21
85,DLR,2017-11-21,118.28,118.28
86,DLR,2017-11-20,117.41,117.41
87,DLR,2017-11-17,118.11,118.11
88,DLR,2017-11-16,120.27,120.27
89,DLR,2017-11-15,120.15,120.15
90,DLR,2017-11-14,122.72,122.72
91,DLR,2017-11-13,122.7,122.7
92,DLR,2017-11-10,120.85,120.85
93,DLR,2017-11-09,122.24,122.24
94,DLR,2017-11-07,122.01,122.01
95,DLR,2017-11-06,121.83,121.83
96,DLR,2017-11-03,119.06,119.06
97,DLR,2017-11-02,118.77,118.77
98,DLR,2017-11-01,116.94,116.94
99,DLR,2017-10-31,118.44,118.44
100,DLR,2017-10-30,117.59,117.59
101,DLR,2017-10-27,116.55,116.55
102,DLR,2017-10-26,115.81,115.81
103,DLR,2017-10-25,123.28,123.28
104,DLR,2017-10-24,121.19,121.19
105,DLR,2017-10-23,120.22,120.22
106,DLR,2017-10-20,123.39,123.39
107,DLR,2017-10-19,123.88,123.88
108,DLR,2017-10-18,123.85,123.85
109,DLR,2017-10-17,122.72,122.72
110,DLR,2017-10-16,121.74,121.74
111,DLR,2017-10-13,121.78,121.78
112,DLR,2017-10-12,122.75,122.75
113,DLR,2017-10-11,120.62,120.62
114,DLR,2017-10-10,119.76,119.76
115,DLR,2017-10-09,118.96,118.96
116,DLR,2017-10-06,118.22,118.22
117,DLR,2017-10-05,118.41,118.41
118,DLR,2017-10-04,117.05,117.05
119,DLR,2017-10-03,116.5,116.5
120,DLR,2017-10-02,118.46,118.46
121,DLR,2017-09-29,118.33,118.33
122,DLR,2017-09-28,116.16,116.16
123,DLR,2017-09-27,115.25,115.25
124,DLR,2017-09-26,113.29,113.29
125,DLR,2017-09-25,114.22,114.22
126,DLR,2017-09-22,114.51,114.51
127,DLR,2017-09-21,116.23,116.23
128,DLR,2017-09-20,114.95,114.95
129,DLR,2017-09-19,117.26,117.26
130,DLR,2017-09-18,117.1,117.1
131,DLR,2017-09-15,117.59,117.59
132,DLR,2017-09-14,120.93,120.93
133,DLR,2017-09-13,121.54,120.61244214673
134,DLR,2017-09-12,124.78,123.82771541113
135,DLR,2017-09-11,126.04,125.07809945839
136,DLR,2017-09-08,120.63,119.70938700148
137,DLR,2017-09-07,121.43,120.50328163466
138,DLR,2017-09-06,119.69,118.77656080748
139,DLR,2017-09-05,119.18,118.27045297883
140,DLR,2017-09-01,117.71,116.81167159035
141,DLR,2017-08-31,118.34,117.43686361398
142,DLR,2017-08-30,118.06,117.15900049237
143,DLR,2017-08-29,117.37,116.47426637125
144,DLR,2017-08-28,117.57,116.67274002954
145,DLR,2017-08-25,118.14,117.23838995569
146,DLR,2017-08-24,117.94,117.03991629739
147,DLR,2017-08-23,118.14,117.23838995569
148,DLR,2017-08-22,117.63,116.73228212703
149,DLR,2017-08-21,116.44,115.55136386017
150,DLR,2017-08-18,114.86,113.98342195963
151,DLR,2017-08-17,115.49,114.60861398326
152,DLR,2017-08-16,116.49,115.60098227474
153,DLR,2017-08-15,115.13,114.25136139833
154,DLR,2017-08-14,114.85,113.97349827671
155,DLR,2017-08-11,111.82,110.96662235352
156,DLR,2017-08-10,112.85,111.98876169375
157,DLR,2017-08-09,114.41,113.53685622846
158,DLR,2017-08-08,113.77,112.90174052191
159,DLR,2017-08-07,114.56,113.68571147218
160,DLR,2017-08-04,115.2,114.32082717873
161,DLR,2017-08-03,115.75,114.86662973904
162,DLR,2017-08-02,117.13,116.23609798129
163,DLR,2017-08-01,117.59,116.69258739537
164,DLR,2017-07-31,115.34,114.45975873954
165,DLR,2017-07-28,113.18,112.31624322994
166,DLR,2017-07-27,114.15,113.27884047267
167,DLR,2017-07-26,113.32,112.45517479074
168,DLR,2017-07-25,112.44,111.58189069424
169,DLR,2017-07-24,113.25,112.38570901034
170,DLR,2017-07-21,112.46,111.60173806007
171,DLR,2017-07-20,112.11,111.25440915805
172,DLR,2017-07-19,112.35,111.49257754801
173,DLR,2017-07-18,113.01,112.14754062038
174,DLR,2017-07-17,112.71,111.84983013294
175,DLR,2017-07-14,112.43,111.57196701132
176,DLR,2017-07-13,112.5,111.64143279173
177,DLR,2017-07-12,112.0,111.14524864599
178,DLR,2017-07-11,109.6,108.76356474643
179,DLR,2017-07-10,110.06,109.22005416051
180,DLR,2017-07-07,110.15,109.30936730675
181,DLR,2017-07-06,109.36,108.52539635647
182,DLR,2017-07-05,111.0,110.15288035451
183,DLR,2017-07-03,113.31,112.44525110783
184,DLR,2017-06-30,112.95,112.0879985229
185,DLR,2017-06-29,112.93,112.06815115707
186,DLR,2017-06-28,115.36,114.47960610537
187,DLR,2017-06-27,116.64,115.74983751846
188,DLR,2017-06-26,120.15,119.23305022157
189,DLR,2017-06-23,120.54,119.62007385524
190,DLR,2017-06-22,120.42,119.50098966027
191,DLR,2017-06-21,119.08,118.17121614968
192,DLR,2017-06-20,117.64,116.74220580995
193,DLR,2017-06-19,116.55,115.66052437223
194,DLR,2017-06-16,116.61,115.72006646972
195,DLR,2017-06-15,117.75,116.85136632201
