None,ticker,date,close,adj_close
0,DLTR,2018-03-27,93.63,93.63
1,DLTR,2018-03-26,95.21,95.21
2,DLTR,2018-03-23,91.95,91.95
3,DLTR,2018-03-22,93.54,93.54
4,DLTR,2018-03-21,94.72,94.72
5,DLTR,2018-03-20,94.94,94.94
6,DLTR,2018-03-19,94.57,94.57
7,DLTR,2018-03-16,95.75,95.75
8,DLTR,2018-03-15,94.16,94.16
9,DLTR,2018-03-14,92.81,92.81
10,DLTR,2018-03-13,94.42,94.42
11,DLTR,2018-03-12,94.29,94.29
12,DLTR,2018-03-09,92.7,92.7
13,DLTR,2018-03-08,91.32,91.32
14,DLTR,2018-03-07,89.25,89.25
15,DLTR,2018-03-06,104.36,104.36
16,DLTR,2018-03-05,102.64,102.64
17,DLTR,2018-03-02,104.41,104.41
18,DLTR,2018-03-01,104.09,104.09
19,DLTR,2018-02-28,102.64,102.64
20,DLTR,2018-02-27,103.93,103.93
21,DLTR,2018-02-26,106.22,106.22
22,DLTR,2018-02-23,106.61,106.61
23,DLTR,2018-02-22,107.0,107.0
24,DLTR,2018-02-21,105.69,105.69
25,DLTR,2018-02-20,106.81,106.81
26,DLTR,2018-02-16,107.96,107.96
27,DLTR,2018-02-15,108.57,108.57
28,DLTR,2018-02-14,105.87,105.87
29,DLTR,2018-02-13,104.84,104.84
30,DLTR,2018-02-12,104.74,104.74
31,DLTR,2018-02-09,107.54,107.54
32,DLTR,2018-02-08,101.54,101.54
33,DLTR,2018-02-07,106.08,106.08
34,DLTR,2018-02-06,107.85,107.85
35,DLTR,2018-02-05,105.86,105.86
36,DLTR,2018-02-02,108.83,108.83
37,DLTR,2018-02-01,113.87,113.87
38,DLTR,2018-01-31,115.0,115.0
39,DLTR,2018-01-30,114.6,114.6
40,DLTR,2018-01-29,116.35,116.35
41,DLTR,2018-01-26,115.43,115.43
42,DLTR,2018-01-25,115.07,115.07
43,DLTR,2018-01-24,114.34,114.34
44,DLTR,2018-01-23,114.7,114.7
45,DLTR,2018-01-22,115.02,115.02
46,DLTR,2018-01-19,114.73,114.73
47,DLTR,2018-01-18,112.9,112.9
48,DLTR,2018-01-17,112.769,112.769
49,DLTR,2018-01-16,112.88,112.88
50,DLTR,2018-01-12,114.84,114.84
