None,ticker,date,close,adj_close
0,DRI,2018-03-27,84.22,84.22
1,DRI,2018-03-26,84.82,84.82
2,DRI,2018-03-23,84.25,84.25
3,DRI,2018-03-22,85.94,85.94
4,DRI,2018-03-21,93.31,93.31
5,DRI,2018-03-20,95.11,95.11
6,DRI,2018-03-19,94.37,94.37
7,DRI,2018-03-16,94.55,94.55
8,DRI,2018-03-15,93.62,93.62
9,DRI,2018-03-14,94.21,94.21
10,DRI,2018-03-13,94.48,94.48
11,DRI,2018-03-12,94.75,94.75
12,DRI,2018-03-09,94.81,94.81
13,DRI,2018-03-08,93.62,93.62
14,DRI,2018-03-07,93.39,93.39
15,DRI,2018-03-06,94.12,94.12
16,DRI,2018-03-05,94.45,94.45
17,DRI,2018-03-02,95.47,95.47
18,DRI,2018-03-01,92.5,92.5
19,DRI,2018-02-28,92.19,92.19
20,DRI,2018-02-27,92.88,92.88
21,DRI,2018-02-26,96.32,96.32
22,DRI,2018-02-23,95.35,95.35
23,DRI,2018-02-22,95.19,95.19
24,DRI,2018-02-21,95.3,95.3
25,DRI,2018-02-20,94.9,94.9
26,DRI,2018-02-16,96.52,96.52
27,DRI,2018-02-15,97.69,97.69
28,DRI,2018-02-14,95.61,95.61
29,DRI,2018-02-13,94.72,94.72
30,DRI,2018-02-12,94.22,94.22
31,DRI,2018-02-09,92.69,92.69
32,DRI,2018-02-08,91.33,91.33
33,DRI,2018-02-07,95.08,95.08
34,DRI,2018-02-06,94.38,94.38
35,DRI,2018-02-05,94.22,94.22
36,DRI,2018-02-02,96.04,96.04
37,DRI,2018-02-01,97.51,97.51
38,DRI,2018-01-31,95.85,95.85
39,DRI,2018-01-30,96.54,96.54
40,DRI,2018-01-29,98.23,98.23
41,DRI,2018-01-26,98.49,98.49
42,DRI,2018-01-25,97.86,97.86
43,DRI,2018-01-24,97.55,97.55
44,DRI,2018-01-23,97.49,97.49
45,DRI,2018-01-22,98.06,98.06
46,DRI,2018-01-19,99.04,99.04
47,DRI,2018-01-18,97.36,97.36
48,DRI,2018-01-17,97.46,97.46
49,DRI,2018-01-16,96.74,96.74
50,DRI,2018-01-12,98.02,98.02
51,DRI,2018-01-11,97.6,97.6
52,DRI,2018-01-10,96.79,96.79
53,DRI,2018-01-09,97.49,97.49
54,DRI,2018-01-08,98.78,98.78
55,DRI,2018-01-05,99.31,99.31
56,DRI,2018-01-04,98.52,98.52
57,DRI,2018-01-03,98.54,98.54
58,DRI,2018-01-02,96.32,96.32
59,DRI,2017-12-29,96.02,96.02
60,DRI,2017-12-28,97.5,97.5
61,DRI,2017-12-27,97.41,97.41
62,DRI,2017-12-26,97.15,97.15
63,DRI,2017-12-22,96.4,96.4
64,DRI,2017-12-21,95.06,95.06
65,DRI,2017-12-20,95.67,95.67
66,DRI,2017-12-19,96.69,96.69
67,DRI,2017-12-18,90.54,90.54
68,DRI,2017-12-15,88.41,88.41
69,DRI,2017-12-14,86.96,86.96
70,DRI,2017-12-13,87.6,87.6
71,DRI,2017-12-12,87.14,87.14
72,DRI,2017-12-11,86.55,86.55
73,DRI,2017-12-08,86.41,86.41
74,DRI,2017-12-07,85.28,85.28
75,DRI,2017-12-06,85.53,85.53
76,DRI,2017-12-05,86.14,86.14
77,DRI,2017-12-04,86.06,86.06
78,DRI,2017-12-01,85.04,85.04
79,DRI,2017-11-30,84.32,84.32
80,DRI,2017-11-29,84.81,84.81
81,DRI,2017-11-28,83.06,83.06
82,DRI,2017-11-27,80.28,80.28
83,DRI,2017-11-24,80.24,80.24
84,DRI,2017-11-22,79.76,79.76
85,DRI,2017-11-21,80.33,80.33
86,DRI,2017-11-20,82.29,82.29
87,DRI,2017-11-17,82.81,82.81
88,DRI,2017-11-16,82.33,82.33
89,DRI,2017-11-15,81.95,81.95
90,DRI,2017-11-14,82.85,82.85
91,DRI,2017-11-13,82.84,82.84
92,DRI,2017-11-10,82.64,82.64
93,DRI,2017-11-09,82.14,82.14
94,DRI,2017-11-07,81.65,81.65
95,DRI,2017-11-06,82.4,82.4
96,DRI,2017-11-03,82.28,82.28
97,DRI,2017-11-02,81.81,81.81
98,DRI,2017-11-01,82.08,82.08
99,DRI,2017-10-31,82.27,82.27
100,DRI,2017-10-30,82.77,82.77
101,DRI,2017-10-27,83.33,83.33
102,DRI,2017-10-26,82.79,82.79
103,DRI,2017-10-25,81.79,81.79
104,DRI,2017-10-24,82.64,82.64
105,DRI,2017-10-23,82.35,82.35
106,DRI,2017-10-20,82.77,82.77
107,DRI,2017-10-19,81.97,81.97
108,DRI,2017-10-18,81.96,81.96
109,DRI,2017-10-17,81.56,81.56
110,DRI,2017-10-16,80.2,80.2
111,DRI,2017-10-13,79.42,79.42
112,DRI,2017-10-12,79.21,79.21
113,DRI,2017-10-11,79.34,79.34
114,DRI,2017-10-10,79.28,79.28
115,DRI,2017-10-09,79.74,79.74
116,DRI,2017-10-06,80.83,80.83
117,DRI,2017-10-05,79.72,79.103456911368
118,DRI,2017-10-04,79.6,78.98438497422
119,DRI,2017-10-03,80.11,79.490440707096
120,DRI,2017-10-02,79.17,78.557710532777
121,DRI,2017-09-29,78.78,78.170726737049
122,DRI,2017-09-28,78.96,78.349334642769
123,DRI,2017-09-27,79.15,78.537865209919
124,DRI,2017-09-26,77.71,77.109001964154
125,DRI,2017-09-25,83.14,82.497007120059
126,DRI,2017-09-22,82.88,82.239017922907
127,DRI,2017-09-21,83.06,82.417625828628
128,DRI,2017-09-20,83.8,83.151902774368
129,DRI,2017-09-19,83.31,82.665692364351
130,DRI,2017-09-18,84.37,83.717494475816
131,DRI,2017-09-15,83.86,83.211438742941
132,DRI,2017-09-14,83.2,82.556543088632
133,DRI,2017-09-13,83.62,82.973294868647
134,DRI,2017-09-12,81.22,80.591856125706
135,DRI,2017-09-11,79.74,79.123302234225
136,DRI,2017-09-08,78.55,77.942505524184
137,DRI,2017-09-07,77.05,76.454106309845
138,DRI,2017-09-06,78.36,77.753974957034
139,DRI,2017-09-05,81.19,80.562088141419
140,DRI,2017-09-01,81.92,81.28644242573
141,DRI,2017-08-31,82.09,81.455127670022
142,DRI,2017-08-30,82.88,82.239017922907
143,DRI,2017-08-29,82.64,82.000874048613
144,DRI,2017-08-28,84.84,84.183859562976
145,DRI,2017-08-25,83.68,83.032830837221
146,DRI,2017-08-24,82.38,81.742884851461
147,DRI,2017-08-23,83.44,82.794686962927
148,DRI,2017-08-22,85.3,84.640301988706
149,DRI,2017-08-21,84.51,83.856411735821
150,DRI,2017-08-18,83.99,83.340433341517
151,DRI,2017-08-17,84.13,83.479350601522
152,DRI,2017-08-16,84.39,83.737339798674
153,DRI,2017-08-15,83.48,82.834377608642
154,DRI,2017-08-14,82.75,82.110023324331
155,DRI,2017-08-11,83.34,82.695460348637
156,DRI,2017-08-10,82.53,81.891724772895
157,DRI,2017-08-09,81.28,80.651392094279
158,DRI,2017-08-08,81.83,81.19713847287
159,DRI,2017-08-07,83.77,83.122134790081
160,DRI,2017-08-04,83.15,82.506929781488
161,DRI,2017-08-03,82.08,81.445205008593
162,DRI,2017-08-02,84.56,83.906025042966
163,DRI,2017-08-01,84.8,84.14416891726
164,DRI,2017-07-31,83.88,83.231284065799
165,DRI,2017-07-28,83.85,83.201516081512
166,DRI,2017-07-27,84.49,83.836566412963
167,DRI,2017-07-26,85.83,85.166203044439
168,DRI,2017-07-25,86.85,86.178314510189
169,DRI,2017-07-24,86.63,85.960015958753
170,DRI,2017-07-21,88.68,87.994161551682
171,DRI,2017-07-20,89.57,88.877278418856
172,DRI,2017-07-19,89.86,89.165035600295
173,DRI,2017-07-18,89.04,88.351377363123
174,DRI,2017-07-17,89.66,88.966582371716
175,DRI,2017-07-14,88.95,88.262073410263
176,DRI,2017-07-13,88.57,87.885012275964
177,DRI,2017-07-12,89.61,88.916969064572
178,DRI,2017-07-11,89.3,88.609366560275
179,DRI,2017-07-10,89.25,88.55975325313
180,DRI,2017-07-07,90.17,89.472638104591
181,DRI,2017-07-06,89.68,88.986427694574
182,DRI,2017-07-05,90.13,88.809065752541
183,DRI,2017-07-03,91.34,90.001332140653
184,DRI,2017-06-30,90.44,89.114522430487
185,DRI,2017-06-29,91.76,90.415176672064
186,DRI,2017-06-28,91.56,90.218107847583
187,DRI,2017-06-27,92.69,91.331546705903
188,DRI,2017-06-26,90.08,88.75979854642
189,DRI,2017-06-23,88.73,87.429583981171
190,DRI,2017-06-22,89.16,87.853281953806
191,DRI,2017-06-21,88.28,86.986179126088
192,DRI,2017-06-20,88.68,87.380316775051
193,DRI,2017-06-19,90.57,89.2426171664
194,DRI,2017-06-16,89.3,87.991230130943
195,DRI,2017-06-15,89.8,88.483902192146
196,DRI,2017-06-14,90.47,89.144082754159
197,DRI,2017-06-13,90.02,88.700677899076
198,DRI,2017-06-12,91.94,90.592538614097
199,DRI,2017-06-09,92.12,90.769900556131
200,DRI,2017-06-08,91.85,90.503857643081
201,DRI,2017-06-07,92.05,90.700926467562
202,DRI,2017-06-06,91.98,90.631952378994
203,DRI,2017-06-05,91.82,90.474297319409
204,DRI,2017-06-02,91.3,89.961918375757
205,DRI,2017-06-01,90.09,88.769651987644
206,DRI,2017-05-31,88.93,87.626652805652
207,DRI,2017-05-30,87.49,86.207757269386
208,DRI,2017-05-26,87.95,86.661015565694
209,DRI,2017-05-25,88.1,86.808817184055
210,DRI,2017-05-24,87.21,85.931860915112
211,DRI,2017-05-23,86.64,85.37021476534
212,DRI,2017-05-22,87.4,86.11907629837
213,DRI,2017-05-19,86.96,85.685524884511
214,DRI,2017-05-18,86.45,85.182999382083
215,DRI,2017-05-17,85.53,84.276482789469
216,DRI,2017-05-16,85.96,84.700180762104
217,DRI,2017-05-15,88.4,87.104420420777
218,DRI,2017-05-12,88.31,87.01573944976
219,DRI,2017-05-11,88.22,86.927058478743
220,DRI,2017-05-10,87.63,86.345705446523
221,DRI,2017-05-09,87.27,85.990981562457
222,DRI,2017-05-08,87.08,85.803766179199
223,DRI,2017-05-05,87.33,86.050102209801
224,DRI,2017-05-04,87.33,86.050102209801
225,DRI,2017-05-03,87.42,86.138783180818
226,DRI,2017-05-02,86.82,85.547576707374
227,DRI,2017-05-01,85.63,84.375017201709
228,DRI,2017-04-28,85.19,83.94146578785
229,DRI,2017-04-27,85.96,84.700180762104
230,DRI,2017-04-26,86.05,84.78886173312
231,DRI,2017-04-25,85.55,84.296189671917
232,DRI,2017-04-24,85.18,83.931612346626
233,DRI,2017-04-21,84.16,82.926561341771
234,DRI,2017-04-20,84.05,82.818173488306
235,DRI,2017-04-19,83.04,81.822975924675
236,DRI,2017-04-18,82.72,81.507665805505
237,DRI,2017-04-17,82.64,81.428838275713
238,DRI,2017-04-13,81.97,80.7686577137
239,DRI,2017-04-12,82.49,81.281036657351
240,DRI,2017-04-11,82.94,81.724441512435
241,DRI,2017-04-10,82.7,81.487958923057
242,DRI,2017-04-07,82.84,81.625907100194
243,DRI,2017-04-06,83.38,82.157992926294
244,DRI,2017-04-05,82.88,81.120496232204
245,DRI,2017-04-04,83.98,82.197143744939
246,DRI,2017-04-03,83.21,81.443490486024
247,DRI,2017-03-31,83.67,81.893724900441
248,DRI,2017-03-30,82.83,81.071557708898
249,DRI,2017-03-29,82.57,80.817077387706
250,DRI,2017-03-28,82.62,80.866015911012
251,DRI,2017-03-27,75.58,73.975471829512
252,DRI,2017-03-24,76.71,75.08148245623
253,DRI,2017-03-23,76.64,75.012968523602
254,DRI,2017-03-22,77.0,75.365325891406
255,DRI,2017-03-21,76.6,74.973817704957
256,DRI,2017-03-20,76.86,75.228298026149
257,DRI,2017-03-17,76.66,75.032543932924
258,DRI,2017-03-16,75.4,73.79929314561
259,DRI,2017-03-15,75.83,74.220164446043
260,DRI,2017-03-14,74.61,73.026064477374
261,DRI,2017-03-13,74.45,72.869461202794
262,DRI,2017-03-10,74.16,72.585617767619
263,DRI,2017-03-09,75.22,73.623114461708
264,DRI,2017-03-08,75.18,73.583963643064
265,DRI,2017-03-07,74.51,72.928187430762
266,DRI,2017-03-06,74.68,73.094578410003
267,DRI,2017-03-03,75.11,73.515449710435
268,DRI,2017-03-02,75.47,73.867807078239
269,DRI,2017-03-01,74.89,73.300120207888
270,DRI,2017-02-28,74.68,73.094578410003
271,DRI,2017-02-27,74.53,72.947762840084
272,DRI,2017-02-24,75.46,73.858019373578
273,DRI,2017-02-23,75.46,73.858019373578
274,DRI,2017-02-22,75.42,73.818868554933
275,DRI,2017-02-21,76.7,75.071694751569
276,DRI,2017-02-17,76.73,75.101057865553
277,DRI,2017-02-16,75.8,74.190801332059
278,DRI,2017-02-15,75.74,74.132075104092
279,DRI,2017-02-14,76.24,74.621460337153
280,DRI,2017-02-13,76.08,74.464857062574
281,DRI,2017-02-10,76.28,74.660611155798
282,DRI,2017-02-09,75.07,73.47629889179
283,DRI,2017-02-08,73.44,71.880903032011
284,DRI,2017-02-07,71.85,70.324657990877
285,DRI,2017-02-06,72.33,70.794467814615
286,DRI,2017-02-03,71.82,70.295294876893
287,DRI,2017-02-02,71.63,70.10932848833
288,DRI,2017-02-01,72.18,70.647652244697
289,DRI,2017-01-31,73.28,71.724299757432
290,DRI,2017-01-30,73.82,72.252835809137
291,DRI,2017-01-27,73.56,71.998355487946
292,DRI,2017-01-26,73.55,71.988567783284
293,DRI,2017-01-25,73.57,72.008143192607
294,DRI,2017-01-24,73.67,72.106020239219
295,DRI,2017-01-23,73.0,71.450244026917
296,DRI,2017-01-20,73.44,71.880903032011
297,DRI,2017-01-19,72.59,71.048948135807
298,DRI,2017-01-18,73.16,71.606847301497
299,DRI,2017-01-17,72.88,71.332791570983
300,DRI,2017-01-13,73.37,71.812389099383
301,DRI,2017-01-12,73.81,72.243048104476
302,DRI,2017-01-11,72.89,71.342579275644
303,DRI,2017-01-10,72.25,70.716166177326
304,DRI,2017-01-09,71.56,70.040814555701
305,DRI,2017-01-06,71.55,70.03102685104
306,DRI,2017-01-05,72.33,70.244684123363
307,DRI,2017-01-04,72.09,70.011603462647
308,DRI,2017-01-03,72.06,69.982468380058
