None,ticker,date,close,adj_close
0,DTE,2018-03-27,103.81,103.81
1,DTE,2018-03-26,102.12,102.12
2,DTE,2018-03-23,101.09,101.09
3,DTE,2018-03-22,102.55,102.55
4,DTE,2018-03-21,102.53,102.53
5,DTE,2018-03-20,102.15,102.15
6,DTE,2018-03-19,102.19,102.19
7,DTE,2018-03-16,102.27,102.27
8,DTE,2018-03-15,101.72,101.72
9,DTE,2018-03-14,101.77,101.77
10,DTE,2018-03-13,100.93,100.93
11,DTE,2018-03-12,100.91,100.91
12,DTE,2018-03-09,100.53,100.53
13,DTE,2018-03-08,100.4,100.4
14,DTE,2018-03-07,99.92,99.92
15,DTE,2018-03-06,101.2,101.2
16,DTE,2018-03-05,102.57,102.57
17,DTE,2018-03-02,100.79,100.79
18,DTE,2018-03-01,100.73,100.73
19,DTE,2018-02-28,100.78,100.78
20,DTE,2018-02-27,102.03,102.03
21,DTE,2018-02-26,103.76,103.76
22,DTE,2018-02-23,104.7,104.7
23,DTE,2018-02-22,101.86,101.86
24,DTE,2018-02-21,101.9,101.9
25,DTE,2018-02-20,103.2,103.2
26,DTE,2018-02-16,105.22,105.22
27,DTE,2018-02-15,103.15,103.15
28,DTE,2018-02-14,101.23,101.23
29,DTE,2018-02-13,102.21,102.21
30,DTE,2018-02-12,101.25,101.25
31,DTE,2018-02-09,101.06,101.06
32,DTE,2018-02-08,98.49,98.49
33,DTE,2018-02-07,99.27,99.27
34,DTE,2018-02-06,99.36,99.36
35,DTE,2018-02-05,102.0,102.0
36,DTE,2018-02-02,103.28,103.28
37,DTE,2018-02-01,104.22,104.22
38,DTE,2018-01-31,105.64,105.64
39,DTE,2018-01-30,104.24,104.24
40,DTE,2018-01-29,104.39,104.39
41,DTE,2018-01-26,105.5,105.5
42,DTE,2018-01-25,105.96,105.96
43,DTE,2018-01-24,104.43,104.43
44,DTE,2018-01-23,104.67,104.67
45,DTE,2018-01-22,103.36,103.36
46,DTE,2018-01-19,103.15,103.15
47,DTE,2018-01-18,103.47,103.47
48,DTE,2018-01-17,104.09,104.09
49,DTE,2018-01-16,104.14,104.14
50,DTE,2018-01-12,103.92,103.92
51,DTE,2018-01-11,103.93,103.93
52,DTE,2018-01-10,104.64,104.64
53,DTE,2018-01-09,105.68,105.68
54,DTE,2018-01-08,106.98,106.98
55,DTE,2018-01-05,106.2,106.2
56,DTE,2018-01-04,106.3,106.3
57,DTE,2018-01-03,108.1,108.1
58,DTE,2018-01-02,108.45,108.45
59,DTE,2017-12-29,109.46,109.46
60,DTE,2017-12-28,109.61,109.61
61,DTE,2017-12-27,108.74,108.74
62,DTE,2017-12-26,108.13,108.13
63,DTE,2017-12-22,108.72,108.72
64,DTE,2017-12-21,108.25,108.25
65,DTE,2017-12-20,108.25,108.25
66,DTE,2017-12-19,109.01,109.01
67,DTE,2017-12-18,111.16,111.16
68,DTE,2017-12-15,113.23,113.23
69,DTE,2017-12-14,113.62,113.62
70,DTE,2017-12-13,113.82,113.82
71,DTE,2017-12-12,114.01,114.01
72,DTE,2017-12-11,115.99,115.99
73,DTE,2017-12-08,115.49,115.49
74,DTE,2017-12-07,115.07,115.07
75,DTE,2017-12-06,115.0,115.0
76,DTE,2017-12-05,114.35,114.35
77,DTE,2017-12-04,115.53,115.53
78,DTE,2017-12-01,115.21,115.21
79,DTE,2017-11-30,115.57,115.57
80,DTE,2017-11-29,114.56,114.56
81,DTE,2017-11-28,114.34,114.34
82,DTE,2017-11-27,113.64,113.64
83,DTE,2017-11-24,112.65,112.65
84,DTE,2017-11-22,112.62,112.62
85,DTE,2017-11-21,112.64,112.64
86,DTE,2017-11-20,112.23,112.23
87,DTE,2017-11-17,112.92,112.92
88,DTE,2017-11-16,113.99,113.99
89,DTE,2017-11-15,114.47,114.47
90,DTE,2017-11-14,115.58,115.58
91,DTE,2017-11-13,114.24,114.24
92,DTE,2017-11-10,112.45,112.45
93,DTE,2017-11-09,113.22,113.22
94,DTE,2017-11-07,112.81,112.81
95,DTE,2017-11-06,111.58,111.58
96,DTE,2017-11-03,110.9,110.9
97,DTE,2017-11-02,110.8,110.8
98,DTE,2017-11-01,110.28,110.28
99,DTE,2017-10-31,110.46,110.46
100,DTE,2017-10-30,110.34,110.34
101,DTE,2017-10-27,110.83,110.83
102,DTE,2017-10-26,110.12,110.12
103,DTE,2017-10-25,110.8,110.8
104,DTE,2017-10-24,112.7,112.7
105,DTE,2017-10-23,113.05,113.05
106,DTE,2017-10-20,112.24,112.24
107,DTE,2017-10-19,112.14,112.14
108,DTE,2017-10-18,110.55,110.55
109,DTE,2017-10-17,110.16,110.16
110,DTE,2017-10-16,109.63,109.63
111,DTE,2017-10-13,109.89,109.89
112,DTE,2017-10-12,110.67,110.67
113,DTE,2017-10-11,109.7,109.7
114,DTE,2017-10-10,109.29,109.29
115,DTE,2017-10-09,107.93,107.93
116,DTE,2017-10-06,107.68,107.68
117,DTE,2017-10-05,107.75,107.75
