None,ticker,date,close,adj_close
0,DVN,2018-03-27,31.71,31.71
1,DVN,2018-03-26,32.47,32.47
2,DVN,2018-03-23,32.23,32.23
3,DVN,2018-03-22,32.29,32.29
4,DVN,2018-03-21,32.92,32.92
5,DVN,2018-03-20,31.55,31.55
6,DVN,2018-03-19,31.16,31.16
7,DVN,2018-03-16,31.96,31.96
8,DVN,2018-03-15,31.71,31.71
9,DVN,2018-03-14,32.62,32.62
10,DVN,2018-03-13,32.79,32.79
11,DVN,2018-03-12,32.82,32.82
12,DVN,2018-03-09,32.72,32.72
13,DVN,2018-03-08,32.39,32.39
14,DVN,2018-03-07,30.95,30.95
15,DVN,2018-03-06,31.33,31.33
16,DVN,2018-03-05,32.0,32.0
17,DVN,2018-03-02,31.36,31.36
18,DVN,2018-03-01,30.54,30.54
19,DVN,2018-02-28,30.67,30.67
20,DVN,2018-02-27,31.86,31.86
21,DVN,2018-02-26,31.61,31.61
22,DVN,2018-02-23,31.43,31.43
23,DVN,2018-02-22,30.41,30.41
24,DVN,2018-02-21,30.57,30.57
25,DVN,2018-02-20,34.65,34.65
26,DVN,2018-02-16,34.11,34.11
27,DVN,2018-02-15,34.74,34.74
28,DVN,2018-02-14,35.56,35.56
29,DVN,2018-02-13,34.57,34.57
30,DVN,2018-02-12,35.78,35.78
31,DVN,2018-02-09,34.68,34.68
32,DVN,2018-02-08,34.94,34.94
33,DVN,2018-02-07,36.76,36.76
34,DVN,2018-02-06,38.38,38.38
35,DVN,2018-02-05,38.65,38.65
36,DVN,2018-02-02,40.03,40.03
37,DVN,2018-02-01,42.22,42.22
38,DVN,2018-01-31,41.37,41.37
39,DVN,2018-01-30,41.52,41.52
40,DVN,2018-01-29,43.33,43.33
41,DVN,2018-01-26,43.86,43.86
42,DVN,2018-01-25,43.91,43.91
43,DVN,2018-01-24,44.52,44.52
44,DVN,2018-01-23,44.52,44.52
45,DVN,2018-01-22,44.81,44.81
46,DVN,2018-01-19,42.85,42.85
47,DVN,2018-01-18,43.2,43.2
48,DVN,2018-01-17,43.44,43.44
49,DVN,2018-01-16,43.26,43.26
50,DVN,2018-01-12,44.04,44.04
51,DVN,2018-01-11,43.07,43.07
52,DVN,2018-01-10,42.18,42.18
53,DVN,2018-01-09,42.54,42.54
54,DVN,2018-01-08,43.25,43.25
55,DVN,2018-01-05,43.11,43.11
56,DVN,2018-01-04,43.23,43.23
57,DVN,2018-01-03,42.72,42.72
58,DVN,2018-01-02,42.23,42.23
59,DVN,2017-12-29,41.4,41.4
60,DVN,2017-12-28,41.76,41.76
61,DVN,2017-12-27,41.84,41.84
62,DVN,2017-12-26,42.58,42.58
63,DVN,2017-12-22,41.57,41.57
64,DVN,2017-12-21,40.92,40.92
65,DVN,2017-12-20,39.84,39.84
66,DVN,2017-12-19,38.7,38.7
67,DVN,2017-12-18,38.06,38.06
68,DVN,2017-12-15,37.68,37.68
69,DVN,2017-12-14,38.0,38.0
70,DVN,2017-12-13,38.12,38.12
71,DVN,2017-12-12,38.41,38.41
72,DVN,2017-12-11,38.49,38.49
73,DVN,2017-12-08,38.05,38.05
74,DVN,2017-12-07,37.15,37.15
75,DVN,2017-12-06,36.88,36.88
76,DVN,2017-12-05,38.38,38.38
77,DVN,2017-12-04,38.64,38.64
78,DVN,2017-12-01,38.84,38.84
79,DVN,2017-11-30,38.53,38.53
80,DVN,2017-11-29,37.1,37.1
81,DVN,2017-11-28,37.17,37.17
82,DVN,2017-11-27,36.79,36.79
83,DVN,2017-11-24,38.03,38.03
84,DVN,2017-11-22,37.99,37.99
85,DVN,2017-11-21,37.55,37.55
86,DVN,2017-11-20,37.41,37.41
87,DVN,2017-11-17,38.68,38.68
88,DVN,2017-11-16,38.16,38.16
89,DVN,2017-11-15,37.91,37.91
90,DVN,2017-11-14,38.23,38.23
91,DVN,2017-11-13,39.65,39.65
92,DVN,2017-11-10,40.41,40.41
93,DVN,2017-11-09,40.81,40.81
94,DVN,2017-11-07,41.26,41.26
95,DVN,2017-11-06,40.86,40.86
96,DVN,2017-11-03,39.27,39.27
97,DVN,2017-11-02,38.83,38.83
98,DVN,2017-11-01,39.08,39.08
99,DVN,2017-10-31,36.9,36.9
100,DVN,2017-10-30,36.0,36.0
101,DVN,2017-10-27,35.88,35.88
102,DVN,2017-10-26,34.91,34.91
103,DVN,2017-10-25,34.36,34.36
104,DVN,2017-10-24,34.84,34.84
