None,ticker,date,close,adj_close
0,ED,2018-03-27,77.62,77.62
1,ED,2018-03-26,76.42,76.42
2,ED,2018-03-23,75.58,75.58
3,ED,2018-03-22,76.76,76.76
4,ED,2018-03-21,76.67,76.67
5,ED,2018-03-20,76.89,76.89
6,ED,2018-03-19,77.05,77.05
7,ED,2018-03-16,77.45,77.45
8,ED,2018-03-15,76.58,76.58
9,ED,2018-03-14,75.97,75.97
10,ED,2018-03-13,75.49,75.49
11,ED,2018-03-12,75.69,75.69
12,ED,2018-03-09,75.24,75.24
13,ED,2018-03-08,75.31,75.31
14,ED,2018-03-07,74.48,74.48
15,ED,2018-03-06,75.14,75.14
16,ED,2018-03-05,76.09,76.09
17,ED,2018-03-02,74.35,74.35
18,ED,2018-03-01,74.59,74.59
19,ED,2018-02-28,74.89,74.89
20,ED,2018-02-27,75.66,75.66
21,ED,2018-02-26,76.96,76.96
22,ED,2018-02-23,77.63,77.63
23,ED,2018-02-22,75.79,75.79
24,ED,2018-02-21,75.47,75.47
25,ED,2018-02-20,76.36,76.36
26,ED,2018-02-16,77.77,77.77
27,ED,2018-02-15,77.11,77.11
28,ED,2018-02-14,75.89,75.89
29,ED,2018-02-13,77.03,77.03
30,ED,2018-02-12,77.4,77.4
31,ED,2018-02-09,76.89,76.89
32,ED,2018-02-08,74.73,74.73
33,ED,2018-02-07,75.26,75.26
34,ED,2018-02-06,75.88,75.88
35,ED,2018-02-05,77.13,77.13
36,ED,2018-02-02,77.96,77.96
37,ED,2018-02-01,78.75,78.75
38,ED,2018-01-31,80.36,80.36
39,ED,2018-01-30,79.59,79.59
40,ED,2018-01-29,79.13,79.13
41,ED,2018-01-26,80.4,80.4
42,ED,2018-01-25,80.38,80.38
43,ED,2018-01-24,79.42,79.42
44,ED,2018-01-23,79.66,79.66
45,ED,2018-01-22,78.53,78.53
46,ED,2018-01-19,78.27,78.27
47,ED,2018-01-18,78.28,78.28
48,ED,2018-01-17,79.27,79.27
49,ED,2018-01-16,79.02,79.02
50,ED,2018-01-12,79.49,79.49
51,ED,2018-01-11,80.39,80.39
52,ED,2018-01-10,80.92,80.92
53,ED,2018-01-09,82.01,82.01
54,ED,2018-01-08,82.89,82.89
55,ED,2018-01-05,81.74,81.74
56,ED,2018-01-04,81.82,81.82
57,ED,2018-01-03,82.79,82.79
58,ED,2018-01-02,83.58,83.58
59,ED,2017-12-29,84.95,84.95
60,ED,2017-12-28,85.09,85.09
61,ED,2017-12-27,84.66,84.66
62,ED,2017-12-26,84.2,84.2
63,ED,2017-12-22,84.75,84.75
64,ED,2017-12-21,84.79,84.79
65,ED,2017-12-20,84.91,84.91
66,ED,2017-12-19,85.56,85.56
67,ED,2017-12-18,87.32,87.32
68,ED,2017-12-15,88.24,88.24
69,ED,2017-12-14,87.59,87.59
70,ED,2017-12-13,87.98,87.98
71,ED,2017-12-12,88.09,88.09
72,ED,2017-12-11,89.66,89.66
73,ED,2017-12-08,88.92,88.92
74,ED,2017-12-07,88.49,88.49
75,ED,2017-12-06,88.47,88.47
76,ED,2017-12-05,88.02,88.02
77,ED,2017-12-04,88.48,88.48
78,ED,2017-12-01,88.82,88.82
79,ED,2017-11-30,89.04,89.04
80,ED,2017-11-29,88.4,88.4
81,ED,2017-11-28,87.98,87.98
82,ED,2017-11-27,87.5,87.5
83,ED,2017-11-24,86.9,86.9
84,ED,2017-11-22,86.66,86.66
85,ED,2017-11-21,86.48,86.48
86,ED,2017-11-20,86.0,86.0
87,ED,2017-11-17,86.53,86.53
88,ED,2017-11-16,87.36,87.36
89,ED,2017-11-15,88.02,88.02
90,ED,2017-11-14,88.96,88.96
91,ED,2017-11-13,88.31,88.31
92,ED,2017-11-10,87.19,87.19
93,ED,2017-11-09,87.66,87.66
94,ED,2017-11-07,87.69,87.69
95,ED,2017-11-06,86.32,86.32
96,ED,2017-11-03,87.04,87.04
97,ED,2017-11-02,86.8,86.8
98,ED,2017-11-01,85.8,85.8
99,ED,2017-10-31,86.05,86.05
100,ED,2017-10-30,85.9,85.9
101,ED,2017-10-27,85.92,85.92
102,ED,2017-10-26,85.5,85.5
103,ED,2017-10-25,85.34,85.34
104,ED,2017-10-24,85.76,85.76
105,ED,2017-10-23,85.1,85.1
106,ED,2017-10-20,84.86,84.86
107,ED,2017-10-19,84.84,84.84
108,ED,2017-10-18,83.78,83.78
109,ED,2017-10-17,83.56,83.56
110,ED,2017-10-16,82.85,82.85
111,ED,2017-10-13,83.08,83.08
112,ED,2017-10-12,83.53,83.53
113,ED,2017-10-11,82.84,82.84
114,ED,2017-10-10,82.4,82.4
115,ED,2017-10-09,81.49,81.49
116,ED,2017-10-06,81.56,81.56
117,ED,2017-10-05,81.77,81.77
118,ED,2017-10-04,81.78,81.78
119,ED,2017-10-03,80.9,80.9
120,ED,2017-10-02,81.11,81.11
121,ED,2017-09-29,80.68,80.68
122,ED,2017-09-28,80.71,80.71
123,ED,2017-09-27,80.62,80.62
124,ED,2017-09-26,81.84,81.84
125,ED,2017-09-25,82.24,82.24
126,ED,2017-09-22,81.59,81.59
127,ED,2017-09-21,82.43,82.43
128,ED,2017-09-20,82.6,82.6
129,ED,2017-09-19,83.41,83.41
130,ED,2017-09-18,83.57,83.57
131,ED,2017-09-15,84.44,84.44
132,ED,2017-09-14,84.51,84.51
133,ED,2017-09-13,83.76,83.76
134,ED,2017-09-12,84.21,84.21
135,ED,2017-09-11,86.05,86.05
136,ED,2017-09-08,85.53,85.53
137,ED,2017-09-07,84.74,84.74
138,ED,2017-09-06,84.05,84.05
139,ED,2017-09-05,84.37,84.37
140,ED,2017-09-01,83.99,83.99
141,ED,2017-08-31,84.27,84.27
142,ED,2017-08-30,84.08,84.08
143,ED,2017-08-29,84.42,84.42
144,ED,2017-08-28,84.59,84.59
145,ED,2017-08-25,84.48,84.48
146,ED,2017-08-24,84.23,84.23
147,ED,2017-08-23,84.26,84.26
148,ED,2017-08-22,83.93,83.93
149,ED,2017-08-21,83.75,83.75
150,ED,2017-08-18,83.53,83.53
151,ED,2017-08-17,83.02,83.02
152,ED,2017-08-16,83.44,83.44
153,ED,2017-08-15,83.05,83.05
154,ED,2017-08-14,82.55,82.55
155,ED,2017-08-11,82.87,82.183067035079
156,ED,2017-08-10,83.64,82.946684286401
157,ED,2017-08-09,83.26,82.56983421432
158,ED,2017-08-08,84.06,83.363202787122
159,ED,2017-08-07,83.5,82.807844786161
160,ED,2017-08-04,82.8,82.113647284959
161,ED,2017-08-03,83.12,82.43099471408
162,ED,2017-08-02,82.7,82.014476213359
163,ED,2017-08-01,82.74,82.054144641999
164,ED,2017-07-31,82.86,82.173149927919
165,ED,2017-07-28,82.38,81.697128784238
166,ED,2017-07-27,82.29,81.607874819798
167,ED,2017-07-26,82.11,81.429366890918
168,ED,2017-07-25,81.51,80.834340461317
169,ED,2017-07-24,82.14,81.459118212398
170,ED,2017-07-21,82.93,82.242569678039
171,ED,2017-07-20,82.41,81.726880105718
172,ED,2017-07-19,81.75,81.072351033157
173,ED,2017-07-18,81.21,80.536827246516
174,ED,2017-07-17,81.11,80.437656174916
175,ED,2017-07-14,80.73,80.060806102835
176,ED,2017-07-13,80.33,79.664121816434
177,ED,2017-07-12,81.11,80.437656174916
178,ED,2017-07-11,80.41,79.743458673715
179,ED,2017-07-10,80.37,79.703790245074
180,ED,2017-07-07,80.53,79.862463959635
181,ED,2017-07-06,80.39,79.723624459395
182,ED,2017-07-05,80.47,79.802961316675
183,ED,2017-07-03,80.57,79.902132388275
