None,ticker,date,close,adj_close
0,EFX,2018-03-27,116.42,116.42
1,EFX,2018-03-26,117.97,117.97
2,EFX,2018-03-23,115.85,115.85
3,EFX,2018-03-22,117.63,117.63
4,EFX,2018-03-21,121.07,121.07
5,EFX,2018-03-20,123.09,123.09
6,EFX,2018-03-19,122.26,122.26
7,EFX,2018-03-16,123.46,123.46
8,EFX,2018-03-15,123.65,123.65
9,EFX,2018-03-14,123.19,123.19
10,EFX,2018-03-13,123.74,123.74
11,EFX,2018-03-12,124.87,124.87
12,EFX,2018-03-09,124.92,124.92
13,EFX,2018-03-08,120.96,120.96
14,EFX,2018-03-07,121.12,121.12
15,EFX,2018-03-06,121.39,121.39
16,EFX,2018-03-05,121.35,121.35
17,EFX,2018-03-02,117.23,117.23
18,EFX,2018-03-01,111.5,111.5
19,EFX,2018-02-28,113.0,113.0
20,EFX,2018-02-27,114.19,114.19
21,EFX,2018-02-26,115.04,115.04
22,EFX,2018-02-23,115.4,115.4
23,EFX,2018-02-22,115.21,115.21
24,EFX,2018-02-21,113.83,113.83
25,EFX,2018-02-20,115.55,115.55
26,EFX,2018-02-16,117.46,117.46
27,EFX,2018-02-15,117.17,117.17
28,EFX,2018-02-14,114.05,114.05
29,EFX,2018-02-13,114.55,114.55
30,EFX,2018-02-12,114.4,114.4
31,EFX,2018-02-09,112.2,112.2
32,EFX,2018-02-08,114.0,114.0
33,EFX,2018-02-07,117.6,117.6
34,EFX,2018-02-06,118.41,118.41
35,EFX,2018-02-05,118.4,118.4
36,EFX,2018-02-02,121.49,121.49
37,EFX,2018-02-01,124.15,124.15
38,EFX,2018-01-31,124.93,124.93
39,EFX,2018-01-30,123.08,123.08
40,EFX,2018-01-29,124.77,124.77
41,EFX,2018-01-26,127.49,127.49
42,EFX,2018-01-25,126.75,126.75
43,EFX,2018-01-24,125.73,125.73
44,EFX,2018-01-23,124.99,124.99
45,EFX,2018-01-22,125.0,125.0
46,EFX,2018-01-19,124.53,124.53
47,EFX,2018-01-18,122.84,122.84
48,EFX,2018-01-17,123.22,123.22
49,EFX,2018-01-16,122.16,122.16
50,EFX,2018-01-12,122.85,122.85
51,EFX,2018-01-11,121.49,121.49
52,EFX,2018-01-10,121.18,121.18
53,EFX,2018-01-09,122.25,122.25
54,EFX,2018-01-08,121.99,121.99
55,EFX,2018-01-05,122.83,122.83
56,EFX,2018-01-04,121.64,121.64
57,EFX,2018-01-03,120.16,120.16
58,EFX,2018-01-02,119.54,119.54
59,EFX,2017-12-29,117.92,117.92
60,EFX,2017-12-28,119.73,119.73
61,EFX,2017-12-27,119.78,119.78
62,EFX,2017-12-26,118.98,118.98
63,EFX,2017-12-22,119.73,119.73
64,EFX,2017-12-21,119.57,119.57
65,EFX,2017-12-20,118.89,118.89
66,EFX,2017-12-19,119.44,119.44
67,EFX,2017-12-18,118.33,118.33
68,EFX,2017-12-15,119.51,119.51
69,EFX,2017-12-14,118.19,118.19
70,EFX,2017-12-13,117.4,117.4
71,EFX,2017-12-12,118.22,118.22
72,EFX,2017-12-11,118.52,118.52
73,EFX,2017-12-08,117.4,117.4
74,EFX,2017-12-07,116.83,116.83
75,EFX,2017-12-06,115.69,115.69
76,EFX,2017-12-05,114.39,114.39
77,EFX,2017-12-04,113.4,113.4
78,EFX,2017-12-01,112.93,112.93
79,EFX,2017-11-30,114.12,114.12
80,EFX,2017-11-29,112.65,112.65
81,EFX,2017-11-28,112.09,112.09
82,EFX,2017-11-27,110.5,110.5
83,EFX,2017-11-24,109.9,109.9
84,EFX,2017-11-22,109.81,109.81
85,EFX,2017-11-21,110.71,110.71
86,EFX,2017-11-20,110.91,110.91
87,EFX,2017-11-17,111.37,111.37
88,EFX,2017-11-16,109.58,109.58
89,EFX,2017-11-15,110.21,110.21
90,EFX,2017-11-14,109.31,109.31
91,EFX,2017-11-13,108.79,108.79
92,EFX,2017-11-10,108.74,108.74
93,EFX,2017-11-09,108.95,108.95
94,EFX,2017-11-07,107.42,107.42
95,EFX,2017-11-06,108.03,108.03
96,EFX,2017-11-03,108.7,108.7
97,EFX,2017-11-02,108.92,108.92
98,EFX,2017-11-01,109.8,109.8
99,EFX,2017-10-31,108.53,108.53
100,EFX,2017-10-30,109.01,109.01
101,EFX,2017-10-27,109.39,109.39
102,EFX,2017-10-26,108.95,108.95
103,EFX,2017-10-25,107.54,107.54
104,EFX,2017-10-24,108.8,108.8
105,EFX,2017-10-23,109.36,109.36
106,EFX,2017-10-20,109.97,109.97
107,EFX,2017-10-19,110.51,110.51
108,EFX,2017-10-18,110.62,110.62
109,EFX,2017-10-17,108.58,108.58
110,EFX,2017-10-16,108.7,108.7
111,EFX,2017-10-13,109.5,109.5
112,EFX,2017-10-12,108.81,108.81
113,EFX,2017-10-11,110.5,110.5
114,EFX,2017-10-10,113.54,113.54
115,EFX,2017-10-09,112.25,112.25
116,EFX,2017-10-06,111.34,111.34
117,EFX,2017-10-05,112.97,112.97
118,EFX,2017-10-04,111.93,111.93
119,EFX,2017-10-03,110.45,110.45
120,EFX,2017-10-02,107.81,107.81
121,EFX,2017-09-29,105.99,105.99
122,EFX,2017-09-28,106.37,106.37
123,EFX,2017-09-27,106.44,106.44
124,EFX,2017-09-26,106.05,106.05
125,EFX,2017-09-25,105.09,105.09
126,EFX,2017-09-22,105.04,105.04
127,EFX,2017-09-21,98.25,98.25
128,EFX,2017-09-20,96.0,96.0
129,EFX,2017-09-19,94.87,94.87
130,EFX,2017-09-18,94.38,94.38
131,EFX,2017-09-15,92.98,92.98
132,EFX,2017-09-14,96.66,96.66
133,EFX,2017-09-13,98.99,98.99
134,EFX,2017-09-12,115.96,115.96
135,EFX,2017-09-11,113.12,113.12
136,EFX,2017-09-08,123.23,123.23
137,EFX,2017-09-07,142.72,142.72
138,EFX,2017-09-06,141.39,141.39
139,EFX,2017-09-05,141.1,141.1
140,EFX,2017-09-01,141.59,141.59
141,EFX,2017-08-31,142.47,142.47
142,EFX,2017-08-30,141.42,141.42
143,EFX,2017-08-29,140.8,140.8
144,EFX,2017-08-28,140.62,140.62
145,EFX,2017-08-25,140.7,140.7
146,EFX,2017-08-24,140.38,140.38
147,EFX,2017-08-23,140.98,140.98
148,EFX,2017-08-22,142.22,141.82765508948
149,EFX,2017-08-21,139.84,139.45422083893
150,EFX,2017-08-18,139.89,139.50408290302
151,EFX,2017-08-17,140.63,140.24204145151
152,EFX,2017-08-16,143.0,142.60550328924
153,EFX,2017-08-15,142.88,142.48583433543
154,EFX,2017-08-14,142.81,142.41602744571
155,EFX,2017-08-11,141.35,140.96005517437
156,EFX,2017-08-10,142.06,141.6680964844
157,EFX,2017-08-09,142.94,142.54566881234
158,EFX,2017-08-08,142.37,141.97724128174
159,EFX,2017-08-07,145.47,145.06868925515
160,EFX,2017-08-04,145.43,145.02879960388
161,EFX,2017-08-03,144.94,144.54015137582
162,EFX,2017-08-02,145.49,145.08863408078
163,EFX,2017-08-01,146.26,145.85650986772
164,EFX,2017-07-31,145.44,145.03877201669
165,EFX,2017-07-28,145.09,144.68973756808
166,EFX,2017-07-27,142.68,142.28638607908
167,EFX,2017-07-26,146.21,145.80664780364
168,EFX,2017-07-25,144.8,144.40053759638
169,EFX,2017-07-24,144.52,144.12131003749
170,EFX,2017-07-21,143.89,143.49304802999
171,EFX,2017-07-20,142.99,142.59553087642
172,EFX,2017-07-19,142.72,142.32627573035
173,EFX,2017-07-18,141.52,141.12958619226
174,EFX,2017-07-17,140.06,139.67361392092
175,EFX,2017-07-14,139.77,139.38441394921
176,EFX,2017-07-13,139.13,138.7461795289
177,EFX,2017-07-12,139.8,139.41433118766
178,EFX,2017-07-11,138.93,138.54673127255
179,EFX,2017-07-10,139.0,138.61653816227
180,EFX,2017-07-07,138.37,137.98827615477
181,EFX,2017-07-06,137.22,136.84144868077
182,EFX,2017-07-05,139.55,139.16502086723
183,EFX,2017-07-03,138.01,137.62926929334
184,EFX,2017-06-30,137.42,137.04089693712
185,EFX,2017-06-29,137.15,136.77164179104
186,EFX,2017-06-28,139.51,139.12513121596
187,EFX,2017-06-27,138.35,137.96833132914
188,EFX,2017-06-26,139.43,139.04535191342
189,EFX,2017-06-23,139.39,139.00546226215
190,EFX,2017-06-22,138.93,138.54673127255
191,EFX,2017-06-21,139.03,138.64645540072
192,EFX,2017-06-20,139.56,139.17499328005
193,EFX,2017-06-19,141.8,141.40881375115
194,EFX,2017-06-16,142.58,142.18666195091
195,EFX,2017-06-15,141.62,141.22931032044
196,EFX,2017-06-14,141.01,140.62099313857
197,EFX,2017-06-13,140.34,139.9528414798
198,EFX,2017-06-12,136.83,136.45252458089
199,EFX,2017-06-09,135.52,135.1461385018
200,EFX,2017-06-08,135.45,135.07633161208
201,EFX,2017-06-07,137.38,137.00100728585
202,EFX,2017-06-06,137.13,136.75169696541
