None,ticker,date,close,adj_close
0,EL,2018-03-27,146.69,146.69
1,EL,2018-03-26,148.21,148.21
2,EL,2018-03-23,143.8,143.8
3,EL,2018-03-22,144.5,144.5
4,EL,2018-03-21,146.13,146.13
5,EL,2018-03-20,148.2,148.2
6,EL,2018-03-19,145.86,145.86
7,EL,2018-03-16,146.27,146.27
8,EL,2018-03-15,144.12,144.12
9,EL,2018-03-14,145.09,145.09
10,EL,2018-03-13,145.78,145.78
11,EL,2018-03-12,145.37,145.37
12,EL,2018-03-09,145.05,145.05
13,EL,2018-03-08,144.39,144.39
14,EL,2018-03-07,143.55,143.55
15,EL,2018-03-06,142.68,142.68
16,EL,2018-03-05,141.64,141.64
17,EL,2018-03-02,140.65,140.65
18,EL,2018-03-01,138.54,138.54
19,EL,2018-02-28,138.44,138.44
20,EL,2018-02-27,139.78,139.78
21,EL,2018-02-26,143.29,143.29
22,EL,2018-02-23,142.39,142.39
23,EL,2018-02-22,140.15,140.15
24,EL,2018-02-21,139.82,139.82
25,EL,2018-02-20,139.35,139.35
26,EL,2018-02-16,141.04,141.04
27,EL,2018-02-15,139.63,139.63
28,EL,2018-02-14,139.73,139.73
29,EL,2018-02-13,137.5,137.5
30,EL,2018-02-12,137.03,137.03
31,EL,2018-02-09,134.75,134.75
32,EL,2018-02-08,131.46,131.46
33,EL,2018-02-07,134.71,134.71
34,EL,2018-02-06,137.22,137.22
35,EL,2018-02-05,134.3,134.3
36,EL,2018-02-02,134.39,134.39
37,EL,2018-02-01,134.56,134.56
38,EL,2018-01-31,134.96,134.96
39,EL,2018-01-30,136.63,136.63
40,EL,2018-01-29,136.6,136.6
41,EL,2018-01-26,137.71,137.71
42,EL,2018-01-25,137.17,137.17
43,EL,2018-01-24,136.25,136.25
44,EL,2018-01-23,136.72,136.72
45,EL,2018-01-22,134.87,134.87
46,EL,2018-01-19,134.45,134.45
47,EL,2018-01-18,130.98,130.98
48,EL,2018-01-17,132.06,132.06
49,EL,2018-01-16,128.66,128.66
50,EL,2018-01-12,128.53,128.53
51,EL,2018-01-11,129.09,129.09
52,EL,2018-01-10,130.32,130.32
53,EL,2018-01-09,131.7,131.7
54,EL,2018-01-08,130.97,130.97
55,EL,2018-01-05,129.99,129.99
56,EL,2018-01-04,130.23,130.23
57,EL,2018-01-03,129.62,129.62
58,EL,2018-01-02,127.59,127.59
59,EL,2017-12-29,127.24,127.24
60,EL,2017-12-28,127.89,127.89
