None,ticker,date,close,adj_close
0,EMN,2018-03-27,105.0,105.0
1,EMN,2018-03-26,105.29,105.29
2,EMN,2018-03-23,102.8,102.8
3,EMN,2018-03-22,103.97,103.97
4,EMN,2018-03-21,107.47,107.47
5,EMN,2018-03-20,106.08,106.08
6,EMN,2018-03-19,106.53,106.53
7,EMN,2018-03-16,107.79,107.79
8,EMN,2018-03-15,106.97,106.97
9,EMN,2018-03-14,107.49,107.49
10,EMN,2018-03-13,109.35,109.35
11,EMN,2018-03-12,110.84,110.84
12,EMN,2018-03-09,109.29,109.29
13,EMN,2018-03-08,105.9,105.9
14,EMN,2018-03-07,106.16,106.16
15,EMN,2018-03-06,105.82,105.82
16,EMN,2018-03-05,103.12,103.12
17,EMN,2018-03-02,100.75,100.75
18,EMN,2018-03-01,100.41,100.41
19,EMN,2018-02-28,101.08,101.08
20,EMN,2018-02-27,102.31,102.31
21,EMN,2018-02-26,104.21,104.21
22,EMN,2018-02-23,103.44,103.44
23,EMN,2018-02-22,101.51,101.51
24,EMN,2018-02-21,101.09,101.09
25,EMN,2018-02-20,100.29,100.29
26,EMN,2018-02-16,100.13,100.13
27,EMN,2018-02-15,100.11,100.11
28,EMN,2018-02-14,99.7,99.7
29,EMN,2018-02-13,97.9,97.9
30,EMN,2018-02-12,97.52,97.52
31,EMN,2018-02-09,94.8,94.8
32,EMN,2018-02-08,93.57,93.57
33,EMN,2018-02-07,98.98,98.98
34,EMN,2018-02-06,99.02,99.02
35,EMN,2018-02-05,97.11,97.11
36,EMN,2018-02-02,99.27,99.27
37,EMN,2018-02-01,98.42,98.42
38,EMN,2018-01-31,99.18,99.18
39,EMN,2018-01-30,100.02,100.02
40,EMN,2018-01-29,101.23,101.23
41,EMN,2018-01-26,102.31,102.31
42,EMN,2018-01-25,100.28,100.28
43,EMN,2018-01-24,98.64,98.64
44,EMN,2018-01-23,97.96,97.96
45,EMN,2018-01-22,97.77,97.77
46,EMN,2018-01-19,98.13,98.13
47,EMN,2018-01-18,96.83,96.83
48,EMN,2018-01-17,96.86,96.86
49,EMN,2018-01-16,96.81,96.81
50,EMN,2018-01-12,97.43,97.43
51,EMN,2018-01-11,97.5,97.5
52,EMN,2018-01-10,97.25,97.25
53,EMN,2018-01-09,97.27,97.27
54,EMN,2018-01-08,97.48,97.48
55,EMN,2018-01-05,97.11,97.11
56,EMN,2018-01-04,96.51,96.51
57,EMN,2018-01-03,95.35,95.35
58,EMN,2018-01-02,94.27,94.27
59,EMN,2017-12-29,92.64,92.64
60,EMN,2017-12-28,93.42,93.42
61,EMN,2017-12-27,92.53,92.53
62,EMN,2017-12-26,92.98,92.98
63,EMN,2017-12-22,92.65,92.65
64,EMN,2017-12-21,92.91,92.91
65,EMN,2017-12-20,93.03,93.03
66,EMN,2017-12-19,92.33,92.33
67,EMN,2017-12-18,91.74,91.74
68,EMN,2017-12-15,90.23,90.23
69,EMN,2017-12-14,91.01,91.01
70,EMN,2017-12-13,93.08,93.08
71,EMN,2017-12-12,93.02,93.02
72,EMN,2017-12-11,92.8,92.8
73,EMN,2017-12-08,92.18,92.18
74,EMN,2017-12-07,91.5,91.5
75,EMN,2017-12-06,90.61,90.61
76,EMN,2017-12-05,91.2,91.2
77,EMN,2017-12-04,91.4,91.4
78,EMN,2017-12-01,91.98,91.98
79,EMN,2017-11-30,92.37,92.37
80,EMN,2017-11-29,91.41,91.41
81,EMN,2017-11-28,91.69,91.69
82,EMN,2017-11-27,90.89,90.89
83,EMN,2017-11-24,91.14,91.14
84,EMN,2017-11-22,90.9,90.9
85,EMN,2017-11-21,91.01,91.01
86,EMN,2017-11-20,90.05,90.05
87,EMN,2017-11-17,89.74,89.74
88,EMN,2017-11-16,90.15,90.15
89,EMN,2017-11-15,89.55,89.55
90,EMN,2017-11-14,90.24,90.24
91,EMN,2017-11-13,91.43,91.43
92,EMN,2017-11-10,90.75,90.75
93,EMN,2017-11-09,89.98,89.98
94,EMN,2017-11-07,90.61,90.61
95,EMN,2017-11-06,90.36,90.36
96,EMN,2017-11-03,91.32,91.32
97,EMN,2017-11-02,91.13,91.13
98,EMN,2017-11-01,90.98,90.98
99,EMN,2017-10-31,90.81,90.81
100,EMN,2017-10-30,91.82,91.82
101,EMN,2017-10-27,93.0,93.0
102,EMN,2017-10-26,91.04,91.04
103,EMN,2017-10-25,90.65,90.65
104,EMN,2017-10-24,90.47,90.47
105,EMN,2017-10-23,88.67,88.67
106,EMN,2017-10-20,88.82,88.82
107,EMN,2017-10-19,88.79,88.79
108,EMN,2017-10-18,88.06,88.06
109,EMN,2017-10-17,87.3,87.3
110,EMN,2017-10-16,87.87,87.87
111,EMN,2017-10-13,88.65,88.65
112,EMN,2017-10-12,88.36,88.36
113,EMN,2017-10-11,88.15,88.15
114,EMN,2017-10-10,88.78,88.78
115,EMN,2017-10-09,89.65,89.65
116,EMN,2017-10-06,91.0,91.0
117,EMN,2017-10-05,90.83,90.83
118,EMN,2017-10-04,89.7,89.7
119,EMN,2017-10-03,91.27,91.27
120,EMN,2017-10-02,90.98,90.98
121,EMN,2017-09-29,90.49,90.49
122,EMN,2017-09-28,89.96,89.96
123,EMN,2017-09-27,87.35,87.35
124,EMN,2017-09-26,86.84,86.84
125,EMN,2017-09-25,87.66,87.66
126,EMN,2017-09-22,86.48,86.48
127,EMN,2017-09-21,85.8,85.8
128,EMN,2017-09-20,86.05,86.05
129,EMN,2017-09-19,86.67,86.67
130,EMN,2017-09-18,85.41,85.41
131,EMN,2017-09-15,84.96,84.96
132,EMN,2017-09-14,85.05,85.05
133,EMN,2017-09-13,85.6,85.089761570827
134,EMN,2017-09-12,86.2,85.68618513324
135,EMN,2017-09-11,85.59,85.079821178121
136,EMN,2017-09-08,84.83,84.324351332398
137,EMN,2017-09-07,84.83,84.324351332398
138,EMN,2017-09-06,85.07,84.562920757363
139,EMN,2017-09-05,85.27,84.761728611501
140,EMN,2017-09-01,87.31,86.789568723703
141,EMN,2017-08-31,86.2,85.68618513324
142,EMN,2017-08-30,85.75,85.238867461431
143,EMN,2017-08-29,84.57,84.06590112202
144,EMN,2017-08-28,85.43,84.920774894811
145,EMN,2017-08-25,84.87,84.364112903226
146,EMN,2017-08-24,84.82,84.314410939691
147,EMN,2017-08-23,84.38,83.877033660589
148,EMN,2017-08-22,84.14,83.638464235624
149,EMN,2017-08-21,83.13,82.63448457223
150,EMN,2017-08-18,82.9,82.405855539972
151,EMN,2017-08-17,82.77,82.276630434783
152,EMN,2017-08-16,85.27,84.761728611501
153,EMN,2017-08-15,84.84,84.334291725105
154,EMN,2017-08-14,84.26,83.757748948107
155,EMN,2017-08-11,83.21,82.714007713885
156,EMN,2017-08-10,83.25,82.753769284712
157,EMN,2017-08-09,84.26,83.757748948107
158,EMN,2017-08-08,84.12,83.61858345021
159,EMN,2017-08-07,84.45,83.946616409537
160,EMN,2017-08-04,84.07,83.568881486676
161,EMN,2017-08-03,83.92,83.419775596073
162,EMN,2017-08-02,83.88,83.380014025245
163,EMN,2017-08-01,83.66,83.161325385694
164,EMN,2017-07-31,83.16,82.664305750351
165,EMN,2017-07-28,83.03,82.535080645161
166,EMN,2017-07-27,85.02,84.513218793829
167,EMN,2017-07-26,85.05,84.543039971949
168,EMN,2017-07-25,86.12,85.606661991585
169,EMN,2017-07-24,85.8,85.288569424965
170,EMN,2017-07-21,85.65,85.139463534362
171,EMN,2017-07-20,85.68,85.169284712482
172,EMN,2017-07-19,86.15,85.636483169705
173,EMN,2017-07-18,85.08,84.57286115007
174,EMN,2017-07-17,85.24,84.73190743338
175,EMN,2017-07-14,85.4,84.89095371669
176,EMN,2017-07-13,85.15,84.642443899018
177,EMN,2017-07-12,85.8,85.288569424965
178,EMN,2017-07-11,85.0,84.493338008415
179,EMN,2017-07-10,84.64,84.135483870968
180,EMN,2017-07-07,83.9,83.399894810659
181,EMN,2017-07-06,83.6,83.101683029453
182,EMN,2017-07-05,83.56,83.061921458626
183,EMN,2017-07-03,84.5,83.996318373072
184,EMN,2017-06-30,83.99,83.489358345021
185,EMN,2017-06-29,83.4,82.902875175316
186,EMN,2017-06-28,84.26,83.757748948107
187,EMN,2017-06-27,83.52,83.022159887798
188,EMN,2017-06-26,83.73,83.230908134642
189,EMN,2017-06-23,82.97,82.47543828892
190,EMN,2017-06-22,82.85,82.356153576438
191,EMN,2017-06-21,83.23,82.733888499299
192,EMN,2017-06-20,85.13,84.622563113604
193,EMN,2017-06-19,86.0,85.487377279102
194,EMN,2017-06-16,83.05,82.554961430575
195,EMN,2017-06-15,82.31,81.819372370266
196,EMN,2017-06-14,82.88,82.385974754558
197,EMN,2017-06-13,83.84,83.340252454418
198,EMN,2017-06-12,83.08,82.085455529497
199,EMN,2017-06-09,82.56,81.571680410631
200,EMN,2017-06-08,81.35,80.376165230194
201,EMN,2017-06-07,80.76,79.793228076097
202,EMN,2017-06-06,80.28,79.318974120221
203,EMN,2017-06-05,80.54,79.575861679654
204,EMN,2017-06-02,81.11,80.139038252257
205,EMN,2017-06-01,81.15,80.178559415246
206,EMN,2017-05-31,80.11,79.151009177515
207,EMN,2017-05-30,79.96,79.002804816304
208,EMN,2017-05-26,79.91,78.953403362567
209,EMN,2017-05-25,79.67,78.716276384629
210,EMN,2017-05-24,79.51,78.558191732671
211,EMN,2017-05-23,79.59,78.63723405865
212,EMN,2017-05-22,79.0,78.054296904553
213,EMN,2017-05-19,78.57,77.629444402414
214,EMN,2017-05-18,77.25,76.325246023756
215,EMN,2017-05-17,77.26,76.335126314503
216,EMN,2017-05-16,79.56,78.607593186408
