None,ticker,date,close,adj_close
0,EMR,2018-03-27,67.92,67.92
1,EMR,2018-03-26,69.51,69.51
2,EMR,2018-03-23,67.36,67.36
3,EMR,2018-03-22,68.77,68.77
4,EMR,2018-03-21,71.15,71.15
5,EMR,2018-03-20,70.55,70.55
6,EMR,2018-03-19,70.73,70.73
7,EMR,2018-03-16,72.38,72.38
8,EMR,2018-03-15,70.93,70.93
9,EMR,2018-03-14,70.74,70.74
10,EMR,2018-03-13,71.23,71.23
11,EMR,2018-03-12,71.42,71.42
12,EMR,2018-03-09,72.27,72.27
13,EMR,2018-03-08,70.21,70.21
14,EMR,2018-03-07,69.59,69.59
15,EMR,2018-03-06,70.47,70.47
16,EMR,2018-03-05,70.15,70.15
17,EMR,2018-03-02,69.36,69.36
18,EMR,2018-03-01,69.58,69.58
19,EMR,2018-02-28,71.06,71.06
20,EMR,2018-02-27,73.09,73.09
21,EMR,2018-02-26,73.53,73.53
22,EMR,2018-02-23,72.19,72.19
23,EMR,2018-02-22,72.09,72.09
24,EMR,2018-02-21,71.81,71.81
25,EMR,2018-02-20,71.07,71.07
26,EMR,2018-02-16,72.99,72.99
27,EMR,2018-02-15,71.5,71.5
28,EMR,2018-02-14,71.31,71.31
29,EMR,2018-02-13,70.38,70.38
30,EMR,2018-02-12,70.31,70.31
31,EMR,2018-02-09,69.07,69.07
32,EMR,2018-02-08,66.4,66.4
33,EMR,2018-02-07,68.96,68.96
34,EMR,2018-02-06,69.25,69.25
35,EMR,2018-02-05,68.44,68.44
36,EMR,2018-02-02,70.57,70.57
37,EMR,2018-02-01,72.58,72.58
38,EMR,2018-01-31,72.23,72.23
39,EMR,2018-01-30,72.47,72.47
40,EMR,2018-01-29,72.99,72.99
41,EMR,2018-01-26,74.05,74.05
42,EMR,2018-01-25,72.68,72.68
43,EMR,2018-01-24,72.63,72.63
44,EMR,2018-01-23,73.12,73.12
45,EMR,2018-01-22,73.26,73.26
46,EMR,2018-01-19,73.14,73.14
47,EMR,2018-01-18,73.45,73.45
48,EMR,2018-01-17,73.07,73.07
49,EMR,2018-01-16,72.83,72.83
50,EMR,2018-01-12,73.91,73.91
51,EMR,2018-01-11,73.88,73.88
52,EMR,2018-01-10,72.59,72.59
53,EMR,2018-01-09,72.32,72.32
54,EMR,2018-01-08,72.2,72.2
55,EMR,2018-01-05,72.43,72.43
56,EMR,2018-01-04,71.49,71.49
57,EMR,2018-01-03,71.39,71.39
58,EMR,2018-01-02,70.74,70.74
59,EMR,2017-12-29,69.69,69.69
60,EMR,2017-12-28,69.98,69.98
61,EMR,2017-12-27,69.75,69.75
62,EMR,2017-12-26,69.53,69.53
63,EMR,2017-12-22,69.66,69.66
64,EMR,2017-12-21,69.58,69.58
65,EMR,2017-12-20,68.96,68.96
66,EMR,2017-12-19,68.54,68.54
67,EMR,2017-12-18,68.36,68.36
68,EMR,2017-12-15,67.26,67.26
69,EMR,2017-12-14,66.51,66.51
70,EMR,2017-12-13,67.2,67.2
71,EMR,2017-12-12,66.67,66.67
72,EMR,2017-12-11,66.41,66.41
73,EMR,2017-12-08,66.55,66.55
74,EMR,2017-12-07,65.78,65.78
75,EMR,2017-12-06,64.73,64.73
76,EMR,2017-12-05,64.68,64.68
77,EMR,2017-12-04,65.1,65.1
78,EMR,2017-12-01,64.69,64.69
79,EMR,2017-11-30,64.82,64.82
80,EMR,2017-11-29,63.87,63.87
81,EMR,2017-11-28,64.15,64.15
82,EMR,2017-11-27,61.88,61.88
83,EMR,2017-11-24,61.63,61.63
84,EMR,2017-11-22,61.88,61.88
85,EMR,2017-11-21,60.35,60.35
86,EMR,2017-11-20,60.26,60.26
87,EMR,2017-11-17,59.85,59.85
88,EMR,2017-11-16,59.02,59.02
89,EMR,2017-11-15,59.59,59.59
90,EMR,2017-11-14,60.74,60.74
91,EMR,2017-11-13,61.39,61.39
92,EMR,2017-11-10,61.61,61.61
93,EMR,2017-11-09,61.48,61.48
94,EMR,2017-11-07,63.08,63.08
95,EMR,2017-11-06,64.52,64.52
96,EMR,2017-11-03,64.1,64.1
97,EMR,2017-11-02,63.62,63.62
98,EMR,2017-11-01,64.07,64.07
99,EMR,2017-10-31,64.46,64.46
100,EMR,2017-10-30,67.34,67.34
101,EMR,2017-10-27,67.38,67.38
102,EMR,2017-10-26,66.83,66.83
103,EMR,2017-10-25,66.54,66.54
104,EMR,2017-10-24,66.74,66.74
105,EMR,2017-10-23,66.1,66.1
106,EMR,2017-10-20,65.78,65.78
107,EMR,2017-10-19,65.16,65.16
108,EMR,2017-10-18,65.51,65.51
109,EMR,2017-10-17,65.48,65.48
110,EMR,2017-10-16,64.44,64.44
111,EMR,2017-10-13,63.97,63.97
112,EMR,2017-10-12,63.92,63.92
113,EMR,2017-10-11,63.43,63.43
114,EMR,2017-10-10,63.42,63.42
115,EMR,2017-10-09,63.82,63.82
116,EMR,2017-10-06,63.7,63.7
117,EMR,2017-10-05,63.98,63.98
118,EMR,2017-10-04,63.92,63.92
