None,ticker,date,close,adj_close
0,EOG,2018-03-27,106.33,106.33
1,EOG,2018-03-26,107.57,107.57
2,EOG,2018-03-23,105.86,105.86
3,EOG,2018-03-22,104.29,104.29
4,EOG,2018-03-21,104.78,104.78
5,EOG,2018-03-20,101.33,101.33
6,EOG,2018-03-19,98.47,98.47
7,EOG,2018-03-16,100.45,100.45
8,EOG,2018-03-15,98.65,98.65
9,EOG,2018-03-14,99.89,99.89
10,EOG,2018-03-13,100.05,100.05
11,EOG,2018-03-12,100.65,100.65
12,EOG,2018-03-09,102.8,102.8
13,EOG,2018-03-08,100.59,100.59
14,EOG,2018-03-07,100.87,100.87
15,EOG,2018-03-06,101.01,101.01
16,EOG,2018-03-05,101.81,101.81
17,EOG,2018-03-02,101.45,101.45
18,EOG,2018-03-01,101.18,101.18
19,EOG,2018-02-28,101.42,101.42
20,EOG,2018-02-27,106.94,106.94
21,EOG,2018-02-26,109.49,109.49
22,EOG,2018-02-23,108.83,108.83
23,EOG,2018-02-22,107.09,107.09
24,EOG,2018-02-21,105.81,105.81
25,EOG,2018-02-20,107.96,107.96
26,EOG,2018-02-16,107.64,107.64
27,EOG,2018-02-15,107.69,107.69
28,EOG,2018-02-14,106.76,106.76
29,EOG,2018-02-13,102.47,102.47
30,EOG,2018-02-12,103.14,103.14
31,EOG,2018-02-09,100.07,100.07
32,EOG,2018-02-08,101.04,101.04
33,EOG,2018-02-07,105.78,105.78
34,EOG,2018-02-06,108.27,108.27
35,EOG,2018-02-05,109.56,109.56
36,EOG,2018-02-02,112.83,112.83
37,EOG,2018-02-01,116.52,116.52
38,EOG,2018-01-31,115.0,115.0
39,EOG,2018-01-30,115.17,115.17
40,EOG,2018-01-29,116.58,116.58
41,EOG,2018-01-26,117.76,117.76
42,EOG,2018-01-25,117.45,117.45
43,EOG,2018-01-24,118.47,118.47
44,EOG,2018-01-23,117.84,117.84
45,EOG,2018-01-22,116.82,116.82
46,EOG,2018-01-19,114.37,114.37
47,EOG,2018-01-18,114.24,114.24
48,EOG,2018-01-17,113.53,113.53
49,EOG,2018-01-16,113.39,113.39
50,EOG,2018-01-12,115.7,115.7
51,EOG,2018-01-11,115.14,115.14
52,EOG,2018-01-10,112.01,112.01
53,EOG,2018-01-09,111.71,111.71
54,EOG,2018-01-08,112.71,112.71
55,EOG,2018-01-05,112.17,112.17
56,EOG,2018-01-04,110.95,110.95
57,EOG,2018-01-03,110.93,110.93
