None,ticker,date,close,adj_close
0,EQIX,2018-03-27,409.88,409.88
1,EQIX,2018-03-26,409.61,409.61
2,EQIX,2018-03-23,401.68,401.68
3,EQIX,2018-03-22,417.58,417.58
4,EQIX,2018-03-21,411.84,411.84
5,EQIX,2018-03-20,415.26,415.26
6,EQIX,2018-03-19,411.71,411.71
7,EQIX,2018-03-16,419.89,419.89
8,EQIX,2018-03-15,415.23,415.23
9,EQIX,2018-03-14,413.71,413.71
10,EQIX,2018-03-13,405.42,405.42
11,EQIX,2018-03-12,395.35,395.35
12,EQIX,2018-03-09,395.16,395.16
13,EQIX,2018-03-08,389.42,389.42
14,EQIX,2018-03-07,391.38,391.38
15,EQIX,2018-03-06,391.62,391.62
16,EQIX,2018-03-05,388.51,388.51
17,EQIX,2018-03-02,381.82,381.82
18,EQIX,2018-03-01,386.29,386.29
19,EQIX,2018-02-28,392.1,392.1
20,EQIX,2018-02-27,391.21,391.21
21,EQIX,2018-02-26,394.18,394.18
22,EQIX,2018-02-23,394.84,394.84
23,EQIX,2018-02-22,390.45,390.45
24,EQIX,2018-02-21,384.92,384.92
25,EQIX,2018-02-20,396.44,396.44
26,EQIX,2018-02-16,403.3,403.3
27,EQIX,2018-02-15,407.31,407.31
28,EQIX,2018-02-14,435.83,435.83
29,EQIX,2018-02-13,436.25,436.25
30,EQIX,2018-02-12,431.45,431.45
31,EQIX,2018-02-09,425.65,425.65
32,EQIX,2018-02-08,410.155,410.155
33,EQIX,2018-02-07,426.08,426.08
34,EQIX,2018-02-06,430.85,430.85
35,EQIX,2018-02-05,431.53,431.53
36,EQIX,2018-02-02,437.35,437.35
37,EQIX,2018-02-01,444.54,444.54
38,EQIX,2018-01-31,455.19,455.19
39,EQIX,2018-01-30,439.56,439.56
40,EQIX,2018-01-29,435.16,435.16
41,EQIX,2018-01-26,441.59,441.59
42,EQIX,2018-01-25,439.17,439.17
43,EQIX,2018-01-24,441.3,441.3
44,EQIX,2018-01-23,442.0,442.0
45,EQIX,2018-01-22,436.05,436.05
46,EQIX,2018-01-19,437.89,437.89
47,EQIX,2018-01-18,437.45,437.45
48,EQIX,2018-01-17,441.9,441.9
49,EQIX,2018-01-16,448.1,448.1
50,EQIX,2018-01-12,435.95,435.95
51,EQIX,2018-01-11,435.39,435.39
52,EQIX,2018-01-10,443.0,443.0
53,EQIX,2018-01-09,455.98,455.98
54,EQIX,2018-01-08,458.2,458.2
55,EQIX,2018-01-05,449.49,449.49
56,EQIX,2018-01-04,447.95,447.95
57,EQIX,2018-01-03,448.98,448.98
58,EQIX,2018-01-02,446.92,446.92
59,EQIX,2017-12-29,453.22,453.22
60,EQIX,2017-12-28,455.11,455.11
61,EQIX,2017-12-27,451.69,451.69
62,EQIX,2017-12-26,446.7,446.7
63,EQIX,2017-12-22,446.6,446.6
64,EQIX,2017-12-21,445.89,445.89
65,EQIX,2017-12-20,447.2,447.2
66,EQIX,2017-12-19,448.52,448.52
67,EQIX,2017-12-18,455.82,455.82
68,EQIX,2017-12-15,457.85,457.85
69,EQIX,2017-12-14,460.35,460.35
70,EQIX,2017-12-13,451.28,451.28
71,EQIX,2017-12-12,450.21,450.21
72,EQIX,2017-12-11,449.58,449.58
73,EQIX,2017-12-08,452.39,452.39
74,EQIX,2017-12-07,455.77,455.77
75,EQIX,2017-12-06,450.24,450.24
76,EQIX,2017-12-05,445.59,445.59
77,EQIX,2017-12-04,442.28,442.28
78,EQIX,2017-12-01,469.16,469.16
79,EQIX,2017-11-30,464.49,464.49
80,EQIX,2017-11-29,468.32,468.32
81,EQIX,2017-11-28,477.95,477.95
82,EQIX,2017-11-27,478.92,478.92
83,EQIX,2017-11-24,474.07,474.07
84,EQIX,2017-11-22,472.37,472.37
85,EQIX,2017-11-21,474.26,474.26
86,EQIX,2017-11-20,471.89,471.89
87,EQIX,2017-11-17,472.8,472.8
88,EQIX,2017-11-16,475.09,475.09
89,EQIX,2017-11-15,474.42,474.42
90,EQIX,2017-11-14,481.05,481.05
91,EQIX,2017-11-13,484.12,484.12
92,EQIX,2017-11-10,482.21,482.21
93,EQIX,2017-11-09,484.86,484.86
94,EQIX,2017-11-07,488.06,488.06
95,EQIX,2017-11-06,491.62,491.62
96,EQIX,2017-11-03,486.65,486.65
97,EQIX,2017-11-02,488.68,488.68
98,EQIX,2017-11-01,467.06,467.06
99,EQIX,2017-10-31,463.5,463.5
100,EQIX,2017-10-30,459.73,459.73
101,EQIX,2017-10-27,456.51,456.51
102,EQIX,2017-10-26,454.2,454.2
103,EQIX,2017-10-25,457.93,457.93
104,EQIX,2017-10-24,462.97,462.97
105,EQIX,2017-10-23,458.81,458.81
106,EQIX,2017-10-20,468.76,468.76
107,EQIX,2017-10-19,470.55,470.55
108,EQIX,2017-10-18,471.23,471.23
109,EQIX,2017-10-17,461.58,461.58
110,EQIX,2017-10-16,461.35,461.35
111,EQIX,2017-10-13,462.82,462.82
112,EQIX,2017-10-12,464.7,464.7
113,EQIX,2017-10-11,458.97,458.97
114,EQIX,2017-10-10,451.89,451.89
115,EQIX,2017-10-09,451.32,451.32
116,EQIX,2017-10-06,448.83,448.83
117,EQIX,2017-10-05,445.42,445.42
118,EQIX,2017-10-04,442.97,442.97
119,EQIX,2017-10-03,442.36,442.36
120,EQIX,2017-10-02,444.48,444.48
121,EQIX,2017-09-29,446.3,446.3
122,EQIX,2017-09-28,441.72,441.72
123,EQIX,2017-09-27,441.93,441.93
124,EQIX,2017-09-26,434.42,434.42
125,EQIX,2017-09-25,437.21,437.21
126,EQIX,2017-09-22,441.66,441.66
127,EQIX,2017-09-21,446.57,446.57
128,EQIX,2017-09-20,449.24,449.24
129,EQIX,2017-09-19,453.04,453.04
130,EQIX,2017-09-18,450.15,450.15
131,EQIX,2017-09-15,455.31,455.31
132,EQIX,2017-09-14,454.91,454.91
133,EQIX,2017-09-13,458.87,458.87
134,EQIX,2017-09-12,468.38,468.38
135,EQIX,2017-09-11,474.42,474.42
136,EQIX,2017-09-08,462.0,462.0
137,EQIX,2017-09-07,464.82,464.82
138,EQIX,2017-09-06,463.52,463.52
139,EQIX,2017-09-05,463.49,463.49
140,EQIX,2017-09-01,465.96,465.96
141,EQIX,2017-08-31,468.41,468.41
142,EQIX,2017-08-30,465.67,465.67
143,EQIX,2017-08-29,466.24,466.24
144,EQIX,2017-08-28,462.91,462.91
145,EQIX,2017-08-25,466.19,466.19
146,EQIX,2017-08-24,463.53,463.53
147,EQIX,2017-08-23,461.8,461.8
148,EQIX,2017-08-22,456.29,456.29
149,EQIX,2017-08-21,450.29,450.29
150,EQIX,2017-08-18,450.0,448.01012624643
151,EQIX,2017-08-17,451.55,449.55327223684
152,EQIX,2017-08-16,454.79,452.77894514581
153,EQIX,2017-08-15,448.33,446.34751088903
154,EQIX,2017-08-14,449.49,447.50238143669
155,EQIX,2017-08-11,438.365,436.42657553782
156,EQIX,2017-08-10,439.48,437.53664507285
157,EQIX,2017-08-09,447.96,445.97914700745
158,EQIX,2017-08-08,441.53,439.57758009242
159,EQIX,2017-08-07,444.23,442.2656408499
160,EQIX,2017-08-04,445.58,443.60967122864
161,EQIX,2017-08-03,449.36,447.37295628911
162,EQIX,2017-08-02,455.47,453.45593822547
163,EQIX,2017-08-01,453.08,451.07650666608
164,EQIX,2017-07-31,450.73,448.73689822901
165,EQIX,2017-07-28,447.9,445.91941232395
166,EQIX,2017-07-27,442.87,440.91165469057
167,EQIX,2017-07-26,440.04,438.09416878551
168,EQIX,2017-07-25,436.96,435.02778836587
169,EQIX,2017-07-24,441.6,439.6472705565
170,EQIX,2017-07-21,441.44,439.48797806717
171,EQIX,2017-07-20,441.21,439.25899511375
172,EQIX,2017-07-19,440.5,438.55213469234
173,EQIX,2017-07-18,438.28,436.34195140286
174,EQIX,2017-07-17,435.48,433.55433283955
175,EQIX,2017-07-14,437.7,435.76451612903
176,EQIX,2017-07-13,436.24,434.31097216388
177,EQIX,2017-07-12,437.11,435.17712507462
178,EQIX,2017-07-11,431.04,429.13396626059
179,EQIX,2017-07-10,427.085,425.19645503991
180,EQIX,2017-07-07,423.3,421.42819208915
181,EQIX,2017-07-06,418.43,416.5797269451
182,EQIX,2017-07-05,424.08,422.20474297464
183,EQIX,2017-07-03,422.76,420.89057993765
184,EQIX,2017-06-30,429.16,427.26227951093
185,EQIX,2017-06-29,421.28,419.41712441133
186,EQIX,2017-06-28,430.76,428.85520440425
187,EQIX,2017-06-27,433.65,431.73242499281
188,EQIX,2017-06-26,438.49,436.55102279511
189,EQIX,2017-06-23,434.07,432.15056777731
190,EQIX,2017-06-22,440.29,438.3430633001
191,EQIX,2017-06-21,436.49,434.55986667846
192,EQIX,2017-06-20,433.94,432.02114262973
193,EQIX,2017-06-19,432.22,430.30874836941
194,EQIX,2017-06-16,426.95,425.06205200203
195,EQIX,2017-06-15,433.96,432.0410541909
196,EQIX,2017-06-14,432.1,430.18927900241
197,EQIX,2017-06-13,430.4825,428.57893149307
198,EQIX,2017-06-12,425.01,423.13063056888
199,EQIX,2017-06-09,439.21,437.2678389971
200,EQIX,2017-06-08,440.39,438.44262110593
201,EQIX,2017-06-07,440.69,438.74129452343
202,EQIX,2017-06-06,442.31,440.35413097791
203,EQIX,2017-06-05,444.21,442.24572928873
204,EQIX,2017-06-02,444.32,442.35524287515
205,EQIX,2017-06-01,436.93,434.99792102412
206,EQIX,2017-05-31,441.01,439.05987950209
207,EQIX,2017-05-30,439.91,437.96474363793
208,EQIX,2017-05-26,441.22,439.26895089434
209,EQIX,2017-05-25,444.97,443.00236861306
210,EQIX,2017-05-24,440.43,438.48244422826
211,EQIX,2017-05-23,435.79,433.86296203763
212,EQIX,2017-05-22,434.68,432.75787039289
213,EQIX,2017-05-19,426.74,422.90714851026
214,EQIX,2017-05-18,425.76,421.93595057817
215,EQIX,2017-05-17,426.97,423.13508271881
216,EQIX,2017-05-16,427.64,423.79906497851
217,EQIX,2017-05-15,429.81,425.94957468528
218,EQIX,2017-05-12,431.07,427.19825774082
