None,ticker,date,close,adj_close
0,ES,2018-03-27,58.59,58.59
1,ES,2018-03-26,57.53,57.53
2,ES,2018-03-23,56.79,56.79
3,ES,2018-03-22,57.51,57.51
4,ES,2018-03-21,57.46,57.46
5,ES,2018-03-20,57.67,57.67
6,ES,2018-03-19,58.04,58.04
7,ES,2018-03-16,58.26,58.26
8,ES,2018-03-15,57.58,57.58
9,ES,2018-03-14,57.19,57.19
10,ES,2018-03-13,56.68,56.68
11,ES,2018-03-12,57.06,57.06
12,ES,2018-03-09,57.24,57.24
13,ES,2018-03-08,56.87,56.87
14,ES,2018-03-07,56.29,56.29
15,ES,2018-03-06,56.68,56.68
16,ES,2018-03-05,57.72,57.72
17,ES,2018-03-02,57.1,56.6047574066
18,ES,2018-03-01,56.55,56.0595276943
19,ES,2018-02-28,57.0,57.0
20,ES,2018-02-27,57.39,57.39
21,ES,2018-02-26,58.82,58.82
22,ES,2018-02-23,59.47,59.47
23,ES,2018-02-22,57.48,57.48
24,ES,2018-02-21,57.36,57.36
25,ES,2018-02-20,58.17,58.17
26,ES,2018-02-16,59.12,59.12
27,ES,2018-02-15,58.57,58.57
28,ES,2018-02-14,57.58,57.58
29,ES,2018-02-13,57.62,57.62
30,ES,2018-02-12,57.53,57.53
31,ES,2018-02-09,57.02,57.02
32,ES,2018-02-08,56.11,56.11
33,ES,2018-02-07,56.89,56.89
34,ES,2018-02-06,57.54,57.54
35,ES,2018-02-05,58.33,58.33
36,ES,2018-02-02,59.35,59.35
37,ES,2018-02-01,60.16,60.16
38,ES,2018-01-31,63.09,63.09
39,ES,2018-01-30,62.56,62.56
40,ES,2018-01-29,62.44,62.44
41,ES,2018-01-26,64.07,64.07
42,ES,2018-01-25,64.57,64.57
43,ES,2018-01-24,61.13,61.13
44,ES,2018-01-23,61.12,61.12
45,ES,2018-01-22,60.76,60.76
46,ES,2018-01-19,60.79,60.79
47,ES,2018-01-18,60.81,60.81
48,ES,2018-01-17,61.65,61.65
49,ES,2018-01-16,60.95,60.95
50,ES,2018-01-12,61.35,61.35
51,ES,2018-01-11,61.52,61.52
52,ES,2018-01-10,61.32,61.32
53,ES,2018-01-09,61.78,61.78
54,ES,2018-01-08,62.25,62.25
55,ES,2018-01-05,61.82,61.82
56,ES,2018-01-04,61.71,61.71
57,ES,2018-01-03,62.59,62.59
58,ES,2018-01-02,63.15,63.15
59,ES,2017-12-29,63.18,63.18
60,ES,2017-12-28,62.95,62.95
61,ES,2017-12-27,62.53,62.53
62,ES,2017-12-26,61.96,61.96
63,ES,2017-12-22,62.37,62.37
64,ES,2017-12-21,61.98,61.98
65,ES,2017-12-20,62.22,62.22
66,ES,2017-12-19,62.59,62.59
67,ES,2017-12-18,63.91,63.91
68,ES,2017-12-15,64.62,64.62
69,ES,2017-12-14,64.78,64.78
70,ES,2017-12-13,65.08,65.08
71,ES,2017-12-12,64.21,64.21
72,ES,2017-12-11,65.7,65.7
73,ES,2017-12-08,65.22,65.22
74,ES,2017-12-07,64.91,64.91
75,ES,2017-12-06,65.11,65.11
76,ES,2017-12-05,64.88,64.88
77,ES,2017-12-04,65.48,65.48
78,ES,2017-12-01,65.43,65.43
79,ES,2017-11-30,64.85,64.85
80,ES,2017-11-29,64.61,64.61
81,ES,2017-11-28,64.56,64.56
82,ES,2017-11-27,64.42,64.42
83,ES,2017-11-24,64.33,64.33
84,ES,2017-11-22,63.81,63.81
