None,ticker,date,close,adj_close
0,ESS,2018-03-27,233.95,233.95
1,ESS,2018-03-26,232.63,232.63
2,ESS,2018-03-23,229.17,229.17
3,ESS,2018-03-22,233.6,233.6
4,ESS,2018-03-21,236.79,236.79
5,ESS,2018-03-20,239.46,239.46
6,ESS,2018-03-19,241.99,241.99
7,ESS,2018-03-16,243.67,243.67
8,ESS,2018-03-15,241.71,241.71
9,ESS,2018-03-14,238.67,238.67
10,ESS,2018-03-13,238.05,238.05
11,ESS,2018-03-12,238.74,238.74
12,ESS,2018-03-09,237.52,237.52
13,ESS,2018-03-08,234.15,234.15
14,ESS,2018-03-07,231.48,231.48
15,ESS,2018-03-06,230.05,230.05
16,ESS,2018-03-05,225.71,225.71
17,ESS,2018-03-02,222.22,222.22
18,ESS,2018-03-01,223.97,223.97
19,ESS,2018-02-28,223.83,223.83
20,ESS,2018-02-27,221.83,221.83
21,ESS,2018-02-26,227.11,227.11
22,ESS,2018-02-23,227.27,227.27
23,ESS,2018-02-22,221.59,221.59
24,ESS,2018-02-21,220.15,220.15
25,ESS,2018-02-20,225.44,225.44
26,ESS,2018-02-16,229.67,229.67
27,ESS,2018-02-15,229.57,229.57
28,ESS,2018-02-14,224.76,224.76
29,ESS,2018-02-13,228.28,228.28
30,ESS,2018-02-12,227.85,227.85
31,ESS,2018-02-09,227.94,227.94
32,ESS,2018-02-08,218.28,218.28
33,ESS,2018-02-07,217.81,217.81
34,ESS,2018-02-06,218.82,218.82
35,ESS,2018-02-05,217.99,217.99
36,ESS,2018-02-02,225.38,225.38
37,ESS,2018-02-01,227.17,227.17
38,ESS,2018-01-31,232.98,232.98
39,ESS,2018-01-30,226.75,226.75
40,ESS,2018-01-29,227.74,227.74
41,ESS,2018-01-26,229.83,229.83
42,ESS,2018-01-25,231.26,231.26
43,ESS,2018-01-24,231.55,231.55
44,ESS,2018-01-23,231.83,231.83
45,ESS,2018-01-22,226.6,226.6
46,ESS,2018-01-19,223.63,223.63
47,ESS,2018-01-18,224.6,224.6
48,ESS,2018-01-17,227.36,227.36
49,ESS,2018-01-16,227.6,227.6
50,ESS,2018-01-12,227.1,227.1
51,ESS,2018-01-11,232.44,232.44
52,ESS,2018-01-10,232.22,232.22
53,ESS,2018-01-09,236.27,236.27
54,ESS,2018-01-08,238.16,238.16
55,ESS,2018-01-05,239.37,239.37
56,ESS,2018-01-04,238.72,238.72
57,ESS,2018-01-03,242.54,242.54
58,ESS,2018-01-02,240.08,240.08
59,ESS,2017-12-29,241.37,241.37
60,ESS,2017-12-28,240.91,240.91
61,ESS,2017-12-27,241.23,241.23
62,ESS,2017-12-26,240.56,240.56
63,ESS,2017-12-22,239.39,239.39
64,ESS,2017-12-21,237.57,237.57
65,ESS,2017-12-20,240.3,240.3
66,ESS,2017-12-19,242.82,242.82
67,ESS,2017-12-18,249.87,249.87
68,ESS,2017-12-15,249.79,249.79
69,ESS,2017-12-14,249.0,249.0
70,ESS,2017-12-13,247.98,247.98
71,ESS,2017-12-12,249.15,249.15
72,ESS,2017-12-11,249.16,249.16
73,ESS,2017-12-08,244.31,244.31
74,ESS,2017-12-07,240.61,240.61
75,ESS,2017-12-06,241.96,241.96
76,ESS,2017-12-05,242.99,242.99
77,ESS,2017-12-04,246.28,246.28
78,ESS,2017-12-01,247.04,247.04
79,ESS,2017-11-30,246.99,246.99
80,ESS,2017-11-29,247.68,247.68
81,ESS,2017-11-28,246.77,246.77
82,ESS,2017-11-27,247.61,247.61
83,ESS,2017-11-24,250.37,250.37
84,ESS,2017-11-22,249.97,249.97
85,ESS,2017-11-21,252.11,252.11
86,ESS,2017-11-20,250.21,250.21
87,ESS,2017-11-17,250.85,250.85
88,ESS,2017-11-16,253.94,253.94
89,ESS,2017-11-15,252.15,252.15
90,ESS,2017-11-14,256.82,256.82
91,ESS,2017-11-13,258.63,258.63
92,ESS,2017-11-10,256.38,256.38
93,ESS,2017-11-09,256.95,256.95
94,ESS,2017-11-07,255.0,255.0
95,ESS,2017-11-06,253.81,253.81
96,ESS,2017-11-03,253.98,253.98
97,ESS,2017-11-02,253.84,253.84
98,ESS,2017-11-01,262.53,262.53
99,ESS,2017-10-31,262.43,262.43
100,ESS,2017-10-30,260.8,260.8
101,ESS,2017-10-27,262.4,262.4
102,ESS,2017-10-26,259.65,259.65
103,ESS,2017-10-25,257.53,257.53
104,ESS,2017-10-24,257.54,257.54
105,ESS,2017-10-23,259.64,259.64
106,ESS,2017-10-20,259.34,259.34
107,ESS,2017-10-19,259.94,259.94
108,ESS,2017-10-18,261.21,261.21
109,ESS,2017-10-17,261.38,261.38
110,ESS,2017-10-16,261.02,261.02
111,ESS,2017-10-13,261.82,261.82
112,ESS,2017-10-12,261.1,261.1
113,ESS,2017-10-11,258.3,258.3
114,ESS,2017-10-10,258.72,258.72
115,ESS,2017-10-09,257.6,257.6
116,ESS,2017-10-06,257.01,257.01
117,ESS,2017-10-05,257.07,257.07
118,ESS,2017-10-04,257.57,257.57
119,ESS,2017-10-03,253.69,253.69
120,ESS,2017-10-02,252.38,252.38
121,ESS,2017-09-29,254.03,254.03
122,ESS,2017-09-28,253.05,253.05
123,ESS,2017-09-27,251.42,249.69321428571
124,ESS,2017-09-26,254.91,253.15924450549
125,ESS,2017-09-25,255.57,253.81471153846
126,ESS,2017-09-22,255.0,253.24862637363
127,ESS,2017-09-21,255.27,253.51677197802
128,ESS,2017-09-20,256.13,254.37086538462
