None,ticker,date,close,adj_close
0,ETFC,2018-03-27,54.07,54.07
1,ETFC,2018-03-26,55.56,55.56
2,ETFC,2018-03-23,53.09,53.09
3,ETFC,2018-03-22,54.97,54.97
4,ETFC,2018-03-21,57.61,57.61
5,ETFC,2018-03-20,57.16,57.16
6,ETFC,2018-03-19,56.49,56.49
7,ETFC,2018-03-16,57.29,57.29
8,ETFC,2018-03-15,56.74,56.74
9,ETFC,2018-03-14,57.16,57.16
10,ETFC,2018-03-13,56.99,56.99
11,ETFC,2018-03-12,57.88,57.88
12,ETFC,2018-03-09,57.24,57.24
13,ETFC,2018-03-08,55.17,55.17
14,ETFC,2018-03-07,54.91,54.91
15,ETFC,2018-03-06,54.4,54.4
16,ETFC,2018-03-05,52.62,52.62
17,ETFC,2018-03-02,51.52,51.52
18,ETFC,2018-03-01,51.19,51.19
19,ETFC,2018-02-28,52.23,52.23
20,ETFC,2018-02-27,53.11,53.11
21,ETFC,2018-02-26,51.96,51.96
22,ETFC,2018-02-23,51.38,51.38
23,ETFC,2018-02-22,50.74,50.74
24,ETFC,2018-02-21,51.76,51.76
25,ETFC,2018-02-20,52.01,52.01
26,ETFC,2018-02-16,51.81,51.81
27,ETFC,2018-02-15,51.73,51.73
28,ETFC,2018-02-14,51.53,51.53
29,ETFC,2018-02-13,50.05,50.05
30,ETFC,2018-02-12,50.2,50.2
31,ETFC,2018-02-09,49.44,49.44
32,ETFC,2018-02-08,48.48,48.48
33,ETFC,2018-02-07,51.55,51.55
34,ETFC,2018-02-06,52.28,52.28
35,ETFC,2018-02-05,50.72,50.72
36,ETFC,2018-02-02,52.57,52.57
37,ETFC,2018-02-01,54.1,54.1
38,ETFC,2018-01-31,52.7,52.7
39,ETFC,2018-01-30,52.35,52.35
40,ETFC,2018-01-29,52.62,52.62
41,ETFC,2018-01-26,53.49,53.49
42,ETFC,2018-01-25,54.21,54.21
43,ETFC,2018-01-24,55.19,55.19
44,ETFC,2018-01-23,54.96,54.96
45,ETFC,2018-01-22,54.98,54.98
46,ETFC,2018-01-19,54.28,54.28
47,ETFC,2018-01-18,53.65,53.65
