None,ticker,date,close,adj_close
0,ETN,2018-03-27,79.71,79.71
1,ETN,2018-03-26,81.1,81.1
2,ETN,2018-03-23,78.18,78.18
3,ETN,2018-03-22,79.43,79.43
4,ETN,2018-03-21,81.48,81.48
5,ETN,2018-03-20,81.16,81.16
6,ETN,2018-03-19,80.46,80.46
7,ETN,2018-03-16,80.98,80.98
8,ETN,2018-03-15,80.27,80.27
9,ETN,2018-03-14,80.09,80.09
10,ETN,2018-03-13,81.28,81.28
11,ETN,2018-03-12,81.53,81.53
12,ETN,2018-03-09,83.14,83.14
13,ETN,2018-03-08,81.14,81.14
14,ETN,2018-03-07,81.03,81.03
15,ETN,2018-03-06,80.94,80.94
16,ETN,2018-03-05,80.22,80.22
17,ETN,2018-03-02,79.7,79.7
18,ETN,2018-03-01,79.59,79.59
19,ETN,2018-02-28,80.7,80.7
20,ETN,2018-02-27,81.96,81.96
21,ETN,2018-02-26,82.28,82.28
22,ETN,2018-02-23,82.22,82.22
23,ETN,2018-02-22,81.88,81.88
24,ETN,2018-02-21,81.56,81.56
25,ETN,2018-02-20,81.71,81.71
26,ETN,2018-02-16,82.79,82.79
27,ETN,2018-02-15,82.76,82.76
28,ETN,2018-02-14,82.67,82.67
29,ETN,2018-02-13,81.83,81.83
30,ETN,2018-02-12,82.02,82.02
31,ETN,2018-02-09,80.77,80.77
32,ETN,2018-02-08,79.41,79.41
33,ETN,2018-02-07,81.62,81.62
34,ETN,2018-02-06,82.68,82.68
35,ETN,2018-02-05,81.58,81.58
36,ETN,2018-02-02,85.09,85.09
37,ETN,2018-02-01,87.86,87.86
38,ETN,2018-01-31,83.97,83.97
39,ETN,2018-01-30,84.74,84.74
40,ETN,2018-01-29,85.59,85.59
41,ETN,2018-01-26,86.49,86.49
42,ETN,2018-01-25,85.22,85.22
43,ETN,2018-01-24,84.5,84.5
44,ETN,2018-01-23,85.12,85.12
45,ETN,2018-01-22,84.36,84.36
46,ETN,2018-01-19,83.95,83.95
47,ETN,2018-01-18,83.56,83.56
48,ETN,2018-01-17,83.6,83.6
49,ETN,2018-01-16,83.35,83.35
50,ETN,2018-01-12,84.24,84.24
51,ETN,2018-01-11,83.99,83.99
52,ETN,2018-01-10,82.47,82.47
53,ETN,2018-01-09,81.98,81.98
54,ETN,2018-01-08,82.03,82.03
55,ETN,2018-01-05,81.39,81.39
56,ETN,2018-01-04,80.77,80.77
57,ETN,2018-01-03,81.64,81.64
58,ETN,2018-01-02,78.86,78.86
59,ETN,2017-12-29,79.01,79.01
60,ETN,2017-12-28,78.16,78.16
61,ETN,2017-12-27,77.42,77.42
62,ETN,2017-12-26,77.32,77.32
63,ETN,2017-12-22,77.51,77.51
64,ETN,2017-12-21,78.1,78.1
65,ETN,2017-12-20,77.15,77.15
66,ETN,2017-12-19,76.86,76.86
67,ETN,2017-12-18,77.06,77.06
68,ETN,2017-12-15,77.29,77.29
69,ETN,2017-12-14,76.44,76.44
70,ETN,2017-12-13,77.57,77.57
71,ETN,2017-12-12,77.76,77.76
72,ETN,2017-12-11,77.77,77.77
73,ETN,2017-12-08,77.29,77.29
74,ETN,2017-12-07,77.26,77.26
75,ETN,2017-12-06,75.79,75.79
76,ETN,2017-12-05,74.95,74.95
77,ETN,2017-12-04,76.41,76.41
78,ETN,2017-12-01,77.7,77.7
79,ETN,2017-11-30,77.78,77.78
80,ETN,2017-11-29,76.84,76.84
81,ETN,2017-11-28,76.85,76.85
82,ETN,2017-11-27,75.53,75.53
83,ETN,2017-11-24,75.92,75.92
84,ETN,2017-11-22,76.22,76.22
85,ETN,2017-11-21,76.3,76.3
86,ETN,2017-11-20,75.69,75.69
87,ETN,2017-11-17,75.64,75.64
88,ETN,2017-11-16,76.44,76.44
89,ETN,2017-11-15,75.87,75.87
90,ETN,2017-11-14,76.89,76.89
91,ETN,2017-11-13,77.94,77.94
92,ETN,2017-11-10,77.92,77.92
93,ETN,2017-11-09,77.86,77.86
94,ETN,2017-11-07,78.67,78.67
95,ETN,2017-11-06,78.31,78.31
96,ETN,2017-11-03,78.1,78.1
97,ETN,2017-11-02,79.38,79.38
98,ETN,2017-11-01,81.51,80.898522130533
99,ETN,2017-10-31,80.02,79.419699924981
100,ETN,2017-10-30,79.23,78.635626406602
101,ETN,2017-10-27,79.77,79.171575393848
102,ETN,2017-10-26,79.5,78.903600900225
103,ETN,2017-10-25,79.02,78.42720180045
104,ETN,2017-10-24,79.58,78.983000750188
105,ETN,2017-10-23,78.48,77.891252813203
106,ETN,2017-10-20,78.93,78.337876969242
107,ETN,2017-10-19,78.02,77.434703675919
108,ETN,2017-10-18,77.97,77.385078769692
109,ETN,2017-10-17,78.07,77.484328582146
110,ETN,2017-10-16,79.23,78.635626406602
111,ETN,2017-10-13,78.53,77.94087771943
112,ETN,2017-10-12,78.72,78.129452363091
113,ETN,2017-10-11,78.53,77.94087771943
114,ETN,2017-10-10,77.98,77.395003750938
115,ETN,2017-10-09,77.68,77.097254313578
116,ETN,2017-10-06,77.75,77.166729182296
117,ETN,2017-10-05,77.8,77.216354088522
118,ETN,2017-10-04,78.06,77.4744036009
119,ETN,2017-10-03,77.45,76.868979744936
120,ETN,2017-10-02,77.54,76.958304576144
121,ETN,2017-09-29,76.79,76.213930982746
122,ETN,2017-09-28,76.09,75.519182295574
123,ETN,2017-09-27,77.12,76.541455363841
124,ETN,2017-09-26,77.11,76.531530382596
125,ETN,2017-09-25,77.55,76.968229557389
126,ETN,2017-09-22,78.1,77.514103525881
127,ETN,2017-09-21,78.06,77.4744036009
128,ETN,2017-09-20,77.77,77.186579144786
129,ETN,2017-09-19,77.03,76.452130532633
130,ETN,2017-09-18,77.9,77.315603900975
131,ETN,2017-09-15,76.91,76.333030757689
132,ETN,2017-09-14,75.62,75.052708177044
133,ETN,2017-09-13,74.93,74.367884471118
134,ETN,2017-09-12,74.6,74.040360090023
135,ETN,2017-09-11,73.35,72.799737434359
136,ETN,2017-09-08,72.14,71.598814703676
137,ETN,2017-09-07,71.32,70.78496624156
138,ETN,2017-09-06,71.33,70.794891222806
139,ETN,2017-09-05,71.1,70.566616654164
140,ETN,2017-09-01,71.63,71.092640660165
141,ETN,2017-08-31,71.76,71.221665416354
142,ETN,2017-08-30,71.05,70.516991747937
143,ETN,2017-08-29,70.52,69.990967741935
144,ETN,2017-08-28,70.44,69.911567891973
145,ETN,2017-08-25,70.7,70.169617404351
146,ETN,2017-08-24,70.64,70.110067516879
147,ETN,2017-08-23,71.21,70.675791447862
148,ETN,2017-08-22,71.9,71.360615153788
149,ETN,2017-08-21,71.14,70.606316579145
