None,ticker,date,close,adj_close
0,ETR,2018-03-27,79.29,79.29
1,ETR,2018-03-26,78.14,78.14
2,ETR,2018-03-23,77.35,77.35
3,ETR,2018-03-22,78.35,78.35
4,ETR,2018-03-21,78.25,78.25
5,ETR,2018-03-20,78.76,78.76
6,ETR,2018-03-19,78.54,78.54
7,ETR,2018-03-16,78.88,78.88
8,ETR,2018-03-15,77.53,77.53
9,ETR,2018-03-14,77.5,77.5
10,ETR,2018-03-13,77.09,77.09
11,ETR,2018-03-12,77.23,77.23
12,ETR,2018-03-09,76.78,76.78
13,ETR,2018-03-08,76.66,76.66
14,ETR,2018-03-07,76.76,76.76
15,ETR,2018-03-06,77.72,77.72
16,ETR,2018-03-05,78.57,78.57
17,ETR,2018-03-02,76.54,76.54
18,ETR,2018-03-01,75.88,75.88
19,ETR,2018-02-28,75.82,75.82
20,ETR,2018-02-27,76.04,76.04
21,ETR,2018-02-26,76.95,76.95
22,ETR,2018-02-23,77.74,77.74
23,ETR,2018-02-22,75.03,75.03
24,ETR,2018-02-21,74.44,74.44
25,ETR,2018-02-20,75.43,75.43
26,ETR,2018-02-16,76.72,76.72
27,ETR,2018-02-15,76.31,76.31
28,ETR,2018-02-14,73.98,73.98
29,ETR,2018-02-13,75.05,75.05
30,ETR,2018-02-12,74.63,74.63
31,ETR,2018-02-09,74.13,74.13
32,ETR,2018-02-08,72.02,72.02
33,ETR,2018-02-07,72.77,72.77
34,ETR,2018-02-06,73.76,73.76
35,ETR,2018-02-05,74.41,74.41
36,ETR,2018-02-02,75.98,75.98
37,ETR,2018-02-01,77.12,77.12
38,ETR,2018-01-31,78.69,78.69
39,ETR,2018-01-30,77.9,77.9
40,ETR,2018-01-29,76.83,76.83
41,ETR,2018-01-26,78.29,78.29
42,ETR,2018-01-25,78.08,78.08
43,ETR,2018-01-24,76.7,76.7
44,ETR,2018-01-23,77.66,77.66
45,ETR,2018-01-22,76.83,76.83
46,ETR,2018-01-19,76.99,76.99
47,ETR,2018-01-18,77.79,77.79
48,ETR,2018-01-17,78.51,78.51
49,ETR,2018-01-16,77.67,77.67
50,ETR,2018-01-12,78.22,78.22
51,ETR,2018-01-11,79.17,79.17
52,ETR,2018-01-10,79.48,79.48
53,ETR,2018-01-09,80.12,80.12
54,ETR,2018-01-08,80.84,80.84
55,ETR,2018-01-05,79.92,79.92
56,ETR,2018-01-04,80.54,80.54
57,ETR,2018-01-03,81.69,81.69
58,ETR,2018-01-02,82.6,82.6
59,ETR,2017-12-29,81.39,81.39
60,ETR,2017-12-28,81.16,81.16
61,ETR,2017-12-27,80.5,80.5
62,ETR,2017-12-26,79.9,79.9
63,ETR,2017-12-22,80.31,80.31
64,ETR,2017-12-21,80.12,80.12
65,ETR,2017-12-20,80.2,80.2
66,ETR,2017-12-19,81.03,81.03
67,ETR,2017-12-18,82.69,82.69
68,ETR,2017-12-15,83.8,83.8
69,ETR,2017-12-14,82.66,82.66
70,ETR,2017-12-13,83.32,83.32
71,ETR,2017-12-12,83.26,83.26
72,ETR,2017-12-11,84.58,84.58
73,ETR,2017-12-08,84.04,84.04
74,ETR,2017-12-07,83.7,83.7
75,ETR,2017-12-06,83.59,83.59
76,ETR,2017-12-05,83.13,83.13
77,ETR,2017-12-04,84.37,84.37
78,ETR,2017-12-01,85.52,85.52
79,ETR,2017-11-30,86.48,86.48
80,ETR,2017-11-29,86.15,86.15
81,ETR,2017-11-28,86.34,86.34
82,ETR,2017-11-27,86.08,86.08
83,ETR,2017-11-24,85.37,85.37
84,ETR,2017-11-22,85.51,85.51
85,ETR,2017-11-21,85.61,85.61
86,ETR,2017-11-20,85.65,85.65
87,ETR,2017-11-17,86.51,86.51
88,ETR,2017-11-16,85.9,85.9
89,ETR,2017-11-15,86.43,86.43
90,ETR,2017-11-14,87.42,87.42
91,ETR,2017-11-13,86.64,86.64
92,ETR,2017-11-10,85.13,85.13
93,ETR,2017-11-09,86.42,86.42
94,ETR,2017-11-07,86.85,86.85
95,ETR,2017-11-06,86.36,86.36
96,ETR,2017-11-03,87.0,87.0
97,ETR,2017-11-02,86.64,86.64
98,ETR,2017-11-01,85.67,85.67
99,ETR,2017-10-31,86.26,86.26
100,ETR,2017-10-30,86.39,86.39
101,ETR,2017-10-27,86.77,86.77
102,ETR,2017-10-26,86.18,86.18
103,ETR,2017-10-25,86.36,86.36
104,ETR,2017-10-24,85.98,85.98
105,ETR,2017-10-23,85.23,85.23
106,ETR,2017-10-20,85.66,85.66
107,ETR,2017-10-19,85.36,85.36
108,ETR,2017-10-18,84.66,84.66
109,ETR,2017-10-17,84.6,84.6
110,ETR,2017-10-16,83.41,83.41
111,ETR,2017-10-13,82.29,82.29
112,ETR,2017-10-12,81.8,81.8
113,ETR,2017-10-11,80.35,80.35
114,ETR,2017-10-10,79.64,79.64
115,ETR,2017-10-09,78.86,78.86
116,ETR,2017-10-06,78.65,78.65
117,ETR,2017-10-05,79.09,79.09
118,ETR,2017-10-04,78.41,78.41
119,ETR,2017-10-03,75.68,75.68
