None,ticker,date,close,adj_close
0,EW,2018-03-27,138.11,138.11
1,EW,2018-03-26,140.28,140.28
2,EW,2018-03-23,135.32,135.32
3,EW,2018-03-22,137.3,137.3
4,EW,2018-03-21,139.07,139.07
5,EW,2018-03-20,141.34,141.34
6,EW,2018-03-19,139.4,139.4
7,EW,2018-03-16,142.34,142.34
8,EW,2018-03-15,141.1,141.1
9,EW,2018-03-14,141.0,141.0
10,EW,2018-03-13,140.83,140.83
11,EW,2018-03-12,140.04,140.04
12,EW,2018-03-09,139.32,139.32
13,EW,2018-03-08,138.25,138.25
14,EW,2018-03-07,137.77,137.77
15,EW,2018-03-06,137.85,137.85
16,EW,2018-03-05,136.24,136.24
17,EW,2018-03-02,134.56,134.56
18,EW,2018-03-01,132.91,132.91
19,EW,2018-02-28,133.67,133.67
20,EW,2018-02-27,135.23,135.23
21,EW,2018-02-26,136.72,136.72
22,EW,2018-02-23,135.64,135.64
23,EW,2018-02-22,133.67,133.67
24,EW,2018-02-21,134.25,134.25
25,EW,2018-02-20,134.32,134.32
26,EW,2018-02-16,133.82,133.82
27,EW,2018-02-15,134.68,134.68
28,EW,2018-02-14,130.21,130.21
29,EW,2018-02-13,127.35,127.35
30,EW,2018-02-12,126.89,126.89
31,EW,2018-02-09,126.27,126.27
32,EW,2018-02-08,123.78,123.78
33,EW,2018-02-07,129.7,129.7
34,EW,2018-02-06,127.08,127.08
35,EW,2018-02-05,126.7,126.7
36,EW,2018-02-02,131.83,131.83
37,EW,2018-02-01,126.98,126.98
38,EW,2018-01-31,126.58,126.58
39,EW,2018-01-30,126.74,126.74
40,EW,2018-01-29,126.9,126.9
41,EW,2018-01-26,128.16,128.16
42,EW,2018-01-25,126.24,126.24
43,EW,2018-01-24,124.79,124.79
44,EW,2018-01-23,124.4,124.4
45,EW,2018-01-22,124.51,124.51
46,EW,2018-01-19,123.91,123.91
47,EW,2018-01-18,121.72,121.72
48,EW,2018-01-17,120.49,120.49
49,EW,2018-01-16,120.07,120.07
50,EW,2018-01-12,120.83,120.83
51,EW,2018-01-11,119.99,119.99
52,EW,2018-01-10,118.5,118.5
53,EW,2018-01-09,119.51,119.51
54,EW,2018-01-08,118.14,118.14
55,EW,2018-01-05,115.86,115.86
56,EW,2018-01-04,115.41,115.41
57,EW,2018-01-03,114.59,114.59
58,EW,2018-01-02,111.58,111.58
59,EW,2017-12-29,112.71,112.71
60,EW,2017-12-28,114.55,114.55
61,EW,2017-12-27,113.16,113.16
62,EW,2017-12-26,112.16,112.16
63,EW,2017-12-22,112.49,112.49
64,EW,2017-12-21,113.3,113.3
65,EW,2017-12-20,114.15,114.15
66,EW,2017-12-19,114.32,114.32
67,EW,2017-12-18,114.92,114.92
68,EW,2017-12-15,114.22,114.22
69,EW,2017-12-14,114.31,114.31
70,EW,2017-12-13,115.4,115.4
71,EW,2017-12-12,115.57,115.57
72,EW,2017-12-11,118.18,118.18
73,EW,2017-12-08,118.03,118.03
74,EW,2017-12-07,117.45,117.45
75,EW,2017-12-06,113.36,113.36
76,EW,2017-12-05,113.05,113.05
77,EW,2017-12-04,113.8,113.8
78,EW,2017-12-01,116.41,116.41
79,EW,2017-11-30,117.2,117.2
80,EW,2017-11-29,116.37,116.37
81,EW,2017-11-28,113.21,113.21
82,EW,2017-11-27,109.86,109.86
83,EW,2017-11-24,109.34,109.34
84,EW,2017-11-22,108.81,108.81
85,EW,2017-11-21,109.52,109.52
86,EW,2017-11-20,107.16,107.16
87,EW,2017-11-17,107.09,107.09
88,EW,2017-11-16,107.1,107.1
89,EW,2017-11-15,104.98,104.98
90,EW,2017-11-14,105.15,105.15
91,EW,2017-11-13,105.24,105.24
92,EW,2017-11-10,103.85,103.85
93,EW,2017-11-09,104.78,104.78
94,EW,2017-11-07,104.41,104.41
95,EW,2017-11-06,103.16,103.16
96,EW,2017-11-03,102.72,102.72
97,EW,2017-11-02,101.38,101.38
98,EW,2017-11-01,101.82,101.82
99,EW,2017-10-31,102.23,102.23
100,EW,2017-10-30,101.63,101.63
101,EW,2017-10-27,101.92,101.92
102,EW,2017-10-26,103.37,103.37
103,EW,2017-10-25,103.31,103.31
104,EW,2017-10-24,114.25,114.25
105,EW,2017-10-23,114.11,114.11
106,EW,2017-10-20,113.08,113.08
107,EW,2017-10-19,112.03,112.03
108,EW,2017-10-18,111.2,111.2
109,EW,2017-10-17,110.05,110.05
110,EW,2017-10-16,108.52,108.52
111,EW,2017-10-13,108.25,108.25
112,EW,2017-10-12,110.2,110.2
113,EW,2017-10-11,110.47,110.47
114,EW,2017-10-10,109.95,109.95
115,EW,2017-10-09,110.22,110.22
116,EW,2017-10-06,111.46,111.46
117,EW,2017-10-05,111.63,111.63
118,EW,2017-10-04,110.22,110.22
119,EW,2017-10-03,108.23,108.23
120,EW,2017-10-02,109.99,109.99
121,EW,2017-09-29,109.31,109.31
122,EW,2017-09-28,108.87,108.87
123,EW,2017-09-27,109.37,109.37
124,EW,2017-09-26,110.59,110.59
125,EW,2017-09-25,110.46,110.46
126,EW,2017-09-22,110.64,110.64
127,EW,2017-09-21,110.33,110.33
128,EW,2017-09-20,111.72,111.72
129,EW,2017-09-19,111.28,111.28
130,EW,2017-09-18,112.69,112.69
131,EW,2017-09-15,113.5,113.5
132,EW,2017-09-14,111.5,111.5
133,EW,2017-09-13,111.78,111.78
134,EW,2017-09-12,114.69,114.69
135,EW,2017-09-11,115.13,115.13
136,EW,2017-09-08,113.19,113.19
137,EW,2017-09-07,112.34,112.34
138,EW,2017-09-06,112.23,112.23
139,EW,2017-09-05,111.87,111.87
140,EW,2017-09-01,113.31,113.31
141,EW,2017-08-31,113.66,113.66
142,EW,2017-08-30,112.69,112.69
143,EW,2017-08-29,111.83,111.83
144,EW,2017-08-28,113.11,113.11
145,EW,2017-08-25,111.76,111.76
146,EW,2017-08-24,112.75,112.75
147,EW,2017-08-23,112.71,112.71
148,EW,2017-08-22,114.22,114.22
149,EW,2017-08-21,114.22,114.22
150,EW,2017-08-18,113.11,113.11
151,EW,2017-08-17,113.57,113.57
152,EW,2017-08-16,115.57,115.57
153,EW,2017-08-15,114.83,114.83
154,EW,2017-08-14,115.64,115.64
155,EW,2017-08-11,114.5,114.5
156,EW,2017-08-10,114.13,114.13
157,EW,2017-08-09,116.26,116.26
158,EW,2017-08-08,116.16,116.16
159,EW,2017-08-07,116.48,116.48
160,EW,2017-08-04,116.19,116.19
161,EW,2017-08-03,116.45,116.45
162,EW,2017-08-02,114.24,114.24
163,EW,2017-08-01,115.27,115.27
164,EW,2017-07-31,115.18,115.18
165,EW,2017-07-28,115.51,115.51
166,EW,2017-07-27,116.36,116.36
167,EW,2017-07-26,115.61,115.61
168,EW,2017-07-25,115.87,115.87
169,EW,2017-07-24,117.14,117.14
170,EW,2017-07-21,118.01,118.01
171,EW,2017-07-20,119.42,119.42
172,EW,2017-07-19,119.04,119.04
173,EW,2017-07-18,116.49,116.49
174,EW,2017-07-17,116.1,116.1
175,EW,2017-07-14,116.92,116.92
176,EW,2017-07-13,116.03,116.03
177,EW,2017-07-12,118.44,118.44
178,EW,2017-07-11,117.59,117.59
179,EW,2017-07-10,117.53,117.53
180,EW,2017-07-07,118.17,118.17
181,EW,2017-07-06,117.08,117.08
182,EW,2017-07-05,119.58,119.58
183,EW,2017-07-03,118.01,118.01
184,EW,2017-06-30,118.24,118.24
185,EW,2017-06-29,117.23,117.23
186,EW,2017-06-28,118.39,118.39
187,EW,2017-06-27,117.13,117.13
188,EW,2017-06-26,118.32,118.32
189,EW,2017-06-23,120.15,120.15
190,EW,2017-06-22,118.53,118.53
191,EW,2017-06-21,118.89,118.89
192,EW,2017-06-20,117.87,117.87
193,EW,2017-06-19,118.84,118.84
194,EW,2017-06-16,114.99,114.99
195,EW,2017-06-15,114.95,114.95
196,EW,2017-06-14,115.01,115.01
197,EW,2017-06-13,115.05,115.05
198,EW,2017-06-12,114.39,114.39
199,EW,2017-06-09,116.12,116.12
200,EW,2017-06-08,118.13,118.13
201,EW,2017-06-07,118.19,118.19
202,EW,2017-06-06,116.84,116.84
203,EW,2017-06-05,116.95,116.95
204,EW,2017-06-02,117.56,117.56
205,EW,2017-06-01,117.38,117.38
206,EW,2017-05-31,115.07,115.07
207,EW,2017-05-30,114.6,114.6
208,EW,2017-05-26,114.25,114.25
209,EW,2017-05-25,114.17,114.17
210,EW,2017-05-24,114.19,114.19
211,EW,2017-05-23,113.54,113.54
212,EW,2017-05-22,114.09,114.09
213,EW,2017-05-19,112.89,112.89
214,EW,2017-05-18,111.95,111.95
215,EW,2017-05-17,111.84,111.84
216,EW,2017-05-16,113.65,113.65
217,EW,2017-05-15,113.43,113.43
218,EW,2017-05-12,110.59,110.59
219,EW,2017-05-11,110.25,110.25
220,EW,2017-05-10,110.61,110.61
221,EW,2017-05-09,109.99,109.99
222,EW,2017-05-08,109.98,109.98
223,EW,2017-05-05,110.58,110.58
224,EW,2017-05-04,110.45,110.45
225,EW,2017-05-03,109.86,109.86
226,EW,2017-05-02,110.11,110.11
227,EW,2017-05-01,109.9,109.9
228,EW,2017-04-28,109.67,109.67
229,EW,2017-04-27,109.67,109.67
230,EW,2017-04-26,109.3,109.3
231,EW,2017-04-25,98.91,98.91
232,EW,2017-04-24,97.96,97.96
233,EW,2017-04-21,97.77,97.77
234,EW,2017-04-20,98.51,98.51
235,EW,2017-04-19,96.69,96.69
236,EW,2017-04-18,94.76,94.76
237,EW,2017-04-17,95.68,95.68
238,EW,2017-04-13,94.3,94.3
239,EW,2017-04-12,93.75,93.75
240,EW,2017-04-11,93.6,93.6
241,EW,2017-04-10,94.42,94.42
242,EW,2017-04-07,94.46,94.46
243,EW,2017-04-06,93.4,93.4
244,EW,2017-04-05,93.09,93.09
245,EW,2017-04-04,93.1,93.1
246,EW,2017-04-03,94.45,94.45
247,EW,2017-03-31,94.07,94.07
248,EW,2017-03-30,93.86,93.86
249,EW,2017-03-29,94.39,94.39
250,EW,2017-03-28,94.39,94.39
251,EW,2017-03-27,95.87,95.87
252,EW,2017-03-24,95.59,95.59
253,EW,2017-03-23,94.3,94.3
254,EW,2017-03-22,93.47,93.47
255,EW,2017-03-21,92.86,92.86
256,EW,2017-03-20,94.08,94.08
257,EW,2017-03-17,94.4,94.4
258,EW,2017-03-16,92.95,92.95
259,EW,2017-03-15,93.95,93.95
260,EW,2017-03-14,93.86,93.86
261,EW,2017-03-13,93.6,93.6
262,EW,2017-03-10,92.74,92.74
263,EW,2017-03-09,93.06,93.06
264,EW,2017-03-08,89.53,89.53
265,EW,2017-03-07,90.54,90.54
266,EW,2017-03-06,89.95,89.95
267,EW,2017-03-03,92.44,92.44
268,EW,2017-03-02,93.36,93.36
269,EW,2017-03-01,93.94,93.94
270,EW,2017-02-28,94.04,94.04
271,EW,2017-02-27,94.66,94.66
272,EW,2017-02-24,94.76,94.76
273,EW,2017-02-23,95.7,95.7
274,EW,2017-02-22,92.21,92.21
275,EW,2017-02-21,92.67,92.67
276,EW,2017-02-17,89.74,89.74
277,EW,2017-02-16,89.93,89.93
278,EW,2017-02-15,90.31,90.31
279,EW,2017-02-14,89.49,89.49
280,EW,2017-02-13,89.96,89.96
281,EW,2017-02-10,90.34,90.34
282,EW,2017-02-09,90.82,90.82
283,EW,2017-02-08,90.83,90.83
284,EW,2017-02-07,90.71,90.71
285,EW,2017-02-06,89.87,89.87
286,EW,2017-02-03,90.47,90.47
287,EW,2017-02-02,89.73,89.73
288,EW,2017-02-01,98.02,98.02
289,EW,2017-01-31,96.24,96.24
290,EW,2017-01-30,96.47,96.47
291,EW,2017-01-27,97.3,97.3
292,EW,2017-01-26,95.13,95.13
293,EW,2017-01-25,96.05,96.05
294,EW,2017-01-24,94.4,94.4
295,EW,2017-01-23,95.0,95.0
296,EW,2017-01-20,95.51,95.51
297,EW,2017-01-19,96.29,96.29
298,EW,2017-01-18,95.79,95.79
299,EW,2017-01-17,96.88,96.88
300,EW,2017-01-13,97.13,97.13
