None,ticker,date,close,adj_close
0,EXC,2018-03-27,38.47,38.47
1,EXC,2018-03-26,38.1,38.1
2,EXC,2018-03-23,37.71,37.71
3,EXC,2018-03-22,38.37,38.37
4,EXC,2018-03-21,38.07,38.07
5,EXC,2018-03-20,38.31,38.31
6,EXC,2018-03-19,38.22,38.22
7,EXC,2018-03-16,38.38,38.38
8,EXC,2018-03-15,37.87,37.87
9,EXC,2018-03-14,37.83,37.83
10,EXC,2018-03-13,37.44,37.44
11,EXC,2018-03-12,37.53,37.53
12,EXC,2018-03-09,37.5,37.5
13,EXC,2018-03-08,37.45,37.45
14,EXC,2018-03-07,36.82,36.82
15,EXC,2018-03-06,37.17,37.17
16,EXC,2018-03-05,37.68,37.68
17,EXC,2018-03-02,36.92,36.92
18,EXC,2018-03-01,36.94,36.94
19,EXC,2018-02-28,37.04,37.04
20,EXC,2018-02-27,37.24,37.24
21,EXC,2018-02-26,38.03,38.03
22,EXC,2018-02-23,38.24,38.24
23,EXC,2018-02-22,37.24,37.24
24,EXC,2018-02-21,37.06,37.06
25,EXC,2018-02-20,37.68,37.68
26,EXC,2018-02-16,37.78,37.78
27,EXC,2018-02-15,37.5,37.5
28,EXC,2018-02-14,36.6,36.6
29,EXC,2018-02-13,37.01,37.01
30,EXC,2018-02-12,37.17,37.17
31,EXC,2018-02-09,36.86,36.86
32,EXC,2018-02-08,35.98,35.98
33,EXC,2018-02-07,36.15,36.15
34,EXC,2018-02-06,36.47,36.47
35,EXC,2018-02-05,36.92,36.92
36,EXC,2018-02-02,37.72,37.72
37,EXC,2018-02-01,37.84,37.84
38,EXC,2018-01-31,38.51,38.51
39,EXC,2018-01-30,38.29,38.29
40,EXC,2018-01-29,38.33,38.33
41,EXC,2018-01-26,38.86,38.86
42,EXC,2018-01-25,38.68,38.68
43,EXC,2018-01-24,38.21,38.21
44,EXC,2018-01-23,38.53,38.53
45,EXC,2018-01-22,38.05,38.05
46,EXC,2018-01-19,37.97,37.97
47,EXC,2018-01-18,38.59,38.59
48,EXC,2018-01-17,39.09,39.09
49,EXC,2018-01-16,38.47,38.47
50,EXC,2018-01-12,38.39,38.39
51,EXC,2018-01-11,38.41,38.41
52,EXC,2018-01-10,37.95,37.95
53,EXC,2018-01-09,38.16,38.16
54,EXC,2018-01-08,38.6,38.6
55,EXC,2018-01-05,38.19,38.19
56,EXC,2018-01-04,38.51,38.51
57,EXC,2018-01-03,39.06,39.06
58,EXC,2018-01-02,39.59,39.59
59,EXC,2017-12-29,39.41,39.41
60,EXC,2017-12-28,39.3,39.3
61,EXC,2017-12-27,38.99,38.99
62,EXC,2017-12-26,38.81,38.81
63,EXC,2017-12-22,39.01,39.01
64,EXC,2017-12-21,39.07,39.07
