None,ticker,date,close,adj_close
0,EXPE,2018-03-27,105.59,105.59
1,EXPE,2018-03-26,106.84,106.84
2,EXPE,2018-03-23,106.11,106.11
3,EXPE,2018-03-22,106.98,106.98
4,EXPE,2018-03-21,109.24,109.24
5,EXPE,2018-03-20,110.31,110.31
6,EXPE,2018-03-19,111.09,111.09
7,EXPE,2018-03-16,113.2,113.2
8,EXPE,2018-03-15,112.45,112.45
9,EXPE,2018-03-14,113.28,113.28
10,EXPE,2018-03-13,109.53,109.53
11,EXPE,2018-03-12,114.44,114.44
12,EXPE,2018-03-09,112.22,112.22
13,EXPE,2018-03-08,110.33,110.33
14,EXPE,2018-03-07,111.35,111.35
15,EXPE,2018-03-06,108.61,108.318168383
16,EXPE,2018-03-05,107.66,107.370721003
17,EXPE,2018-03-02,104.5,104.219211823
18,EXPE,2018-03-01,103.96,103.680662785
19,EXPE,2018-02-28,105.17,105.17
20,EXPE,2018-02-27,103.71,103.71
21,EXPE,2018-02-26,106.62,106.62
22,EXPE,2018-02-23,106.38,106.38
23,EXPE,2018-02-22,104.61,104.61
24,EXPE,2018-02-21,102.99,102.99
25,EXPE,2018-02-20,104.1,104.1
26,EXPE,2018-02-16,103.85,103.85
27,EXPE,2018-02-15,102.23,102.23
28,EXPE,2018-02-14,100.1,100.1
29,EXPE,2018-02-13,101.76,101.76
30,EXPE,2018-02-12,102.82,102.82
31,EXPE,2018-02-09,103.18,103.18
32,EXPE,2018-02-08,122.5,122.5
33,EXPE,2018-02-07,129.33,129.33
34,EXPE,2018-02-06,127.28,127.28
35,EXPE,2018-02-05,125.71,125.71
36,EXPE,2018-02-02,126.64,126.64
37,EXPE,2018-02-01,129.11,129.11
38,EXPE,2018-01-31,128.01,128.01
39,EXPE,2018-01-30,128.89,128.89
40,EXPE,2018-01-29,130.4,130.4
41,EXPE,2018-01-26,131.76,131.76
42,EXPE,2018-01-25,131.11,131.11
43,EXPE,2018-01-24,130.43,130.43
44,EXPE,2018-01-23,128.93,128.93
45,EXPE,2018-01-22,128.031,128.031
46,EXPE,2018-01-19,126.27,126.27
47,EXPE,2018-01-18,126.89,126.89
48,EXPE,2018-01-17,130.64,130.64
49,EXPE,2018-01-16,130.6,130.6
50,EXPE,2018-01-12,132.331,132.331
51,EXPE,2018-01-11,129.41,129.41
52,EXPE,2018-01-10,127.18,127.18
53,EXPE,2018-01-09,127.28,127.28
54,EXPE,2018-01-08,128.21,128.21
55,EXPE,2018-01-05,127.12,127.12
56,EXPE,2018-01-04,126.14,126.14
57,EXPE,2018-01-03,125.17,125.17
58,EXPE,2018-01-02,121.42,121.42
59,EXPE,2017-12-29,119.77,119.77
60,EXPE,2017-12-28,121.25,121.25
61,EXPE,2017-12-27,120.32,120.32
62,EXPE,2017-12-26,119.44,119.44
63,EXPE,2017-12-22,120.18,120.18
64,EXPE,2017-12-21,120.07,120.07
65,EXPE,2017-12-20,120.01,120.01
66,EXPE,2017-12-19,121.46,121.46
67,EXPE,2017-12-18,121.96,121.96
68,EXPE,2017-12-15,120.88,120.88
69,EXPE,2017-12-14,119.9,119.9
70,EXPE,2017-12-13,118.55,118.55
71,EXPE,2017-12-12,118.69,118.69
72,EXPE,2017-12-11,117.83,117.83
73,EXPE,2017-12-08,117.54,117.54
74,EXPE,2017-12-07,119.21,119.21
75,EXPE,2017-12-06,119.17,119.17
76,EXPE,2017-12-05,120.77,120.77
77,EXPE,2017-12-04,122.24,122.24
78,EXPE,2017-12-01,122.7099,122.7099
