None,ticker,date,close,adj_close
0,EXR,2018-03-27,85.55,85.55
1,EXR,2018-03-26,84.36,84.36
2,EXR,2018-03-23,82.98,82.98
3,EXR,2018-03-22,84.31,84.31
4,EXR,2018-03-21,85.19,85.19
5,EXR,2018-03-20,85.52,85.52
6,EXR,2018-03-19,85.1,85.1
7,EXR,2018-03-16,85.98,85.98
8,EXR,2018-03-15,86.23,86.23
9,EXR,2018-03-14,86.16,86.16
10,EXR,2018-03-13,87.91,87.91
11,EXR,2018-03-12,87.56,87.56
12,EXR,2018-03-09,88.19,88.19
13,EXR,2018-03-08,87.05,87.05
14,EXR,2018-03-07,86.19,86.19
15,EXR,2018-03-06,86.25,86.25
16,EXR,2018-03-05,86.22,86.22
17,EXR,2018-03-02,85.05,85.05
18,EXR,2018-03-01,85.86,85.86
19,EXR,2018-02-28,85.05,85.05
20,EXR,2018-02-27,84.88,84.88
21,EXR,2018-02-26,86.66,86.66
22,EXR,2018-02-23,86.6,86.6
23,EXR,2018-02-22,84.43,84.43
24,EXR,2018-02-21,81.5,81.5
25,EXR,2018-02-20,80.75,80.75
26,EXR,2018-02-16,82.2,82.2
27,EXR,2018-02-15,82.51,82.51
28,EXR,2018-02-14,81.14,81.14
29,EXR,2018-02-13,82.58,82.58
30,EXR,2018-02-12,80.8,80.8
31,EXR,2018-02-09,80.39,80.39
32,EXR,2018-02-08,77.56,77.56
33,EXR,2018-02-07,80.42,80.42
34,EXR,2018-02-06,79.73,79.73
35,EXR,2018-02-05,79.87,79.87
36,EXR,2018-02-02,81.84,81.84
37,EXR,2018-02-01,82.06,82.06
38,EXR,2018-01-31,83.48,83.48
39,EXR,2018-01-30,82.91,82.91
40,EXR,2018-01-29,82.79,82.79
41,EXR,2018-01-26,84.21,84.21
42,EXR,2018-01-25,85.0,85.0
43,EXR,2018-01-24,85.54,85.54
44,EXR,2018-01-23,86.72,86.72
45,EXR,2018-01-22,85.15,85.15
46,EXR,2018-01-19,83.64,83.64
47,EXR,2018-01-18,82.7,82.7
48,EXR,2018-01-17,83.46,83.46
49,EXR,2018-01-16,82.71,82.71
50,EXR,2018-01-12,82.25,82.25
51,EXR,2018-01-11,82.25,82.25
52,EXR,2018-01-10,82.36,82.36
53,EXR,2018-01-09,83.11,83.11
54,EXR,2018-01-08,85.17,85.17
55,EXR,2018-01-05,83.9,83.9
56,EXR,2018-01-04,84.3,84.3
57,EXR,2018-01-03,85.86,85.86
58,EXR,2018-01-02,85.68,85.68
59,EXR,2017-12-29,87.45,87.45
60,EXR,2017-12-28,87.76,87.76
61,EXR,2017-12-27,87.41,87.41
62,EXR,2017-12-26,86.8,86.8
63,EXR,2017-12-22,86.12,86.12
64,EXR,2017-12-21,85.17,85.17
65,EXR,2017-12-20,85.66,85.66
66,EXR,2017-12-19,86.2,86.2
67,EXR,2017-12-18,87.58,87.58
68,EXR,2017-12-15,87.56,87.56
69,EXR,2017-12-14,86.6,86.6
70,EXR,2017-12-13,87.6,87.6
71,EXR,2017-12-12,87.86,87.86
72,EXR,2017-12-11,87.82,87.82
73,EXR,2017-12-08,86.28,86.28
74,EXR,2017-12-07,85.25,85.25
75,EXR,2017-12-06,85.44,85.44
76,EXR,2017-12-05,84.87,84.87
77,EXR,2017-12-04,84.85,84.85
78,EXR,2017-12-01,85.2,85.2
79,EXR,2017-11-30,85.36,85.36
80,EXR,2017-11-29,85.06,85.06
81,EXR,2017-11-28,85.21,85.21
82,EXR,2017-11-27,87.4,87.4
83,EXR,2017-11-24,87.38,87.38
84,EXR,2017-11-22,87.42,87.42
85,EXR,2017-11-21,87.66,87.66
86,EXR,2017-11-20,87.35,87.35
87,EXR,2017-11-17,87.2,87.2
88,EXR,2017-11-16,87.2,87.2
89,EXR,2017-11-15,85.67,85.67
90,EXR,2017-11-14,86.34,86.34
91,EXR,2017-11-13,86.87,86.87
92,EXR,2017-11-10,86.0,86.0
93,EXR,2017-11-09,85.45,85.45
94,EXR,2017-11-07,85.68,85.68
95,EXR,2017-11-06,86.02,86.02
96,EXR,2017-11-03,85.04,85.04
97,EXR,2017-11-02,83.12,83.12
98,EXR,2017-11-01,81.6,81.6
99,EXR,2017-10-31,81.59,81.59
100,EXR,2017-10-30,81.09,81.09
101,EXR,2017-10-27,80.3,80.3
102,EXR,2017-10-26,78.7,78.7
103,EXR,2017-10-25,80.59,80.59
104,EXR,2017-10-24,80.41,80.41
105,EXR,2017-10-23,81.87,81.87
106,EXR,2017-10-20,81.77,81.77
107,EXR,2017-10-19,81.7,81.7
108,EXR,2017-10-18,81.92,81.92
109,EXR,2017-10-17,82.19,82.19
110,EXR,2017-10-16,81.87,81.87
111,EXR,2017-10-13,82.71,82.71
112,EXR,2017-10-12,81.61,81.61
113,EXR,2017-10-11,80.57,80.57
114,EXR,2017-10-10,80.2,80.2
115,EXR,2017-10-09,80.02,80.02
116,EXR,2017-10-06,80.38,80.38
117,EXR,2017-10-05,80.46,80.46
118,EXR,2017-10-04,79.6,79.6
119,EXR,2017-10-03,79.02,79.02
120,EXR,2017-10-02,79.6,79.6
121,EXR,2017-09-29,79.92,79.92
122,EXR,2017-09-28,79.08,79.08
123,EXR,2017-09-27,78.04,78.04
124,EXR,2017-09-26,79.37,79.37
125,EXR,2017-09-25,79.69,79.69
126,EXR,2017-09-22,78.89,78.89
127,EXR,2017-09-21,79.34,79.34
128,EXR,2017-09-20,79.46,79.46
129,EXR,2017-09-19,79.44,79.44
130,EXR,2017-09-18,79.4,79.4
131,EXR,2017-09-15,79.07,79.07
132,EXR,2017-09-14,78.37,78.37
133,EXR,2017-09-13,77.68,76.914486418193
134,EXR,2017-09-12,77.47,76.706555906507
135,EXR,2017-09-11,79.73,78.944284270373
136,EXR,2017-09-08,82.25,81.439450410613
137,EXR,2017-09-07,81.24,80.439403663929
138,EXR,2017-09-06,79.39,78.607634870499
139,EXR,2017-09-05,78.4,77.62739102969
140,EXR,2017-09-01,77.78,77.013500947568
141,EXR,2017-08-31,77.63,76.864979153506
142,EXR,2017-08-30,77.59,76.825373341756
143,EXR,2017-08-29,78.08,77.310544535692
144,EXR,2017-08-28,77.27,76.508526847757
145,EXR,2017-08-25,76.9,76.142173089071
146,EXR,2017-08-24,77.53,76.765964624131
147,EXR,2017-08-23,77.66,76.894683512318
148,EXR,2017-08-22,75.82,75.072816171826
149,EXR,2017-08-21,75.52,74.775772583702
150,EXR,2017-08-18,74.74,74.00345925458
151,EXR,2017-08-17,76.19,75.439169930512
152,EXR,2017-08-16,75.87,75.122323436513
153,EXR,2017-08-15,76.6,75.845129500948
154,EXR,2017-08-14,76.87,76.112468730259
155,EXR,2017-08-11,76.31,75.557987365761
156,EXR,2017-08-10,76.23,75.478775742262
157,EXR,2017-08-09,76.59,75.83522804801
158,EXR,2017-08-08,77.0,76.241187618446
159,EXR,2017-08-07,77.87,77.102614024005
160,EXR,2017-08-04,77.75,76.983796588756
161,EXR,2017-08-03,77.22,76.45901958307
162,EXR,2017-08-02,79.26,78.478915982312
163,EXR,2017-08-01,79.29,78.508620341124
164,EXR,2017-07-31,79.5,78.716550852811
165,EXR,2017-07-28,77.92,77.152121288692
166,EXR,2017-07-27,76.5,75.746114971573
167,EXR,2017-07-26,80.3,79.508667087808
168,EXR,2017-07-25,79.48,78.696747946936
169,EXR,2017-07-24,78.64,77.86502590019
170,EXR,2017-07-21,78.97,78.191773847126
171,EXR,2017-07-20,78.23,77.459066329754
172,EXR,2017-07-19,78.79,78.013547694251
173,EXR,2017-07-18,77.48,76.716457359444
174,EXR,2017-07-17,77.4,76.637245735944
175,EXR,2017-07-14,76.68,75.924341124447
176,EXR,2017-07-13,75.57,74.825279848389
177,EXR,2017-07-12,75.43,74.686659507265
178,EXR,2017-07-11,74.13,73.399470625395
179,EXR,2017-07-10,74.76,74.023262160455
180,EXR,2017-07-07,76.53,75.775819330385
181,EXR,2017-07-06,75.91,75.161929248263
182,EXR,2017-07-05,77.39,76.627344283007
183,EXR,2017-07-03,78.49,77.716504106128
184,EXR,2017-06-30,78.0,77.231332912192
185,EXR,2017-06-29,77.53,76.765964624131
186,EXR,2017-06-28,77.95,77.181825647505
187,EXR,2017-06-27,78.31,77.538277953253
188,EXR,2017-06-26,78.76,77.983843335439
189,EXR,2017-06-23,78.75,77.973941882502
190,EXR,2017-06-22,77.31,76.548132659507
191,EXR,2017-06-21,78.09,77.320445988629
192,EXR,2017-06-20,78.29,77.518475047378
193,EXR,2017-06-19,77.92,77.152121288692
194,EXR,2017-06-16,78.5,77.726405559065
195,EXR,2017-06-15,76.79,76.033257106759
196,EXR,2017-06-14,75.4,74.656955148452
197,EXR,2017-06-13,75.2,74.458926089703
198,EXR,2017-06-12,75.45,73.939536370994
199,EXR,2017-06-09,74.52,73.028154411749
200,EXR,2017-06-08,75.17,73.665141802619
201,EXR,2017-06-07,75.83,74.311928999502
202,EXR,2017-06-06,74.48,72.988955187695
203,EXR,2017-06-05,75.68,74.164931909302
204,EXR,2017-06-02,76.46,74.929316778346
205,EXR,2017-06-01,75.77,74.253130163422
206,EXR,2017-05-31,77.47,75.919097185698
207,EXR,2017-05-30,77.17,75.625103005296
208,EXR,2017-05-26,78.0,76.438486904407
209,EXR,2017-05-25,79.04,77.457666729799
210,EXR,2017-05-24,78.69,77.114673519331
211,EXR,2017-05-23,77.88,76.320889232246
212,EXR,2017-05-22,77.54,75.987695827791
213,EXR,2017-05-19,76.49,74.958716196386
214,EXR,2017-05-18,75.9,74.380527641596
215,EXR,2017-05-17,75.27,73.763139862753
216,EXR,2017-05-16,71.79,70.352807370095
217,EXR,2017-05-15,73.25,71.783579048049
218,EXR,2017-05-12,72.42,70.970195148938
219,EXR,2017-05-11,72.51,71.058393403058
220,EXR,2017-05-10,73.15,71.685580987915
221,EXR,2017-05-09,73.14,71.675781181902
222,EXR,2017-05-08,73.21,71.744379823995
223,EXR,2017-05-05,73.39,71.920776332236
224,EXR,2017-05-04,73.31,71.842377884129
225,EXR,2017-05-03,72.83,71.371987195487
226,EXR,2017-05-02,73.54,72.067773422437
227,EXR,2017-05-01,75.43,73.919936758967
228,EXR,2017-04-28,75.53,74.017934819101
229,EXR,2017-04-27,76.05,74.527524731797
230,EXR,2017-04-26,78.97,77.389068087705
231,EXR,2017-04-25,78.58,77.006875653183
232,EXR,2017-04-24,78.94,77.359668669665
233,EXR,2017-04-21,80.47,78.859038989713
234,EXR,2017-04-20,80.62,79.006036079914
235,EXR,2017-04-19,80.47,78.859038989713
236,EXR,2017-04-18,80.8,79.182432588155
237,EXR,2017-04-17,80.43,78.81983976566
238,EXR,2017-04-13,78.1,76.536484964541
239,EXR,2017-04-12,77.93,76.369888262313
240,EXR,2017-04-11,78.68,77.104873713317
241,EXR,2017-04-10,78.78,77.202871773451
242,EXR,2017-04-07,78.07,76.507085546501
243,EXR,2017-04-06,77.69,76.134692917992
244,EXR,2017-04-05,77.38,75.830898931577
245,EXR,2017-04-04,76.14,74.615722985917
246,EXR,2017-04-03,75.54,74.027734625114
247,EXR,2017-03-31,74.39,72.900756933575
248,EXR,2017-03-30,74.0,72.518564499053
249,EXR,2017-03-29,74.06,72.577363335133
250,EXR,2017-03-28,74.76,73.26334975607
251,EXR,2017-03-27,74.46,72.969355575668
252,EXR,2017-03-24,75.04,73.537744324445
253,EXR,2017-03-23,75.5,73.988535401061
254,EXR,2017-03-22,75.47,73.95913598302
255,EXR,2017-03-21,75.31,73.802339086806
256,EXR,2017-03-20,75.37,73.861137922887
257,EXR,2017-03-17,75.36,73.851338116873
258,EXR,2017-03-16,74.68,73.184951307963
259,EXR,2017-03-15,75.5,73.988535401061
260,EXR,2017-03-14,74.13,72.645961977227
261,EXR,2017-03-13,73.25,71.783579048049
262,EXR,2017-03-10,74.74,72.47203428409
263,EXR,2017-03-09,76.23,73.916820624514
264,EXR,2017-03-08,78.62,76.234296700765
265,EXR,2017-03-07,78.99,76.593069147715
266,EXR,2017-03-06,79.46,77.048807120869
267,EXR,2017-03-03,79.08,76.680338121298
268,EXR,2017-03-02,79.42,77.010020910388
269,EXR,2017-03-01,79.82,77.3978830152
270,EXR,2017-02-28,79.19,76.787000200121
271,EXR,2017-02-27,79.51,77.097289883971
272,EXR,2017-02-24,79.49,77.07789677873
273,EXR,2017-02-23,79.14,76.73851743702
274,EXR,2017-02-22,77.92,75.555538017344
275,EXR,2017-02-21,78.37,75.991882885257
276,EXR,2017-02-17,77.25,74.905868991784
277,EXR,2017-02-16,74.87,72.598089468154
278,EXR,2017-02-15,73.54,71.308447969654
279,EXR,2017-02-14,73.5,71.269661759173
