None,ticker,date,close,adj_close
0,F,2018-03-27,10.83,10.83
1,F,2018-03-26,10.83,10.83
2,F,2018-03-23,10.56,10.56
3,F,2018-03-22,10.75,10.75
4,F,2018-03-21,11.1,11.1
5,F,2018-03-20,10.99,10.99
6,F,2018-03-19,11.01,11.01
7,F,2018-03-16,11.15,11.15
8,F,2018-03-15,11.07,11.07
9,F,2018-03-14,11.02,11.02
10,F,2018-03-13,10.78,10.78
11,F,2018-03-12,10.81,10.81
12,F,2018-03-09,10.73,10.73
13,F,2018-03-08,10.61,10.61
14,F,2018-03-07,10.63,10.63
15,F,2018-03-06,10.63,10.63
16,F,2018-03-05,10.58,10.58
17,F,2018-03-02,10.4,10.4
18,F,2018-03-01,10.29,10.29
19,F,2018-02-28,10.61,10.61
20,F,2018-02-27,10.61,10.61
21,F,2018-02-26,10.89,10.89
22,F,2018-02-23,10.7,10.7
23,F,2018-02-22,10.63,10.63
24,F,2018-02-21,10.6,10.6
25,F,2018-02-20,10.63,10.63
26,F,2018-02-16,10.61,10.61
27,F,2018-02-15,10.76,10.76
28,F,2018-02-14,10.74,10.74
29,F,2018-02-13,10.59,10.59
30,F,2018-02-12,10.7,10.7
31,F,2018-02-09,10.53,10.53
32,F,2018-02-08,10.43,10.43
33,F,2018-02-07,10.76,10.76
34,F,2018-02-06,10.76,10.76
35,F,2018-02-05,10.24,10.24
36,F,2018-02-02,10.71,10.71
37,F,2018-02-01,10.92,10.92
38,F,2018-01-31,10.97,10.97
39,F,2018-01-30,11.06,11.06
40,F,2018-01-29,11.12,11.12
41,F,2018-01-26,11.65,11.65
42,F,2018-01-25,11.57,11.57
43,F,2018-01-24,12.05,12.05
44,F,2018-01-23,11.96,11.96
45,F,2018-01-22,12.02,12.02
46,F,2018-01-19,12.0,12.0
47,F,2018-01-18,12.07,12.07
48,F,2018-01-17,12.18,12.18
49,F,2018-01-16,13.1,13.1
50,F,2018-01-12,13.23,13.23
51,F,2018-01-11,13.16,13.16
52,F,2018-01-10,13.03,13.03
53,F,2018-01-09,13.08,13.08
54,F,2018-01-08,13.15,13.15
55,F,2018-01-05,13.2,13.2
56,F,2018-01-04,12.98,12.98
57,F,2018-01-03,12.76,12.76
58,F,2018-01-02,12.66,12.66
59,F,2017-12-29,12.49,12.49
60,F,2017-12-28,12.58,12.58
61,F,2017-12-27,12.5,12.5
62,F,2017-12-26,12.6,12.6
63,F,2017-12-22,12.58,12.58
64,F,2017-12-21,12.63,12.63
65,F,2017-12-20,12.72,12.72
66,F,2017-12-19,12.69,12.69
67,F,2017-12-18,12.66,12.66
68,F,2017-12-15,12.58,12.58
69,F,2017-12-14,12.46,12.46
70,F,2017-12-13,12.63,12.63
71,F,2017-12-12,12.6,12.6
72,F,2017-12-11,12.58,12.58
73,F,2017-12-08,12.61,12.61
74,F,2017-12-07,12.53,12.53
75,F,2017-12-06,12.38,12.38
76,F,2017-12-05,12.43,12.43
77,F,2017-12-04,12.63,12.63
78,F,2017-12-01,12.58,12.58
79,F,2017-11-30,12.52,12.52
80,F,2017-11-29,12.56,12.56
81,F,2017-11-28,12.21,12.21
82,F,2017-11-27,12.11,12.11
83,F,2017-11-24,12.1,12.1
84,F,2017-11-22,12.07,12.07
85,F,2017-11-21,12.12,12.12
86,F,2017-11-20,12.13,12.13
87,F,2017-11-17,12.01,12.01
88,F,2017-11-16,12.04,12.04
89,F,2017-11-15,12.0,12.0
90,F,2017-11-14,12.02,12.02
91,F,2017-11-13,12.16,12.16
92,F,2017-11-10,12.01,12.01
93,F,2017-11-09,12.04,12.04
94,F,2017-11-07,12.16,12.16
95,F,2017-11-06,12.33,12.33
96,F,2017-11-03,12.36,12.36
97,F,2017-11-02,12.42,12.42
98,F,2017-11-01,12.35,12.35
99,F,2017-10-31,12.27,12.27
100,F,2017-10-30,12.1,12.1
101,F,2017-10-27,12.06,12.06
102,F,2017-10-26,12.27,12.27
103,F,2017-10-25,12.07,12.07
104,F,2017-10-24,12.19,12.19
105,F,2017-10-23,12.04,12.04
106,F,2017-10-20,12.1,12.1
107,F,2017-10-19,12.23,12.080244897959
108,F,2017-10-18,12.19,12.040734693878
109,F,2017-10-17,12.27,12.119755102041
110,F,2017-10-16,12.12,11.971591836735
111,F,2017-10-13,12.05,11.902448979592
112,F,2017-10-12,12.12,11.971591836735
113,F,2017-10-11,12.38,12.228408163265
114,F,2017-10-10,12.39,12.238285714286
115,F,2017-10-09,12.34,12.188897959184
116,F,2017-10-06,12.31,12.159265306122
117,F,2017-10-05,12.25,12.1
118,F,2017-10-04,12.3,12.149387755102
119,F,2017-10-03,12.34,12.188897959184
120,F,2017-10-02,12.09,11.941959183673
121,F,2017-09-29,11.97,11.823428571429
122,F,2017-09-28,11.96,11.813551020408
123,F,2017-09-27,11.95,11.803673469388
124,F,2017-09-26,11.93,11.783918367347
125,F,2017-09-25,11.94,11.793795918367
126,F,2017-09-22,11.84,11.695020408163
127,F,2017-09-21,11.72,11.576489795918
128,F,2017-09-20,11.71,11.566612244898
129,F,2017-09-19,11.72,11.576489795918
130,F,2017-09-18,11.63,11.487591836735
131,F,2017-09-15,11.62,11.477714285714
132,F,2017-09-14,11.56,11.418448979592
133,F,2017-09-13,11.62,11.477714285714
134,F,2017-09-12,11.59,11.448081632653
135,F,2017-09-11,11.41,11.270285714286
136,F,2017-09-08,11.36,11.220897959184
137,F,2017-09-07,11.4,11.260408163265
138,F,2017-09-06,11.5,11.359183673469
139,F,2017-09-05,11.36,11.220897959184
140,F,2017-09-01,11.35,11.211020408163
141,F,2017-08-31,11.03,10.89493877551
142,F,2017-08-30,10.94,10.806040816327
143,F,2017-08-29,10.84,10.707265306122
144,F,2017-08-28,10.79,10.65787755102
145,F,2017-08-25,10.82,10.687510204082
146,F,2017-08-24,10.71,10.578857142857
147,F,2017-08-23,10.71,10.578857142857
148,F,2017-08-22,10.65,10.519591836735
149,F,2017-08-21,10.57,10.440571428571
150,F,2017-08-18,10.56,10.430693877551
151,F,2017-08-17,10.64,10.509714285714
152,F,2017-08-16,10.8,10.667755102041
153,F,2017-08-15,10.84,10.707265306122
154,F,2017-08-14,10.91,10.776408163265
155,F,2017-08-11,10.77,10.63812244898
156,F,2017-08-10,10.77,10.63812244898
157,F,2017-08-09,10.92,10.786285714286
158,F,2017-08-08,10.89,10.756653061224
159,F,2017-08-07,10.92,10.786285714286
160,F,2017-08-04,10.95,10.815918367347
161,F,2017-08-03,10.93,10.796163265306
162,F,2017-08-02,11.0,10.865306122449
163,F,2017-08-01,10.95,10.815918367347
164,F,2017-07-31,11.22,11.082612244898
165,F,2017-07-28,11.17,11.033224489796
166,F,2017-07-27,11.18,11.043102040816
167,F,2017-07-26,11.06,10.924571428571
168,F,2017-07-25,11.27,11.132
169,F,2017-07-24,11.29,11.151755102041
170,F,2017-07-21,11.53,11.388816326531
171,F,2017-07-20,11.7,11.556734693878
172,F,2017-07-19,11.83,11.53722965642
173,F,2017-07-18,11.75,11.459209506587
174,F,2017-07-17,11.74,11.449456987858
175,F,2017-07-14,11.68,11.390941875484
176,F,2017-07-13,11.6,11.312921725652
177,F,2017-07-12,11.47,11.186138982175
178,F,2017-07-11,11.38,11.098366313614
179,F,2017-07-10,11.34,11.059356238698
180,F,2017-07-07,11.26,10.981336088866
181,F,2017-07-06,11.18,10.903315939034
182,F,2017-07-05,11.3,11.020346163782
183,F,2017-07-03,11.56,11.273911650736
184,F,2017-06-30,11.19,10.913068457763
185,F,2017-06-29,11.17,10.893563420305
186,F,2017-06-28,11.09,10.815543270473
187,F,2017-06-27,11.08,10.805790751744
188,F,2017-06-26,11.18,10.903315939034
189,F,2017-06-23,11.04,10.766780676828
190,F,2017-06-22,11.13,10.854553345389
191,F,2017-06-21,11.04,10.766780676828
192,F,2017-06-20,11.12,10.84480082666
193,F,2017-06-19,11.24,10.961831051408
194,F,2017-06-16,11.22,10.94232601395
195,F,2017-06-15,11.24,10.961831051408
196,F,2017-06-14,11.22,10.94232601395
197,F,2017-06-13,11.27,10.991088607595
198,F,2017-06-12,11.28,11.000841126324
199,F,2017-06-09,11.13,10.854553345389
200,F,2017-06-08,11.1,10.825295789202
201,F,2017-06-07,11.07,10.796038233015
202,F,2017-06-06,11.12,10.84480082666
203,F,2017-06-05,11.25,10.971583570137
204,F,2017-06-02,11.35,11.069108757427
205,F,2017-06-01,11.41,11.127623869801
206,F,2017-05-31,11.12,10.84480082666
207,F,2017-05-30,11.08,10.805790751744
208,F,2017-05-26,10.93,10.659502970809
209,F,2017-05-25,10.86,10.591235339706
210,F,2017-05-24,10.96,10.688760526996
211,F,2017-05-23,11.05,10.776533195557
212,F,2017-05-22,11.1,10.825295789202
213,F,2017-05-19,10.87,10.600987858435
214,F,2017-05-18,10.79,10.522967708602
215,F,2017-05-17,10.76,10.493710152415
216,F,2017-05-16,10.94,10.669255489538
217,F,2017-05-15,10.94,10.669255489538
218,F,2017-05-12,10.92,10.64975045208
219,F,2017-05-11,11.01,10.737523120641
220,F,2017-05-10,11.04,10.766780676828
221,F,2017-05-09,11.16,10.883810901576
