None,ticker,date,close,adj_close
0,FANG,2018-03-27,129.18,129.18
1,FANG,2018-03-26,133.23,133.23
2,FANG,2018-03-23,127.96,127.96
3,FANG,2018-03-22,127.78,127.78
4,FANG,2018-03-21,130.18,130.18
5,FANG,2018-03-20,125.54,125.54
6,FANG,2018-03-19,122.63,122.63
7,FANG,2018-03-16,125.51,125.51
8,FANG,2018-03-15,124.6,124.6
9,FANG,2018-03-14,125.81,125.81
10,FANG,2018-03-13,127.15,127.15
11,FANG,2018-03-12,127.41,127.41
12,FANG,2018-03-09,128.94,128.94
13,FANG,2018-03-08,125.2,125.2
14,FANG,2018-03-07,126.27,126.27
15,FANG,2018-03-06,127.09,127.09
16,FANG,2018-03-05,130.25,130.25
17,FANG,2018-03-02,129.08,129.08
18,FANG,2018-03-01,126.41,126.41
19,FANG,2018-02-28,124.64,124.64
20,FANG,2018-02-27,126.17,126.17
21,FANG,2018-02-26,127.72,127.72
22,FANG,2018-02-23,127.93,127.93
23,FANG,2018-02-22,123.31,123.31
24,FANG,2018-02-21,120.98,120.98
25,FANG,2018-02-20,122.81,122.81
26,FANG,2018-02-16,123.88,123.88
27,FANG,2018-02-15,125.15,125.15
28,FANG,2018-02-14,122.83,122.83
29,FANG,2018-02-13,115.03,115.03
30,FANG,2018-02-12,116.01,116.01
31,FANG,2018-02-09,110.59,110.59
32,FANG,2018-02-08,111.31,111.31
33,FANG,2018-02-07,118.5,118.5
34,FANG,2018-02-06,121.9,121.9
35,FANG,2018-02-05,120.665,120.665
36,FANG,2018-02-02,122.46,122.46
37,FANG,2018-02-01,126.64,126.64
38,FANG,2018-01-31,125.5,125.5
39,FANG,2018-01-30,126.27,126.27
40,FANG,2018-01-29,129.05,129.05
41,FANG,2018-01-26,130.09,130.09
42,FANG,2018-01-25,126.85,126.85
43,FANG,2018-01-24,130.36,130.36
44,FANG,2018-01-23,132.31,132.31
45,FANG,2018-01-22,132.209,132.209
46,FANG,2018-01-19,127.57,127.57
47,FANG,2018-01-18,127.23,127.23
48,FANG,2018-01-17,127.44,127.44
49,FANG,2018-01-16,128.02,128.02
50,FANG,2018-01-12,130.14,130.14
51,FANG,2018-01-11,129.9,129.9
52,FANG,2018-01-10,127.29,127.29
53,FANG,2018-01-09,127.49,127.49
54,FANG,2018-01-08,130.99,130.99
55,FANG,2018-01-05,129.98,129.98
56,FANG,2018-01-04,130.13,130.13
57,FANG,2018-01-03,129.17,129.17
58,FANG,2018-01-02,127.88,127.88
59,FANG,2017-12-29,126.25,126.25
60,FANG,2017-12-28,125.52,125.52
61,FANG,2017-12-27,123.19,123.19
62,FANG,2017-12-26,125.97,125.97
63,FANG,2017-12-22,124.37,124.37
64,FANG,2017-12-21,123.1,123.1
65,FANG,2017-12-20,117.24,117.24
66,FANG,2017-12-19,111.81,111.81
67,FANG,2017-12-18,109.65,109.65
68,FANG,2017-12-15,109.52,109.52
69,FANG,2017-12-14,111.03,111.03
70,FANG,2017-12-13,111.59,111.59
71,FANG,2017-12-12,111.53,111.53
