None,ticker,date,close,adj_close
0,FCX,2018-03-27,17.24,17.24
1,FCX,2018-03-26,17.75,17.75
2,FCX,2018-03-23,17.52,17.52
3,FCX,2018-03-22,18.05,18.05
4,FCX,2018-03-21,19.18,19.18
5,FCX,2018-03-20,18.49,18.49
6,FCX,2018-03-19,18.05,18.05
7,FCX,2018-03-16,18.36,18.36
8,FCX,2018-03-15,18.41,18.41
9,FCX,2018-03-14,18.66,18.66
10,FCX,2018-03-13,18.48,18.48
11,FCX,2018-03-12,18.56,18.56
12,FCX,2018-03-09,18.43,18.43
13,FCX,2018-03-08,17.87,17.87
14,FCX,2018-03-07,18.12,18.12
15,FCX,2018-03-06,18.7,18.7
16,FCX,2018-03-05,18.19,18.19
17,FCX,2018-03-02,18.32,18.32
18,FCX,2018-03-01,18.54,18.54
19,FCX,2018-02-28,18.6,18.6
20,FCX,2018-02-27,19.09,19.09
21,FCX,2018-02-26,19.53,19.53
22,FCX,2018-02-23,19.55,19.55
23,FCX,2018-02-22,19.16,19.16
24,FCX,2018-02-21,18.73,18.73
25,FCX,2018-02-20,18.43,18.43
26,FCX,2018-02-16,18.73,18.73
27,FCX,2018-02-15,19.12,19.12
28,FCX,2018-02-14,19.12,19.12
29,FCX,2018-02-13,17.8,17.8
30,FCX,2018-02-12,17.57,17.57
31,FCX,2018-02-09,17.57,17.57
32,FCX,2018-02-08,17.16,17.16
33,FCX,2018-02-07,17.86,17.86
34,FCX,2018-02-06,18.74,18.74
35,FCX,2018-02-05,17.65,17.65
36,FCX,2018-02-02,17.97,17.97
37,FCX,2018-02-01,19.45,19.45
38,FCX,2018-01-31,19.5,19.5
39,FCX,2018-01-30,19.13,19.13
40,FCX,2018-01-29,19.63,19.63
41,FCX,2018-01-26,19.54,19.54
42,FCX,2018-01-25,19.82,19.82
43,FCX,2018-01-24,19.6,19.6
44,FCX,2018-01-23,19.55,19.55
45,FCX,2018-01-22,19.99,19.99
46,FCX,2018-01-19,19.96,19.96
47,FCX,2018-01-18,19.4,19.4
48,FCX,2018-01-17,19.77,19.77
49,FCX,2018-01-16,19.32,19.32
50,FCX,2018-01-12,19.75,19.75
51,FCX,2018-01-11,19.88,19.88
52,FCX,2018-01-10,19.51,19.51
53,FCX,2018-01-09,18.92,18.92
54,FCX,2018-01-08,19.81,19.81
55,FCX,2018-01-05,19.9,19.9
56,FCX,2018-01-04,19.74,19.74
57,FCX,2018-01-03,19.47,19.47
58,FCX,2018-01-02,19.77,19.77
59,FCX,2017-12-29,18.96,18.96
60,FCX,2017-12-28,19.27,19.27
61,FCX,2017-12-27,18.69,18.69
62,FCX,2017-12-26,18.67,18.67
63,FCX,2017-12-22,18.1,18.1
64,FCX,2017-12-21,18.18,18.18
65,FCX,2017-12-20,17.66,17.66
66,FCX,2017-12-19,17.33,17.33
67,FCX,2017-12-18,17.35,17.35
68,FCX,2017-12-15,16.98,16.98
69,FCX,2017-12-14,16.19,16.19
70,FCX,2017-12-13,16.32,16.32
71,FCX,2017-12-12,15.71,15.71
72,FCX,2017-12-11,15.02,15.02
73,FCX,2017-12-08,14.97,14.97
74,FCX,2017-12-07,14.84,14.84
75,FCX,2017-12-06,14.35,14.35
76,FCX,2017-12-05,14.11,14.11
77,FCX,2017-12-04,14.3,14.3
78,FCX,2017-12-01,14.11,14.11
79,FCX,2017-11-30,13.92,13.92
80,FCX,2017-11-29,14.01,14.01
81,FCX,2017-11-28,14.21,14.21
82,FCX,2017-11-27,14.09,14.09
83,FCX,2017-11-24,14.35,14.35
84,FCX,2017-11-22,14.24,14.24
85,FCX,2017-11-21,14.15,14.15
86,FCX,2017-11-20,13.95,13.95
87,FCX,2017-11-17,13.86,13.86
88,FCX,2017-11-16,13.62,13.62
89,FCX,2017-11-15,13.63,13.63
90,FCX,2017-11-14,13.8,13.8
91,FCX,2017-11-13,14.43,14.43
92,FCX,2017-11-10,14.41,14.41
93,FCX,2017-11-09,14.72,14.72
