None,ticker,date,close,adj_close
0,FFIV,2018-03-27,144.96,144.96
1,FFIV,2018-03-26,147.6,147.6
2,FFIV,2018-03-23,144.51,144.51
3,FFIV,2018-03-22,146.27,146.27
4,FFIV,2018-03-21,149.55,149.55
5,FFIV,2018-03-20,148.9,148.9
6,FFIV,2018-03-19,146.8,146.8
7,FFIV,2018-03-16,148.18,148.18
8,FFIV,2018-03-15,148.15,148.15
9,FFIV,2018-03-14,147.92,147.92
10,FFIV,2018-03-13,147.84,147.84
11,FFIV,2018-03-12,146.78,146.78
12,FFIV,2018-03-09,147.48,147.48
13,FFIV,2018-03-08,147.06,147.06
14,FFIV,2018-03-07,153.32,153.32
15,FFIV,2018-03-06,152.14,152.14
16,FFIV,2018-03-05,150.84,150.84
17,FFIV,2018-03-02,148.34,148.34
18,FFIV,2018-03-01,146.55,146.55
19,FFIV,2018-02-28,148.52,148.52
20,FFIV,2018-02-27,150.84,150.84
21,FFIV,2018-02-26,151.03,151.03
22,FFIV,2018-02-23,147.33,147.33
23,FFIV,2018-02-22,143.87,143.87
24,FFIV,2018-02-21,144.66,144.66
25,FFIV,2018-02-20,143.04,143.04
26,FFIV,2018-02-16,145.03,145.03
27,FFIV,2018-02-15,145.39,145.39
28,FFIV,2018-02-14,143.5,143.5
29,FFIV,2018-02-13,142.43,142.43
30,FFIV,2018-02-12,140.15,140.15
31,FFIV,2018-02-09,138.61,138.61
32,FFIV,2018-02-08,137.25,137.25
33,FFIV,2018-02-07,141.39,141.39
34,FFIV,2018-02-06,139.73,139.73
35,FFIV,2018-02-05,136.68,136.68
36,FFIV,2018-02-02,144.13,144.13
37,FFIV,2018-02-01,145.03,145.03
38,FFIV,2018-01-31,144.54,144.54
39,FFIV,2018-01-30,140.95,140.95
40,FFIV,2018-01-29,138.89,138.89
41,FFIV,2018-01-26,138.24,138.24
42,FFIV,2018-01-25,134.94,134.94
43,FFIV,2018-01-24,142.13,142.13
44,FFIV,2018-01-23,142.59,142.59
45,FFIV,2018-01-22,141.06,141.06
46,FFIV,2018-01-19,138.76,138.76
47,FFIV,2018-01-18,138.0,138.0
48,FFIV,2018-01-17,139.55,139.55
49,FFIV,2018-01-16,140.52,140.52
50,FFIV,2018-01-12,141.81,141.81
51,FFIV,2018-01-11,139.77,139.77
52,FFIV,2018-01-10,139.02,139.02
53,FFIV,2018-01-09,137.84,137.84
54,FFIV,2018-01-08,137.62,137.62
55,FFIV,2018-01-05,136.18,136.18
56,FFIV,2018-01-04,137.12,137.12
57,FFIV,2018-01-03,134.04,134.04
58,FFIV,2018-01-02,132.58,132.58
59,FFIV,2017-12-29,131.22,131.22
60,FFIV,2017-12-28,132.08,132.08
61,FFIV,2017-12-27,131.75,131.75
62,FFIV,2017-12-26,131.26,131.26
63,FFIV,2017-12-22,132.37,132.37
64,FFIV,2017-12-21,132.36,132.36
65,FFIV,2017-12-20,131.45,131.45
66,FFIV,2017-12-19,131.51,131.51
67,FFIV,2017-12-18,131.87,131.87
68,FFIV,2017-12-15,131.06,131.06
69,FFIV,2017-12-14,130.23,130.23
70,FFIV,2017-12-13,131.0,131.0
71,FFIV,2017-12-12,135.49,135.49
72,FFIV,2017-12-11,133.15,133.15
73,FFIV,2017-12-08,132.74,132.74
74,FFIV,2017-12-07,131.83,131.83
75,FFIV,2017-12-06,131.47,131.47
76,FFIV,2017-12-05,132.6,132.6
77,FFIV,2017-12-04,132.53,132.53
78,FFIV,2017-12-01,132.71,132.71
79,FFIV,2017-11-30,134.2,134.2
80,FFIV,2017-11-29,129.86,129.86
81,FFIV,2017-11-28,126.67,126.67
82,FFIV,2017-11-27,123.7,123.7
83,FFIV,2017-11-24,123.19,123.19
84,FFIV,2017-11-22,122.02,122.02
85,FFIV,2017-11-21,122.45,122.45
86,FFIV,2017-11-20,122.54,122.54
87,FFIV,2017-11-17,123.58,123.58
88,FFIV,2017-11-16,122.06,122.06
89,FFIV,2017-11-15,119.79,119.79
90,FFIV,2017-11-14,121.22,121.22
91,FFIV,2017-11-13,120.85,120.85
92,FFIV,2017-11-10,119.71,119.71
93,FFIV,2017-11-09,120.96,120.96
94,FFIV,2017-11-07,120.13,120.13
95,FFIV,2017-11-06,120.2,120.2
96,FFIV,2017-11-03,119.65,119.65
97,FFIV,2017-11-02,121.01,121.01
98,FFIV,2017-11-01,120.6,120.6
99,FFIV,2017-10-31,121.27,121.27
100,FFIV,2017-10-30,119.63,119.63
101,FFIV,2017-10-27,121.18,121.18
102,FFIV,2017-10-26,124.05,124.05
103,FFIV,2017-10-25,119.57,119.57
104,FFIV,2017-10-24,119.15,119.15
105,FFIV,2017-10-23,118.27,118.27
106,FFIV,2017-10-20,119.48,119.48
107,FFIV,2017-10-19,117.39,117.39
108,FFIV,2017-10-18,116.74,116.74
109,FFIV,2017-10-17,116.28,116.28
110,FFIV,2017-10-16,115.79,115.79
111,FFIV,2017-10-13,116.7,116.7
112,FFIV,2017-10-12,115.69,115.69
113,FFIV,2017-10-11,115.99,115.99
114,FFIV,2017-10-10,116.4,116.4
115,FFIV,2017-10-09,116.3,116.3
116,FFIV,2017-10-06,119.0,119.0
117,FFIV,2017-10-05,120.1,120.1
118,FFIV,2017-10-04,119.35,119.35
119,FFIV,2017-10-03,117.82,117.82
120,FFIV,2017-10-02,123.72,123.72
121,FFIV,2017-09-29,120.56,120.56
122,FFIV,2017-09-28,121.43,121.43
123,FFIV,2017-09-27,121.06,121.06
124,FFIV,2017-09-26,118.61,118.61
125,FFIV,2017-09-25,118.81,118.81
126,FFIV,2017-09-22,119.73,119.73
127,FFIV,2017-09-21,117.71,117.71
128,FFIV,2017-09-20,116.83,116.83
129,FFIV,2017-09-19,116.76,116.76
130,FFIV,2017-09-18,116.9,116.9
131,FFIV,2017-09-15,116.62,116.62
132,FFIV,2017-09-14,116.91,116.91
133,FFIV,2017-09-13,116.54,116.54
134,FFIV,2017-09-12,117.58,117.58
135,FFIV,2017-09-11,117.55,117.55
136,FFIV,2017-09-08,115.56,115.56
137,FFIV,2017-09-07,115.66,115.66
138,FFIV,2017-09-06,116.58,116.58
139,FFIV,2017-09-05,116.45,116.45
140,FFIV,2017-09-01,118.57,118.57
141,FFIV,2017-08-31,119.38,119.38
142,FFIV,2017-08-30,118.64,118.64
143,FFIV,2017-08-29,117.74,117.74
144,FFIV,2017-08-28,117.71,117.71
145,FFIV,2017-08-25,117.6,117.6
146,FFIV,2017-08-24,117.52,117.52
147,FFIV,2017-08-23,115.93,115.93
148,FFIV,2017-08-22,116.95,116.95
149,FFIV,2017-08-21,116.11,116.11
150,FFIV,2017-08-18,116.48,116.48
151,FFIV,2017-08-17,117.81,117.81
152,FFIV,2017-08-16,118.63,118.63
153,FFIV,2017-08-15,118.56,118.56
154,FFIV,2017-08-14,119.01,119.01
155,FFIV,2017-08-11,117.82,117.82
156,FFIV,2017-08-10,116.41,116.41
157,FFIV,2017-08-09,118.63,118.63
158,FFIV,2017-08-08,118.62,118.62
159,FFIV,2017-08-07,120.05,120.05
160,FFIV,2017-08-04,119.78,119.78
161,FFIV,2017-08-03,119.63,119.63
162,FFIV,2017-08-02,119.08,119.08
163,FFIV,2017-08-01,121.15,121.15
164,FFIV,2017-07-31,120.75,120.75
165,FFIV,2017-07-28,121.72,121.72
166,FFIV,2017-07-27,119.02,119.02
167,FFIV,2017-07-26,128.2,128.2
168,FFIV,2017-07-25,128.02,128.02
169,FFIV,2017-07-24,126.79,126.79
170,FFIV,2017-07-21,126.9,126.9
171,FFIV,2017-07-20,127.24,127.24
