None,ticker,date,close,adj_close
0,FIS,2018-03-27,94.68,94.68
1,FIS,2018-03-26,96.16,96.16
2,FIS,2018-03-23,94.86,94.86
3,FIS,2018-03-22,97.52,97.52
4,FIS,2018-03-21,100.58,100.58
5,FIS,2018-03-20,100.92,100.92
6,FIS,2018-03-19,100.05,100.05
7,FIS,2018-03-16,100.64,100.64
8,FIS,2018-03-15,100.1,100.1
9,FIS,2018-03-14,100.32,100.32
10,FIS,2018-03-13,100.41,100.41
11,FIS,2018-03-12,101.23,101.23
12,FIS,2018-03-09,100.77,100.77
13,FIS,2018-03-08,99.28,99.28
14,FIS,2018-03-07,98.57,98.57
15,FIS,2018-03-06,98.71,98.71
16,FIS,2018-03-05,99.59,99.59
17,FIS,2018-03-02,96.9,96.9
18,FIS,2018-03-01,95.96,95.96
19,FIS,2018-02-28,97.18,97.18
20,FIS,2018-02-27,98.44,98.44
21,FIS,2018-02-26,99.92,99.92
22,FIS,2018-02-23,99.82,99.82
23,FIS,2018-02-22,98.03,98.03
24,FIS,2018-02-21,97.15,97.15
25,FIS,2018-02-20,97.32,97.32
26,FIS,2018-02-16,97.82,97.82
27,FIS,2018-02-15,96.56,96.56
28,FIS,2018-02-14,96.0,96.0
29,FIS,2018-02-13,96.17,96.17
30,FIS,2018-02-12,95.15,95.15
31,FIS,2018-02-09,95.03,95.03
32,FIS,2018-02-08,92.74,92.74
33,FIS,2018-02-07,96.77,96.77
34,FIS,2018-02-06,95.72,95.72
35,FIS,2018-02-05,97.2,97.2
36,FIS,2018-02-02,100.81,100.81
37,FIS,2018-02-01,102.11,102.11
38,FIS,2018-01-31,102.36,102.36
39,FIS,2018-01-30,102.66,102.66
40,FIS,2018-01-29,102.69,102.69
41,FIS,2018-01-26,102.88,102.88
42,FIS,2018-01-25,101.5,101.5
43,FIS,2018-01-24,100.56,100.56
44,FIS,2018-01-23,99.13,99.13
45,FIS,2018-01-22,99.19,99.19
46,FIS,2018-01-19,98.47,98.47
47,FIS,2018-01-18,97.54,97.54
48,FIS,2018-01-17,97.6,97.6
49,FIS,2018-01-16,97.17,97.17
50,FIS,2018-01-12,97.61,97.61
51,FIS,2018-01-11,97.78,97.78
52,FIS,2018-01-10,97.28,97.28
53,FIS,2018-01-09,96.04,96.04
54,FIS,2018-01-08,95.73,95.73
55,FIS,2018-01-05,95.49,95.49
56,FIS,2018-01-04,94.95,94.95
57,FIS,2018-01-03,94.25,94.25
58,FIS,2018-01-02,93.7,93.7
59,FIS,2017-12-29,94.09,94.09
60,FIS,2017-12-28,94.28,94.28
61,FIS,2017-12-27,94.0,94.0
62,FIS,2017-12-26,94.13,94.13
63,FIS,2017-12-22,94.32,94.32
64,FIS,2017-12-21,94.86,94.86
65,FIS,2017-12-20,95.08,95.08
66,FIS,2017-12-19,95.0,95.0
67,FIS,2017-12-18,95.25,95.25
68,FIS,2017-12-15,94.83,94.83
69,FIS,2017-12-14,93.6,93.6
70,FIS,2017-12-13,94.26,94.26
71,FIS,2017-12-12,94.24,94.24
72,FIS,2017-12-11,95.71,95.71
73,FIS,2017-12-08,95.85,95.85
74,FIS,2017-12-07,95.87,95.87
75,FIS,2017-12-06,95.3,95.3
76,FIS,2017-12-05,95.17,95.17
77,FIS,2017-12-04,93.63,93.63
78,FIS,2017-12-01,93.75,93.75
79,FIS,2017-11-30,94.33,94.33
80,FIS,2017-11-29,92.72,92.72
81,FIS,2017-11-28,92.72,92.72
82,FIS,2017-11-27,91.97,91.97
83,FIS,2017-11-24,92.11,92.11
84,FIS,2017-11-22,91.59,91.59
85,FIS,2017-11-21,91.74,91.74
86,FIS,2017-11-20,91.97,91.97
87,FIS,2017-11-17,92.06,92.06
88,FIS,2017-11-16,93.2,93.2
89,FIS,2017-11-15,93.54,93.54
90,FIS,2017-11-14,93.43,93.43
91,FIS,2017-11-13,92.85,92.85
92,FIS,2017-11-10,92.76,92.76
93,FIS,2017-11-09,92.52,92.52
94,FIS,2017-11-07,90.47,90.47
95,FIS,2017-11-06,93.13,93.13
96,FIS,2017-11-03,93.18,93.18
97,FIS,2017-11-02,93.36,93.36
98,FIS,2017-11-01,93.11,93.11
99,FIS,2017-10-31,92.76,92.76
100,FIS,2017-10-30,96.07,96.07
101,FIS,2017-10-27,96.62,96.62
102,FIS,2017-10-26,95.94,95.94
103,FIS,2017-10-25,95.535,95.535
104,FIS,2017-10-24,95.27,95.27
105,FIS,2017-10-23,95.71,95.71
106,FIS,2017-10-20,95.28,95.28
107,FIS,2017-10-19,95.15,95.15
108,FIS,2017-10-18,94.81,94.81
109,FIS,2017-10-17,94.38,94.38
110,FIS,2017-10-16,95.21,95.21
111,FIS,2017-10-13,94.96,94.96
112,FIS,2017-10-12,94.61,94.61
113,FIS,2017-10-11,94.64,94.64
114,FIS,2017-10-10,94.61,94.61
115,FIS,2017-10-09,94.35,94.35
116,FIS,2017-10-06,93.91,93.91
117,FIS,2017-10-05,93.82,93.82
118,FIS,2017-10-04,93.71,93.71
119,FIS,2017-10-03,93.4,93.4
120,FIS,2017-10-02,93.33,93.33
121,FIS,2017-09-29,93.39,93.39
122,FIS,2017-09-28,93.34,93.34
123,FIS,2017-09-27,93.0,93.0
124,FIS,2017-09-26,92.65,92.65
125,FIS,2017-09-25,92.83,92.83
126,FIS,2017-09-22,93.05,93.05
127,FIS,2017-09-21,92.72,92.72
128,FIS,2017-09-20,92.8,92.8
129,FIS,2017-09-19,92.77,92.77
130,FIS,2017-09-18,93.54,93.54
131,FIS,2017-09-15,92.01,92.01
132,FIS,2017-09-14,92.11,92.11
133,FIS,2017-09-13,92.42,92.129937229437
