None,ticker,date,close,adj_close
0,FISV,2018-03-27,70.28,70.28
1,FISV,2018-03-26,71.28,71.28
2,FISV,2018-03-23,70.01,70.01
3,FISV,2018-03-22,71.34,71.34
4,FISV,2018-03-21,73.17,73.17
5,FISV,2018-03-20,73.46,73.46
6,FISV,2018-03-19,147.24,147.24
7,FISV,2018-03-16,148.44,148.44
8,FISV,2018-03-15,147.67,147.67
9,FISV,2018-03-14,147.59,147.59
10,FISV,2018-03-13,147.5,147.5
11,FISV,2018-03-12,147.64,147.64
12,FISV,2018-03-09,148.23,148.23
13,FISV,2018-03-08,146.1,146.1
14,FISV,2018-03-07,145.06,145.06
15,FISV,2018-03-06,144.22,144.22
16,FISV,2018-03-05,144.93,144.93
17,FISV,2018-03-02,143.98,143.98
18,FISV,2018-03-01,141.87,141.87
19,FISV,2018-02-28,143.39,143.39
20,FISV,2018-02-27,144.21,144.21
21,FISV,2018-02-26,145.36,145.36
22,FISV,2018-02-23,146.19,146.19
23,FISV,2018-02-22,142.11,142.11
24,FISV,2018-02-21,139.79,139.79
25,FISV,2018-02-20,141.71,141.71
26,FISV,2018-02-16,142.72,142.72
27,FISV,2018-02-15,140.45,140.45
28,FISV,2018-02-14,138.4,138.4
29,FISV,2018-02-13,139.03,139.03
30,FISV,2018-02-12,138.64,138.64
31,FISV,2018-02-09,137.48,137.48
32,FISV,2018-02-08,132.92,132.92
33,FISV,2018-02-07,129.17,129.17
34,FISV,2018-02-06,130.75,130.75
35,FISV,2018-02-05,130.48,130.48
36,FISV,2018-02-02,137.55,137.55
37,FISV,2018-02-01,140.1,140.1
38,FISV,2018-01-31,140.84,140.84
39,FISV,2018-01-30,142.54,142.54
40,FISV,2018-01-29,143.03,143.03
41,FISV,2018-01-26,142.58,142.58
42,FISV,2018-01-25,140.8,140.8
43,FISV,2018-01-24,140.14,140.14
44,FISV,2018-01-23,140.39,140.39
45,FISV,2018-01-22,140.19,140.19
46,FISV,2018-01-19,138.11,138.11
47,FISV,2018-01-18,137.94,137.94
48,FISV,2018-01-17,138.25,138.25
49,FISV,2018-01-16,137.51,137.51
50,FISV,2018-01-12,137.22,137.22
51,FISV,2018-01-11,137.76,137.76
52,FISV,2018-01-10,137.01,137.01
53,FISV,2018-01-09,136.29,136.29
54,FISV,2018-01-08,134.85,134.85
55,FISV,2018-01-05,134.58,134.58
56,FISV,2018-01-04,133.26,133.26
57,FISV,2018-01-03,131.41,131.41
58,FISV,2018-01-02,130.35,130.35
59,FISV,2017-12-29,131.13,131.13
60,FISV,2017-12-28,131.99,131.99
61,FISV,2017-12-27,131.49,131.49
62,FISV,2017-12-26,131.4,131.4
63,FISV,2017-12-22,130.32,130.32
64,FISV,2017-12-21,130.63,130.63
65,FISV,2017-12-20,131.59,131.59
66,FISV,2017-12-19,132.16,132.16
67,FISV,2017-12-18,132.34,132.34
68,FISV,2017-12-15,131.96,131.96
69,FISV,2017-12-14,129.9,129.9
70,FISV,2017-12-13,130.81,130.81
71,FISV,2017-12-12,131.2,131.2
72,FISV,2017-12-11,131.83,131.83
73,FISV,2017-12-08,131.72,131.72
74,FISV,2017-12-07,131.2,131.2
75,FISV,2017-12-06,130.56,130.56
76,FISV,2017-12-05,130.88,130.88
77,FISV,2017-12-04,132.24,132.24
78,FISV,2017-12-01,130.41,130.41
79,FISV,2017-11-30,131.45,131.45
80,FISV,2017-11-29,128.72,128.72
81,FISV,2017-11-28,128.41,128.41
82,FISV,2017-11-27,128.16,128.16
83,FISV,2017-11-24,128.13,128.13
84,FISV,2017-11-22,127.71,127.71
85,FISV,2017-11-21,128.27,128.27
86,FISV,2017-11-20,128.32,128.32
87,FISV,2017-11-17,128.39,128.39
88,FISV,2017-11-16,129.54,129.54
89,FISV,2017-11-15,128.52,128.52
90,FISV,2017-11-14,129.73,129.73
91,FISV,2017-11-13,128.16,128.16
92,FISV,2017-11-10,128.0,128.0
93,FISV,2017-11-09,128.88,128.88
94,FISV,2017-11-07,126.97,126.97
95,FISV,2017-11-06,127.77,127.77
96,FISV,2017-11-03,127.03,127.03
97,FISV,2017-11-02,126.58,126.58
98,FISV,2017-11-01,125.52,125.52
99,FISV,2017-10-31,129.43,129.43
100,FISV,2017-10-30,129.45,129.45
101,FISV,2017-10-27,130.18,130.18
102,FISV,2017-10-26,128.94,128.94
103,FISV,2017-10-25,128.21,128.21
104,FISV,2017-10-24,127.39,127.39
105,FISV,2017-10-23,127.99,127.99
106,FISV,2017-10-20,128.44,128.44
107,FISV,2017-10-19,127.55,127.55
108,FISV,2017-10-18,127.07,127.07
109,FISV,2017-10-17,126.63,126.63
110,FISV,2017-10-16,127.2,127.2
111,FISV,2017-10-13,127.08,127.08
112,FISV,2017-10-12,127.17,127.17
113,FISV,2017-10-11,126.74,126.74
114,FISV,2017-10-10,127.87,127.87
115,FISV,2017-10-09,127.51,127.51
116,FISV,2017-10-06,127.48,127.48
