None,ticker,date,close,adj_close
0,FITB,2018-03-27,31.34,31.34
1,FITB,2018-03-26,32.12,32.12
2,FITB,2018-03-23,31.03,31.03
3,FITB,2018-03-22,32.3,32.3
4,FITB,2018-03-21,33.62,33.62
5,FITB,2018-03-20,33.53,33.53
6,FITB,2018-03-19,33.62,33.62
7,FITB,2018-03-16,33.72,33.72
8,FITB,2018-03-15,33.57,33.57
9,FITB,2018-03-14,33.62,33.62
10,FITB,2018-03-13,34.06,34.06
11,FITB,2018-03-12,34.26,34.26
12,FITB,2018-03-09,34.21,34.21
13,FITB,2018-03-08,33.67,33.67
14,FITB,2018-03-07,33.68,33.68
15,FITB,2018-03-06,33.66,33.66
16,FITB,2018-03-05,33.36,33.36
17,FITB,2018-03-02,32.91,32.91
18,FITB,2018-03-01,32.79,32.79
19,FITB,2018-02-28,33.05,33.05
20,FITB,2018-02-27,33.26,33.26
21,FITB,2018-02-26,33.76,33.76
22,FITB,2018-02-23,33.45,33.45
23,FITB,2018-02-22,32.87,32.87
24,FITB,2018-02-21,33.44,33.44
25,FITB,2018-02-20,33.21,33.21
26,FITB,2018-02-16,33.13,33.13
27,FITB,2018-02-15,33.2,33.2
28,FITB,2018-02-14,33.25,33.25
29,FITB,2018-02-13,32.39,32.39
30,FITB,2018-02-12,32.25,32.25
31,FITB,2018-02-09,31.98,31.98
32,FITB,2018-02-08,31.1,31.1
33,FITB,2018-02-07,32.34,32.34
34,FITB,2018-02-06,32.02,32.02
35,FITB,2018-02-05,31.89,31.89
36,FITB,2018-02-02,33.13,33.13
37,FITB,2018-02-01,33.66,33.66
38,FITB,2018-01-31,33.1,33.1
39,FITB,2018-01-30,33.02,33.02
40,FITB,2018-01-29,33.17,33.17
41,FITB,2018-01-26,33.35,33.35
42,FITB,2018-01-25,32.84,32.84
43,FITB,2018-01-24,33.33,33.33
44,FITB,2018-01-23,32.92,32.92
45,FITB,2018-01-22,32.77,32.77
46,FITB,2018-01-19,32.5,32.5
47,FITB,2018-01-18,32.17,32.17
48,FITB,2018-01-17,32.49,32.49
49,FITB,2018-01-16,32.28,32.28
50,FITB,2018-01-12,32.35,32.35
51,FITB,2018-01-11,31.86,31.86
52,FITB,2018-01-10,31.58,31.58
53,FITB,2018-01-09,31.25,31.25
54,FITB,2018-01-08,30.7,30.7
55,FITB,2018-01-05,30.71,30.71
56,FITB,2018-01-04,30.63,30.63
57,FITB,2018-01-03,30.52,30.52
58,FITB,2018-01-02,30.43,30.43
59,FITB,2017-12-29,30.34,30.34
60,FITB,2017-12-28,30.64,30.64
61,FITB,2017-12-27,30.66,30.66
62,FITB,2017-12-26,30.68,30.68
63,FITB,2017-12-22,30.84,30.84
64,FITB,2017-12-21,30.93,30.93
65,FITB,2017-12-20,30.51,30.51
66,FITB,2017-12-19,30.62,30.62
67,FITB,2017-12-18,30.47,30.47
68,FITB,2017-12-15,30.03,30.03
69,FITB,2017-12-14,29.675,29.675
70,FITB,2017-12-13,29.94,29.94
71,FITB,2017-12-12,30.45,30.45
72,FITB,2017-12-11,30.3,30.3
73,FITB,2017-12-08,30.37,30.37
74,FITB,2017-12-07,30.4,30.4
75,FITB,2017-12-06,30.58,30.58
76,FITB,2017-12-05,30.78,30.78
77,FITB,2017-12-04,31.36,31.36
78,FITB,2017-12-01,30.69,30.69
79,FITB,2017-11-30,30.51,30.51
80,FITB,2017-11-29,30.46,30.46
81,FITB,2017-11-28,29.24,29.24
82,FITB,2017-11-27,28.4,28.4
83,FITB,2017-11-24,28.2,28.2
84,FITB,2017-11-22,28.42,28.42
85,FITB,2017-11-21,28.48,28.48
86,FITB,2017-11-20,28.57,28.57
87,FITB,2017-11-17,28.45,28.45
88,FITB,2017-11-16,28.47,28.47
89,FITB,2017-11-15,28.46,28.46
90,FITB,2017-11-14,28.61,28.61
91,FITB,2017-11-13,28.19,28.19
92,FITB,2017-11-10,27.67,27.67
93,FITB,2017-11-09,28.01,28.01
94,FITB,2017-11-07,28.45,28.45
95,FITB,2017-11-06,29.24,29.24
96,FITB,2017-11-03,29.12,29.12
97,FITB,2017-11-02,29.26,29.26
98,FITB,2017-11-01,28.96,28.96
99,FITB,2017-10-31,28.9,28.9
100,FITB,2017-10-30,29.01,29.01
101,FITB,2017-10-27,29.07,29.07
102,FITB,2017-10-26,28.85,28.85
103,FITB,2017-10-25,28.58,28.58
104,FITB,2017-10-24,28.6,28.6
105,FITB,2017-10-23,28.43,28.43
106,FITB,2017-10-20,28.6,28.6
107,FITB,2017-10-19,28.28,28.28
108,FITB,2017-10-18,28.07,28.07
109,FITB,2017-10-17,27.97,27.97
110,FITB,2017-10-16,28.37,28.37
111,FITB,2017-10-13,28.06,28.06
112,FITB,2017-10-12,28.15,28.15
113,FITB,2017-10-11,28.26,28.26
114,FITB,2017-10-10,28.42,28.42
115,FITB,2017-10-09,28.13,28.13
116,FITB,2017-10-06,28.19,28.19
117,FITB,2017-10-05,28.22,28.22
118,FITB,2017-10-04,27.81,27.81
119,FITB,2017-10-03,27.91,27.91
120,FITB,2017-10-02,27.87,27.87
121,FITB,2017-09-29,27.98,27.98
122,FITB,2017-09-28,27.59,27.59
123,FITB,2017-09-27,27.68,27.520403603604
124,FITB,2017-09-26,27.39,27.232075675676
125,FITB,2017-09-25,27.14,26.983517117117
126,FITB,2017-09-22,27.31,27.152536936937
127,FITB,2017-09-21,27.54,27.381210810811
128,FITB,2017-09-20,27.41,27.25196036036
129,FITB,2017-09-19,27.18,27.023286486486
130,FITB,2017-09-18,26.87,26.715073873874
131,FITB,2017-09-15,26.52,26.367091891892
132,FITB,2017-09-14,26.31,26.158302702703
133,FITB,2017-09-13,26.33,26.178187387387
134,FITB,2017-09-12,26.18,26.029052252252
135,FITB,2017-09-11,25.7,25.55181981982
136,FITB,2017-09-08,25.1,24.955279279279
137,FITB,2017-09-07,24.97,24.826028828829
138,FITB,2017-09-06,25.77,25.621416216216
139,FITB,2017-09-05,25.79,25.641300900901
140,FITB,2017-09-01,26.41,26.257726126126
141,FITB,2017-08-31,26.13,25.979340540541
142,FITB,2017-08-30,26.3,26.14836036036
143,FITB,2017-08-29,26.26,26.108590990991
144,FITB,2017-08-28,26.59,26.436688288288
145,FITB,2017-08-25,26.67,26.516227027027
146,FITB,2017-08-24,26.85,26.695189189189
147,FITB,2017-08-23,26.6,26.446630630631
148,FITB,2017-08-22,26.62,26.466515315315
149,FITB,2017-08-21,26.21,26.058879279279
150,FITB,2017-08-18,26.33,26.178187387387
151,FITB,2017-08-17,26.26,26.108590990991
152,FITB,2017-08-16,26.83,26.675304504505
153,FITB,2017-08-15,27.02,26.864209009009
154,FITB,2017-08-14,26.68,26.526169369369
155,FITB,2017-08-11,26.11,25.959455855856
156,FITB,2017-08-10,26.38,26.227899099099
157,FITB,2017-08-09,27.14,26.983517117117
158,FITB,2017-08-08,27.41,27.25196036036
159,FITB,2017-08-07,27.03,26.874151351351
160,FITB,2017-08-04,27.18,27.023286486486
161,FITB,2017-08-03,26.9,26.744900900901
162,FITB,2017-08-02,26.96,26.804554954955
163,FITB,2017-08-01,26.92,26.764785585586
164,FITB,2017-07-31,26.7,26.546054054054
165,FITB,2017-07-28,26.38,26.227899099099
166,FITB,2017-07-27,26.14,25.989282882883
167,FITB,2017-07-26,26.18,26.029052252252
168,FITB,2017-07-25,26.59,26.436688288288
169,FITB,2017-07-24,26.43,26.277610810811
170,FITB,2017-07-21,26.18,26.029052252252
171,FITB,2017-07-20,25.49,25.343030630631
172,FITB,2017-07-19,25.8,25.651243243243
173,FITB,2017-07-18,25.82,25.671127927928
174,FITB,2017-07-17,26.16,26.009167567568
175,FITB,2017-07-14,26.08,25.929628828829
176,FITB,2017-07-13,26.2825,26.130961261261
177,FITB,2017-07-12,26.11,25.959455855856
178,FITB,2017-07-11,26.2,26.048936936937
179,FITB,2017-07-10,26.34,26.18812972973
180,FITB,2017-07-07,26.48,26.327322522523
181,FITB,2017-07-06,26.46,26.307437837838
182,FITB,2017-07-05,26.58,26.426745945946
183,FITB,2017-07-03,26.47,26.31738018018
184,FITB,2017-06-30,25.96,25.810320720721
185,FITB,2017-06-29,26.07,25.919686486486
186,FITB,2017-06-28,25.49,25.343030630631
187,FITB,2017-06-27,25.09,24.809076805405
188,FITB,2017-06-26,24.82,24.542099892792
189,FITB,2017-06-23,24.67,24.393779385785
190,FITB,2017-06-22,25.14,24.858516974407
191,FITB,2017-06-21,25.39,25.105717819419
192,FITB,2017-06-20,25.56,25.273814394027
193,FITB,2017-06-19,25.59,25.303478495429
194,FITB,2017-06-16,25.47,25.184822089823
195,FITB,2017-06-15,25.48,25.194710123623
196,FITB,2017-06-14,25.58,25.293590461628
197,FITB,2017-06-13,25.33,25.046389616616
198,FITB,2017-06-12,25.19,24.90795714341
199,FITB,2017-06-09,25.06,24.779412704003
200,FITB,2017-06-08,24.33,24.057586236568
201,FITB,2017-06-07,23.87,23.602736681746
202,FITB,2017-06-06,23.62,23.355535836734
203,FITB,2017-06-05,23.7,23.434640107138
204,FITB,2017-06-02,23.64,23.375311904335
205,FITB,2017-06-01,24.03,23.760945222554
206,FITB,2017-05-31,23.74,23.47419224234
207,FITB,2017-05-30,24.05,23.780721290155
208,FITB,2017-05-26,24.26,23.988369999965
209,FITB,2017-05-25,24.47,24.196018709775
210,FITB,2017-05-24,24.48,24.205906743575
211,FITB,2017-05-23,24.74,24.462995622388
212,FITB,2017-05-22,24.39,24.116914439371
213,FITB,2017-05-19,24.18,23.909265729561
214,FITB,2017-05-18,23.82,23.553296512744
215,FITB,2017-05-17,23.78,23.513744377542
216,FITB,2017-05-16,24.9,24.621204163196
217,FITB,2017-05-15,24.64,24.364115284383
218,FITB,2017-05-12,24.16,23.88948966196
219,FITB,2017-05-11,24.44,24.166354608373
220,FITB,2017-05-10,24.63,24.354227250583
221,FITB,2017-05-09,24.84,24.561875960393
222,FITB,2017-05-08,24.94,24.660756298397
223,FITB,2017-05-05,24.8,24.522323825191
224,FITB,2017-05-04,24.91,24.631092196996
225,FITB,2017-05-03,24.72,24.443219554787
226,FITB,2017-05-02,24.46,24.186130675974
227,FITB,2017-05-01,24.79,24.51243579139
228,FITB,2017-04-28,24.43,24.156466574573
229,FITB,2017-04-27,24.65,24.374003318184
230,FITB,2017-04-26,24.97,24.690420399799
231,FITB,2017-04-25,25.01,24.729972535001
232,FITB,2017-04-24,25.33,25.046389616616
233,FITB,2017-04-21,24.62,24.344339216782
234,FITB,2017-04-20,24.95,24.670644332198
235,FITB,2017-04-19,24.21,23.938929830962
236,FITB,2017-04-18,24.01,23.741169154953
237,FITB,2017-04-17,24.4,24.126802473172
238,FITB,2017-04-13,23.93,23.662064884549
239,FITB,2017-04-12,24.33,24.057586236568
240,FITB,2017-04-11,24.69,24.413555453385
241,FITB,2017-04-10,24.8,24.522323825191
242,FITB,2017-04-07,25.01,24.729972535001
243,FITB,2017-04-06,25.18,24.898069109609
244,FITB,2017-04-05,24.9,24.621204163196
245,FITB,2017-04-04,25.35,25.066165684217
246,FITB,2017-04-03,25.29,25.006837481414
247,FITB,2017-03-31,25.4,25.11560585322
248,FITB,2017-03-30,25.73,25.441910968635
249,FITB,2017-03-29,25.04,24.759636636402
250,FITB,2017-03-28,25.24,24.818634976283
251,FITB,2017-03-27,24.73,24.317149087301
252,FITB,2017-03-24,24.89,24.474477993648
253,FITB,2017-03-23,25.06,24.641639956642
254,FITB,2017-03-22,24.84,24.425312710414
255,FITB,2017-03-21,24.91,24.494144106941
256,FITB,2017-03-20,26.185,25.747858829396
257,FITB,2017-03-17,26.35,25.910104264067
258,FITB,2017-03-16,26.65,26.205095963468
259,FITB,2017-03-15,26.45,26.008434830534
260,FITB,2017-03-14,26.75,26.303426529935
261,FITB,2017-03-13,26.96,26.509920719516
262,FITB,2017-03-10,27.16,26.70658185245
263,FITB,2017-03-09,27.49,27.031072721791
264,FITB,2017-03-08,27.37,26.913076042031
265,FITB,2017-03-07,27.37,26.913076042031
266,FITB,2017-03-06,27.54,27.080238005025
267,FITB,2017-03-03,27.84,27.375229704426
268,FITB,2017-03-02,27.74,27.276899137959
269,FITB,2017-03-01,28.75,28.270037859276
