None,ticker,date,close,adj_close
0,FLIR,2018-03-27,49.93,49.93
1,FLIR,2018-03-26,50.59,50.59
2,FLIR,2018-03-23,49.19,49.19
3,FLIR,2018-03-22,49.56,49.56
4,FLIR,2018-03-21,50.61,50.61
5,FLIR,2018-03-20,50.1,50.1
6,FLIR,2018-03-19,49.44,49.44
7,FLIR,2018-03-16,49.93,49.93
8,FLIR,2018-03-15,50.41,50.41
9,FLIR,2018-03-14,50.65,50.65
10,FLIR,2018-03-13,51.37,51.37
11,FLIR,2018-03-12,50.82,50.82
12,FLIR,2018-03-09,51.54,51.54
13,FLIR,2018-03-08,50.28,50.28
14,FLIR,2018-03-07,50.04,50.04
15,FLIR,2018-03-06,50.5,50.5
16,FLIR,2018-03-05,49.69,49.69
17,FLIR,2018-03-02,48.93,48.93
18,FLIR,2018-03-01,49.16,49.16
19,FLIR,2018-02-28,49.1,49.1
20,FLIR,2018-02-27,49.04,49.04
21,FLIR,2018-02-26,49.64,49.64
22,FLIR,2018-02-23,48.49,48.49
23,FLIR,2018-02-22,47.86,47.86
24,FLIR,2018-02-21,48.31,48.31
25,FLIR,2018-02-20,48.82,48.82
26,FLIR,2018-02-16,49.09,49.09
27,FLIR,2018-02-15,49.48,49.48
28,FLIR,2018-02-14,49.07,49.07
29,FLIR,2018-02-13,48.21,48.21
30,FLIR,2018-02-12,47.68,47.68
31,FLIR,2018-02-09,47.03,47.03
32,FLIR,2018-02-08,46.445,46.445
33,FLIR,2018-02-07,48.4,48.4
34,FLIR,2018-02-06,48.41,48.41
35,FLIR,2018-02-05,48.16,48.16
36,FLIR,2018-02-02,49.94,49.94
37,FLIR,2018-02-01,51.42,51.42
38,FLIR,2018-01-31,51.21,51.21
39,FLIR,2018-01-30,51.48,51.48
40,FLIR,2018-01-29,52.44,52.44
41,FLIR,2018-01-26,52.8,52.8
42,FLIR,2018-01-25,52.23,52.23
43,FLIR,2018-01-24,51.84,51.84
44,FLIR,2018-01-23,51.32,51.32
45,FLIR,2018-01-22,51.88,51.88
46,FLIR,2018-01-19,52.4,52.4
47,FLIR,2018-01-18,51.35,51.35
48,FLIR,2018-01-17,50.85,50.85
49,FLIR,2018-01-16,50.34,50.34
50,FLIR,2018-01-12,50.26,50.26
51,FLIR,2018-01-11,50.26,50.26
52,FLIR,2018-01-10,49.71,49.71
53,FLIR,2018-01-09,49.39,49.39
54,FLIR,2018-01-08,49.67,49.67
55,FLIR,2018-01-05,48.25,48.25
56,FLIR,2018-01-04,47.61,47.61
57,FLIR,2018-01-03,47.48,47.48
58,FLIR,2018-01-02,47.11,47.11
59,FLIR,2017-12-29,46.62,46.62
60,FLIR,2017-12-28,47.01,47.01
61,FLIR,2017-12-27,47.18,47.18
62,FLIR,2017-12-26,46.82,46.82
63,FLIR,2017-12-22,47.36,47.36
64,FLIR,2017-12-21,47.37,47.37
65,FLIR,2017-12-20,47.14,47.14
66,FLIR,2017-12-19,47.47,47.47
67,FLIR,2017-12-18,47.81,47.81
68,FLIR,2017-12-15,47.38,47.38
69,FLIR,2017-12-14,47.14,47.14
70,FLIR,2017-12-13,47.38,47.38
71,FLIR,2017-12-12,46.9,46.9
72,FLIR,2017-12-11,46.24,46.24
73,FLIR,2017-12-08,46.39,46.39
74,FLIR,2017-12-07,46.19,46.19
75,FLIR,2017-12-06,46.16,46.16
76,FLIR,2017-12-05,46.04,46.04
77,FLIR,2017-12-04,46.25,46.25
78,FLIR,2017-12-01,46.43,46.43
79,FLIR,2017-11-30,46.58,46.58
80,FLIR,2017-11-29,46.56,46.56
81,FLIR,2017-11-28,47.55,47.55
82,FLIR,2017-11-27,47.08,47.08
83,FLIR,2017-11-24,47.07,47.07
84,FLIR,2017-11-22,46.84,46.84
85,FLIR,2017-11-21,47.18,47.18
86,FLIR,2017-11-20,46.88,46.88
87,FLIR,2017-11-17,46.53,46.53
88,FLIR,2017-11-16,47.48,47.48
89,FLIR,2017-11-15,47.2,47.2
90,FLIR,2017-11-14,47.09,47.09
91,FLIR,2017-11-13,47.11,47.11
92,FLIR,2017-11-10,46.73,46.73
93,FLIR,2017-11-09,46.34,46.34
94,FLIR,2017-11-07,47.27,47.27
