None,ticker,date,close,adj_close
0,FLR,2018-03-27,55.76,55.76
1,FLR,2018-03-26,56.32,56.32
2,FLR,2018-03-23,54.85,54.85
3,FLR,2018-03-22,55.9,55.9
4,FLR,2018-03-21,58.3,58.3
5,FLR,2018-03-20,57.18,57.18
6,FLR,2018-03-19,56.84,56.84
7,FLR,2018-03-16,57.64,57.64
8,FLR,2018-03-15,57.31,57.31
9,FLR,2018-03-14,57.5,57.5
10,FLR,2018-03-13,57.83,57.83
11,FLR,2018-03-12,58.28,58.28
12,FLR,2018-03-09,58.52,58.52
13,FLR,2018-03-08,57.17,57.17
14,FLR,2018-03-07,57.66,57.66
15,FLR,2018-03-06,57.57,57.57
16,FLR,2018-03-05,57.06,57.06
17,FLR,2018-03-02,56.59,56.59
18,FLR,2018-03-01,55.78,55.78
19,FLR,2018-02-28,56.9,56.9
20,FLR,2018-02-27,57.8,57.8
21,FLR,2018-02-26,58.58,58.58
22,FLR,2018-02-23,58.15,58.15
23,FLR,2018-02-22,58.11,58.11
24,FLR,2018-02-21,57.43,57.43
25,FLR,2018-02-20,58.04,58.04
26,FLR,2018-02-16,57.63,57.63
27,FLR,2018-02-15,57.85,57.85
28,FLR,2018-02-14,57.37,57.37
29,FLR,2018-02-13,55.82,55.82
30,FLR,2018-02-12,56.31,56.31
31,FLR,2018-02-09,55.01,55.01
32,FLR,2018-02-08,55.31,55.31
33,FLR,2018-02-07,57.04,57.04
34,FLR,2018-02-06,57.16,57.16
35,FLR,2018-02-05,56.25,56.25
36,FLR,2018-02-02,58.79,58.79
37,FLR,2018-02-01,60.44,60.44
38,FLR,2018-01-31,60.7,60.7
39,FLR,2018-01-30,60.37,60.37
40,FLR,2018-01-29,61.61,61.61
41,FLR,2018-01-26,61.53,61.53
42,FLR,2018-01-25,61.22,61.22
43,FLR,2018-01-24,61.28,61.28
44,FLR,2018-01-23,61.46,61.46
45,FLR,2018-01-22,61.29,61.29
46,FLR,2018-01-19,60.43,60.43
47,FLR,2018-01-18,60.06,60.06
48,FLR,2018-01-17,58.13,58.13
49,FLR,2018-01-16,58.03,58.03
50,FLR,2018-01-12,57.07,57.07
51,FLR,2018-01-11,56.15,56.15
52,FLR,2018-01-10,54.06,54.06
53,FLR,2018-01-09,53.81,53.81
54,FLR,2018-01-08,53.78,53.78
55,FLR,2018-01-05,53.41,53.41
56,FLR,2018-01-04,53.26,53.26
57,FLR,2018-01-03,53.1,53.1
58,FLR,2018-01-02,52.33,52.33
59,FLR,2017-12-29,51.65,51.65
60,FLR,2017-12-28,51.76,51.76
61,FLR,2017-12-27,51.45,51.45
62,FLR,2017-12-26,51.45,51.45
63,FLR,2017-12-22,51.07,51.07
64,FLR,2017-12-21,51.26,51.26
65,FLR,2017-12-20,50.9,50.9
66,FLR,2017-12-19,50.62,50.62
67,FLR,2017-12-18,50.84,50.84
68,FLR,2017-12-15,50.45,50.45
69,FLR,2017-12-14,49.87,49.87
70,FLR,2017-12-13,50.03,50.03
71,FLR,2017-12-12,50.43,50.43
72,FLR,2017-12-11,50.13,50.13
73,FLR,2017-12-08,50.38,50.38
74,FLR,2017-12-07,49.54,49.54
75,FLR,2017-12-06,49.15,49.15
76,FLR,2017-12-05,48.86,48.86
77,FLR,2017-12-04,49.39,49.39
78,FLR,2017-12-01,48.67,48.67
79,FLR,2017-11-30,48.41,48.41
80,FLR,2017-11-29,48.2,48.2
81,FLR,2017-11-28,47.64,47.64
82,FLR,2017-11-27,46.93,46.93
83,FLR,2017-11-24,46.89,46.89
84,FLR,2017-11-22,47.26,47.26
85,FLR,2017-11-21,47.56,47.56
86,FLR,2017-11-20,46.78,46.78
87,FLR,2017-11-17,46.7,46.7
88,FLR,2017-11-16,46.42,46.42
89,FLR,2017-11-15,45.27,45.27
90,FLR,2017-11-14,45.66,45.66
91,FLR,2017-11-13,46.68,46.68
92,FLR,2017-11-10,47.04,47.04
93,FLR,2017-11-09,47.05,47.05
94,FLR,2017-11-07,48.08,48.08
95,FLR,2017-11-06,48.57,48.57
96,FLR,2017-11-03,46.86,46.86
97,FLR,2017-11-02,44.46,44.46
98,FLR,2017-11-01,43.94,43.94
99,FLR,2017-10-31,43.09,43.09
100,FLR,2017-10-30,42.99,42.99
101,FLR,2017-10-27,42.74,42.74
102,FLR,2017-10-26,42.69,42.69
103,FLR,2017-10-25,42.5,42.5
104,FLR,2017-10-24,42.72,42.72
105,FLR,2017-10-23,42.58,42.58
106,FLR,2017-10-20,43.19,43.19
107,FLR,2017-10-19,43.06,43.06
108,FLR,2017-10-18,42.55,42.55
109,FLR,2017-10-17,42.54,42.54
110,FLR,2017-10-16,42.57,42.57
111,FLR,2017-10-13,42.61,42.61
112,FLR,2017-10-12,42.61,42.61
113,FLR,2017-10-11,42.61,42.61
114,FLR,2017-10-10,42.55,42.55
115,FLR,2017-10-09,42.59,42.59
116,FLR,2017-10-06,42.92,42.92
117,FLR,2017-10-05,43.1,43.1
118,FLR,2017-10-04,42.95,42.95
119,FLR,2017-10-03,42.81,42.81
120,FLR,2017-10-02,43.06,43.06
121,FLR,2017-09-29,42.1,42.1
122,FLR,2017-09-28,42.14,42.14
123,FLR,2017-09-27,42.1,42.1
124,FLR,2017-09-26,41.84,41.84
125,FLR,2017-09-25,41.61,41.61
126,FLR,2017-09-22,40.93,40.93
127,FLR,2017-09-21,41.1,41.1
128,FLR,2017-09-20,40.98,40.98
129,FLR,2017-09-19,40.49,40.49
130,FLR,2017-09-18,40.2,40.2
131,FLR,2017-09-15,40.43,40.43
132,FLR,2017-09-14,40.4,40.4
133,FLR,2017-09-13,40.14,40.14
134,FLR,2017-09-12,40.0,40.0
135,FLR,2017-09-11,39.34,39.34
136,FLR,2017-09-08,39.1,39.1
137,FLR,2017-09-07,38.96,38.96
138,FLR,2017-09-06,38.62,38.62
139,FLR,2017-09-05,38.35,38.35
140,FLR,2017-09-01,38.61,38.61
141,FLR,2017-08-31,38.57,38.57
142,FLR,2017-08-30,38.63,38.420812274368
143,FLR,2017-08-29,38.25,38.042870036101
144,FLR,2017-08-28,37.7,37.495848375451
145,FLR,2017-08-25,37.77,37.565469314079
146,FLR,2017-08-24,37.44,37.23725631769
147,FLR,2017-08-23,37.58,37.376498194946
148,FLR,2017-08-22,37.62,37.416281588448
149,FLR,2017-08-21,37.23,37.028393501805
150,FLR,2017-08-18,37.67,37.466010830325
151,FLR,2017-08-17,37.77,37.565469314079
152,FLR,2017-08-16,38.44,38.231841155235
153,FLR,2017-08-15,38.65,38.440703971119
154,FLR,2017-08-14,39.28,39.067292418773
155,FLR,2017-08-11,39.07,38.858429602888
156,FLR,2017-08-10,38.81,38.599837545126
157,FLR,2017-08-09,39.15,38.937996389892
158,FLR,2017-08-08,39.19,38.977779783393
159,FLR,2017-08-07,39.18,38.967833935018
160,FLR,2017-08-04,40.06,39.843068592058
161,FLR,2017-08-03,43.86,43.622490974729
162,FLR,2017-08-02,43.84,43.602599277978
163,FLR,2017-08-01,43.89,43.652328519856
164,FLR,2017-07-31,43.43,43.194819494585
165,FLR,2017-07-28,44.58,44.338592057762
166,FLR,2017-07-27,45.52,45.273501805054
167,FLR,2017-07-26,45.36,45.114368231047
168,FLR,2017-07-25,45.68,45.432635379061
169,FLR,2017-07-24,44.72,44.477833935018
170,FLR,2017-07-21,45.01,44.766263537906
171,FLR,2017-07-20,45.16,44.915451263538
172,FLR,2017-07-19,45.47,45.223772563177
173,FLR,2017-07-18,44.8,44.557400722022
174,FLR,2017-07-17,45.42,45.1740433213
175,FLR,2017-07-14,45.16,44.915451263538
176,FLR,2017-07-13,45.22,44.975126353791
177,FLR,2017-07-12,45.48,45.233718411552
178,FLR,2017-07-11,45.27,45.024855595668
179,FLR,2017-07-10,45.37,45.124314079422
180,FLR,2017-07-07,45.34,45.094476534296
