None,ticker,date,close,adj_close
0,FLS,2018-03-27,42.16,42.16
1,FLS,2018-03-26,42.86,42.86
2,FLS,2018-03-23,42.11,42.11
3,FLS,2018-03-22,43.27,43.27
4,FLS,2018-03-21,44.92,44.92
5,FLS,2018-03-20,44.1,44.1
6,FLS,2018-03-19,43.94,43.94
7,FLS,2018-03-16,44.54,44.54
8,FLS,2018-03-15,43.85,43.85
9,FLS,2018-03-14,44.26,44.26
10,FLS,2018-03-13,44.6,44.6
11,FLS,2018-03-12,45.16,45.16
12,FLS,2018-03-09,45.58,45.58
13,FLS,2018-03-08,44.5,44.5
14,FLS,2018-03-07,44.37,44.37
15,FLS,2018-03-06,44.13,44.13
16,FLS,2018-03-05,43.44,43.44
17,FLS,2018-03-02,42.29,42.29
18,FLS,2018-03-01,41.2,41.2
19,FLS,2018-02-28,42.35,42.35
20,FLS,2018-02-27,43.97,43.97
21,FLS,2018-02-26,44.92,44.92
22,FLS,2018-02-23,44.26,44.26
23,FLS,2018-02-22,43.58,43.58
24,FLS,2018-02-21,43.78,43.78
25,FLS,2018-02-20,43.7,43.7
26,FLS,2018-02-16,44.05,44.05
27,FLS,2018-02-15,42.87,42.87
28,FLS,2018-02-14,42.19,42.19
29,FLS,2018-02-13,41.09,41.09
30,FLS,2018-02-12,41.42,41.42
31,FLS,2018-02-09,40.36,40.36
32,FLS,2018-02-08,40.82,40.82
33,FLS,2018-02-07,41.55,41.55
34,FLS,2018-02-06,41.83,41.83
35,FLS,2018-02-05,42.11,42.11
36,FLS,2018-02-02,44.57,44.57
37,FLS,2018-02-01,45.59,45.59
38,FLS,2018-01-31,45.32,45.32
39,FLS,2018-01-30,45.21,45.21
40,FLS,2018-01-29,45.37,45.37
41,FLS,2018-01-26,45.58,45.58
42,FLS,2018-01-25,45.03,45.03
43,FLS,2018-01-24,45.34,45.34
44,FLS,2018-01-23,44.07,44.07
45,FLS,2018-01-22,43.77,43.77
46,FLS,2018-01-19,43.71,43.71
47,FLS,2018-01-18,44.33,44.33
48,FLS,2018-01-17,43.38,43.38
49,FLS,2018-01-16,45.05,45.05
50,FLS,2018-01-12,44.0,44.0
51,FLS,2018-01-11,43.47,43.47
52,FLS,2018-01-10,42.47,42.47
53,FLS,2018-01-09,43.3,43.3
54,FLS,2018-01-08,43.72,43.72
55,FLS,2018-01-05,43.4,43.4
56,FLS,2018-01-04,43.42,43.42
57,FLS,2018-01-03,42.37,42.37
58,FLS,2018-01-02,42.5,42.5
59,FLS,2017-12-29,42.13,42.13
60,FLS,2017-12-28,41.96,41.96
61,FLS,2017-12-27,41.8,41.8
62,FLS,2017-12-26,41.77,41.77
63,FLS,2017-12-22,41.39,41.39
64,FLS,2017-12-21,41.59,41.59
65,FLS,2017-12-20,41.13,41.13
66,FLS,2017-12-19,41.17,41.17
67,FLS,2017-12-18,41.31,41.31
68,FLS,2017-12-15,41.15,41.15
69,FLS,2017-12-14,40.2,40.2
70,FLS,2017-12-13,41.02,41.02
71,FLS,2017-12-12,41.25,41.25
72,FLS,2017-12-11,41.59,41.59
73,FLS,2017-12-08,42.13,42.13
74,FLS,2017-12-07,42.65,42.65
75,FLS,2017-12-06,41.81,41.81
76,FLS,2017-12-05,42.04,42.04
77,FLS,2017-12-04,42.83,42.83
78,FLS,2017-12-01,42.39,42.39
79,FLS,2017-11-30,42.58,42.58
80,FLS,2017-11-29,41.51,41.51
81,FLS,2017-11-28,41.12,41.12
82,FLS,2017-11-27,39.88,39.88
83,FLS,2017-11-24,39.07,39.07
84,FLS,2017-11-22,39.49,39.49
85,FLS,2017-11-21,38.99,38.99
86,FLS,2017-11-20,38.94,38.94
87,FLS,2017-11-17,39.21,39.21
88,FLS,2017-11-16,39.08,39.08
89,FLS,2017-11-15,38.63,38.63
90,FLS,2017-11-14,39.08,39.08
91,FLS,2017-11-13,39.37,39.37
92,FLS,2017-11-10,39.13,39.13
93,FLS,2017-11-09,39.0,39.0
94,FLS,2017-11-07,39.54,39.54
95,FLS,2017-11-06,40.01,40.01
96,FLS,2017-11-03,39.25,39.25
97,FLS,2017-11-02,39.14,39.14
98,FLS,2017-11-01,43.99,43.99
99,FLS,2017-10-31,44.07,44.07
100,FLS,2017-10-30,43.88,43.88
101,FLS,2017-10-27,44.26,44.26
102,FLS,2017-10-26,44.74,44.74
103,FLS,2017-10-25,44.435,44.435
104,FLS,2017-10-24,44.84,44.84
105,FLS,2017-10-23,44.61,44.61
106,FLS,2017-10-20,45.38,45.38
107,FLS,2017-10-19,44.49,44.49
108,FLS,2017-10-18,44.62,44.62
109,FLS,2017-10-17,44.58,44.58
110,FLS,2017-10-16,44.64,44.64
111,FLS,2017-10-13,44.38,44.38
112,FLS,2017-10-12,44.07,44.07
113,FLS,2017-10-11,43.72,43.72
114,FLS,2017-10-10,43.54,43.54
115,FLS,2017-10-09,43.21,43.21
116,FLS,2017-10-06,43.32,43.32
117,FLS,2017-10-05,43.21,43.21
118,FLS,2017-10-04,43.06,43.06
119,FLS,2017-10-03,42.68,42.68
120,FLS,2017-10-02,42.08,42.08
121,FLS,2017-09-29,42.59,42.59
122,FLS,2017-09-28,42.5,42.5
123,FLS,2017-09-27,43.25,43.25
124,FLS,2017-09-26,43.37,43.37
125,FLS,2017-09-25,43.03,43.03
126,FLS,2017-09-22,42.63,42.63
127,FLS,2017-09-21,42.19,42.19
128,FLS,2017-09-20,42.57,42.379148183105
129,FLS,2017-09-19,41.97,41.781838131194
130,FLS,2017-09-18,41.4,41.214393581878
131,FLS,2017-09-15,41.39,41.204438414346
132,FLS,2017-09-14,41.36,41.174572911751
133,FLS,2017-09-13,40.91,40.726590372817
134,FLS,2017-09-12,40.45,40.268652666352
135,FLS,2017-09-11,40.22,40.039683813119
136,FLS,2017-09-08,39.48,39.303001415762
137,FLS,2017-09-07,39.91,39.731073619632
138,FLS,2017-09-06,39.96,39.780849457291
139,FLS,2017-09-05,39.55,39.372687588485
140,FLS,2017-09-01,39.54,39.362732420953
141,FLS,2017-08-31,39.28,39.103898065125
142,FLS,2017-08-30,38.97,38.795287871638
143,FLS,2017-08-29,38.66,38.48667767815
144,FLS,2017-08-28,38.4,38.227843322322
145,FLS,2017-08-25,38.41,38.237798489854
