None,ticker,date,close,adj_close
0,FLT,2018-03-27,198.61,198.61
1,FLT,2018-03-26,202.19,202.19
2,FLT,2018-03-23,198.23,198.23
3,FLT,2018-03-22,202.84,202.84
4,FLT,2018-03-21,208.64,208.64
5,FLT,2018-03-20,208.29,208.29
6,FLT,2018-03-19,205.13,205.13
7,FLT,2018-03-16,209.01,209.01
8,FLT,2018-03-15,206.78,206.78
9,FLT,2018-03-14,207.9,207.9
10,FLT,2018-03-13,207.8,207.8
11,FLT,2018-03-12,208.69,208.69
12,FLT,2018-03-09,209.4,209.4
13,FLT,2018-03-08,206.52,206.52
14,FLT,2018-03-07,205.16,205.16
15,FLT,2018-03-06,203.42,203.42
16,FLT,2018-03-05,203.7,203.7
17,FLT,2018-03-02,201.45,201.45
18,FLT,2018-03-01,199.75,199.75
19,FLT,2018-02-28,199.93,199.93
20,FLT,2018-02-27,201.32,201.32
21,FLT,2018-02-26,203.96,203.96
22,FLT,2018-02-23,206.18,206.18
23,FLT,2018-02-22,204.07,204.07
24,FLT,2018-02-21,203.64,203.64
25,FLT,2018-02-20,199.45,199.45
26,FLT,2018-02-16,198.6,198.6
27,FLT,2018-02-15,196.36,196.36
28,FLT,2018-02-14,194.77,194.77
29,FLT,2018-02-13,194.2,194.2
30,FLT,2018-02-12,192.69,192.69
31,FLT,2018-02-09,189.92,189.92
32,FLT,2018-02-08,194.61,194.61
33,FLT,2018-02-07,203.32,203.32
34,FLT,2018-02-06,203.45,203.45
35,FLT,2018-02-05,200.34,200.34
36,FLT,2018-02-02,207.51,207.51
37,FLT,2018-02-01,211.25,211.25
38,FLT,2018-01-31,212.5,212.5
39,FLT,2018-01-30,209.59,209.59
40,FLT,2018-01-29,210.0,210.0
41,FLT,2018-01-26,212.03,212.03
42,FLT,2018-01-25,212.12,212.12
43,FLT,2018-01-24,207.83,207.83
44,FLT,2018-01-23,208.85,208.85
45,FLT,2018-01-22,206.77,206.77
46,FLT,2018-01-19,206.65,206.65
47,FLT,2018-01-18,203.25,203.25
48,FLT,2018-01-17,203.4,203.4
49,FLT,2018-01-16,201.8,201.8
50,FLT,2018-01-12,203.27,203.27
51,FLT,2018-01-11,202.58,202.58
52,FLT,2018-01-10,200.91,200.91
53,FLT,2018-01-09,196.91,196.91
54,FLT,2018-01-08,197.16,197.16
55,FLT,2018-01-05,197.0,197.0
56,FLT,2018-01-04,195.46,195.46
57,FLT,2018-01-03,194.96,194.96
58,FLT,2018-01-02,193.87,193.87
59,FLT,2017-12-29,192.43,192.43
60,FLT,2017-12-28,193.38,193.38
61,FLT,2017-12-27,191.43,191.43
62,FLT,2017-12-26,191.34,191.34
63,FLT,2017-12-22,190.46,190.46
64,FLT,2017-12-21,191.18,191.18
65,FLT,2017-12-20,190.17,190.17
66,FLT,2017-12-19,188.86,188.86
67,FLT,2017-12-18,190.68,190.68
68,FLT,2017-12-15,190.11,190.11
69,FLT,2017-12-14,188.5,188.5
70,FLT,2017-12-13,189.73,189.73
71,FLT,2017-12-12,189.29,189.29
