None,ticker,date,close,adj_close
0,FMC,2018-03-27,75.28,75.28
1,FMC,2018-03-26,75.98,75.98
2,FMC,2018-03-23,75.51,75.51
3,FMC,2018-03-22,77.36,77.36
4,FMC,2018-03-21,80.35,80.35
5,FMC,2018-03-20,79.99,79.99
6,FMC,2018-03-19,81.32,81.32
7,FMC,2018-03-16,82.29,82.29
8,FMC,2018-03-15,81.07,81.07
9,FMC,2018-03-14,82.69,82.69
10,FMC,2018-03-13,83.78,83.78
11,FMC,2018-03-12,83.88,83.88
12,FMC,2018-03-09,83.55,83.55
13,FMC,2018-03-08,82.25,82.25
14,FMC,2018-03-07,82.79,82.79
15,FMC,2018-03-06,82.42,82.42
16,FMC,2018-03-05,80.73,80.73
17,FMC,2018-03-02,79.65,79.65
18,FMC,2018-03-01,78.64,78.64
19,FMC,2018-02-28,78.48,78.48
20,FMC,2018-02-27,82.59,82.59
21,FMC,2018-02-26,83.65,83.65
22,FMC,2018-02-23,85.72,85.72
23,FMC,2018-02-22,83.54,83.54
24,FMC,2018-02-21,82.12,82.12
25,FMC,2018-02-20,83.55,83.55
26,FMC,2018-02-16,83.35,83.35
27,FMC,2018-02-15,85.24,85.24
28,FMC,2018-02-14,85.26,85.26
29,FMC,2018-02-13,81.86,81.86
30,FMC,2018-02-12,85.22,85.22
31,FMC,2018-02-09,82.68,82.68
32,FMC,2018-02-08,80.87,80.87
33,FMC,2018-02-07,83.97,83.97
34,FMC,2018-02-06,84.99,84.99
35,FMC,2018-02-05,83.09,83.09
36,FMC,2018-02-02,85.72,85.72
37,FMC,2018-02-01,89.22,89.22
38,FMC,2018-01-31,91.33,91.33
39,FMC,2018-01-30,91.54,91.54
40,FMC,2018-01-29,91.37,91.37
41,FMC,2018-01-26,92.03,92.03
42,FMC,2018-01-25,91.97,91.97
43,FMC,2018-01-24,89.73,89.73
44,FMC,2018-01-23,88.88,88.88
45,FMC,2018-01-22,89.85,89.85
46,FMC,2018-01-19,89.86,89.86
47,FMC,2018-01-18,90.17,90.17
48,FMC,2018-01-17,93.86,93.86
49,FMC,2018-01-16,94.98,94.98
50,FMC,2018-01-12,97.88,97.88
51,FMC,2018-01-11,97.88,97.88
52,FMC,2018-01-10,97.52,97.52
53,FMC,2018-01-09,98.13,98.13
54,FMC,2018-01-08,98.17,98.17
55,FMC,2018-01-05,98.08,98.08
56,FMC,2018-01-04,97.45,97.45
57,FMC,2018-01-03,96.96,96.96
58,FMC,2018-01-02,95.73,95.73
59,FMC,2017-12-29,94.66,94.66
60,FMC,2017-12-28,95.0,95.0
61,FMC,2017-12-27,94.8,94.8
62,FMC,2017-12-26,95.54,95.54
63,FMC,2017-12-22,95.46,95.46
64,FMC,2017-12-21,95.14,95.14
65,FMC,2017-12-20,94.92,94.92
66,FMC,2017-12-19,94.47,94.47
67,FMC,2017-12-18,93.95,93.95
68,FMC,2017-12-15,92.2,92.2
69,FMC,2017-12-14,89.86,89.86
70,FMC,2017-12-13,90.71,90.71
71,FMC,2017-12-12,90.15,90.15
72,FMC,2017-12-11,89.64,89.64
73,FMC,2017-12-08,88.81,88.81
74,FMC,2017-12-07,88.25,88.25
75,FMC,2017-12-06,87.99,87.99
76,FMC,2017-12-05,89.85,89.85
77,FMC,2017-12-04,91.47,91.47
78,FMC,2017-12-01,93.93,93.93
79,FMC,2017-11-30,94.4,94.4
80,FMC,2017-11-29,93.21,93.21
81,FMC,2017-11-28,94.5,94.5
82,FMC,2017-11-27,93.81,93.81
83,FMC,2017-11-24,94.61,94.61
84,FMC,2017-11-22,93.17,93.17
85,FMC,2017-11-21,94.42,94.42
86,FMC,2017-11-20,92.67,92.67
87,FMC,2017-11-17,92.94,92.94
88,FMC,2017-11-16,93.32,93.32
89,FMC,2017-11-15,92.12,92.12
90,FMC,2017-11-14,93.01,93.01
91,FMC,2017-11-13,94.88,94.88
92,FMC,2017-11-10,93.22,93.22
93,FMC,2017-11-09,92.16,92.16
94,FMC,2017-11-07,93.51,93.51
95,FMC,2017-11-06,90.96,90.96
96,FMC,2017-11-03,91.11,91.11
