None,ticker,date,close,adj_close
0,FOXA,2018-03-27,36.48,36.48
1,FOXA,2018-03-26,37.03,37.03
2,FOXA,2018-03-23,36.12,36.12
3,FOXA,2018-03-22,36.75,36.75
4,FOXA,2018-03-21,36.86,36.86
5,FOXA,2018-03-20,36.69,36.69
6,FOXA,2018-03-19,36.78,36.78
7,FOXA,2018-03-16,37.14,37.14
8,FOXA,2018-03-15,37.15,37.15
9,FOXA,2018-03-14,37.69,37.69
10,FOXA,2018-03-13,37.41,37.41
11,FOXA,2018-03-12,37.98,37.98
12,FOXA,2018-03-09,37.73,37.73
13,FOXA,2018-03-08,37.18,37.18
14,FOXA,2018-03-07,37.02,37.02
15,FOXA,2018-03-06,37.54,37.54
16,FOXA,2018-03-05,36.65,36.65
17,FOXA,2018-03-02,36.37,36.37
18,FOXA,2018-03-01,35.92,35.92
19,FOXA,2018-02-28,36.82,36.82
20,FOXA,2018-02-27,37.63,37.63
21,FOXA,2018-02-26,38.81,38.81
22,FOXA,2018-02-23,38.01,38.01
23,FOXA,2018-02-22,37.16,37.16
24,FOXA,2018-02-21,37.05,37.05
25,FOXA,2018-02-20,37.13,37.13
26,FOXA,2018-02-16,37.46,37.46
27,FOXA,2018-02-15,36.96,36.96
28,FOXA,2018-02-14,36.55,36.55
29,FOXA,2018-02-13,36.58,36.58
30,FOXA,2018-02-12,36.4,36.4
31,FOXA,2018-02-09,35.65,35.65
32,FOXA,2018-02-08,34.53,34.53
33,FOXA,2018-02-07,36.06,36.06
34,FOXA,2018-02-06,36.8,36.8
35,FOXA,2018-02-05,36.18,36.18
36,FOXA,2018-02-02,36.72,36.72
37,FOXA,2018-02-01,37.01,37.01
38,FOXA,2018-01-31,36.9,36.9
39,FOXA,2018-01-30,38.46,38.46
40,FOXA,2018-01-29,38.74,38.74
41,FOXA,2018-01-26,38.81,38.81
42,FOXA,2018-01-25,38.18,38.18
43,FOXA,2018-01-24,38.0,38.0
44,FOXA,2018-01-23,37.51,37.51
45,FOXA,2018-01-22,37.31,37.31
46,FOXA,2018-01-19,36.65,36.65
47,FOXA,2018-01-18,36.18,36.18
48,FOXA,2018-01-17,37.11,37.11
49,FOXA,2018-01-16,36.29,36.29
50,FOXA,2018-01-12,36.73,36.73
51,FOXA,2018-01-11,36.2,36.2
52,FOXA,2018-01-10,35.6,35.6
53,FOXA,2018-01-09,36.54,36.54
54,FOXA,2018-01-08,36.24,36.24
55,FOXA,2018-01-05,36.75,36.75
56,FOXA,2018-01-04,36.82,36.82
57,FOXA,2018-01-03,36.54,36.54
58,FOXA,2018-01-02,35.86,35.86
59,FOXA,2017-12-29,34.53,34.53
60,FOXA,2017-12-28,34.48,34.48
61,FOXA,2017-12-27,34.55,34.55
62,FOXA,2017-12-26,34.6,34.6
63,FOXA,2017-12-22,35.24,35.24
64,FOXA,2017-12-21,35.11,35.11
