None,ticker,date,close,adj_close
0,FRC,2018-03-27,90.4,90.4
1,FRC,2018-03-26,91.84,91.84
2,FRC,2018-03-23,90.14,90.14
3,FRC,2018-03-22,92.11,92.11
4,FRC,2018-03-21,96.9,96.9
5,FRC,2018-03-20,95.79,95.79
6,FRC,2018-03-19,96.77,96.77
7,FRC,2018-03-16,96.64,96.64
8,FRC,2018-03-15,95.59,95.59
9,FRC,2018-03-14,95.81,95.81
10,FRC,2018-03-13,97.04,97.04
11,FRC,2018-03-12,98.25,98.25
12,FRC,2018-03-09,98.78,98.78
13,FRC,2018-03-08,98.03,98.03
14,FRC,2018-03-07,98.37,98.37
15,FRC,2018-03-06,97.44,97.44
16,FRC,2018-03-05,94.16,94.16
17,FRC,2018-03-02,94.12,94.12
18,FRC,2018-03-01,92.89,92.89
19,FRC,2018-02-28,92.8,92.8
20,FRC,2018-02-27,94.57,94.57
21,FRC,2018-02-26,95.56,95.56
22,FRC,2018-02-23,95.28,95.28
23,FRC,2018-02-22,93.63,93.63
24,FRC,2018-02-21,95.61,95.61
25,FRC,2018-02-20,95.29,95.29
26,FRC,2018-02-16,95.52,95.52
27,FRC,2018-02-15,95.05,95.05
28,FRC,2018-02-14,95.15,95.15
29,FRC,2018-02-13,91.17,91.17
30,FRC,2018-02-12,90.57,90.57
31,FRC,2018-02-09,89.58,89.58
32,FRC,2018-02-08,88.77,88.77
33,FRC,2018-02-07,90.16,90.16
34,FRC,2018-02-06,89.6,89.6
35,FRC,2018-02-05,88.2,88.2
36,FRC,2018-02-02,90.27,90.27
37,FRC,2018-02-01,90.55,90.55
38,FRC,2018-01-31,89.55,89.55
39,FRC,2018-01-30,90.25,90.25
40,FRC,2018-01-29,90.59,90.59
41,FRC,2018-01-26,90.83,90.83
42,FRC,2018-01-25,90.51,90.51
43,FRC,2018-01-24,90.43,90.43
44,FRC,2018-01-23,90.97,90.97
45,FRC,2018-01-22,89.88,89.88
46,FRC,2018-01-19,89.93,89.93
47,FRC,2018-01-18,85.97,85.97
48,FRC,2018-01-17,88.4,88.4
49,FRC,2018-01-16,87.3,87.3
50,FRC,2018-01-12,91.06,91.06
51,FRC,2018-01-11,92.31,92.31
52,FRC,2018-01-10,89.99,89.99
53,FRC,2018-01-09,88.2,88.2
54,FRC,2018-01-08,88.33,88.33
55,FRC,2018-01-05,88.14,88.14
56,FRC,2018-01-04,88.47,88.47
57,FRC,2018-01-03,87.81,87.81
58,FRC,2018-01-02,84.96,84.96
59,FRC,2017-12-29,86.64,86.64
60,FRC,2017-12-28,87.16,87.16
61,FRC,2017-12-27,86.62,86.62
62,FRC,2017-12-26,86.83,86.83
63,FRC,2017-12-22,87.2,87.2
64,FRC,2017-12-21,87.89,87.89
65,FRC,2017-12-20,88.01,88.01
66,FRC,2017-12-19,88.4,88.4
67,FRC,2017-12-18,88.81,88.81
68,FRC,2017-12-15,87.57,87.57
69,FRC,2017-12-14,88.54,88.54
70,FRC,2017-12-13,88.81,88.81
71,FRC,2017-12-12,91.58,91.58
72,FRC,2017-12-11,91.69,91.69
73,FRC,2017-12-08,92.79,92.79
74,FRC,2017-12-07,92.79,92.79
75,FRC,2017-12-06,92.91,92.91
76,FRC,2017-12-05,93.8,93.8
77,FRC,2017-12-04,95.81,95.81
78,FRC,2017-12-01,95.68,95.68
79,FRC,2017-11-30,95.54,95.54
80,FRC,2017-11-29,96.48,96.48
81,FRC,2017-11-28,94.73,94.73
82,FRC,2017-11-27,92.27,92.27
83,FRC,2017-11-24,92.94,92.94
84,FRC,2017-11-22,92.98,92.98
85,FRC,2017-11-21,92.79,92.79
86,FRC,2017-11-20,93.05,93.05
87,FRC,2017-11-17,92.31,92.31
88,FRC,2017-11-16,91.5,91.5
89,FRC,2017-11-15,92.03,92.03
90,FRC,2017-11-14,92.04,92.04
91,FRC,2017-11-13,91.59,91.59
92,FRC,2017-11-10,90.22,90.22
93,FRC,2017-11-09,90.99,90.99
94,FRC,2017-11-07,93.7,93.7
95,FRC,2017-11-06,94.43,94.43
96,FRC,2017-11-03,94.45,94.45
97,FRC,2017-11-02,93.89,93.89
98,FRC,2017-11-01,96.86,96.86
99,FRC,2017-10-31,97.4,97.4
100,FRC,2017-10-30,97.48,97.48
