None,ticker,date,close,adj_close
0,FTI,2018-03-27,29.0,29.0
1,FTI,2018-03-26,29.97,29.97
2,FTI,2018-03-23,29.39,29.39
3,FTI,2018-03-22,29.38,29.38
4,FTI,2018-03-21,30.51,30.51
5,FTI,2018-03-20,29.7,29.7
6,FTI,2018-03-19,29.32,29.32
7,FTI,2018-03-16,29.82,29.82
8,FTI,2018-03-15,29.18,29.18
9,FTI,2018-03-14,30.13,30.13
10,FTI,2018-03-13,30.34,30.34
11,FTI,2018-03-12,31.1,31.1
12,FTI,2018-03-09,30.78,30.78
13,FTI,2018-03-08,29.8,29.8
14,FTI,2018-03-07,29.65,29.65
15,FTI,2018-03-06,29.98,29.98
16,FTI,2018-03-05,29.8,29.8
17,FTI,2018-03-02,28.81,28.81
18,FTI,2018-03-01,28.91,28.91
19,FTI,2018-02-28,28.82,28.82
20,FTI,2018-02-27,29.74,29.74
21,FTI,2018-02-26,30.3,30.3
22,FTI,2018-02-23,30.7,30.7
23,FTI,2018-02-22,30.54,30.54
24,FTI,2018-02-21,29.09,29.09
25,FTI,2018-02-20,29.38,29.38
26,FTI,2018-02-16,29.61,29.61
27,FTI,2018-02-15,29.67,29.67
28,FTI,2018-02-14,30.16,30.16
29,FTI,2018-02-13,29.22,29.22
30,FTI,2018-02-12,29.69,29.69
31,FTI,2018-02-09,29.14,29.14
32,FTI,2018-02-08,29.1,29.1
33,FTI,2018-02-07,30.48,30.48
34,FTI,2018-02-06,32.14,32.14
35,FTI,2018-02-05,31.83,31.83
36,FTI,2018-02-02,32.68,32.68
37,FTI,2018-02-01,33.35,33.35
38,FTI,2018-01-31,32.46,32.46
39,FTI,2018-01-30,32.46,32.46
40,FTI,2018-01-29,33.08,33.08
41,FTI,2018-01-26,34.1,34.1
42,FTI,2018-01-25,33.99,33.99
43,FTI,2018-01-24,34.65,34.65
44,FTI,2018-01-23,34.45,34.45
45,FTI,2018-01-22,34.59,34.59
46,FTI,2018-01-19,33.5,33.5
47,FTI,2018-01-18,33.15,33.15
48,FTI,2018-01-17,33.67,33.67
49,FTI,2018-01-16,33.39,33.39
50,FTI,2018-01-12,34.8,34.8
51,FTI,2018-01-11,34.01,34.01
52,FTI,2018-01-10,32.83,32.83
53,FTI,2018-01-09,32.38,32.38
54,FTI,2018-01-08,32.79,32.79
55,FTI,2018-01-05,32.49,32.49
56,FTI,2018-01-04,32.39,32.39
57,FTI,2018-01-03,32.09,32.09
58,FTI,2018-01-02,31.86,31.86
59,FTI,2017-12-29,31.31,31.31
60,FTI,2017-12-28,31.4,31.4
61,FTI,2017-12-27,31.48,31.48
62,FTI,2017-12-26,31.38,31.38
63,FTI,2017-12-22,31.15,31.15
64,FTI,2017-12-21,30.8,30.8
65,FTI,2017-12-20,29.86,29.86
66,FTI,2017-12-19,28.69,28.69
67,FTI,2017-12-18,28.55,28.55
68,FTI,2017-12-15,27.43,27.43
69,FTI,2017-12-14,27.61,27.61
70,FTI,2017-12-13,28.61,28.61
71,FTI,2017-12-12,28.77,28.77
72,FTI,2017-12-11,28.59,28.59
73,FTI,2017-12-08,27.35,27.35
74,FTI,2017-12-07,27.18,27.18
75,FTI,2017-12-06,27.56,27.56
76,FTI,2017-12-05,28.24,28.24
77,FTI,2017-12-04,28.91,28.91
78,FTI,2017-12-01,29.25,29.25
79,FTI,2017-11-30,28.64,28.64
80,FTI,2017-11-29,27.57,27.57
81,FTI,2017-11-28,27.5,27.5
82,FTI,2017-11-27,26.69,26.69
