None,ticker,date,close,adj_close
0,FTNT,2018-03-27,53.33,53.33
1,FTNT,2018-03-26,54.58,54.58
2,FTNT,2018-03-23,52.95,52.95
3,FTNT,2018-03-22,53.61,53.61
4,FTNT,2018-03-21,54.57,54.57
5,FTNT,2018-03-20,53.78,53.78
6,FTNT,2018-03-19,53.35,53.35
7,FTNT,2018-03-16,54.0,54.0
8,FTNT,2018-03-15,54.18,54.18
9,FTNT,2018-03-14,54.54,54.54
10,FTNT,2018-03-13,54.25,54.25
11,FTNT,2018-03-12,54.68,54.68
12,FTNT,2018-03-09,54.44,54.44
13,FTNT,2018-03-08,54.09,54.09
14,FTNT,2018-03-07,52.47,52.47
15,FTNT,2018-03-06,51.85,51.85
16,FTNT,2018-03-05,50.65,50.65
17,FTNT,2018-03-02,50.46,50.46
18,FTNT,2018-03-01,49.51,49.51
19,FTNT,2018-02-28,50.47,50.47
20,FTNT,2018-02-27,49.95,49.95
21,FTNT,2018-02-26,50.32,50.32
22,FTNT,2018-02-23,49.87,49.87
23,FTNT,2018-02-22,49.2,49.2
24,FTNT,2018-02-21,49.11,49.11
25,FTNT,2018-02-20,49.06,49.06
26,FTNT,2018-02-16,48.95,48.95
27,FTNT,2018-02-15,49.28,49.28
28,FTNT,2018-02-14,48.38,48.38
29,FTNT,2018-02-13,48.12,48.12
30,FTNT,2018-02-12,46.48,46.48
31,FTNT,2018-02-09,46.53,46.53
32,FTNT,2018-02-08,44.51,44.51
33,FTNT,2018-02-07,45.51,45.51
34,FTNT,2018-02-06,46.54,46.54
35,FTNT,2018-02-05,43.97,43.97
36,FTNT,2018-02-02,44.94,44.94
37,FTNT,2018-02-01,45.87,45.87
38,FTNT,2018-01-31,46.04,46.04
39,FTNT,2018-01-30,45.74,45.74
40,FTNT,2018-01-29,45.96,45.96
41,FTNT,2018-01-26,45.86,45.86
42,FTNT,2018-01-25,45.41,45.41
43,FTNT,2018-01-24,45.25,45.25
44,FTNT,2018-01-23,45.75,45.75
45,FTNT,2018-01-22,45.85,45.85
46,FTNT,2018-01-19,46.01,46.01
47,FTNT,2018-01-18,45.71,45.71
48,FTNT,2018-01-17,45.09,45.09
49,FTNT,2018-01-16,44.34,44.34
50,FTNT,2018-01-12,44.94,44.94
51,FTNT,2018-01-11,44.26,44.26
52,FTNT,2018-01-10,44.1,44.1
53,FTNT,2018-01-09,44.32,44.32
54,FTNT,2018-01-08,45.0,45.0
55,FTNT,2018-01-05,44.1,44.1
56,FTNT,2018-01-04,44.0,44.0
57,FTNT,2018-01-03,45.03,45.03
58,FTNT,2018-01-02,44.35,44.35
59,FTNT,2017-12-29,43.69,43.69
60,FTNT,2017-12-28,44.01,44.01
61,FTNT,2017-12-27,44.06,44.06
62,FTNT,2017-12-26,44.16,44.16
63,FTNT,2017-12-22,43.92,43.92
64,FTNT,2017-12-21,43.99,43.99
65,FTNT,2017-12-20,44.87,44.87
66,FTNT,2017-12-19,45.09,45.09
67,FTNT,2017-12-18,44.27,44.27
68,FTNT,2017-12-15,43.64,43.64
69,FTNT,2017-12-14,42.71,42.71
70,FTNT,2017-12-13,42.65,42.65
