None,ticker,date,close,adj_close
0,GLW,2018-03-27,27.74,27.74
1,GLW,2018-03-26,28.31,28.31
2,GLW,2018-03-23,27.78,27.78
3,GLW,2018-03-22,28.56,28.56
4,GLW,2018-03-21,29.37,29.37
5,GLW,2018-03-20,29.26,29.26
6,GLW,2018-03-19,28.89,28.89
7,GLW,2018-03-16,29.5,29.5
8,GLW,2018-03-15,29.53,29.53
9,GLW,2018-03-14,29.54,29.54
10,GLW,2018-03-13,29.84,29.84
11,GLW,2018-03-12,29.84,29.84
12,GLW,2018-03-09,29.93,29.93
13,GLW,2018-03-08,29.33,29.33
14,GLW,2018-03-07,29.34,29.34
15,GLW,2018-03-06,29.2,29.2
16,GLW,2018-03-05,28.88,28.88
17,GLW,2018-03-02,28.8,28.8
18,GLW,2018-03-01,28.4,28.4
19,GLW,2018-02-28,29.08,29.08
20,GLW,2018-02-27,29.33,29.33
21,GLW,2018-02-26,29.83,29.83
22,GLW,2018-02-23,29.3,29.3
23,GLW,2018-02-22,29.21,29.21
24,GLW,2018-02-21,29.26,29.26
25,GLW,2018-02-20,29.65,29.65
26,GLW,2018-02-16,29.47,29.47
27,GLW,2018-02-15,29.54,29.54
28,GLW,2018-02-14,29.52,29.52
29,GLW,2018-02-13,29.24,29.24
30,GLW,2018-02-12,29.45,29.45
31,GLW,2018-02-09,28.77,28.77
32,GLW,2018-02-08,28.45,28.45
33,GLW,2018-02-07,29.82,29.82
34,GLW,2018-02-06,29.8,29.8
35,GLW,2018-02-05,29.78,29.78
36,GLW,2018-02-02,31.28,31.28
37,GLW,2018-02-01,31.69,31.69
38,GLW,2018-01-31,31.22,31.22
39,GLW,2018-01-30,32.33,32.33
40,GLW,2018-01-29,34.25,34.25
41,GLW,2018-01-26,34.38,34.38
42,GLW,2018-01-25,33.81,33.81
43,GLW,2018-01-24,34.12,34.12
44,GLW,2018-01-23,34.56,34.56
45,GLW,2018-01-22,34.71,34.71
46,GLW,2018-01-19,34.66,34.66
47,GLW,2018-01-18,34.85,34.85
48,GLW,2018-01-17,34.83,34.83
49,GLW,2018-01-16,34.41,34.41
50,GLW,2018-01-12,34.66,34.66
51,GLW,2018-01-11,33.76,33.76
52,GLW,2018-01-10,33.33,33.33
53,GLW,2018-01-09,33.65,33.65
54,GLW,2018-01-08,33.77,33.77
55,GLW,2018-01-05,33.64,33.64
56,GLW,2018-01-04,33.76,33.76
57,GLW,2018-01-03,33.42,33.42
58,GLW,2018-01-02,32.62,32.62
59,GLW,2017-12-29,31.99,31.99
60,GLW,2017-12-28,32.3,32.3
61,GLW,2017-12-27,32.35,32.35
62,GLW,2017-12-26,32.38,32.38
63,GLW,2017-12-22,32.38,32.38
64,GLW,2017-12-21,32.3,32.3
65,GLW,2017-12-20,32.42,32.42
66,GLW,2017-12-19,32.26,32.26
67,GLW,2017-12-18,32.32,32.32
68,GLW,2017-12-15,32.05,32.05
69,GLW,2017-12-14,31.81,31.81
70,GLW,2017-12-13,32.29,32.29
71,GLW,2017-12-12,32.64,32.64
72,GLW,2017-12-11,32.57,32.57
73,GLW,2017-12-08,32.35,32.35
74,GLW,2017-12-07,31.73,31.73
75,GLW,2017-12-06,31.67,31.67
76,GLW,2017-12-05,32.24,32.24
77,GLW,2017-12-04,32.21,32.21
78,GLW,2017-12-01,31.85,31.85
79,GLW,2017-11-30,32.39,32.39
80,GLW,2017-11-29,32.48,32.48
81,GLW,2017-11-28,32.44,32.44
82,GLW,2017-11-27,32.05,32.05
83,GLW,2017-11-24,31.85,31.85
84,GLW,2017-11-22,31.8,31.8
85,GLW,2017-11-21,31.93,31.93
86,GLW,2017-11-20,31.73,31.73
87,GLW,2017-11-17,31.63,31.63
88,GLW,2017-11-16,31.65,31.65
89,GLW,2017-11-15,31.32,31.32
90,GLW,2017-11-14,31.7,31.54389197776
91,GLW,2017-11-13,31.66,31.504088959492
92,GLW,2017-11-10,31.73,31.573744241461
93,GLW,2017-11-09,31.79,31.633448768864
94,GLW,2017-11-07,32.25,32.091183478952
95,GLW,2017-11-06,31.84,31.6832025417
96,GLW,2017-11-03,31.67,31.514039714059
97,GLW,2017-11-02,31.58,31.424482922955
98,GLW,2017-11-01,31.63,31.47423669579
99,GLW,2017-10-31,31.31,31.155812549643
100,GLW,2017-10-30,31.26,31.106058776807
101,GLW,2017-10-27,31.51,31.354827640985
102,GLW,2017-10-26,31.7,31.54389197776
103,GLW,2017-10-25,31.54,31.384679904686
104,GLW,2017-10-24,31.94,31.782710087371
105,GLW,2017-10-23,30.01,29.862214455917
106,GLW,2017-10-20,30.06,29.911968228753
107,GLW,2017-10-19,30.06,29.911968228753
108,GLW,2017-10-18,29.92,29.772657664813
109,GLW,2017-10-17,29.67,29.523888800635
110,GLW,2017-10-16,29.89,29.742805401112
111,GLW,2017-10-13,29.74,29.593544082605
112,GLW,2017-10-12,29.94,29.792559173948
113,GLW,2017-10-11,29.89,29.742805401112
114,GLW,2017-10-10,30.03,29.882115965052
115,GLW,2017-10-09,30.12,29.971672756156
116,GLW,2017-10-06,30.09,29.941820492454
117,GLW,2017-10-05,30.45,30.300047656871
118,GLW,2017-10-04,30.47,30.319949166005
119,GLW,2017-10-03,30.31,30.160737092931
120,GLW,2017-10-02,30.16,30.011475774424
121,GLW,2017-09-29,29.92,29.772657664813
122,GLW,2017-09-28,29.95,29.802509928515
123,GLW,2017-09-27,30.04,29.892066719619
124,GLW,2017-09-26,29.81,29.663199364575
125,GLW,2017-09-25,30.01,29.862214455917
126,GLW,2017-09-22,30.05,29.902017474186
127,GLW,2017-09-21,30.1,29.951771247021
128,GLW,2017-09-20,30.03,29.882115965052
129,GLW,2017-09-19,29.91,29.762706910246
130,GLW,2017-09-18,29.54,29.394528991263
131,GLW,2017-09-15,29.35,29.205464654488
132,GLW,2017-09-14,29.25,29.105957108817
133,GLW,2017-09-13,29.2,29.056203335981
134,GLW,2017-09-12,29.15,29.006449563145
135,GLW,2017-09-11,28.92,28.777582208102
136,GLW,2017-09-08,28.54,28.399453534551
137,GLW,2017-09-07,28.73,28.588517871326
138,GLW,2017-09-06,28.58,28.43925655282
139,GLW,2017-09-05,28.62,28.479059571088
140,GLW,2017-09-01,28.91,28.767631453535
141,GLW,2017-08-31,28.76,28.618370135028
142,GLW,2017-08-30,28.64,28.498961080222
143,GLW,2017-08-29,28.57,28.429305798253
144,GLW,2017-08-28,28.76,28.463945509408
145,GLW,2017-08-25,28.66,28.364974906107
146,GLW,2017-08-24,28.56,28.266004302806
147,GLW,2017-08-23,28.48,28.186827820165
148,GLW,2017-08-22,28.5,28.206621940825
149,GLW,2017-08-21,28.19,27.899813070591
150,GLW,2017-08-18,27.88,27.593004200358
151,GLW,2017-08-17,27.87,27.583107140028
152,GLW,2017-08-16,28.45,28.157136639174
153,GLW,2017-08-15,28.49,28.196724880495
154,GLW,2017-08-14,29.41,29.107254430865
155,GLW,2017-08-11,28.98,28.68168083667
156,GLW,2017-08-10,28.57,28.275901363136
157,GLW,2017-08-09,29.36,29.057769129215
158,GLW,2017-08-08,29.3,28.998386767234
159,GLW,2017-08-07,29.24,28.939004405253
160,GLW,2017-08-04,29.25,28.948901465584
161,GLW,2017-08-03,29.28,28.978592646574
162,GLW,2017-08-02,29.77,29.463548602749
163,GLW,2017-08-01,29.52,29.216122094497
164,GLW,2017-07-31,29.14,28.840033801952
165,GLW,2017-07-28,29.25,28.948901465584
166,GLW,2017-07-27,29.49,29.186430913506
167,GLW,2017-07-26,30.42,30.106857524207
168,GLW,2017-07-25,32.13,31.799254840656
169,GLW,2017-07-24,31.85,31.522137151413
170,GLW,2017-07-21,31.85,31.522137151413
171,GLW,2017-07-20,31.71,31.383578306792
172,GLW,2017-07-19,31.73,31.403372427452
173,GLW,2017-07-18,31.41,31.086666496888
174,GLW,2017-07-17,31.32,30.997592953917
175,GLW,2017-07-14,31.07,30.750166445664
176,GLW,2017-07-13,30.82,30.502739937411
177,GLW,2017-07-12,30.85,30.532431118402
178,GLW,2017-07-11,30.33,30.017783981236
179,GLW,2017-07-10,30.54,30.225622248168
180,GLW,2017-07-07,30.28,29.968298679585
181,GLW,2017-07-06,29.81,29.50313684407
182,GLW,2017-07-05,30.49,30.176136946518
183,GLW,2017-07-03,30.13,29.819842774634
184,GLW,2017-06-30,30.05,29.740666291993
185,GLW,2017-06-29,30.37,30.057372222556
186,GLW,2017-06-28,30.5,30.186034006848
187,GLW,2017-06-27,29.99,29.681283930012
188,GLW,2017-06-26,30.23,29.918813377935
189,GLW,2017-06-23,29.99,29.681283930012
190,GLW,2017-06-22,29.71,29.404166240769
191,GLW,2017-06-21,29.76,29.453651542419
192,GLW,2017-06-20,29.67,29.364577999448
193,GLW,2017-06-19,29.88,29.572416266381
194,GLW,2017-06-16,29.41,29.107254430865
195,GLW,2017-06-15,29.39,29.087460310205
196,GLW,2017-06-14,29.25,28.948901465584
197,GLW,2017-06-13,29.4,29.097357370535
198,GLW,2017-06-12,29.06,28.760857319311
199,GLW,2017-06-09,28.95,28.65198965568
200,GLW,2017-06-08,29.3,28.998386767234
201,GLW,2017-06-07,29.49,29.186430913506
202,GLW,2017-06-06,29.57,29.265607396147
203,GLW,2017-06-05,29.54,29.235916215157
204,GLW,2017-06-02,29.69,29.384372120109
205,GLW,2017-06-01,29.67,29.364577999448
206,GLW,2017-05-31,29.1,28.800445560632
207,GLW,2017-05-30,29.32,29.018180887894
208,GLW,2017-05-26,29.3,28.998386767234
209,GLW,2017-05-25,29.57,29.111604030118
210,GLW,2017-05-24,29.17,28.717804854871
211,GLW,2017-05-23,29.18,28.727649834252
212,GLW,2017-05-22,29.31,28.855634566207
213,GLW,2017-05-19,29.05,28.599665102297
214,GLW,2017-05-18,28.77,28.324005679624
215,GLW,2017-05-17,28.64,28.196020947669
216,GLW,2017-05-16,29.6,29.141138968261
217,GLW,2017-05-15,29.33,28.87532452497
218,GLW,2017-05-12,29.06,28.609510081678
219,GLW,2017-05-11,28.8,28.353540617768
220,GLW,2017-05-10,29.11,28.658734978584
221,GLW,2017-05-09,29.08,28.62920004044
222,GLW,2017-05-08,29.12,28.668579957965
223,GLW,2017-05-05,28.91,28.46183539096
224,GLW,2017-05-04,28.84,28.392920535292
225,GLW,2017-05-03,28.76,28.314160700243
226,GLW,2017-05-02,29.02,28.570130164153
227,GLW,2017-05-01,29.11,28.658734978584
228,GLW,2017-04-28,28.85,28.402765514673
229,GLW,2017-04-27,29.02,28.570130164153
230,GLW,2017-04-26,28.39,27.94989646314
231,GLW,2017-04-25,28.535,28.092648664167
232,GLW,2017-04-24,27.52,27.093383256978
233,GLW,2017-04-21,27.02,26.601134287919
234,GLW,2017-04-20,27.11,26.68973910235
235,GLW,2017-04-19,26.86,26.443614617821
236,GLW,2017-04-18,26.89,26.473149555964
237,GLW,2017-04-17,26.54,26.128575277623
238,GLW,2017-04-13,26.32,25.911985731238
239,GLW,2017-04-12,26.48,26.069505401336
240,GLW,2017-04-11,26.85,26.43376963844
241,GLW,2017-04-10,26.79,26.374699762153
242,GLW,2017-04-07,26.81,26.394389720915
243,GLW,2017-04-06,26.78,26.364854782771
244,GLW,2017-04-05,26.7,26.286094947722
245,GLW,2017-04-04,26.79,26.374699762153
246,GLW,2017-04-03,26.84,26.423924659058
247,GLW,2017-03-31,27.0,26.581444329157
248,GLW,2017-03-30,27.56,27.132763174503
249,GLW,2017-03-29,27.48,27.054003339453
250,GLW,2017-03-28,27.55,27.122918195121
251,GLW,2017-03-27,27.41,26.985088483785
252,GLW,2017-03-24,27.41,26.985088483785
253,GLW,2017-03-23,27.34,26.916173628117
254,GLW,2017-03-22,27.35,26.926018607498
255,GLW,2017-03-21,26.87,26.453459597202
256,GLW,2017-03-20,27.3,26.876793710592
257,GLW,2017-03-17,27.24,26.817723834305
258,GLW,2017-03-16,27.28,26.85710375183
259,GLW,2017-03-15,27.23,26.807878854924
260,GLW,2017-03-14,26.85,26.43376963844
261,GLW,2017-03-13,27.71,27.28043786522
262,GLW,2017-03-10,27.56,27.132763174503
263,GLW,2017-03-09,27.57,27.142608153884
264,GLW,2017-03-08,27.62,27.19183305079
265,GLW,2017-03-07,27.72,27.290282844601
266,GLW,2017-03-06,27.72,27.290282844601
267,GLW,2017-03-03,27.88,27.4478025147
268,GLW,2017-03-02,27.88,27.4478025147
269,GLW,2017-03-01,28.2,27.762841854897
270,GLW,2017-02-28,27.61,27.181988071408
271,GLW,2017-02-27,27.65,27.221367988933
272,GLW,2017-02-24,27.73,27.300127823982
273,GLW,2017-02-23,27.56,26.981944516011
274,GLW,2017-02-22,27.74,27.158169117349
275,GLW,2017-02-21,27.73,27.148378861719
276,GLW,2017-02-17,27.65,27.07005681668
277,GLW,2017-02-16,27.71,27.128798350459
278,GLW,2017-02-15,27.36,26.786139403413
279,GLW,2017-02-14,27.24,26.668656335854
280,GLW,2017-02-13,26.73,26.169353298729
281,GLW,2017-02-10,26.7,26.139982531839
282,GLW,2017-02-09,26.8,26.237885088138
283,GLW,2017-02-08,26.48,25.924596907981
284,GLW,2017-02-07,26.59,26.03228971991
285,GLW,2017-02-06,26.71,26.149772787469
286,GLW,2017-02-03,26.73,26.169353298729
287,GLW,2017-02-02,26.38,25.826694351682
288,GLW,2017-02-01,26.21,25.660260005974
289,GLW,2017-01-31,26.49,25.934387163611
290,GLW,2017-01-30,26.65,26.09103125369
291,GLW,2017-01-27,26.68,26.120402020579
292,GLW,2017-01-26,26.55,25.99312869739
293,GLW,2017-01-25,26.68,26.120402020579
294,GLW,2017-01-24,26.18,25.630889239084
295,GLW,2017-01-23,24.77,24.250463195268
296,GLW,2017-01-20,24.79,24.270043706528
297,GLW,2017-01-19,24.42,23.907804248221
298,GLW,2017-01-18,24.56,24.04486782704
299,GLW,2017-01-17,24.19,23.682628368734
300,GLW,2017-01-13,24.84,24.318994984677
301,GLW,2017-01-12,24.53,24.01549706015
302,GLW,2017-01-11,24.67,24.152560638969
303,GLW,2017-01-10,24.49,23.976336037631
304,GLW,2017-01-09,24.47,23.956755526371
305,GLW,2017-01-06,24.52,24.00570680452
306,GLW,2017-01-05,24.31,23.800111436292
307,GLW,2017-01-04,24.46,23.946965270741
308,GLW,2017-01-03,24.3,23.790321180662
