None,ticker,date,close,adj_close
0,GOOG,2018-03-27,1005.1,1005.1
1,GOOG,2018-03-26,1053.21,1053.21
2,GOOG,2018-03-23,1021.57,1021.57
3,GOOG,2018-03-22,1049.08,1049.08
4,GOOG,2018-03-21,1090.88,1090.88
5,GOOG,2018-03-20,1097.71,1097.71
6,GOOG,2018-03-19,1099.82,1099.82
7,GOOG,2018-03-16,1135.73,1135.73
8,GOOG,2018-03-15,1149.58,1149.58
9,GOOG,2018-03-14,1149.49,1149.49
10,GOOG,2018-03-13,1138.17,1138.17
11,GOOG,2018-03-12,1164.5,1164.5
12,GOOG,2018-03-09,1160.04,1160.04
13,GOOG,2018-03-08,1126.0,1126.0
14,GOOG,2018-03-07,1109.64,1109.64
15,GOOG,2018-03-06,1095.06,1095.06
16,GOOG,2018-03-05,1090.93,1090.93
17,GOOG,2018-03-02,1078.92,1078.92
18,GOOG,2018-03-01,1069.52,1069.52
19,GOOG,2018-02-28,1104.73,1104.73
20,GOOG,2018-02-27,1118.29,1118.29
21,GOOG,2018-02-26,1143.75,1143.75
22,GOOG,2018-02-23,1126.79,1126.79
23,GOOG,2018-02-22,1106.63,1106.63
24,GOOG,2018-02-21,1111.34,1111.34
25,GOOG,2018-02-20,1102.46,1102.46
26,GOOG,2018-02-16,1094.8,1094.8
27,GOOG,2018-02-15,1089.52,1089.52
28,GOOG,2018-02-14,1069.7,1069.7
29,GOOG,2018-02-13,1052.1,1052.1
30,GOOG,2018-02-12,1051.94,1051.94
31,GOOG,2018-02-09,1035.88,1035.88
32,GOOG,2018-02-08,1001.0,1001.0
33,GOOG,2018-02-07,1048.58,1048.58
34,GOOG,2018-02-06,1080.6,1080.6
35,GOOG,2018-02-05,1064.35,1064.35
36,GOOG,2018-02-02,1111.9,1111.9
37,GOOG,2018-02-01,1167.7,1167.7
38,GOOG,2018-01-31,1169.94,1169.94
39,GOOG,2018-01-30,1163.69,1163.69
40,GOOG,2018-01-29,1175.58,1175.58
41,GOOG,2018-01-26,1175.84,1175.84
42,GOOG,2018-01-25,1170.37,1170.37
43,GOOG,2018-01-24,1164.24,1164.24
44,GOOG,2018-01-23,1169.97,1169.97
45,GOOG,2018-01-22,1155.81,1155.81
46,GOOG,2018-01-19,1137.51,1137.51
47,GOOG,2018-01-18,1129.79,1129.79
48,GOOG,2018-01-17,1131.98,1131.98
49,GOOG,2018-01-16,1121.76,1121.76
50,GOOG,2018-01-12,1122.26,1122.26
51,GOOG,2018-01-11,1105.52,1105.52
52,GOOG,2018-01-10,1102.61,1102.61
53,GOOG,2018-01-09,1106.26,1106.26
54,GOOG,2018-01-08,1106.94,1106.94
55,GOOG,2018-01-05,1102.23,1102.23
56,GOOG,2018-01-04,1086.4,1086.4
57,GOOG,2018-01-03,1082.48,1082.48
58,GOOG,2018-01-02,1065.0,1065.0
59,GOOG,2017-12-29,1046.4,1046.4
60,GOOG,2017-12-28,1048.14,1048.14
61,GOOG,2017-12-27,1049.37,1049.37
62,GOOG,2017-12-26,1056.74,1056.74
63,GOOG,2017-12-22,1060.12,1060.12
64,GOOG,2017-12-21,1063.63,1063.63
65,GOOG,2017-12-20,1064.95,1064.95
66,GOOG,2017-12-19,1070.68,1070.68
67,GOOG,2017-12-18,1077.14,1077.14
68,GOOG,2017-12-15,1064.19,1064.19
69,GOOG,2017-12-14,1049.15,1049.15
70,GOOG,2017-12-13,1040.61,1040.61
71,GOOG,2017-12-12,1040.48,1040.48
72,GOOG,2017-12-11,1041.1,1041.1
73,GOOG,2017-12-08,1037.05,1037.05
74,GOOG,2017-12-07,1030.93,1030.93
75,GOOG,2017-12-06,1018.38,1018.38
76,GOOG,2017-12-05,1005.15,1005.15
77,GOOG,2017-12-04,998.68,998.68
78,GOOG,2017-12-01,1010.17,1010.17
79,GOOG,2017-11-30,1021.41,1021.41
80,GOOG,2017-11-29,1021.66,1021.66
81,GOOG,2017-11-28,1047.41,1047.41
82,GOOG,2017-11-27,1054.21,1054.21
83,GOOG,2017-11-24,1040.61,1040.61
84,GOOG,2017-11-22,1035.96,1035.96
85,GOOG,2017-11-21,1034.49,1034.49
86,GOOG,2017-11-20,1018.38,1018.38
87,GOOG,2017-11-17,1019.09,1019.09
88,GOOG,2017-11-16,1032.5,1032.5
89,GOOG,2017-11-15,1020.91,1020.91
90,GOOG,2017-11-14,1026.0,1026.0
91,GOOG,2017-11-13,1025.75,1025.75
92,GOOG,2017-11-10,1028.07,1028.07
93,GOOG,2017-11-09,1031.26,1031.26
94,GOOG,2017-11-07,1033.33,1033.33
95,GOOG,2017-11-06,1025.9,1025.9
96,GOOG,2017-11-03,1032.48,1032.48
97,GOOG,2017-11-02,1025.58,1025.58
98,GOOG,2017-11-01,1025.5,1025.5
99,GOOG,2017-10-31,1016.64,1016.64
100,GOOG,2017-10-30,1017.11,1017.11
101,GOOG,2017-10-27,1019.27,1019.27
102,GOOG,2017-10-26,972.56,972.56
103,GOOG,2017-10-25,973.33,973.33
104,GOOG,2017-10-24,970.54,970.54
105,GOOG,2017-10-23,968.45,968.45
106,GOOG,2017-10-20,988.2,988.2
107,GOOG,2017-10-19,984.45,984.45
108,GOOG,2017-10-18,992.81,992.81
109,GOOG,2017-10-17,992.18,992.18
110,GOOG,2017-10-16,992.0,992.0
111,GOOG,2017-10-13,989.68,989.68
112,GOOG,2017-10-12,987.83,987.83
113,GOOG,2017-10-11,989.25,989.25
114,GOOG,2017-10-10,972.6,972.6
115,GOOG,2017-10-09,977.0,977.0
116,GOOG,2017-10-06,978.89,978.89
117,GOOG,2017-10-05,969.96,969.96
118,GOOG,2017-10-04,951.68,951.68
119,GOOG,2017-10-03,957.79,957.79
120,GOOG,2017-10-02,953.27,953.27
121,GOOG,2017-09-29,959.11,959.11
122,GOOG,2017-09-28,949.5,949.5
123,GOOG,2017-09-27,944.49,944.49
124,GOOG,2017-09-26,924.86,924.86
125,GOOG,2017-09-25,920.97,920.97
126,GOOG,2017-09-22,928.53,928.53
127,GOOG,2017-09-21,932.45,932.45
128,GOOG,2017-09-20,931.58,931.58
129,GOOG,2017-09-19,921.81,921.81
130,GOOG,2017-09-18,915.0,915.0
131,GOOG,2017-09-15,920.29,920.29
132,GOOG,2017-09-14,925.11,925.11
133,GOOG,2017-09-13,935.09,935.09
134,GOOG,2017-09-12,932.07,932.07
135,GOOG,2017-09-11,929.08,929.08
136,GOOG,2017-09-08,926.5,926.5
137,GOOG,2017-09-07,935.95,935.95
138,GOOG,2017-09-06,927.81,927.81
139,GOOG,2017-09-05,928.45,928.45
