None,ticker,date,close,adj_close
0,GOOGL,2018-03-27,1006.94,1006.94
1,GOOGL,2018-03-26,1054.09,1054.09
2,GOOGL,2018-03-23,1026.55,1026.55
3,GOOGL,2018-03-22,1053.15,1053.15
4,GOOGL,2018-03-21,1094.0,1094.0
5,GOOGL,2018-03-20,1095.8,1095.8
6,GOOGL,2018-03-19,1100.07,1100.07
7,GOOGL,2018-03-16,1134.42,1134.42
8,GOOGL,2018-03-15,1150.61,1150.61
9,GOOGL,2018-03-14,1148.89,1148.89
10,GOOGL,2018-03-13,1139.91,1139.91
11,GOOGL,2018-03-12,1165.93,1165.93
12,GOOGL,2018-03-09,1160.84,1160.84
13,GOOGL,2018-03-08,1129.38,1129.38
14,GOOGL,2018-03-07,1115.04,1115.04
15,GOOGL,2018-03-06,1100.9,1100.9
16,GOOGL,2018-03-05,1094.76,1094.76
17,GOOGL,2018-03-02,1084.14,1084.14
18,GOOGL,2018-03-01,1071.41,1071.41
19,GOOGL,2018-02-28,1103.92,1103.92
20,GOOGL,2018-02-27,1117.51,1117.51
21,GOOGL,2018-02-26,1143.7,1143.7
22,GOOGL,2018-02-23,1128.09,1128.09
23,GOOGL,2018-02-22,1109.9,1109.9
24,GOOGL,2018-02-21,1113.75,1113.75
25,GOOGL,2018-02-20,1103.59,1103.59
26,GOOGL,2018-02-16,1095.5,1095.5
27,GOOGL,2018-02-15,1091.36,1091.36
28,GOOGL,2018-02-14,1072.7,1072.7
29,GOOGL,2018-02-13,1054.14,1054.14
30,GOOGL,2018-02-12,1054.56,1054.56
31,GOOGL,2018-02-09,1043.43,1043.43
32,GOOGL,2018-02-08,1005.6,1005.6
33,GOOGL,2018-02-07,1055.41,1055.41
34,GOOGL,2018-02-06,1084.43,1084.43
35,GOOGL,2018-02-05,1068.76,1068.76
36,GOOGL,2018-02-02,1119.2,1119.2
37,GOOGL,2018-02-01,1181.59,1181.59
38,GOOGL,2018-01-31,1182.22,1182.22
39,GOOGL,2018-01-30,1177.37,1177.37
40,GOOGL,2018-01-29,1186.48,1186.48
41,GOOGL,2018-01-26,1187.56,1187.56
42,GOOGL,2018-01-25,1182.14,1182.14
43,GOOGL,2018-01-24,1171.29,1171.29
44,GOOGL,2018-01-23,1176.17,1176.17
45,GOOGL,2018-01-22,1164.16,1164.16
46,GOOGL,2018-01-19,1143.5,1143.5
47,GOOGL,2018-01-18,1135.97,1135.97
48,GOOGL,2018-01-17,1139.1,1139.1
49,GOOGL,2018-01-16,1130.7,1130.7
50,GOOGL,2018-01-12,1130.65,1130.65
51,GOOGL,2018-01-11,1111.88,1111.88
52,GOOGL,2018-01-10,1110.14,1110.14
53,GOOGL,2018-01-09,1112.79,1112.79
54,GOOGL,2018-01-08,1114.21,1114.21
55,GOOGL,2018-01-05,1110.29,1110.29
56,GOOGL,2018-01-04,1095.76,1095.76
57,GOOGL,2018-01-03,1091.52,1091.52
58,GOOGL,2018-01-02,1073.21,1073.21
59,GOOGL,2017-12-29,1053.4,1053.4
60,GOOGL,2017-12-28,1055.95,1055.95
61,GOOGL,2017-12-27,1060.2,1060.2
62,GOOGL,2017-12-26,1065.85,1065.85
63,GOOGL,2017-12-22,1068.86,1068.86
64,GOOGL,2017-12-21,1070.85,1070.85
65,GOOGL,2017-12-20,1073.56,1073.56
66,GOOGL,2017-12-19,1079.78,1079.78
67,GOOGL,2017-12-18,1085.09,1085.09
68,GOOGL,2017-12-15,1072.0,1072.0
69,GOOGL,2017-12-14,1057.47,1057.47
70,GOOGL,2017-12-13,1051.39,1051.39
71,GOOGL,2017-12-12,1048.77,1048.77
72,GOOGL,2017-12-11,1051.97,1051.97
73,GOOGL,2017-12-08,1049.38,1049.38
74,GOOGL,2017-12-07,1044.57,1044.57
75,GOOGL,2017-12-06,1032.72,1032.72
76,GOOGL,2017-12-05,1019.6,1019.6
77,GOOGL,2017-12-04,1011.87,1011.87
78,GOOGL,2017-12-01,1025.07,1025.07
79,GOOGL,2017-11-30,1036.17,1036.17
80,GOOGL,2017-11-29,1037.38,1037.38
81,GOOGL,2017-11-28,1063.29,1063.29
82,GOOGL,2017-11-27,1072.01,1072.01
