None,ticker,date,close,adj_close
0,GPN,2018-03-27,111.12,111.12
1,GPN,2018-03-26,114.41,114.41
2,GPN,2018-03-23,111.18,111.18
3,GPN,2018-03-22,113.51,113.51
4,GPN,2018-03-21,116.53,116.53
5,GPN,2018-03-20,117.7,117.7
6,GPN,2018-03-19,116.55,116.55
7,GPN,2018-03-16,118.01,118.01
8,GPN,2018-03-15,118.21,118.21
9,GPN,2018-03-14,117.88,117.88
10,GPN,2018-03-13,117.25,117.25
11,GPN,2018-03-12,117.83,117.83
12,GPN,2018-03-09,117.22,117.22
13,GPN,2018-03-08,114.53,114.53
14,GPN,2018-03-07,114.31,114.31
15,GPN,2018-03-06,114.18,114.18
16,GPN,2018-03-05,113.73,113.73
17,GPN,2018-03-02,113.45,113.45
18,GPN,2018-03-01,111.45,111.45
19,GPN,2018-02-28,113.39,113.39
20,GPN,2018-02-27,114.2,114.2
21,GPN,2018-02-26,114.7,114.7
22,GPN,2018-02-23,114.46,114.46
23,GPN,2018-02-22,112.02,112.02
24,GPN,2018-02-21,112.24,112.24
25,GPN,2018-02-20,114.73,114.73
26,GPN,2018-02-16,114.35,114.35
27,GPN,2018-02-15,112.35,112.35
28,GPN,2018-02-14,107.58,107.58
29,GPN,2018-02-13,106.85,106.85
30,GPN,2018-02-12,106.4,106.4
31,GPN,2018-02-09,103.93,103.93
32,GPN,2018-02-08,100.59,100.59
33,GPN,2018-02-07,106.32,106.32
34,GPN,2018-02-06,106.01,106.01
35,GPN,2018-02-05,104.98,104.98
36,GPN,2018-02-02,108.72,108.72
37,GPN,2018-02-01,111.59,111.59
38,GPN,2018-01-31,111.78,111.78
39,GPN,2018-01-30,111.38,111.38
40,GPN,2018-01-29,112.42,112.42
41,GPN,2018-01-26,113.26,113.26
42,GPN,2018-01-25,112.2,112.2
43,GPN,2018-01-24,112.17,112.17
44,GPN,2018-01-23,109.89,109.89
45,GPN,2018-01-22,109.1,109.1
46,GPN,2018-01-19,108.01,108.01
47,GPN,2018-01-18,106.18,106.18
48,GPN,2018-01-17,105.8,105.8
49,GPN,2018-01-16,104.6,104.6
50,GPN,2018-01-12,103.26,103.26
51,GPN,2018-01-11,104.0,104.0
52,GPN,2018-01-10,103.57,103.57
53,GPN,2018-01-09,104.81,104.81
54,GPN,2018-01-08,104.18,104.18
55,GPN,2018-01-05,103.56,103.56
56,GPN,2018-01-04,103.65,103.65
57,GPN,2018-01-03,101.71,101.71
58,GPN,2018-01-02,99.56,99.56
59,GPN,2017-12-29,100.24,100.24
60,GPN,2017-12-28,100.32,100.32
61,GPN,2017-12-27,100.33,100.33
62,GPN,2017-12-26,100.73,100.73
63,GPN,2017-12-22,100.36,100.36
64,GPN,2017-12-21,100.37,100.37
65,GPN,2017-12-20,101.72,101.72
66,GPN,2017-12-19,102.72,102.72
67,GPN,2017-12-18,101.36,101.36
68,GPN,2017-12-15,100.83,100.83
69,GPN,2017-12-14,99.54,99.54
70,GPN,2017-12-13,99.36,99.36
71,GPN,2017-12-12,100.14,100.14
72,GPN,2017-12-11,100.22,100.22
73,GPN,2017-12-08,99.37,99.37
74,GPN,2017-12-07,99.19,99.19
75,GPN,2017-12-06,97.19,97.19
76,GPN,2017-12-05,96.63,96.63
77,GPN,2017-12-04,95.96,95.96
78,GPN,2017-12-01,100.75,100.75
79,GPN,2017-11-30,100.56,100.56
80,GPN,2017-11-29,98.96,98.96
81,GPN,2017-11-28,103.55,103.55
82,GPN,2017-11-27,103.89,103.89
83,GPN,2017-11-24,103.47,103.47
84,GPN,2017-11-22,102.43,102.43
85,GPN,2017-11-21,103.21,103.21
86,GPN,2017-11-20,101.08,101.08
87,GPN,2017-11-17,100.03,100.03
88,GPN,2017-11-16,100.22,100.22
89,GPN,2017-11-15,99.39,99.39
90,GPN,2017-11-14,101.34,101.34
91,GPN,2017-11-13,99.6,99.6
92,GPN,2017-11-10,98.85,98.85
93,GPN,2017-11-09,99.32,99.32
94,GPN,2017-11-07,103.9,103.9
95,GPN,2017-11-06,104.27,104.27
96,GPN,2017-11-03,103.61,103.61
97,GPN,2017-11-02,102.81,102.81
98,GPN,2017-11-01,102.55,102.55
99,GPN,2017-10-31,103.95,103.95
100,GPN,2017-10-30,101.88,101.88
101,GPN,2017-10-27,101.57,101.57
102,GPN,2017-10-26,100.4,100.4
103,GPN,2017-10-25,99.56,99.56
104,GPN,2017-10-24,97.74,97.74
105,GPN,2017-10-23,97.44,97.44
106,GPN,2017-10-20,97.17,97.17
107,GPN,2017-10-19,96.81,96.81
108,GPN,2017-10-18,96.87,96.87
109,GPN,2017-10-17,97.68,97.68
110,GPN,2017-10-16,99.34,99.34
111,GPN,2017-10-13,99.64,99.64
112,GPN,2017-10-12,99.06,99.06
113,GPN,2017-10-11,99.07,99.07
114,GPN,2017-10-10,98.52,98.52
115,GPN,2017-10-09,98.15,98.15
116,GPN,2017-10-06,96.95,96.95
117,GPN,2017-10-05,96.79,96.79
118,GPN,2017-10-04,96.42,96.42
119,GPN,2017-10-03,96.62,96.62
120,GPN,2017-10-02,96.13,96.13
121,GPN,2017-09-29,95.03,95.03
122,GPN,2017-09-28,93.94,93.94
123,GPN,2017-09-27,94.48,94.48
124,GPN,2017-09-26,94.35,94.35
125,GPN,2017-09-25,94.2,94.2
126,GPN,2017-09-22,95.82,95.82
127,GPN,2017-09-21,96.34,96.34
