None,ticker,date,close,adj_close
0,GPS,2018-03-27,30.52,30.52
1,GPS,2018-03-26,30.96,30.96
2,GPS,2018-03-23,31.04,31.04
3,GPS,2018-03-22,31.18,31.18
4,GPS,2018-03-21,32.11,32.11
5,GPS,2018-03-20,32.32,32.32
6,GPS,2018-03-19,32.23,32.23
7,GPS,2018-03-16,31.74,31.74
8,GPS,2018-03-15,31.83,31.83
9,GPS,2018-03-14,32.42,32.42
10,GPS,2018-03-13,32.67,32.67
11,GPS,2018-03-12,32.24,32.24
12,GPS,2018-03-09,33.07,33.07
13,GPS,2018-03-08,32.6,32.6
14,GPS,2018-03-07,33.28,33.28
15,GPS,2018-03-06,34.59,34.59
16,GPS,2018-03-05,34.09,34.09
17,GPS,2018-03-02,34.18,34.18
18,GPS,2018-03-01,31.7,31.7
19,GPS,2018-02-28,31.58,31.58
20,GPS,2018-02-27,31.22,31.22
21,GPS,2018-02-26,32.13,32.13
22,GPS,2018-02-23,32.69,32.69
23,GPS,2018-02-22,32.37,32.37
24,GPS,2018-02-21,32.22,32.22
25,GPS,2018-02-20,31.61,31.61
26,GPS,2018-02-16,33.27,33.27
27,GPS,2018-02-15,33.33,33.33
28,GPS,2018-02-14,33.11,33.11
29,GPS,2018-02-13,32.43,32.43
30,GPS,2018-02-12,31.42,31.42
31,GPS,2018-02-09,32.29,32.29
32,GPS,2018-02-08,31.17,31.17
33,GPS,2018-02-07,32.62,32.62
34,GPS,2018-02-06,32.16,32.16
35,GPS,2018-02-05,30.56,30.56
36,GPS,2018-02-02,32.09,32.09
37,GPS,2018-02-01,32.88,32.88
38,GPS,2018-01-31,33.24,33.24
39,GPS,2018-01-30,34.39,34.39
40,GPS,2018-01-29,35.08,35.08
41,GPS,2018-01-26,34.85,34.85
42,GPS,2018-01-25,34.58,34.58
43,GPS,2018-01-24,34.88,34.88
44,GPS,2018-01-23,35.46,35.46
45,GPS,2018-01-22,35.48,35.48
46,GPS,2018-01-19,34.81,34.81
47,GPS,2018-01-18,33.76,33.76
48,GPS,2018-01-17,33.26,33.26
49,GPS,2018-01-16,32.71,32.71
50,GPS,2018-01-12,33.87,33.87
51,GPS,2018-01-11,33.19,33.19
52,GPS,2018-01-10,32.03,32.03
53,GPS,2018-01-09,31.99,31.99
54,GPS,2018-01-08,32.3,32.3
55,GPS,2018-01-05,32.55,32.55
56,GPS,2018-01-04,32.74,32.74
57,GPS,2018-01-03,33.17,33.17
58,GPS,2018-01-02,33.87,33.87
59,GPS,2017-12-29,34.06,34.06
60,GPS,2017-12-28,34.44,34.44
61,GPS,2017-12-27,34.49,34.49
62,GPS,2017-12-26,34.94,34.94
63,GPS,2017-12-22,34.44,34.44
64,GPS,2017-12-21,34.45,34.45
65,GPS,2017-12-20,34.32,34.32
66,GPS,2017-12-19,34.31,34.31
67,GPS,2017-12-18,34.43,34.43
