None,ticker,date,close,adj_close
0,GS,2018-03-27,247.26,247.26
1,GS,2018-03-26,254.88,254.88
2,GS,2018-03-23,245.26,245.26
3,GS,2018-03-22,252.6,252.6
4,GS,2018-03-21,261.85,261.85
5,GS,2018-03-20,263.19,263.19
6,GS,2018-03-19,262.53,262.53
7,GS,2018-03-16,267.6,267.6
8,GS,2018-03-15,266.61,266.61
9,GS,2018-03-14,264.43,264.43
10,GS,2018-03-13,268.53,268.53
11,GS,2018-03-12,273.38,273.38
12,GS,2018-03-09,270.77,270.77
13,GS,2018-03-08,266.34,266.34
14,GS,2018-03-07,265.35,265.35
15,GS,2018-03-06,266.93,266.93
16,GS,2018-03-05,263.12,263.12
17,GS,2018-03-02,258.12,258.12
18,GS,2018-03-01,256.78,256.78
19,GS,2018-02-28,262.93,262.93
20,GS,2018-02-27,267.93,267.93
21,GS,2018-02-26,271.26,271.26
22,GS,2018-02-23,266.77,266.77
23,GS,2018-02-22,261.43,261.43
24,GS,2018-02-21,263.4,263.4
25,GS,2018-02-20,264.89,264.89
26,GS,2018-02-16,267.62,267.62
27,GS,2018-02-15,267.68,267.68
28,GS,2018-02-14,262.58,262.58
29,GS,2018-02-13,255.53,255.53
30,GS,2018-02-12,253.16,253.16
31,GS,2018-02-09,249.3,249.3
32,GS,2018-02-08,246.35,246.35
33,GS,2018-02-07,257.1,257.1
34,GS,2018-02-06,258.7,258.7
35,GS,2018-02-05,249.11,249.11
36,GS,2018-02-02,260.04,260.04
37,GS,2018-02-01,272.23,272.23
38,GS,2018-01-31,267.89,267.89
39,GS,2018-01-30,268.94,268.94
40,GS,2018-01-29,272.48,272.48
41,GS,2018-01-26,268.14,268.14
42,GS,2018-01-25,269.03,269.03
43,GS,2018-01-24,265.68,265.68
44,GS,2018-01-23,260.09,260.09
45,GS,2018-01-22,261.52,261.52
46,GS,2018-01-19,256.12,256.12
47,GS,2018-01-18,250.97,250.97
48,GS,2018-01-17,253.65,253.65
49,GS,2018-01-16,258.46,258.46
50,GS,2018-01-12,257.03,257.03
51,GS,2018-01-11,255.13,255.13
52,GS,2018-01-10,254.33,254.33
53,GS,2018-01-09,253.94,253.94
54,GS,2018-01-08,251.81,251.81
55,GS,2018-01-05,255.52,255.52
56,GS,2018-01-04,256.83,256.83
57,GS,2018-01-03,253.29,253.29
58,GS,2018-01-02,255.67,255.67
59,GS,2017-12-29,254.76,254.76
60,GS,2017-12-28,256.5,256.5
61,GS,2017-12-27,255.95,255.95
62,GS,2017-12-26,257.72,257.72
63,GS,2017-12-22,258.97,258.97
64,GS,2017-12-21,261.01,261.01
65,GS,2017-12-20,255.18,255.18
66,GS,2017-12-19,256.48,256.48
67,GS,2017-12-18,260.02,260.02
68,GS,2017-12-15,257.17,257.17
69,GS,2017-12-14,255.48,255.48
70,GS,2017-12-13,255.56,255.56
71,GS,2017-12-12,257.68,257.68
