None,ticker,date,close,adj_close
0,HAL,2018-03-27,46.88,46.88
1,HAL,2018-03-26,47.21,47.21
2,HAL,2018-03-23,46.44,46.44
3,HAL,2018-03-22,46.38,46.38
4,HAL,2018-03-21,47.11,47.11
5,HAL,2018-03-20,45.49,45.49
6,HAL,2018-03-19,44.68,44.68
7,HAL,2018-03-16,45.91,45.91
8,HAL,2018-03-15,45.29,45.29
9,HAL,2018-03-14,46.24,46.24
10,HAL,2018-03-13,46.1,46.1
11,HAL,2018-03-12,46.92,46.92
12,HAL,2018-03-09,46.99,46.99
13,HAL,2018-03-08,46.01,46.01
14,HAL,2018-03-07,45.83,45.83
15,HAL,2018-03-06,45.92,45.92
16,HAL,2018-03-05,46.26,46.26
17,HAL,2018-03-02,46.03,46.03
18,HAL,2018-03-01,46.03,46.03
19,HAL,2018-02-28,46.42,46.42
20,HAL,2018-02-27,47.62,47.62
21,HAL,2018-02-26,48.23,48.23
22,HAL,2018-02-23,48.45,48.45
23,HAL,2018-02-22,47.13,47.13
24,HAL,2018-02-21,46.55,46.55
25,HAL,2018-02-20,47.16,47.16
26,HAL,2018-02-16,47.5,47.5
27,HAL,2018-02-15,46.89,46.89
28,HAL,2018-02-14,47.87,47.87
29,HAL,2018-02-13,47.39,47.39
30,HAL,2018-02-12,47.92,47.92
31,HAL,2018-02-09,46.7,46.7
32,HAL,2018-02-08,47.41,47.41
33,HAL,2018-02-07,49.69,49.69
34,HAL,2018-02-06,50.63,50.63
35,HAL,2018-02-05,50.04,50.04
36,HAL,2018-02-02,52.19,52.19
37,HAL,2018-02-01,54.51,54.51
38,HAL,2018-01-31,53.7,53.7
39,HAL,2018-01-30,54.14,54.14
40,HAL,2018-01-29,54.8,54.8
41,HAL,2018-01-26,55.61,55.61
42,HAL,2018-01-25,55.2,55.2
43,HAL,2018-01-24,55.34,55.34
44,HAL,2018-01-23,56.83,56.83
45,HAL,2018-01-22,56.4,56.4
46,HAL,2018-01-19,53.01,53.01
47,HAL,2018-01-18,52.36,52.36
48,HAL,2018-01-17,52.85,52.85
49,HAL,2018-01-16,52.13,52.13
50,HAL,2018-01-12,53.14,53.14
51,HAL,2018-01-11,53.33,53.33
52,HAL,2018-01-10,52.47,52.47
53,HAL,2018-01-09,52.11,52.11
54,HAL,2018-01-08,52.29,52.29
55,HAL,2018-01-05,51.82,51.82
56,HAL,2018-01-04,51.63,51.63
57,HAL,2018-01-03,50.5,50.5
58,HAL,2018-01-02,49.61,49.61
59,HAL,2017-12-29,48.87,48.87
60,HAL,2017-12-28,48.57,48.57
61,HAL,2017-12-27,48.82,48.82
62,HAL,2017-12-26,48.77,48.77
63,HAL,2017-12-22,48.01,48.01
64,HAL,2017-12-21,48.17,48.17
65,HAL,2017-12-20,47.42,47.42
66,HAL,2017-12-19,45.87,45.87
67,HAL,2017-12-18,45.48,45.48
68,HAL,2017-12-15,44.61,44.61
69,HAL,2017-12-14,44.41,44.41
70,HAL,2017-12-13,44.76,44.76
71,HAL,2017-12-12,45.24,45.24
72,HAL,2017-12-11,45.16,45.16
73,HAL,2017-12-08,43.99,43.99
74,HAL,2017-12-07,43.46,43.46
75,HAL,2017-12-06,43.38,43.38
76,HAL,2017-12-05,43.63,43.63
77,HAL,2017-12-04,43.89,43.89
78,HAL,2017-12-01,43.06,43.06
79,HAL,2017-11-30,41.78,41.78
80,HAL,2017-11-29,41.3,41.3
81,HAL,2017-11-28,41.02,41.02
82,HAL,2017-11-27,41.07,41.07
83,HAL,2017-11-24,41.58,41.58
84,HAL,2017-11-22,41.43,41.43
85,HAL,2017-11-21,41.17,41.17
86,HAL,2017-11-20,41.57,41.57
87,HAL,2017-11-17,41.77,41.77
88,HAL,2017-11-16,41.51,41.51
89,HAL,2017-11-15,41.69,41.69
90,HAL,2017-11-14,42.94,42.94
91,HAL,2017-11-13,44.21,44.21
92,HAL,2017-11-10,44.58,44.58
93,HAL,2017-11-09,45.01,45.01
94,HAL,2017-11-07,45.27,45.27
95,HAL,2017-11-06,45.08,45.08
96,HAL,2017-11-03,43.23,43.23
97,HAL,2017-11-02,42.69,42.69
98,HAL,2017-11-01,43.05,43.05
99,HAL,2017-10-31,42.74,42.74
100,HAL,2017-10-30,42.93,42.93
101,HAL,2017-10-27,42.43,42.43
102,HAL,2017-10-26,41.24,41.24
103,HAL,2017-10-25,41.485,41.485
104,HAL,2017-10-24,41.37,41.37
105,HAL,2017-10-23,42.24,42.24
106,HAL,2017-10-20,43.33,43.33
107,HAL,2017-10-19,43.42,43.42
108,HAL,2017-10-18,43.77,43.77
109,HAL,2017-10-17,44.46,44.46
110,HAL,2017-10-16,44.61,44.61
111,HAL,2017-10-13,44.72,44.72
112,HAL,2017-10-12,44.76,44.76
113,HAL,2017-10-11,45.51,45.51
114,HAL,2017-10-10,45.03,45.03
115,HAL,2017-10-09,44.93,44.93
116,HAL,2017-10-06,44.75,44.75
117,HAL,2017-10-05,45.09,45.09
118,HAL,2017-10-04,45.18,45.18
119,HAL,2017-10-03,44.93,44.93
120,HAL,2017-10-02,45.53,45.53
121,HAL,2017-09-29,46.03,46.03
122,HAL,2017-09-28,45.83,45.83
123,HAL,2017-09-27,45.58,45.58
124,HAL,2017-09-26,44.64,44.64
125,HAL,2017-09-25,44.69,44.69
126,HAL,2017-09-22,44.25,44.25
127,HAL,2017-09-21,43.48,43.48
128,HAL,2017-09-20,43.61,43.61
129,HAL,2017-09-19,42.81,42.81
130,HAL,2017-09-18,42.62,42.62
131,HAL,2017-09-15,42.31,42.31
132,HAL,2017-09-14,42.18,42.18
133,HAL,2017-09-13,41.8,41.8
134,HAL,2017-09-12,41.26,41.26
135,HAL,2017-09-11,40.63,40.63
136,HAL,2017-09-08,40.29,40.29
137,HAL,2017-09-07,41.31,41.31
138,HAL,2017-09-06,41.01,41.01
139,HAL,2017-09-05,39.83,39.83
140,HAL,2017-09-01,38.9,38.724993751562
141,HAL,2017-08-31,38.97,38.615993001494
142,HAL,2017-08-30,38.67,38.31871822858
143,HAL,2017-08-29,38.72,38.368264024066
144,HAL,2017-08-28,38.79,38.437628137746
145,HAL,2017-08-25,39.01,38.655629637882
146,HAL,2017-08-24,38.79,38.437628137746
147,HAL,2017-08-23,39.03,38.675447956076
148,HAL,2017-08-22,38.66,38.308809069483
149,HAL,2017-08-21,38.74,38.38808234226
150,HAL,2017-08-18,38.99,38.635811319688
151,HAL,2017-08-17,38.69,38.338536546774
152,HAL,2017-08-16,39.32,38.962813569893
153,HAL,2017-08-15,39.55,39.190724229127
154,HAL,2017-08-14,39.91,39.547453956623
155,HAL,2017-08-11,40.02,39.656454706692
156,HAL,2017-08-10,40.51,40.142003502451
157,HAL,2017-08-09,41.29,40.914917912027
158,HAL,2017-08-08,41.03,40.657279775501
159,HAL,2017-08-07,41.45,41.073464457581
160,HAL,2017-08-04,41.99,41.608559048825
161,HAL,2017-08-03,42.03,41.648195685214
162,HAL,2017-08-02,42.85,42.460746731178
163,HAL,2017-08-01,42.45,42.064380367293
164,HAL,2017-07-31,42.44,42.054471208196
165,HAL,2017-07-28,42.93,42.540020003955
166,HAL,2017-07-27,43.09,42.698566549509
167,HAL,2017-07-26,43.32,42.926477208743
168,HAL,2017-07-25,42.69,42.302200185624
169,HAL,2017-07-24,42.51,42.123835321876
170,HAL,2017-07-21,44.38,43.976848073038
171,HAL,2017-07-20,45.38,44.96776398275
172,HAL,2017-07-19,45.58,45.165947164693
173,HAL,2017-07-18,44.0,43.600300027347
174,HAL,2017-07-17,44.11,43.709300777416
175,HAL,2017-07-14,44.22,43.818301527484
176,HAL,2017-07-13,43.77,43.372389368113
177,HAL,2017-07-12,42.78,42.391382617498
178,HAL,2017-07-11,42.71,42.322018503818
179,HAL,2017-07-10,42.32,41.93556129903
180,HAL,2017-07-07,41.78,41.400466707786
181,HAL,2017-07-06,42.02,41.638286526117
182,HAL,2017-07-05,42.86,42.470655890275
183,HAL,2017-07-03,43.72,43.322843572628
184,HAL,2017-06-30,42.71,42.322018503818
185,HAL,2017-06-29,42.42,42.034652890002
186,HAL,2017-06-28,42.01,41.62837736702
187,HAL,2017-06-27,41.53,41.152737730358
188,HAL,2017-06-26,41.7,41.321193435009
189,HAL,2017-06-23,41.5,41.123010253066
190,HAL,2017-06-22,41.9,41.519376616951
191,HAL,2017-06-21,42.23,41.846378867156
192,HAL,2017-06-20,43.4,43.00575048152
193,HAL,2017-06-19,43.97,43.570572550056
194,HAL,2017-06-16,44.27,43.86784732297
195,HAL,2017-06-15,44.08,43.679573300124
196,HAL,2017-06-14,44.83,44.422760232409
197,HAL,2017-06-13,45.84,45.423585301218
198,HAL,2017-06-12,44.92,44.511942664283
199,HAL,2017-06-09,44.85,44.442578550603
200,HAL,2017-06-08,44.13,43.72911909561
201,HAL,2017-06-07,44.4,43.996666391232
202,HAL,2017-06-06,46.0,45.582131846772
203,HAL,2017-06-05,45.32,44.908309028168
204,HAL,2017-06-02,45.3,44.710909867604
205,HAL,2017-06-01,45.49,44.89843907014
206,HAL,2017-05-31,45.19,44.602340329294
207,HAL,2017-05-30,45.15,44.562860497182
208,HAL,2017-05-26,45.76,45.1649279369
209,HAL,2017-05-25,45.41,44.819479405914
210,HAL,2017-05-24,47.71,47.089569752393
211,HAL,2017-05-23,47.6,46.981000214083
212,HAL,2017-05-22,47.12,46.507242228731
213,HAL,2017-05-19,47.78,47.15865945859
214,HAL,2017-05-18,46.58,45.97426449521
215,HAL,2017-05-17,46.34,45.737385502534
216,HAL,2017-05-16,46.78,46.171663655773
217,HAL,2017-05-15,46.51,45.905174789013
218,HAL,2017-05-12,45.14,44.552990539154
219,HAL,2017-05-11,45.61,45.016878566478
220,HAL,2017-05-10,45.81,45.214277727041
221,HAL,2017-05-09,45.03,44.444421000844
222,HAL,2017-05-08,45.36,44.770129615773
223,HAL,2017-05-05,45.58,44.987268692393
224,HAL,2017-05-04,44.6,44.020012805633
225,HAL,2017-05-03,45.25,44.661560077464
226,HAL,2017-05-02,45.3,44.710909867604
